Citance Number: 1 | Reference Article:  P93-1008.txt | Citing Article:  P94-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, Dowding et al (1993) reported syntactic and semantic coverage of 86% for the DARPA Airline reservation corpus (Dowding et al, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The repair correction mechanism helps increase the syntactic and semantic coverage of Gemini (as reported in Table 1).</S><S sid = NA ssid = NA>This formalism is related directly to the Core Language Engine, but more conceptually it is closely related to that of other unification-based grammar formalisms with a context-free skeleton, such as PATR-II (Shieber et al., 1983), Categorial Unification Grammar (Uszkoreit, 1986), Generalized Phrase-Structure Grammar (Gazdar et al., 1982), Gemini differs from other unification formalisms in the following ways.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P93-1008.txt | Citing Article:  W00-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Initial language processing is carried out Using the SRI Gemini system (Dowding et al, 1993), using a domain-independent unification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This formalism is related directly to the Core Language Engine, but more conceptually it is closely related to that of other unification-based grammar formalisms with a context-free skeleton, such as PATR-II (Shieber et al., 1983), Categorial Unification Grammar (Uszkoreit, 1986), Generalized Phrase-Structure Grammar (Gazdar et al., 1982), Gemini differs from other unification formalisms in the following ways.</S><S sid = NA ssid = NA>GEMINI: A Natural Language System For Spoken-Language Understanding</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P93-1008.txt | Citing Article:  N04-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Open Agent Architecture (Martin et al 1999) for communication between agents based on the Nuance speech recognizer, the Gemini natural language system (Dowding et al 1993), and Festival speech synthesis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>GEMINI: A Natural Language System For Spoken-Language Understanding</S><S sid = NA ssid = NA>This formalism is related directly to the Core Language Engine, but more conceptually it is closely related to that of other unification-based grammar formalisms with a context-free skeleton, such as PATR-II (Shieber et al., 1983), Categorial Unification Grammar (Uszkoreit, 1986), Generalized Phrase-Structure Grammar (Gazdar et al., 1982), Gemini differs from other unification formalisms in the following ways.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P93-1008.txt | Citing Article:  W06-3405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, we are developing an interface to a new large-vocabulary version of the Gemini parser (Dowding et al, 1993) which will allow us to use semantic parse information as features in the individual sub-class classifiers, and also to extract entity and event representations from the classified utterances for automatic addition of entries to calendars and to-do lists.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Processing starts in Gemini when syntactic, semantic, and lexical rules are applied by a bottom-up all-paths constituent parser to populate a chart with edges containing syntactic, semantic, and logical form information.</S><S sid = NA ssid = NA>The scoping algorithm that we use combines syntactic and semantic information with a set of quantifier scoping preference rules to rank the possible scoped logical forms consistent with the quasi-logical form selected by parse preferences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P93-1008.txt | Citing Article:  W03-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Questions are posed to GeoLogica in a subset of English and translated into logic by a natural language parser, the system Gemini (Dowding et al, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>GEMINI: A Natural Language System For Spoken-Language Understanding</S><S sid = NA ssid = NA>Gemini is a natural language (NL) understanding system developed for spoken language applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P93-1008.txt | Citing Article:  P06-3015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is contrasted with the all-paths bottom-up strategy in GEMINI (Dowding et al 1993) that finds all admissable edges of the grammar.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Processing starts in Gemini when syntactic, semantic, and lexical rules are applied by a bottom-up all-paths constituent parser to populate a chart with edges containing syntactic, semantic, and logical form information.</S><S sid = NA ssid = NA>This formalism is related directly to the Core Language Engine, but more conceptually it is closely related to that of other unification-based grammar formalisms with a context-free skeleton, such as PATR-II (Shieber et al., 1983), Categorial Unification Grammar (Uszkoreit, 1986), Generalized Phrase-Structure Grammar (Gazdar et al., 1982), Gemini differs from other unification formalisms in the following ways.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P93-1008.txt | Citing Article:  C04-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To handle the ASR results of disfluent utterances, we employ SRI's Gemini robust language parser (Dowding et al, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe a robust system can still recognize and disprefer utterances containing recognition errors.</S><S sid = NA ssid = NA>GEMINI: A Natural Language System For Spoken-Language Understanding</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P93-1008.txt | Citing Article:  N04-3003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most likely hypothesis is input to SRI's Gemini natural language parser/generator (Dowding et al. 1993), which attempts to parse the speech recognition output.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>GEMINI: A Natural Language System For Spoken-Language Understanding</S><S sid = NA ssid = NA>Gemini is a natural language (NL) understanding system developed for spoken language applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P93-1008.txt | Citing Article:  P04-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The dialogue system uses the Nuance 8.0 speech recognizer with language models compiled from a grammar (written using the Gemini system (Dowding et al, 1993)), which is also used for parsing and generation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The approach taken in Gemini differs in that the utterance grammar uses the same syntactic and semantic rule formalism used by the constituent grammar.</S><S sid = NA ssid = NA>All three are written in a variant of the unification formalism used in the Core Language Engine (Alshawi, 1992) .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P93-1008.txt | Citing Article:  A94-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Annotating sub-constituents with grammatical relations regularizes the syntactic structure with respect to particular grammatical rules, and allows a 'relation-to-relation' form of compositionality, as opposed to the more traditional 'rule-to-rule' version that is exemplified by such systems as Gemini (Dowding et al 1993) and the Core Language Engine (Alshawi, 1992).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All three are written in a variant of the unification formalism used in the Core Language Engine (Alshawi, 1992) .</S><S sid = NA ssid = NA>Semantic rules are written in much the same rule format, except that in a semantic rule, each of the constituents mentioned in the phrase structure skeleton is associated with a logical form.</S> | Discourse Facet:  NA | Annotator: Automatic


