Citance Number: 1 | Reference Article:  W07-2014.txt | Citing Article:  W07-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The 2007 TempEval competition tries to address this question by establishing a common corpus on which research systems can compete to find temporal relations (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S><S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W07-2014.txt | Citing Article:  P09-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to drive forward research on temporal relation identification, the SemEval 2007 shared task (Verhagen et al, 2007) (TempEval) included the following three tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S><S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W07-2014.txt | Citing Article:  P08-2045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Much recent work on temporal relations revolved around the TimeBank and TempEval (Verhagen et al., 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S><S sid = NA ssid = NA>This capability is crucial to a wide range of NLP applications, from document summarization and question answering to machine translation.Recent work on the annotation of events and temporal relations has resulted in both a de-facto stan dard for expressing these relations and a hand-builtgold standard of annotated texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W07-2014.txt | Citing Article:  S10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After several evaluation campaigns targeted at temporal processing of text, such as MUC, ACE TERN and TempEval-1 (Verhagen et al, 2007), the recognition and normalization task has been again newly reintroduced in TempEval-2 (Pustejovsky& amp; Verhagen, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S><S sid = NA ssid = NA>Temporal processing is inte grated into a more generic tool, a general purpose linguistic analyzer, and is thus a complement for a better general purpose text understanding system.Temporal analysis is intertwined with syntacticosemantic text processing like deep syntactic analysis and determination of thematic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W07-2014.txt | Citing Article:  P10-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Temporal information processing is a topic of natural language processing boosted by recent evaluation campaigns like TERN2004,1 TempEval-1 (Verhagen et al, 2007) and the forthcoming TempEval-22 (Pustejovsky and Verhagen, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All sentence tags in the TempEval data are automatically created using the Alembic Natural Language processing tools.</S><S sid = NA ssid = NA>TimeBank (Pustejovsky et al, 2003b; Boguraev et al., forthcoming) was originally conceived of as aproof of concept that illustrates the TimeML lan guage, but has since gone through several rounds of revisions and can now be considered a gold standard for temporal information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W07-2014.txt | Citing Article:  E12-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>TempEval (Verhagen et al 2007), in 2007, and more recently TempEval-2 (Verhagen et al 2010), in 2010, were concerned with this problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S><S sid = NA ssid = NA>TimeBank (Pustejovsky et al, 2003b; Boguraev et al., forthcoming) was originally conceived of as aproof of concept that illustrates the TimeML lan guage, but has since gone through several rounds of revisions and can now be considered a gold standard for temporal information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W07-2014.txt | Citing Article:  W09-2422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A first attempt to standardize this task was the 2007 TempEval competition (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S><S sid = NA ssid = NA>TimeBank (Pustejovsky et al, 2003b; Boguraev et al., forthcoming) was originally conceived of as aproof of concept that illustrates the TimeML lan guage, but has since gone through several rounds of revisions and can now be considered a gold standard for temporal information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W07-2014.txt | Citing Article:  N10-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>TempEval07 (Verhagen et al, 2007) integrated 14 TLINK relations into three: before, after, and.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>? TLINK.</S><S sid = NA ssid = NA>This is a simplified version of the TimeML TLINK tag.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W07-2014.txt | Citing Article:  N10-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous research such as Verhagen et al (2007) using three reltions as target relations showed from 60% to 80% performance according to TLINKtypes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S><S sid = NA ssid = NA>For task B, the scores range from 0.66 to 0.80 (strict) and 0.71 to 0.81 (relaxed).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W07-2014.txt | Citing Article:  P12-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A previous module for temporal analysis was developed and integrated into the English grammar (Hagege and Tannier, 2008), and evaluated during TempEval campaign (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Instead the entire timeline must be evaluated.</S><S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W07-2014.txt | Citing Article:  P12-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although we have not yet evaluated our tagging of relative dates, the system on which our current date normalization is based achieved good results in the TempEval (Verhagen et al., 2007) campaign.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The relative position between the tar get EVENT and a word in the target TIMEX3 is used as a feature for a machine learning based relation identifier.</S><S sid = NA ssid = NA>Instead the entire timeline must be evaluated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W07-2014.txt | Citing Article:  W07-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The TempEval track consists of three different tasks described in (Verhagen et al 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Six teams participated in the TempEval tasks.</S><S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W07-2014.txt | Citing Article:  S10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The relevance of temporal information has been reflected in specialized conferences (Schilder et al, 2007) and evaluation forums (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TimeBank (Pustejovsky et al, 2003b; Boguraev et al., forthcoming) was originally conceived of as aproof of concept that illustrates the TimeML lan guage, but has since gone through several rounds of revisions and can now be considered a gold standard for temporal information.</S><S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W07-2014.txt | Citing Article:  W07-2098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>See (Verhagen et al, 2007) for details.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>details.</S><S sid = NA ssid = NA>See the TimeML specifications and guidelines for further details on this tag and its attributes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W07-2014.txt | Citing Article:  W07-2098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Accordingly, the performance results given in (Verhagen et al, 2007) are reported using metrics of precision, recall and F-measure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For the relaxed scoring scheme, precision and recall are defined as Precision = Rcw/R Recall = Rcw/K where Rcw reflects the weighted number of correctanswers.</S><S sid = NA ssid = NA>For example, assigning VAGUE as the relation type for every temporal relation results in a precision of 0.33.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W07-2014.txt | Citing Article:  S10-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mani et al (2006), Chambers et al (2007) and some of the TempEval 2007 participants (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>TimeML and TimeBank have already been used as the basis for automatic time, event and temporal relation annotation tasks in a number of research projects in recent years (Mani et al, 2006; Boguraev et al, forthcoming).An open evaluation challenge in the area of temporal annotation should serve to drive research forward, as it has in other areas of NLP.</S><S sid = NA ssid = NA>TimeBank (Pustejovsky et al, 2003b; Boguraev et al., forthcoming) was originally conceived of as aproof of concept that illustrates the TimeML lan guage, but has since gone through several rounds of revisions and can now be considered a gold standard for temporal information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W07-2014.txt | Citing Article:  S10-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The main challenges involved in this task were first addressed during TempEval-1 in 2007 (Verhagen et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 15: TempEval Temporal Relation Identification</S><S sid = NA ssid = NA>For task C, there was an extra annotation phase where the main events were marked up.</S> | Discourse Facet:  NA | Annotator: Automatic


