Citance Number: 1 | Reference Article:  D08-1031.txt | Citing Article:  P09-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Descriptions of the methods for computing these features are described next.</S><S sid = 202 ssid = >This work is partly supported by NSF grant SoD-HCER-0613885 and a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  D08-1031.txt | Citing Article:  P10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Inaddition, the architecture and system components of Reconcile (including a comprehensive set of features that draw on the expertise of state-of-the-art supervised learning approaches, such as Bengtson and Roth (2008)) result in performance closer to the state-of-the-art.</S> | Reference Offset:  ['146','197'] | Reference Text:  <S sid = 146 ssid = >Our results show that a pairwise model with strong features outperforms a state-of-the-art system with a more complex model.</S><S sid = 197 ssid = >We described and evaluated a state-of-the-art coreference system based on a pairwise model and strong features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D08-1031.txt | Citing Article:  P10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Descriptions of the methods for computing these features are described next.</S><S sid = 202 ssid = >This work is partly supported by NSF grant SoD-HCER-0613885 and a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D08-1031.txt | Citing Article:  W11-1904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Building on elements of the coreference system described in Bengtson and Roth (2008), we design an end-to-end system (Sec. 2) that identifies candidate mentions and then applies one of two inference protocols, Best-Link and All-Link (Sec. 2.3), to disambiguate and cluster them.</S> | Reference Offset:  ['31','196'] | Reference Text:  <S sid = 31 ssid = >Best-Link was shown to outperform Closest-Link in an experiment by Ng and Cardie (2002b).</S><S sid = 196 ssid = >The results of our end-to-end coreference system are shown in Table 7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D08-1031.txt | Citing Article:  W11-1904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Illinois-Coref follows the architecture used in Bengtson and Roth (2008).</S> | Reference Offset:  ['6','117'] | Reference Text:  <S sid = 6 ssid = >We suggest that our system can be used as a baseline for the development of more complex models – which may have less impact when a more robust set of features is used.</S><S sid = 117 ssid = >Distances have been used in e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D08-1031.txt | Citing Article:  W11-1904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the ACE 2004 coreference task, a good performance in mention detection is typically achieved by training a classifier e.g., (Bengtson and Roth, 2008).</S> | Reference Offset:  ['38','120'] | Reference Text:  <S sid = 38 ssid = >The ACE training data provides the equivalence classes for mentions.</S><S sid = 120 ssid = >We use the official ACE 2004 English training data (NIST, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D08-1031.txt | Citing Article:  W11-1904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the same features as Bengtson and Roth (2008), with the knowledge extracted from the OntoNotes-4.0 annotation.</S> | Reference Offset:  ['46','181'] | Reference Text:  <S sid = 46 ssid = >We learn the pairwise coreference function using an averaged perceptron learning algorithm (Freund and Schapire, 1998) – we use the regularized version in Learning Based Java2 (Rizzolo and Roth, 2007).</S><S sid = 181 ssid = >This type of example may require some additional world knowledge or deeper comprehension of the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D08-1031.txt | Citing Article:  W11-1904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although its strategy is simple, Bengtson and Roth (2008) show that with a careful design, it can achieve highly competitive performance.</S> | Reference Offset:  ['4','16'] | Reference Text:  <S sid = 4 ssid = >This paper describes a rather simple pairwise classification model for coreference resolution, developed with a well-designed set of features.</S><S sid = 16 ssid = >This paper introduces a rather simple but stateof-the-art system, which we intend to be used as a strong baseline to evaluate the impact of structural innovations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D08-1031.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, a memorization feature is a word pair composed of the head nouns of the two NPs involved in an instance (Bengtson and Roth, 2008).</S> | Reference Offset:  ['98','112'] | Reference Text:  <S sid = 98 ssid = >To enable the system to learn such patterns, we treat the presence or absence of each pair of final head nouns, one from each mention of an example, as a feature.</S><S sid = 112 ssid = >These features are boolean: For any given pair, a feature is active if that pair describes the example.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D08-1031.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For an empirical evaluation of the contribution of a subset of these features to the mention-pair model, see Bengtson and Roth (2008).</S> | Reference Offset:  ['112','195'] | Reference Text:  <S sid = 112 ssid = >These features are boolean: For any given pair, a feature is active if that pair describes the example.</S><S sid = 195 ssid = >Although this evaluation is lenient, given that the mention detection component performs at over 90% F1, we believe it provides a realistic measure for the performance of the end-to-end system and focuses the evaluation on the coreference component.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D08-1031.txt | Citing Article:  W11-1910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >Descriptions of the methods for computing these features are described next.</S><S sid = 202 ssid = >This work is partly supported by NSF grant SoD-HCER-0613885 and a grant from Boeing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D08-1031.txt | Citing Article:  N10-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the state-of-the-art coreference resolution system of (Bengtson and Roth, 2008) to identify the canonical entities for pronouns and extract features accordingly.</S> | Reference Offset:  ['0','197'] | Reference Text:  <S sid = 0 ssid = >Understanding the Value of Features for Coreference Resolution</S><S sid = 197 ssid = >We described and evaluated a state-of-the-art coreference system based on a pairwise model and strong features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D08-1031.txt | Citing Article:  W12-4513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that we solve the above Best-Link inference using an efficient algorithm (Bengtson and Roth, 2008) which runs in time quadratic in the number of mentions.</S> | Reference Offset:  ['31','119'] | Reference Text:  <S sid = 31 ssid = >Best-Link was shown to outperform Closest-Link in an experiment by Ng and Cardie (2002b).</S><S sid = 119 ssid = >However, we are not aware of any system using the number of compatible mentions as a distance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D08-1031.txt | Citing Article:  W12-4513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The baseline system applies the strategy in (Bengtson and Roth, 2008, Section 2.2) to learn the pairwise scoring functions using the Averaged Perceptron algorithm.</S> | Reference Offset:  ['46','139'] | Reference Text:  <S sid = 46 ssid = >We learn the pairwise coreference function using an averaged perceptron learning algorithm (Freund and Schapire, 1998) – we use the regularized version in Learning Based Java2 (Rizzolo and Roth, 2007).</S><S sid = 139 ssid = >We train a regularized average perceptron using examples selected as described in Section 2.2.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D08-1031.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Among them the mention pair model (McCarthy and Lehnert, 1995) is one of the most influential ones and can achieve the state of-the-art performance (Bengtson and Roth, 2008).</S> | Reference Offset:  ['146','197'] | Reference Text:  <S sid = 146 ssid = >Our results show that a pairwise model with strong features outperforms a state-of-the-art system with a more complex model.</S><S sid = 197 ssid = >We described and evaluated a state-of-the-art coreference system based on a pairwise model and strong features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D08-1031.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Best-first clustering has been previously studied by Ng and Cardie (2002) and Bengtson and Roth (2008) and found to be effective.</S> | Reference Offset:  ['31','42'] | Reference Text:  <S sid = 31 ssid = >Best-Link was shown to outperform Closest-Link in an experiment by Ng and Cardie (2002b).</S><S sid = 42 ssid = >This is similar to the technique of Ng and Cardie (2002b).</S> | Discourse Facet:  NA | Annotator: Automatic


