Citance Number: 1 | Reference Article:  P05-3026.txt | Citing Article:  N07-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Because of the fundamental nature of the semantic similarity problem, there are close connections with other areas of human language technologies such as information retrieval (Salton and Lesk, 1971), text alignment in machine translation (Jayaraman and Lavie, 2005), text summarization (Mani and Maybury, 1999), and textual coherence (Foltz et al, 1998).</S> | Reference Offset:  ['11','30'] | Reference Text:  <S sid = 11 ssid = >Attempts at combining the output of different systems have proved useful in other areas of language technologies, such as the ROVER approach for speech recognition (Fiscus 1997).</S><S sid = 30 ssid = >Each hypothesis translation is assigned a score based on the alignment information, the confidence of the individual systems, and a language model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P05-3026.txt | Citing Article:  W09-0408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system is an enhancement of our previous work (Jayaraman and Lavie, 2005).</S> | Reference Offset:  ['43','62'] | Reference Text:  <S sid = 43 ssid = >After the matcher has word aligned the original system translations, the decoder goes to work.</S><S sid = 62 ssid = >Each iteration expands the previous set of partial hypotheses, resulting in a large space of complete synthetic hypotheses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P05-3026.txt | Citing Article:  W09-0408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The algorithm is described fully by Jayaraman and Lavie (2005).</S> | Reference Offset:  ['16','100'] | Reference Text:  <S sid = 16 ssid = >The alignment algorithm described in that work, which only allows insertions, deletions and substitutions, does not accurately capture long range phrase movement.</S><S sid = 100 ssid = >Furthermore, our MEMT algorithm produces hypotheses that are of yet even better quality, but our current scoring algorithm is not yet able to effectively select the best hypothesis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-3026.txt | Citing Article:  P07-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, a more heuristic alignment method has been proposed in a different system combination approach (Jayaraman and Lavie, 2005).</S> | Reference Offset:  ['8','28'] | Reference Text:  <S sid = 8 ssid = >Each approach and system has different advantages and disadvantages.</S><S sid = 28 ssid = >MEMT first aligns the words of the different translation systems using a word alignment matcher.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-3026.txt | Citing Article:  D09-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other than confusion-network-based algorithms, work most closely related to ours is the method of MT system combination proposed in (Jayaraman and Lavie 2005), which we will refer to as J&L.</S> | Reference Offset:  ['17','91'] | Reference Text:  <S sid = 17 ssid = >In this paper, we propose a new way of combining the translations of multiple MT systems based on a more versatile word alignment algorithm.</S><S sid = 91 ssid = >METEOR produces scores in the range of [0,1], based on a combination of unigram precision, unigram recall and an explicit penalty related to the average length of matched segments between the evaluated translation and its reference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-3026.txt | Citing Article:  P09-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Jayaraman and Lavie (2005) proposed a heuristic-based matching algorithm which allows non monotonic alignments to align the words between the hypotheses.</S> | Reference Offset:  ['38','41'] | Reference Text:  <S sid = 38 ssid = >To simultaneously align more than two sentences, the matcher simply produces alignments for all pair-wise combinations of the set of sentences.</S><S sid = 41 ssid = >Second, the alignment information allows the algorithm to ensure that aligned words are not included in a synthetic combination more than once.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-3026.txt | Citing Article:  D07-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Jayaraman and Lavie, 2005) proposed another black-box system combination strategy.</S> | Reference Offset:  ['3','12'] | Reference Text:  <S sid = 3 ssid = >Our approach uses the individual MT engines as “black boxes” and does not require any explicit cooperation from the original MT systems.</S><S sid = 12 ssid = >Several approaches to multi-engine machine translation systems have been proposed over the past decade.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-3026.txt | Citing Article:  D08-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Karakos, et al (2008) proposed an ITG based method for hypothesis alignment, Rosti et al (2008) proposed an incremental alignment method, and a heuristic-based matching algorithm was proposed by Jayaraman and Lavie (2005).</S> | Reference Offset:  ['13','88'] | Reference Text:  <S sid = 13 ssid = >The Pangloss system and work by several other researchers attempted to combine lattices from many different MT systems (Frederking et Nirenburg 1994, Frederking et al 1997; Tidhar & Küssner 2000; Lavie, Probst et al. 2004).</S><S sid = 88 ssid = >All the system performances are measured using the METEOR evaluation metric (Lavie, Sagae et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


