Citance Number: 1 | Reference Article:  N09-1028.txt | Citing Article:  P14-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another similar work is that of (Xu et al, 2009). They created a pre-ordering rule set for dependency parsers from English to several SOV languages.</S> | Reference Offset:  ['56','122'] | Reference Text:  <S sid = 56 ssid = >These children have some relative ordering that is typically fixed for SOV languages.</S><S sid = 122 ssid = >They also focus on either Chinese to English (Zhang et.al., 2007; Li et.al., 2007) or English to Danish (Elming, 2008), which arguably have less long distance reordering than between English and SOV languages.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N09-1028.txt | Citing Article:  W10-1736.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, Xu et al (2009) and Hong et al (2009) proposed rule-based preprocessing methods for SOV languages.</S> | Reference Offset:  ['123','124'] | Reference Text:  <S sid = 123 ssid = >Studies most similar to ours are those preprocessing reordering approaches (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007).</S><S sid = 124 ssid = >They all perform reordering during preprocessing based on either automatically extracted syntactic rules (Xia and McCord, 2004; Habash, 2007) or manually written rules (Collins et.al., 2005; Wang et.al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N09-1028.txt | Citing Article:  W10-1736.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hong et al (2009) used Stanford parser (de Marneffe et al, 2006), which outputs semantic head based dependencies; Xu et al (2009) also used the same representation.</S> | Reference Offset:  ['18','24'] | Reference Text:  <S sid = 18 ssid = >It has been shown that direct modeling of target language constituents movement in either constituency trees (Yamada and Knight, 2001; Galley et.al., 2006; Zollmann et.al., 2008) or dependency trees (Quirk, et.al., 2005) can result in significant improvements in translation quality for translating languages like Chinese and Arabic into English.</S><S sid = 24 ssid = >Syntactical analysis of source language can be used to deterministically reorder input sentences (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007), or to provide multiple orderings as weighted options (Zhang et.al., 2007; Li et.al., 2007; Elming, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N09-1028.txt | Citing Article:  W10-1736.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Xu et al (2009) used a semantic head-based dependency parser for a similar purpose.</S> | Reference Offset:  ['123','205'] | Reference Text:  <S sid = 123 ssid = >Studies most similar to ours are those preprocessing reordering approaches (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007).</S><S sid = 205 ssid = >In this paper, we present a novel precedence reordering approach based on a dependency parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N09-1028.txt | Citing Article:  W10-1736.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Reversing the children order (Xu et al, 2009) reconnects is and popular.</S> | Reference Offset:  ['60','62'] | Reference Text:  <S sid = 60 ssid = >The type of order is only used when we have multiple children with the same weight, while the weight is used to determine the relative order of the children, going from largest to smallest.</S><S sid = 62 ssid = >The order type NORMAL means we preserve the original order of the children, while REVERSE means we flip the order.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N09-1028.txt | Citing Article:  C10-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We obtained four more sets of alignments from the Berkeley aligner (BA) (Liang et al, 2006), the HMM aligner (HA) (Vogel et al, 1996), the alignment based on partial words (PA), and alignment based on dependency based reordering (DA) (Xu et al,2009).</S> | Reference Offset:  ['14','24'] | Reference Text:  <S sid = 14 ssid = >Along this line of research, discriminative reordering models based on a maximum entropy classifier (Zens and Ney, 2006; Xiong, et.al., 2006) also showed improvements over the distance based distortion model.</S><S sid = 24 ssid = >Syntactical analysis of source language can be used to deterministically reorder input sentences (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007), or to provide multiple orderings as weighted options (Zhang et.al., 2007; Li et.al., 2007; Elming, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N09-1028.txt | Citing Article:  C10-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xu et al, 2009) showed that translation between subject-verb-object (English) and subject-object-verb (Pashto) languages can be improved by reordering the source side of the parallel data.</S> | Reference Offset:  ['0','7'] | Reference Text:  <S sid = 0 ssid = >Using a Dependency Parser to Improve SMT for Subject-Object-Verb Languages</S><S sid = 7 ssid = >However, when phrase-based systems are used between languages with very different word orders, such as between subject-verb-object (SVO) and subject-object-verb (SOV) languages, long distance reordering becomes one of the key weaknesses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N09-1028.txt | Citing Article:  C10-2095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Using the rules and algorithm described in (Xu et al, 2009) we reordered all of the source side and used GIZA++ to align the sentences.</S> | Reference Offset:  ['24','25'] | Reference Text:  <S sid = 24 ssid = >Syntactical analysis of source language can be used to deterministically reorder input sentences (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007), or to provide multiple orderings as weighted options (Zhang et.al., 2007; Li et.al., 2007; Elming, 2008).</S><S sid = 25 ssid = >In these approaches, input source sentences are reordered based on syntactic analysis and some reordering rules at preprocessing step.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N09-1028.txt | Citing Article:  P11-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared with flat phrases, syntactic rules are good at capturing global reordering, which has been reported to be essential for translating between languages with substantial structural differences, such as English and Japanese, which is a subject-object verb language (Xu et al, 2009).</S> | Reference Offset:  ['3','125'] | Reference Text:  <S sid = 3 ssid = >For a set of five subject-object-verb (SOV) order languages, we show significant improvements in BLEU scores when translating from English, compared to other reordering approaches, in state-of-the-art phrase-based SMT systems.</S><S sid = 125 ssid = >Compared to these approaches, our work has a few differences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N09-1028.txt | Citing Article:  W10-1762.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Xu et al (2009) utilized a dependency parser with several hand-labeled precedence rules for reordering English to subject-object-verb order like Korean and Japanese.</S> | Reference Offset:  ['0','167'] | Reference Text:  <S sid = 0 ssid = >Using a Dependency Parser to Improve SMT for Subject-Object-Verb Languages</S><S sid = 167 ssid = >In order to implement the precedence rules, we need a dependency parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N09-1028.txt | Citing Article:  W11-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work by Xu et al (2009) is the closest to our approach.</S> | Reference Offset:  ['24','125'] | Reference Text:  <S sid = 24 ssid = >Syntactical analysis of source language can be used to deterministically reorder input sentences (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007), or to provide multiple orderings as weighted options (Zhang et.al., 2007; Li et.al., 2007; Elming, 2008).</S><S sid = 125 ssid = >Compared to these approaches, our work has a few differences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N09-1028.txt | Citing Article:  W11-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our approach is a true tree-to-string model and differs from (Xu et al, 2009), which uses trees only as an intermediate representation to rearrange the original sentences.</S> | Reference Offset:  ['133','220'] | Reference Text:  <S sid = 133 ssid = >Fourth, we use dependency parse trees rather than constituency trees.</S><S sid = 220 ssid = >Along this line of research, we think some kind of tree-to-string model (Liu et.al., 2006) could be interesting directions to pursue.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N09-1028.txt | Citing Article:  D11-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a superset of the reordering rules proposed by Xu et al (2009), which flatten a dependency tree into SOV word order that is suitable for all three languages.</S> | Reference Offset:  ['57','176'] | Reference Text:  <S sid = 57 ssid = >In order to describe this kind of ordering, we propose precedence reordering rules based on a dependency parse tree.</S><S sid = 176 ssid = >One of our motivations of using the precedence reordering rules is that English will look like SOV languages in word order after reordering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N09-1028.txt | Citing Article:  P11-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On Web text, Xu et al (2009) report significant improvements applying one set of hand-crafted rules to translation from English to each of five SOV languages: Korean, Japanese, Hindi, Urdu and Turkish.</S> | Reference Offset:  ['32','206'] | Reference Text:  <S sid = 32 ssid = >Then, we show experimental results of applying this approach to phrasebased SMT systems for translating from English to five SOV languages (Korean, Japanese, Hindi, Urdu and Turkish).</S><S sid = 206 ssid = >We successfully applied this approach to systems translating English to 5 SOV languages: Korean, Japanese, Hindi, Urdu and Turkish.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N09-1028.txt | Citing Article:  W11-2102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Collins et al (2005a) and Wang (2007), Xu et al (2009) showed that when translating from English to Japanese (and to other SOV languages such as Korean and Turkish) applying reordering as a preprocessing step that manipulates a source sentence parse tree can significantly outperform state-of-the-art phrase-based and hierarchical machine translation systems.</S> | Reference Offset:  ['123','124'] | Reference Text:  <S sid = 123 ssid = >Studies most similar to ours are those preprocessing reordering approaches (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007).</S><S sid = 124 ssid = >They all perform reordering during preprocessing based on either automatically extracted syntactic rules (Xia and McCord, 2004; Habash, 2007) or manually written rules (Collins et.al., 2005; Wang et.al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N09-1028.txt | Citing Article:  W11-2102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >During both training and testing, the system reorders source-language sentences in a preprocessing step using a set of rules written in the framework proposed by (Xu et al, 2009) that reorder an English dependency tree into target word order.</S> | Reference Offset:  ['25','135'] | Reference Text:  <S sid = 25 ssid = >In these approaches, input source sentences are reordered based on syntactic analysis and some reordering rules at preprocessing step.</S><S sid = 135 ssid = >In this work, a global word order model is proposed based on features including word bigram of the target sentence, displacements and POS tags on both source and target sides.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N09-1028.txt | Citing Article:  W11-2102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >R5 Superset of rules from (Xu et al., 2009).</S> | Reference Offset:  ['24','124'] | Reference Text:  <S sid = 24 ssid = >Syntactical analysis of source language can be used to deterministically reorder input sentences (Xia and McCord, 2004; Collins et.al., 2005; Wang et.al., 2007; Habash, 2007), or to provide multiple orderings as weighted options (Zhang et.al., 2007; Li et.al., 2007; Elming, 2008).</S><S sid = 124 ssid = >They all perform reordering during preprocessing based on either automatically extracted syntactic rules (Xia and McCord, 2004; Habash, 2007) or manually written rules (Collins et.al., 2005; Wang et.al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


