Citance Number: 1 | Reference Article:  W02-2026.txt | Citing Article:  P06-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This idea is similar to translation lexicon extraction via a bridge language (Schafer and Yarowsky, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multipath translation induction via bridge languages.</S><S sid = NA ssid = NA>No seed dictionary is required between English and the language of interest; a sizeable dictionary between the bridge language and English is necessary.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W02-2026.txt | Citing Article:  P07-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pivot Language methods were also used for translation dictionary induction (Schafer and Yarowsky, 2002), word sense disambiguation (Diab and Resnik, 2002), and so on.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>No seed dictionary is required between English and the language of interest; a sizeable dictionary between the bridge language and English is necessary.</S><S sid = NA ssid = NA>Multipath translation induction via bridge languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W02-2026.txt | Citing Article:  W09-0431.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schafer and Yarowsky (2002) induced translation lexicons for languages without common parallel corpora using a bridge language that is related to the target languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Inducing Translation Lexicons Via Diverse Similarity Measures And Bridge Languages</S><S sid = NA ssid = NA>Multipath translation induction via bridge languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-2026.txt | Citing Article:  P07-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, researchers have automatically developed translation lexicons by seeing if words from each language have similar frequencies, contexts (Koehn and Knight, 2002), burstiness, inverse document frequencies, and date distributions (Schafer and Yarowsky, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Inducing Translation Lexicons Via Diverse Similarity Measures And Bridge Languages</S><S sid = NA ssid = NA>For each language task, English news data was marked as originating either locally or non'Words with length < 5 characters were excluded. locally with respect to areas where the language is spoken, in order to facilitate computation of datedistributional similarities across both strongly related, same-region news sources (date-local) and a general, worldwide aggregate news corpus (date-all).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-2026.txt | Citing Article:  D10-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lexicon induction methods for closely related languages using phonetic similarity have been proposed by Mann and Yarowsky (2001) and Schafer and Yarowsky (2002), and applied to Swiss German data by Scherrer (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mann, G. and D. Yarowsky, 2001.</S><S sid = NA ssid = NA>Multipath translation induction via bridge languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-2026.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, Schafer and Yarowsky (2002) demonstrated that word translations tend to co occur in time across languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Correct translations are shown in bold.</S><S sid = NA ssid = NA>Multipath translation induction via bridge languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-2026.txt | Citing Article:  E12-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Various other similarity scores can be computed depending on the available monolingual data and its associated meta data (see, e.g. Schafer and Yarowsky (2002)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The corpora used here are composed of news data, the majority of which was downloaded from the internet.</S><S sid = NA ssid = NA>Our goal was to learn translation lexicons using resources that are available on the internet at no monetary cost.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-2026.txt | Citing Article:  I08-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This can be accomplished as in Rapp (1999) and Schafer and Yarowsky (2002) by creating bag-of-words context vectors around both the source and target language words and then projecting the source vectors into the (English) target space via the current small translation dictionary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>No seed dictionary is required between English and the language of interest; a sizeable dictionary between the bridge language and English is necessary.</S><S sid = NA ssid = NA>The Serbian/Gujarati vocabularies we used were built by extracting all word types from the respective corpora, then filtering out lowfrequency words (since our similarity models require reliable corpus statistics) and very short words' (use of string distance to propose cognate candidates for very short words was seen to be unreliable in preliminary experiments).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-2026.txt | Citing Article:  P10-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schafer and Yarowsky (2002) created lexicons between English and a target local language (e.g. Gujarati) using a related language (e.g. Hindi) as pivot.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>No seed dictionary is required between English and the language of interest; a sizeable dictionary between the bridge language and English is necessary.</S><S sid = NA ssid = NA>The Hindi-English dictionary contained around 74K pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-2026.txt | Citing Article:  N07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pivot-based methods have also been used in other related areas, such as translation lexicon induction (Schafer and Yarowsky, 2002), word alignment (Wang et al, 2006), and cross language information retrieval (Gollins and Sanderson, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mann, G. and D. Yarowsky, 2001.</S><S sid = NA ssid = NA>Multipath translation induction via bridge languages.</S> | Discourse Facet:  NA | Annotator: Automatic


