Citance Number: 1 | Reference Article:  P08-2012.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >Thanks to the following members of the Stanford NLP reading group for helpful discussion: Sharon Goldwater, Michel Galley, Anna Rafferty.</S><S sid = 71 ssid = >This paper is based on work funded by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P08-2012.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As another example, Denis and Baldridge (2007) and Finkel and Manning (2008) perform joint inference for anaphoricity determination and coreference resolution, by using Integer Linear Programming (ILP) to enforce the consistency between the output of the anaphoricity classifier and that of the coreference classifier.</S> | Reference Offset:  ['17','68'] | Reference Text:  <S sid = 17 ssid = >For this goal, we put aside the anaphoricity classifier and focus on the pairwise classifier and transitivity constraints.</S><S sid = 68 ssid = >We showed how to use integer linear programming to encode transitivity constraints in a coreference classifier which models pairwise decisions over mentions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P08-2012.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second, we compare our cut-based approach with the five aforementioned approaches to anaphoricity determination (namely, Ng and Cardie (2002a), Ng (2004), Luo (2007), Denis and Baldridge (2007), and Finkel and Manning (2008)) in terms of their effectiveness in improving a learning-based coreference system.</S> | Reference Offset:  ['10','12'] | Reference Text:  <S sid = 10 ssid = >Much work that followed improved upon this strategy, by improving the features (Ng and Cardie, 2002b), the type of classifier (Denis and Baldridge, 2007), and changing mention links to be to the most likely antecedent rather than the most recent positively labeled antecedent (Ng and Cardie, 2002b).</S><S sid = 12 ssid = >Ng and Cardie (2002a) and Ng (2004) highlight the problem of determining whether or not common noun phrases are anaphoric.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-2012.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is worth noting, in particular, that Luo (2007), Denis and Baldridge (2007), and Finkel and Manning (2008) evaluate their approaches on true mentions extracted from the answer keys.</S> | Reference Offset:  ['22','58'] | Reference Text:  <S sid = 22 ssid = >When describing our model, we build upon the notation used by Denis and Baldridge (2007).</S><S sid = 58 ssid = >For comparison, we also give the results of the COREFILP system of Denis and Baldridge (2007), which was also based on a naive pairwise classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-2012.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >Thanks to the following members of the Stanford NLP reading group for helpful discussion: Sharon Goldwater, Michel Galley, Anna Rafferty.</S><S sid = 71 ssid = >This paper is based on work funded by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-2012.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Duplicated Finkel and Manning (2008) baseline.</S> | Reference Offset:  ['23','63'] | Reference Text:  <S sid = 23 ssid = >Our baseline systems are based on a logistic classifier over pairs of mentions.</S><S sid = 63 ssid = >When using the MUC scorer, the ILP system always did worse than the D&B-STYLE baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-2012.txt | Citing Article:  W09-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples include (Finkel and Manning, 2008), using VI, Rand index and clustering F-score for evaluating coreference resolution.</S> | Reference Offset:  ['54','61'] | Reference Text:  <S sid = 54 ssid = >However, coreference resolution is a clustering task, and many cluster scorers already exist.</S><S sid = 61 ssid = >For all three corpora, the ILP model beat both baselines for the cluster f-score, Rand index, and variation of information metrics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-2012.txt | Citing Article:  W09-1803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently Finkel and Manning (2008) show that the optimal ILP solution outperforms the first and best-link methods.</S> | Reference Offset:  ['14','31'] | Reference Text:  <S sid = 14 ssid = >More recently, Denis and Baldridge (2007) utilized an integer linear programming (ILP) solver to better combine the decisions made by these two complementary classifiers, by finding the globally optimal solution according to both classifiers.</S><S sid = 31 ssid = >The COREF-ILP model of Denis and Baldridge (2007) took a different approach at test time: for each mention they would work backwards and add a link for all previous mentions which the classifier deemed coreferent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-2012.txt | Citing Article:  W09-1803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >Thanks to the following members of the Stanford NLP reading group for helpful discussion: Sharon Goldwater, Michel Galley, Anna Rafferty.</S><S sid = 71 ssid = >This paper is based on work funded by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-2012.txt | Citing Article:  D10-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >Thanks to the following members of the Stanford NLP reading group for helpful discussion: Sharon Goldwater, Michel Galley, Anna Rafferty.</S><S sid = 71 ssid = >This paper is based on work funded by the Disruptive Technology Office (DTO) Phase III Program for Advanced Question Answering for Intelligence (AQUAINT).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-2012.txt | Citing Article:  W11-1917.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Extending Denis and Baldridge (2007) and Finkel and Manning (2008)'s work, we exploit loose transitivity constraints on coreference pairs.</S> | Reference Offset:  ['22','36'] | Reference Text:  <S sid = 22 ssid = >When describing our model, we build upon the notation used by Denis and Baldridge (2007).</S><S sid = 36 ssid = >Our D&B-STYLE baseline used the same test time method as Denis and Baldridge (2007), however at training time we created data for all mention pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-2012.txt | Citing Article:  W11-1917.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Extending (Denis and Baldridge, 2007) and (Finkel and Manning,2008)'s work, we introduce a loose selection strategy for transitivity constraints, attempting to overcome huge computation complexity brought by transitivity closure constraints.</S> | Reference Offset:  ['15','16'] | Reference Text:  <S sid = 15 ssid = >However, when encoding constraints into their ILP solver, they did not enforce transitivity.</S><S sid = 16 ssid = >The goal of the present work is simply to show that transitivity constraints are a useful source of information, which can and should be incorporated into an ILP-based coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-2012.txt | Citing Article:  W11-1917.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Klenner (2007) and Finkel and Manning (2008)'s work extended the ILP framework to support transitivity constraints.</S> | Reference Offset:  ['15','16'] | Reference Text:  <S sid = 15 ssid = >However, when encoding constraints into their ILP solver, they did not enforce transitivity.</S><S sid = 16 ssid = >The goal of the present work is simply to show that transitivity constraints are a useful source of information, which can and should be incorporated into an ILP-based coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-2012.txt | Citing Article:  P12-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Last, we note that transitive relations have been explored in adjacent fields such as Temporal Information Extraction (Ling and Weld, 2010), Ontology Induction (Poon and Domingos, 2010), and Coreference Resolution (Finkel and Manning, 2008).</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Enforcing Transitivity in Coreference Resolution</S><S sid = 8 ssid = >Transitive closure in this model was done implicitly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-2012.txt | Citing Article:  P11-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Transitivity was also used as an information source in other fields of NLP: Taxonomy Induction (Snow et al, 2006), Co-reference Resolution (Finkel and Manning, 2008), Temporal Information Extraction (Ling and Weld, 2010), and Unsupervised Ontology Induction (Poon and Domingos, 2010).</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Enforcing Transitivity in Coreference Resolution</S><S sid = 16 ssid = >The goal of the present work is simply to show that transitivity constraints are a useful source of information, which can and should be incorporated into an ILP-based coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-2012.txt | Citing Article:  E09-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >see (Finkel and Manning, 2008) for an alternative but equivalent formalization.</S> | Reference Offset:  ['32','59'] | Reference Text:  <S sid = 32 ssid = >This is equivalent to finding the most likely assignment to each x(i,j) in Equation 2.</S><S sid = 59 ssid = >They used an ILP solver to find an assignment for the variables, but as they note at the end of Section 5.1, it is equivalent to taking all links for which the classifier returns a probability > 0.5, and so the ILP solver is not really necessary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-2012.txt | Citing Article:  E09-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The model from (Finkel and Manning, 2008) utilizes transitivity, but not exclusivity.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Enforcing Transitivity in Coreference Resolution</S><S sid = 8 ssid = >Transitive closure in this model was done implicitly.</S> | Discourse Facet:  NA | Annotator: Automatic


