Citance Number: 1 | Reference Article:  L08-1093.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper considers differences in texts in the well known Penn TreeBank (hereafter, PTB) and in particular, how these differences show up in the Penn Discourse TreeBank (Prasad et al, 2008).</S> | Reference Offset:  ['0','69'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 69 ssid = >The latter called the interval-based approach considers the temporal mutual information in different time stamps.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  L08-1093.txt | Citing Article:  P13-1160.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The set of discourse connectives is taken from the Penn Discourse Treebank (Prasad et al, 2008), thus creating a list of 240 potential connectives.</S> | Reference Offset:  ['0','29'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 29 ssid = >The weblog is parsed into a set of collocations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  L08-1093.txt | Citing Article:  C10-2172.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently the release of the Penn Discourse TreeBank (PDTB) (Prasad et al, 2008) benefits the researchers with a large discourse annotated corpora, using a comprehensive scheme for both implicit and explicit relations.</S> | Reference Offset:  ['0','43'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 43 ssid = >In the event detection phase, we detect events by using the peak of temporal mutual information in time dimension.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  L08-1093.txt | Citing Article:  W11-2022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Penn Discourse Treebank (Prasad et al, 2008) (see Section 3.1 below) includes around 100 connective types, but the exact number varies across studies, 194 depending on the discourse theory used to classify them.</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 18 ssid = >Section 5 concludes the remarks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  L08-1093.txt | Citing Article:  W11-2022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the very few available discourse annotated corpora is the Penn Discourse Treebank (PDTB) in English (Prasad et al, 2008).</S> | Reference Offset:  ['0','68'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 68 ssid = >The former called the incremental approach measures the mutual information at each time point based on all available temporal information at that time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  L08-1093.txt | Citing Article:  W12-0117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the most important resources for discourse connectives in English is the Penn Discourse Treebank (Prasad et al, 2008).</S> | Reference Offset:  ['0','38'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 38 ssid = >The most important part in the preprocessing phase is collocation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  L08-1093.txt | Citing Article:  P11-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The last example in Table 1 is a sentence from the Penn Discourse Treebank (Prasad et al., 2008).</S> | Reference Offset:  ['0','56'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 56 ssid = >Figure 2 sketches an example.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  L08-1093.txt | Citing Article:  P11-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the few available discourse annotated corpora in English is the Penn Discourse Treebank (PDTB) (Prasad et al, 2008).</S> | Reference Offset:  ['0','68'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 68 ssid = >The former called the incremental approach measures the mutual information at each time point based on all available temporal information at that time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  L08-1093.txt | Citing Article:  P11-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Penn Discourse Treebank (PDTB) (Prasad et al, 2008) is such a corpus which provides a discourse-level annotation on top of the Penn Treebank, following a predicate argument approach (Webber, 2004).</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 6 ssid = >We compare our approach with the approach without considering the time interval.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  L08-1093.txt | Citing Article:  P13-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Later, with the release of manually annotated corpus, such as Penn Discourse Treebank 2.0 (PDTB) (Prasad et al, 2008), recent studies performed implicit discourse relation recognition on natural (i.e., genuine ) implicit discourse data (Pitler et al, 2009) (Lin et al,2009) (Wang et al, 2010) with the use of linguistically informed features and machine learning algorithms.</S> | Reference Offset:  ['0','119'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 119 ssid = >The experiments on ICWSM weblog data set and evaluation with wikipedia event lists at the same period as weblogs demonstrate the feasibility of the proposed temporal collocation model and event detection algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  L08-1093.txt | Citing Article:  P13-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['30','122'] | Reference Text:  <S sid = 30 ssid = >All collocations are processed and monitored to identify the plausible events.</S><S sid = 122 ssid = >Acknowledgments Research of this paper was partially supported by National Science Council, Taiwan (NSC96-2628-E-002 240-MY3) and Excellent Research Projects of National Taiwan University (96R0062-AE00-02).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  L08-1093.txt | Citing Article:  P13-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >PDTB (Prasad et al, 2008) is the largest hand annotated corpus of discourse relation so far.</S> | Reference Offset:  ['0','77'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 77 ssid = >On the other hand, the events specified in wikipedia are not always discussed in weblogs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  L08-1093.txt | Citing Article:  P12-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is also considered to be the anchor of discourse relations, in the sense of the Penn Discourse Treebank (PDT) (Prasad et al, 2008).</S> | Reference Offset:  ['0','14'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 14 ssid = >In the past, some useful collocation models (Manning & Sch?tze, 1999) have been proposed such as mean and variance, hypothesis test, mutual information, etc. Some works analyze the weblogs from the aspect of time like the dynamics of weblogs in time and location (Mei, et al, 2006), the weblog posting behavior (Doran, Griffith & Henderson, 2006; Hurst, 2006), the topic extraction (Oka, Abe & Kato, 2006), etc. The impacts of events on social media are also discussed, e.g., the change of weblogs after London attack (Thelwall, 2006), the relationship between the warblog and weblogs (Kim, 2005; Thompson, 2003), etc. This paper is organized as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  L08-1093.txt | Citing Article:  C10-3003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The goal is not only to annotate the data, but also to compare the representation of these relations in the Prague Dependency Treebank with the annotation done at the Penn Treebank, which was carried out at University of Pennsylvania (Prasad et al., 2008).</S> | Reference Offset:  ['0','87'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 87 ssid = >In Figure 6, we compare the two methods to detect the events in weblogs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  L08-1093.txt | Citing Article:  C10-3003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As described e.g. in Mladova et al. (2009), the annotation framework that we use is based on the knowledge obtained from studying various other systems, especially the Penn Discourse Treebank (Prasad et al., 2008), but naturally it has been adjusted to specific needs of the Czech language and PDT.</S> | Reference Offset:  ['0','35'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 35 ssid = >is described by the words Figure 1: An Example of Event Detection ?Typhoon?, ?Chanchu?, ?2k?, ?Eye?, ?Path?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  L08-1093.txt | Citing Article:  W12-2106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To attempt an answer to this question, we utilized the end-to-end discourse parser proposed by Lin et al (2010) to extract PDTB-styleddiscourse relations (Prasad et al, 2008) from RT data.</S> | Reference Offset:  ['0','119'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 119 ssid = >The experiments on ICWSM weblog data set and evaluation with wikipedia event lists at the same period as weblogs demonstrate the feasibility of the proposed temporal collocation model and event detection algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  L08-1093.txt | Citing Article:  P12-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the realm of discourse annotation, the Penn Discourse TreeBank (PDTB) (Prasad et al, 2008) separates itself by adopting a lexically grounded approach.</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >The Penn Discourse TreeBank 2.0.</S><S sid = 6 ssid = >We compare our approach with the approach without considering the time interval.</S> | Discourse Facet:  NA | Annotator: Automatic


