Citance Number: 1 | Reference Article:  P96-1008.txt | Citing Article:  P98-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The OVIS annotations are in contrast with other corpora and systems (e.g. Miller et al. 1996), in that our annotation convention exploits the Principle of Compositionality of Meaning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For details of the decoder, see (Miller 1996).</S><S sid = NA ssid = NA>Development of a complete end-to-end statistical understanding system has been the focus of several ongoing research efforts, including (Miller et al. 1995) and (Koppelman et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P96-1008.txt | Citing Article:  P09-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Miller et al (1996) approach is fully supervised and produces a final meaning representation in SQL.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Fully Statistical Approach To Natural Language Interfaces</S><S sid = NA ssid = NA>For details of the decoder, see (Miller 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P96-1008.txt | Citing Article:  P09-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Evaluation Metrics Miller et al (1996) report accuracy rates for recovering correct SQL annotations on the test set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this test, the system was trained on approximately 4000 ATIS 2 and ATIS 3 sentences, and then evaluated on the December 1994 test material (which was held aside as a blind test set).</S><S sid = NA ssid = NA>For details of the decoder, see (Miller 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P96-1008.txt | Citing Article:  I05-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the domain of the Air Traveler Information System (Miller et al, 1996) the authors apply statistical methods to compute the probability that a constituent can fill in a semantic slot within a semantic frame.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, statistical methods have been applied to domain-specific semantic parsing (Miller et al. 1994), and to the more difficult problem of wide-coverage syntactic parsing (Magerman 1995).</S><S sid = NA ssid = NA>To evaluate our approach, we trained an experimental system using data from the Air Travel Information (ATIS) domain (Bates et al. 1990; Price 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P96-1008.txt | Citing Article:  P00-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, in the context of the Air Traveler Information System (ATIS) for spoken dialogue, Miller et al (1996) computed the probability that a constituent such as Atlanta filled a semantic slot such as Destination in a semantic frame for air travel.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To evaluate our approach, we trained an experimental system using data from the Air Travel Information (ATIS) domain (Bates et al. 1990; Price 1990).</S><S sid = NA ssid = NA>Each element in X can have one of five values, specifying the relationship between the filler of the corresponding slot in Mp and Ms: INITIAL - slot filled in Ms but not in Mp TACIT - slot filled in Mp but not in Ms REITERATE - slot filled in both MA and Ms; value the same CHANGE - slot filled in both Mp and Ms; value different IRRELEVANT - slot not filled in either Mp or Ms Output vector Y is constructed by directly copying all fields from input vector X except those labeled TACIT.</S> | Discourse Facet:  NA | Annotator: Automatic


