Citance Number: 1 | Reference Article:  J94-4004.txt | Citing Article:  P99-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar approach as been adopted in generation (Bateman, 1997), (Bateman et al., 1991) and in machine translation most notably in (Dorr, 1994).</S> | Reference Offset:  ['39','45'] | Reference Text:  <S sid = 39 ssid = >Classification of Machine Translation Divergences The divergence problem in machine translation has received increasingly greater at- tention in recent literature (see, for example, Barnett et al.</S><S sid = 45 ssid = >(See Barnett et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J94-4004.txt | Citing Article:  W01-1403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the reasons for this difference is due to the different language pairs under study; (Meyers et al, 1998) deals with two languages that are closely related syntactically (Spanish and English) while we are dealing with languages that syntactically are quite divergent, Korean and English (Dorr, 1994).</S> | Reference Offset:  ['45','134'] | Reference Text:  <S sid = 45 ssid = >(See Barnett et al.</S><S sid = 134 ssid = >Introducing the notion of language-to-interlingua divergence allows the translation mapping to be defined in terms of a representation that is general enough to carry over to several different language pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J94-4004.txt | Citing Article:  W01-1403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We suggest that alignment constraints such as this one can be used to define most of the possible syntactic divergences between languages (Dorr, 1994), and that only a handful of them are necessary for two given languages (we have identified 11 general alignment constraints necessary for Korean to English transfer so far).</S> | Reference Offset:  ['154','312'] | Reference Text:  <S sid = 154 ssid = >In particular, the solution given here eliminates the need for transfer rules and relies instead on parameterized mappings that are defined and applied uniformly across all languages.</S><S sid = 312 ssid = >A logical argument is a necessary participant of a particular action, and as such, it must be "governed" by the lexical item that selects it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J94-4004.txt | Citing Article:  C04-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dorr (1994) categorizes sources of syntactic divergence between languages.</S> | Reference Offset:  ['247','262'] | Reference Text:  <S sid = 247 ssid = >614 Bonnie J. Dorr Machine Translation Divergences 4.6 Categorial Divergence Unlike the previous five divergence types, categorial divergence affects the operation of the C$/~, not the ~?T4.</S><S sid = 262 ssid = >4.7 Lexical Divergence Lexical divergence arises only in the context of other divergence types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J94-4004.txt | Citing Article:  I08-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yet, we can not preclude divergence from translational correspondence; on the contrary, it occurs routinely and to a certain extent systematically (Dorr, 1994).</S> | Reference Offset:  ['229','231'] | Reference Text:  <S sid = 229 ssid = >4.5 Conflational Divergence Conflational divergence is another case in which the "~"  correspondence is changed.</S><S sid = 231 ssid = >The constituent generally occurs in logical argument or logical modifier position; thus, the "4=>" correspondence of either step 3 or step 4 of the ~?T4 is changed, depending on which position is conflated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J94-4004.txt | Citing Article:  P05-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, structural divergences between languages (Dorr, 1994) which are due to either systematic differences between languages or loose translations in real corpora pose a major challenge to syntax-based statistical MT.</S> | Reference Offset:  ['3','85'] | Reference Text:  <S sid = 3 ssid = >This paper demonstrates that a systematic solution to the divergence problem can be derived from the formalization of two types of information: (1) the linguistically grounded classes upon which lexical-semantic divergences are based; and (2) the techniques by which lexical-semantic divergences are resolved.</S><S sid = 85 ssid = >This is the interlingua, or language- independent, form that serves as the pivot between the source and target languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J94-4004.txt | Citing Article:  C10-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dorr (1994) presents some major lexical-semantic divergence problems applicable in this scenario: (a) Thematic Divergence In some cases, although there exists semantic parallelism, the theme of the English sentence captured in the subject changes into an object in the Urdu sentence.</S> | Reference Offset:  ['24','161'] | Reference Text:  <S sid = 24 ssid = >The first divergence type is thematic: in (1), the theme is realized as the verbal object (Mary) in English but as the subject (Maria) of the main verb in Spanish.</S><S sid = 161 ssid = >An example of thematic divergence is the reversal of the subject with an object, as in the thematic divergence xample given earlier in (1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J94-4004.txt | Citing Article:  N07-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Of particular relevance to MT is the issue of structural divergence (Dorr, 1994).</S> | Reference Offset:  ['38','279'] | Reference Text:  <S sid = 38 ssid = >Finally, Section 5 discusses certain issues of relevance to the divergence problem including the resolution of several (recursively) interacting divergence types.</S><S sid = 279 ssid = >Discussion This section discusses certain issues of relevance to the formal classification and reso- lution of translation divergences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J94-4004.txt | Citing Article:  A00-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >English to French Lexical-Structural Transfer Rule with Verb Modifier ALMOST More details on how the structural divergences described in (Dorr, 1994) can be accounted for using our formalism can be found in (Nasr et al., 1998).</S> | Reference Offset:  ['45','96'] | Reference Text:  <S sid = 45 ssid = >(See Barnett et al.</S><S sid = 96 ssid = >Definition 4 A syntactic phrase is a maximal projection that conforms to the following structural form: 5 This process is described in detail in Dorr (1992b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J94-4004.txt | Citing Article:  W04-1513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntax based statistical approaches have been faced with the major problem of pervasive structural divergence between languages, due to both systematic differences between languages (Dorr, 1994) and the vagaries of loose translations in real corpora.</S> | Reference Offset:  ['3','44'] | Reference Text:  <S sid = 3 ssid = >This paper demonstrates that a systematic solution to the divergence problem can be derived from the formalization of two types of information: (1) the linguistically grounded classes upon which lexical-semantic divergences are based; and (2) the techniques by which lexical-semantic divergences are resolved.</S><S sid = 44 ssid = >3 Although translation mismatches are a major problem for translation systems that must be addressed, they are outside the scope of the model presented here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J94-4004.txt | Citing Article:  P11-2052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, previous work in machine translation leads us to believe that transferring the correlations between syntax and semantics across languages would be problematic due to argument structure divergences (Dorr, 1994).</S> | Reference Offset:  ['149','247'] | Reference Text:  <S sid = 149 ssid = >606 Bonnie J. Dorr Machine Translation Divergences (a) Thematic Divergence CLCS: Syntax: Y-MAX I Y-MAX Q / I X-MAX I X W (b) Promotional Divergence CLCS: Syntax: Y-MAX / i X-MAX !</S><S sid = 247 ssid = >614 Bonnie J. Dorr Machine Translation Divergences 4.6 Categorial Divergence Unlike the previous five divergence types, categorial divergence affects the operation of the C$/~, not the ~?T4.</S> | Discourse Facet:  NA | Annotator: Automatic


