Citance Number: 1 | Reference Article:  A92-1021.txt | Citing Article:  P03-2002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Candidates considered in the semantic tagging process are noun phrases NP, proposition phrases PP, verb phrases VP, adjectives ADJ and adverbs ADV. To gather these candidates we used the Brill transformational tagger (Brill, 1992) for the part-of speech step and the CASS partial parser for the parsing step (Abney, 1994).</S> | Reference Offset:  ['39','50'] | Reference Text:  <S sid = 39 ssid = >Once the initial tagger is trained, it is used to tag the patch corpus.</S><S sid = 50 ssid = >However, it results in an additional 18 errors from changing tags which really should have been verb to noun.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A92-1021.txt | Citing Article:  W96-0101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the part-of-speech literature, whether taggers are based on a rule-based approach (Klein and Simmons, 1963), (Brill, 1992), (Voutilainen, 1993), or on a statistical one (Bahl and Mercer, 1976), (Leech et al, 1983), (Merialdo, 1994), (DeRose, 1988), (Church, 1989), (Cutting et al, 1992), there is a debate as to whether more attention should be paid to lexical probabilities rather than contextual ones.</S> | Reference Offset:  ['9','13'] | Reference Text:  <S sid = 9 ssid = >One area in which the statistical approach has done particularly well is automatic part of speech tagging, assigning each word in an input sentence its proper part of speech [Church 88; Cutting et al. 92; DeRose 88; Deroualt and Merialdo 86; Garside et al.</S><S sid = 13 ssid = >The parameters of the model can be estimated from tagged ([Church 88; DeRose 88; Deroualt and Merialdo 86; Garside et al. 87; Meteer et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A92-1021.txt | Citing Article:  C08-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Part of speech tags are assigned by Brill's tagger (Brill, 1992).</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >A Simple Rule-Based Part Of Speech Tagger</S><S sid = 2 ssid = >In this paper, we present a simple rule-based part of speech tagger which automatically acquires its rules and tags with accuracy comparable to stochastic taggers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A92-1021.txt | Citing Article:  W09-2403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We looked at three different lemmatizers: the lemmatizing backend of the XTAG project (XTAG Re search Group, 2001) 4, Celex (Baayen et al, 1995), and the lemmatizing component of an enhancedTBL tagger (Brill, 1992).</S> | Reference Offset:  ['85','98'] | Reference Text:  <S sid = 85 ssid = >The idiom list would have to be rewritten if one wished to use this tagger for a different tag set or a different corpus.</S><S sid = 98 ssid = >If the tagger were trained on a different corpus, a different set of patches suitable for that corpus would be found automatically.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A92-1021.txt | Citing Article:  W09-2403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >TBL tagger (Brill, 1992) 7, and a TnT-style trigram tagger (Halacsy et al, 2007).</S> | Reference Offset:  ['13','75'] | Reference Text:  <S sid = 13 ssid = >The parameters of the model can be estimated from tagged ([Church 88; DeRose 88; Deroualt and Merialdo 86; Garside et al. 87; Meteer et al.</S><S sid = 75 ssid = >In [Meteer et at.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A92-1021.txt | Citing Article:  W01-1626.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All corpora were stemmed (Karp et al, 1992) and part-of-speech tagged (Brill, 1992).</S> | Reference Offset:  ['9','13'] | Reference Text:  <S sid = 9 ssid = >One area in which the statistical approach has done particularly well is automatic part of speech tagging, assigning each word in an input sentence its proper part of speech [Church 88; Cutting et al. 92; DeRose 88; Deroualt and Merialdo 86; Garside et al.</S><S sid = 13 ssid = >The parameters of the model can be estimated from tagged ([Church 88; DeRose 88; Deroualt and Merialdo 86; Garside et al. 87; Meteer et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A92-1021.txt | Citing Article:  D07-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to extract the linguistic features necessary for the ME model, all sentences containing the target word were automatically part of-speech (POS) tagged using the Brill POS tagger (Brill, 1992).</S> | Reference Offset:  ['15','55'] | Reference Text:  <S sid = 15 ssid = >Once the parameters of the model are estimated, a sentence can then be automatically tagged by assigning it the tag sequence which is assigned the highest probability by the model.</S><S sid = 55 ssid = >The first patch states that if a word is tagged TO and the following word is tagged AT, then switch the tag from TO to IN.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A92-1021.txt | Citing Article:  C02-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >All 15,863 documents were tagged by a part-of-speech tagger (Brill, 1992) and stemmed using WordNet information (Fellbaum, 1998).</S> | Reference Offset:  ['0','60'] | Reference Text:  <S sid = 0 ssid = >A Simple Rule-Based Part Of Speech Tagger</S><S sid = 60 ssid = >First, tag the text using the basic lexical tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A92-1021.txt | Citing Article:  C02-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['39','107'] | Reference Text:  <S sid = 39 ssid = >Once the initial tagger is trained, it is used to tag the patch corpus.</S><S sid = 107 ssid = >The fact that the simple rule-based tagger can perform so well should offer encouragement for researchers to further explore rule-based tagging, searching for a better and more expressive set of patch templates and other variations on this simple but effective theme.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A92-1021.txt | Citing Article:  W96-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared to learning rule-based approaches such as the one by Brill (1992), a k-nn approach provides a uniform approach for all disambiguation tasks, more flexibility in the engineering of case representations, and a more elegant approach to handling of unknown words (see e.g. Cardie 1994).</S> | Reference Offset:  ['22','106'] | Reference Text:  <S sid = 22 ssid = >The rule-based tagger overcomes the limitations common in rule-based approaches to language processing: it is robust, and the rules are automatically acquired.</S><S sid = 106 ssid = >Perhaps the biggest contribution of this work is in demonstrating that the stochastic method is not the only viable approach for part of speech tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A92-1021.txt | Citing Article:  W03-1308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['39','107'] | Reference Text:  <S sid = 39 ssid = >Once the initial tagger is trained, it is used to tag the patch corpus.</S><S sid = 107 ssid = >The fact that the simple rule-based tagger can perform so well should offer encouragement for researchers to further explore rule-based tagging, searching for a better and more expressive set of patch templates and other variations on this simple but effective theme.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A92-1021.txt | Citing Article:  I08-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rule based POS tagging methods extract rules from training corpus and use these rules to tag new sentences (Brill, 1992) (Brill, 1994).</S> | Reference Offset:  ['22','102'] | Reference Text:  <S sid = 22 ssid = >The rule-based tagger overcomes the limitations common in rule-based approaches to language processing: it is robust, and the rules are automatically acquired.</S><S sid = 102 ssid = >In the rule-based tagger, contextual information is captured in fewer than eighty rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A92-1021.txt | Citing Article:  W06-2201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Automated part of speech tagging (Brill, 1992) is a useful technique in term extraction (Frantziet al, 2000), a domain closely related to named entity recognition.</S> | Reference Offset:  ['9','20'] | Reference Text:  <S sid = 9 ssid = >One area in which the statistical approach has done particularly well is automatic part of speech tagging, assigning each word in an input sentence its proper part of speech [Church 88; Cutting et al. 92; DeRose 88; Deroualt and Merialdo 86; Garside et al.</S><S sid = 20 ssid = >We wanted to determine whether a simple rule-based tagger without any knowledge of syntax can perform as well as a stochastic tagger, or if part of speech tagging really is a domain to which stochastic techniques are better suited.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A92-1021.txt | Citing Article:  W06-2201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In future work, we plan to identify such adjectives in Google excerpts using a Part of Speech tagger (Brill, 1992).</S> | Reference Offset:  ['60','106'] | Reference Text:  <S sid = 60 ssid = >First, tag the text using the basic lexical tagger.</S><S sid = 106 ssid = >Perhaps the biggest contribution of this work is in demonstrating that the stochastic method is not the only viable approach for part of speech tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A92-1021.txt | Citing Article:  W09-1707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CONLL 2000 tags against which we measure our own results are in fact assigned by the Brill tagger (Brill 1992), and while these may not correlate perfectly with those that would have been assigned by a human linguist, we believe that the correlation is likely to be good enough to allow for an informative evaluation of our method.</S> | Reference Offset:  ['4','15'] | Reference Text:  <S sid = 4 ssid = >Perhaps the biggest contribution of this work is in demonstrating that the stochastic method is not the only viable method for part of speech tagging.</S><S sid = 15 ssid = >Once the parameters of the model are estimated, a sentence can then be automatically tagged by assigning it the tag sequence which is assigned the highest probability by the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A92-1021.txt | Citing Article:  W97-0811.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the part-of-speech tagging problem, it is known that assigning the most common part of speech for each lexical item gives a baseline of 90% accuracy [Brill, 1992].</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >A Simple Rule-Based Part Of Speech Tagger</S><S sid = 12 ssid = >These stochastic part of speech taggers make use of a Markov model which captures lexical and contextual information.</S> | Discourse Facet:  NA | Annotator: Automatic


