Citance Number: 1 | Reference Article:  W03-1730.txt | Citing Article:  W04-3236.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Note that the top participant of CTBc (Zhang et al, 2003) used additional named entity knowledge/data in their word segmenter).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Except for some named entity corpus, we could not get any more sources related to CTB standard.</S><S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W03-1730.txt | Citing Article:  W10-3708.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most word-based segmenters in Chinese IR are either rule-based models, which rely on a lexicon, or statistical-based models, which are trained on manually segmented corpora (Zhang et al,2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 HHMM-based Chinese lexical analysis</S><S sid = NA ssid = NA>HHMM-Based Chinese Lexical Analyzer ICTCLAS</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W03-1730.txt | Citing Article:  W10-3708.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Its segmentation model is a 3The query set and relevance judgements are available at http: //www.cs.ualberta.ca/ ?yx2/research.html 59 class-based hidden Markov model (HMM) model (Zhang et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>According to named entities in the given corpus, we could train both class-based segmentation HMM and rolebased HMM model for unknown word recognition.</S><S sid = NA ssid = NA>As is shown in Table 1, It could also be concluded that class-based segmentation HMM is effective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W03-1730.txt | Citing Article:  P06-2123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Segmentation performance has been improved significantly, from the earliest maximal match (dictionary-based) approaches to HMM-based (Zhang et al, 2003) approaches and recent state-of-the-art machine learning approaches such as maximum entropy (Max Ent) (Xue and Shen, 2003), support vector machine.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this HMM, the original symbol is observation while the atom is state.</S><S sid = NA ssid = NA>As is shown in Table 1, It could also be concluded that class-based segmentation HMM is effective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W03-1730.txt | Citing Article:  P06-2056.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Decrease in H (XjX n) for Chinese characters when n is increased software such as (Zhang et al, 2003) whose performance is also high.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S><S sid = NA ssid = NA>Evaluation on ICTCLAS shows that its performance is competitive.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W03-1730.txt | Citing Article:  W10-4125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hence the need for automatic word segmentation systems (Zhang et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S><S sid = NA ssid = NA>Then, the Compared with other systems, ICTCLAS especially GB-coded version is competitive.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W03-1730.txt | Citing Article:  I08-4033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Segmentation performance has been improved significantly, from the earliest maximal match (dictionary-based) approaches to HMM-based (Zhang et al, 2003) approaches and recent state-of-the-art machine learning approaches such as maximum entropy (MaxEnt) (Xue and Shen, 2003), support vector machine (SVM) (Kudo and Matsumoto, 2001), conditional random fields (CRF) (Peng and McCallum, 2004), and minimum error rate training (Gao et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S><S sid = NA ssid = NA>In this HMM, the original symbol is observation while the atom is state.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W03-1730.txt | Citing Article:  I05-3028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Then for every path of the N+1paths4 (N best paths and the atom path), we perform a process of Roles Tagging with HMM model (Zhang et al 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Any word is made up of an atom or more.</S><S sid = NA ssid = NA>POS tagging and role tagging using Viterbi are also skipped because they are classic application of HMM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W03-1730.txt | Citing Article:  P05-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Chinese sentences in both the development and test corpus are segmented and POS tagged by ICTCLAS (Zhang et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Through the first bakeoff, we could learn more about the development in Chinese word segmentation and become more confident on our HHMM-based approach.</S><S sid = NA ssid = NA>Through the first bakeoff, we have learn more about the development in Chinese word segmentation and become more confident on our HHMMbased approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W03-1730.txt | Citing Article:  E09-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both ICTCLAS and Stanford segmenters utilise machine learning techniques, with Hidden Markov Models for ICT (Zhang et al, 2003) and conditional random fields for the Stanford segmenter (Tseng et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S><S sid = NA ssid = NA>ICT (Institute of Computing Technology, Chinese Academy of Sciences) participated the First International Chinese Word Segmentation Bakeoff.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W03-1730.txt | Citing Article:  P14-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this work, we resort to ICTCLAS (Zhang et al, 2003), a widely used tool in the literature.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S><S sid = NA ssid = NA>HHMM-Based Chinese Lexical Analyzer ICTCLAS</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W03-1730.txt | Citing Article:  P14-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The posts were then part-of speech tagged using a Chinese word segmentation tool named ICTCLAS (Zhang et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Hence the best choice W# of word segmentation is easy to find using Djikstra's algorithm.</S><S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W03-1730.txt | Citing Article:  P13-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Their system only does IWR, using the CWS and POS tagging output of the ICTCLAS segmenter (Zhang et al, 2003) as in put.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>POS tagging and role tagging using Viterbi are also skipped because they are classic application of HMM.</S><S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W03-1730.txt | Citing Article:  I08-7003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also thank Richard Sproat, Qing Ma, Fei Xia and other SIGHAN colleagues for their elaborate organization and enthusiastic help in the First International Chinese Word Segmentation Bakeoff.</S><S sid = NA ssid = NA>Atom segmentation, the bottom level of HHMM, is an initial step.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W03-1730.txt | Citing Article:  I08-7003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ICTCLAS is developed by Chinese Academy of Science, the precision of which is 97.58% on tagging general words (Huaping Zhang et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>ICT (Institute of Computing Technology, Chinese Academy of Sciences) participated the First International Chinese Word Segmentation Bakeoff.</S><S sid = NA ssid = NA>Excepted for CTB, IV Recall is over 97%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W03-1730.txt | Citing Article:  P14-2139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Chinese word segmentation tool is ICTCLAS (Zhang et al 2003) and Google Translator is the MT for the source language.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous papers (Zhang et al. 2003) gave more Given a word wi, classc i is defined in Figure 2.</S><S sid = NA ssid = NA>After transformation through class-based HMM, word segmentation becomes single-source shortest paths problem.</S> | Discourse Facet:  NA | Annotator: Automatic


