Citance Number: 1 | Reference Article:  C92-1038.txt | Citing Article:  W96-0410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, as in (Reiter and Dale, 1992), we stipulate that some attributes of entities are more important than others, and that some words more naturally describe those attributes.</S> | Reference Offset:  ['95','117'] | Reference Text:  <S sid = 95 ssid = >Every entity has as one of its attributes ome type .</S><S sid = 117 ssid = >The  A lgor i thm In general terms, the algorithm iterates through the attributes in *preferred-attributes*.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C92-1038.txt | Citing Article:  W05-1620.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As shown in [Reiter and Dale, 1992], a referring expression must communicate enough information to be able to uniquely identify the intended referent in the current discourse context, but avoiding the presence of redundant or otherwise unnecessary modifiers.</S> | Reference Offset:  ['30','32'] | Reference Text:  <S sid = 30 ssid = >Unnecessary  Mod i f ie rs A referring expression must communicate enough in- fornlation to be able to uniquely identify the in- tended referent in the current discourse context (i.e., it must adhere to the principle of adequacy [Da188,Da189]).</S><S sid = 32 ssid = >One source of such false implicatures can he the pre~ ence of redundant or otherwise unnecessary modifiers in a referring expression.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C92-1038.txt | Citing Article:  W05-1620.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It would be also interesting to compare our solution with different approaches found in the literature, as for example [Reiter and Dale, 1992] or [Krahmer and Theune, 2000] for the referring expression generation, and the one of Dalianis and Hovy [Dalianis and Hovy, 1996] for the aggregation.</S> | Reference Offset:  ['106','158'] | Reference Text:  <S sid = 106 ssid = >The knowledge-representation system should in principle allow different basic-level classes to be specified for different users [Ros78,Rei91].</S><S sid = 158 ssid = >The referring expression generation model seems rea- sonably successful in IDAS.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C92-1038.txt | Citing Article:  W06-1412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In natural language generation, the process of generating referring expressions occurs in stages (Reiter and Dale, 1992).</S> | Reference Offset:  ['206','245'] | Reference Text:  <S sid = 206 ssid = >Generating Referring Expressions in a Domain of Objects and Processes.</S><S sid = 245 ssid = >Generating Appropriate Natural Language Object Descriptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C92-1038.txt | Citing Article:  W06-1412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We plan to incorporate the results of this study in an extension of (Reiter and Dale, 1992) algorithm that would take into account other types of properties of the objects like visual salience, temporal attributes (for example time elapsed between mentions), if it participated in an action (like the case of a door opening, or a button being pushed) or its importance to the overall task completion.</S> | Reference Offset:  ['79','161'] | Reference Text:  <S sid = 79 ssid = >In the above example, for instance, the chihuahua should only be used if the speaker is certain the hearer is capable of distinguishing chihuahuas from other types of dogs.</S><S sid = 161 ssid = >Of equal importance, its run- time is independent of the number of potential attributes that could be used in the referring ex- preszion.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C92-1038.txt | Citing Article:  W06-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['84','269'] | Reference Text:  <S sid = 84 ssid = >ZThe transcript was made by Phil Agre and John Batali, from a videotape taken by Candy Sidser.</S><S sid = 269 ssid = >OF COL1NG-92, NANIES, AUG. 23-28, 1992</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C92-1038.txt | Citing Article:  P97-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, (Reiter and Dale, 1992) apply generalizations about the salience of properties of objects and conventions about what words make base level attributions to incrementally select words for inclusion in a description.</S> | Reference Offset:  ['99','132'] | Reference Text:  <S sid = 99 ssid = >For such taxonomically-organized values, the knowledge-base or an associated user-model should specify which level of the taxonomy is basic-level for the current user.</S><S sid = 132 ssid = >Object2: (type, chihuahua), (size, large), (colour, white) * Object3: (type, siamese-cat), (size, small), (colour, black) In other words, r = 0bject l  and (7 = {Objest2, Object3}.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C92-1038.txt | Citing Article:  W05-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The construction and maintenance of context according to models of text planning [Reiter and Dale, 1992], allow the author to break a complex CG into a manageable collection of small utterances.</S> | Reference Offset:  ['150','193'] | Reference Text:  <S sid = 150 ssid = >ll)hS is a natural m~guage generation system that generates on-line documen- tation and help texts from a domain arid linguistic knowledge base, lining user expertise models, user task models, and discourse models.</S><S sid = 193 ssid = >Planning English Sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C92-1038.txt | Citing Article:  W05-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For micro planning, we have implemented the algorithm for reference planning described in [Reiter and Dale, 1992] and the aggregation algorithm described in [Shaw, 1995].</S> | Reference Offset:  ['125','193'] | Reference Text:  <S sid = 125 ssid = >This returns a list of attr ibute-value pairs that specify a referring expression for the intended ref- a For simplicity of expo6ition, the algorithm as described here returns failure if it is not pesaible to rule out all the mernbem of the contrast set.</S><S sid = 193 ssid = >Planning English Sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C92-1038.txt | Citing Article:  W09-0610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The authors present in the paper a computational framework for the generation of spatial locative expressions in such contexts, relying on the Reiter and Dale (Reiter and Dale, 1992) algorithm. Another interesting work related to referring expression generation in spatial environments can be found in (Varges, 2005).</S> | Reference Offset:  ['0','6'] | Reference Text:  <S sid = 0 ssid = >A Fast Algorithm for the Generation of Referring Expressions Abst rac t We simplify previous work in the development of algorithms for the generation of referring expre~ sions while at the same time taking account of psy- cholinguistic findings and transcript data.</S><S sid = 6 ssid = >We have designed a new referring expression generation algorithm that is based on the~ observations, and believe that the new algorithm is more practical for real-world natu- ral language generation systems than the algorithms we have previously proposed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C92-1038.txt | Citing Article:  W09-0610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This choice should be considered in terms of particular implementation details. Reference agents rely on the Reiter and Dale algorithm (Reiter and Dale, 1992).</S> | Reference Offset:  ['205','248'] | Reference Text:  <S sid = 205 ssid = >[Da188] Robert Dale.</S><S sid = 248 ssid = >[Rei91] Ehud Reiter.</S> | Discourse Facet:  NA | Annotator: Automatic


