Citance Number: 1 | Reference Article:  J01-3003.txt | Citing Article:  W02-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Merlo and Stevenson, 2001) use grammatical features (acquired from corpora) to classify verbs into three semantic classes: unergative, unaccusative, and object-drop.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The verbs were to be classified into the three target classes—unergative, unaccusative, and object-drop— which were described in the instructions.</S><S sid = NA ssid = NA>The particular classification problem within which we investigate this hypothesis is the task of learning the three major classes of optionally intransitive verbs in English: unergative, unaccusative, and object-drop verbs.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J01-3003.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a cue to this alternation, Merlo and Stevenson (2001) create a bag of head nouns for each of the two potentially alternating slots, and compare them.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Alternations are detected by testing the hypothesis that, given any verb, the selectional preferences for arguments occurring in alternating slots will be more similar to each other than those for slots that do not alternate.</S><S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J01-3003.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The method used by Merlo and Stevenson (2001) has the advantage of directly capturing similarity between slots (in terms of use of identical nouns [lemmas]), but fails to generalize over the nouns, lending itself to sparse data problems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The observed subjects across all occurrences of the verb were placed into one multiset of nouns, and the observed objects into a second multiset of nouns.</S><S sid = NA ssid = NA>Note the importance of our use of frequency distributions: the claim is not that only Agents can be animate, but rather that nouns that receive an Agent role will more often be animate than nouns that receive a Theme role.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J01-3003.txt | Citing Article:  D07-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Merlo and Stevenson, 2001 and Stevenson and Joanis, 2003 for English semantic verb classes, or Schulteim Walde, 2006 for German semantic verb classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These three classes are motivated by theoretical linguistic properties (see discussion and references below, and in Stevenson and Merlo [1997b]; Merlo and Stevenson [2000b]).</S><S sid = NA ssid = NA>(For more detailed discussion concerning the linguistic properties of these classes, and the behavior of their component verbs, please see Stevenson and Merlo [1997b]; Merlo and Stevenson [2000b].)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J01-3003.txt | Citing Article:  W05-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, Merlo and Stevenson (2001) present a classification experiment which bears similarities to ours.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S><S sid = NA ssid = NA>These three classes are motivated by theoretical linguistic properties (see discussion and references below, and in Stevenson and Merlo [1997b]; Merlo and Stevenson [2000b]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J01-3003.txt | Citing Article:  C04-1161.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The results reported in Tables 2 and 3 are significantly higher than those of Merlo and Stevenson (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S><S sid = NA ssid = NA>These three classes are motivated by theoretical linguistic properties (see discussion and references below, and in Stevenson and Merlo [1997b]; Merlo and Stevenson [2000b]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J01-3003.txt | Citing Article:  E06-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Merlo and Stevenson (2001) present a method for verb classification which relies only on distributional statistics taken from corpora in order to train a decision tree classifier to distinguish between three groups of intransitive verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our task is to automatically build a classifier that can distinguish the three major classes of optionally intransitive verbs in English.</S><S sid = NA ssid = NA>We use this data to train an automatic classifier to determine, given the feature values for a new verb (not from the training set), which of the three major classes of English optionally intransitive verbs it belongs to.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J01-3003.txt | Citing Article:  E06-3008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This paper presents experiments in automatic classification of the animacy of unseen Norwegian common nouns, inspired by the method for verb classification presented in Merlo and Stevenson (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The classification results show that our method is powerful, and suited to the classification of unknown verbs.</S><S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J01-3003.txt | Citing Article:  P04-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The following three tables contain the overall frequency and the normalized feature values for each of the 59 verbs in our experimental set.</S><S sid = NA ssid = NA>These were collected and classified by hand as passive or active based on intuition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J01-3003.txt | Citing Article:  P06-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on our observation and previous studies (Merlo and Stevenson, 2001), we assume that each ILC has a distinct frequency distribution of roles on different grammatical slots.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S><S sid = NA ssid = NA>We can see here that different frequency groups yield different classification behavior.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J01-3003.txt | Citing Article:  P07-3016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Merlo and Stevenson, 2001) approximates diathesis alternations by hand-selected grammatical features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S><S sid = NA ssid = NA>McCarthy (2000) proposes a method to identify diathesis alternations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J01-3003.txt | Citing Article:  P07-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Merlo and Stevenson (2001) use corpus-based thematic role information to identify and classify unergative, unaccusative, and object-drop verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the first subsection below, we elaborate on our description of the thematic role assignments for each of the verb classes under investigation—unergative, unaccusative, and object-drop.</S><S sid = NA ssid = NA>The verbs were to be classified into the three target classes—unergative, unaccusative, and object-drop— which were described in the instructions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J01-3003.txt | Citing Article:  C02-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For open, the first three words in either position are the same. For the verb play, on the other hand, classified as an "object-drop" verb by Merlo and Stevenson (2001), we would expect overlap between the subject of transitive and intransitive uses.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We therefore expect that it will be less common for the same noun to occur in subject and object position across instances of the same object-drop verb.</S><S sid = NA ssid = NA>The sentences in (3) use an object-drop verb, play.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J01-3003.txt | Citing Article:  P08-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Merlo and Stevenson (2001) presented an automatic classification of three types of English intransitive verbs, based on argument structure and heuristics to thematic relations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Verb Classification Based On Statistical Distributions Of Argument Structure</S><S sid = NA ssid = NA>In this work, we report on supervised learning experiments to automatically classify three major types of English verbs, based on their argument structure—specifically, the thematic roles they assign to participants.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J01-3003.txt | Citing Article:  C10-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This was the approach taken by Merlo and Stevenson (2001), who worked with a Decision Tree and selected linguistic cues to classify English verbs into three classes: unaccusative, unergative and object-drop.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The particular classification problem within which we investigate this hypothesis is the task of learning the three major classes of optionally intransitive verbs in English: unergative, unaccusative, and object-drop verbs.</S><S sid = NA ssid = NA>The verbs were to be classified into the three target classes—unergative, unaccusative, and object-drop— which were described in the instructions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J01-3003.txt | Citing Article:  W06-2611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on our observation and previous studies (Merlo and Stevenson, 2001), we assume that each Levin class has a distinct frequency distribution of roles on different grammatical slots.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For further details and support of this analysis, please see the discussion in Stevenson and Merlo (1997b) and Merlo and Stevenson (2000b).</S><S sid = NA ssid = NA>We can see here that different frequency groups yield different classification behavior.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J01-3003.txt | Citing Article:  W03-0410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast to Merlo and Stevenson (2001), we confirmed that a set of general features can be successfully used, without the need for manually determining the relevant features for distinguishing particular classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We observe that relevant semantic properties of verb classes (such as causativity, or animacy of subject) may be successfully approximated through countable syntactic features.</S><S sid = NA ssid = NA>The features appear to be better at distinguishing unergatives than the other two verb classes.</S> | Discourse Facet:  NA | Annotator: Automatic


