Citance Number: 1 | Reference Article:  W07-2002.txt | Citing Article:  W07-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The object of the sense induction task of SENSEVAL-4 (Agirre and Soroa, 2007) was to cluster 27,132 instances of 100 different words (35 nouns and 65 verbs) into senses or classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Participants were provided with information about 100 target words (65 verbs and 35 nouns), each target word having a set of contexts where the word appears.</S><S sid = NA ssid = NA>System R. All Nouns Verbs FSc.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W07-2002.txt | Citing Article:  D10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate our method on the nouns of the SemEval-2007 word sense induction task (Agirre and Soroa, 2007) under the second evaluation setting of that task ,i.e. supervised evaluation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S><S sid = NA ssid = NA>We call this evaluation supervised.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W07-2002.txt | Citing Article:  D10-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We followed the same sense mapping method as in the SemEval-2007 sense induction task (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is not a sense induction system.</S><S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W07-2002.txt | Citing Article:  E09-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate our model on a recently released benchmark dataset (Agirre and Soroa, 2007) and demonstrate improvements over the state-of-the-art. The remainder of this paper is structured as follows.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The paper is organized as follows.</S><S sid = NA ssid = NA>Evaluate the induced senses as clusters of ex-.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W07-2002.txt | Citing Article:  E09-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For evaluation, we used the Semeval-2007 benchmark dataset released as part of the sense induction and discrimination task (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S><S sid = NA ssid = NA>We have presented the design and results of theSemEval-2007 task 02 on evaluating word sense induction and discrimination systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W07-2002.txt | Citing Article:  E09-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Evaluation Methodology Agirre and Soroa (2007) present two evaluation schemes for assessing sense induction methods.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is not a sense induction system.</S><S sid = NA ssid = NA>We call this evaluation supervised.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W07-2002.txt | Citing Article:  P09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The SemEval-2007 word sense induction task (Agirre and Soroa, 2007) already allows for evaluation of automatic sense induction systems, but compares output to gold-standard senses from Onto Notes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is not a sense induction system.</S><S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W07-2002.txt | Citing Article:  P13-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While word senses have been studied extensively in lexical semantics, research has focused on word sense disambiguation, the task of disambiguating words in context given a predefined sense inventory (e.g., Agirre and Edmonds (2006)), and word sense induction, the task of learning sense inventories from text (e.g., Agirre and Soroa (2007)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is not a sense induction system.</S><S sid = NA ssid = NA>to ?word senses?.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W07-2002.txt | Citing Article:  W09-1705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The SemEval-2007 WSI task (SWSI) participating systems UOY and UBC-AS used labeled data for parameter estimation (Agirre and Soroa, 2007a), while the authors of I2R, UPV SI and UMND2 have empirically chosen values for their parameters.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>System Supervised evaluation I2R 82.2 UOY 81.3 UMND2 80.1 upv si 79.9 UBC-AS 79.0 MFS 78.4 Table 6: Supervised evaluation as recall using a random train/test split.</S><S sid = NA ssid = NA>UBC-AS?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W07-2002.txt | Citing Article:  W09-1705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The collocational WSI approach was evaluated under the framework and corpus of SemEval-2007 WSI task (Agirre and Soroa, 2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Section 2 presents the evaluation framework used in this task.</S><S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W07-2002.txt | Citing Article:  W09-1705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus, inducing a number of clusters similar to the number of senses is not a requirement for good results (Agirre and Soroa, 2007a). High supervised recall means high purity and entropy, as in I2R, but not vice versa, as in UOY.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each of the induced clusters is mapped into a weighted vector of senses, and thus inducing a number of clusters similar to the number of senses is not a requirement for good results.</S><S sid = NA ssid = NA>Purity and entropy are also provided.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W07-2002.txt | Citing Article:  S10-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Context vectors are clustered and the resulting clusters represent the induced senses. Recently, graph-based methods have been employed for word sense induction (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>is not a sense induction system.</S><S sid = NA ssid = NA>to ?word senses?.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W07-2002.txt | Citing Article:  S10-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The second type of evaluation, supervised evaluation, follows the supervised evaluation of the SemEval-2007 WSI task (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We call this evaluation supervised.</S><S sid = NA ssid = NA>2.2 Supervised evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W07-2002.txt | Citing Article:  S10-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This evaluation follows the supervised evaluation of SemEval-2007WSI task (Agirre and Soroa, 2007), with the difference that the reported results are an average of 5 random splits.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.2 Supervised evaluation.</S><S sid = NA ssid = NA>We call this evaluation supervised.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W07-2002.txt | Citing Article:  W11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brody and Lapata (2009) (B&L herein) showed that the parametric Bayesian model, Latent Dirichlet Allocation (LDA), could be successfully employed for this task, as compared to previous results published for the WSI component of SemEval 20071 (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>7 the task, and the official results.</S><S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W07-2002.txt | Citing Article:  W11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The evaluation data comes from the WSI task of SemEval-2007 (Agirre and Soroa, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We reused the data from the SemEval 2007 English lexical sample subtask of task 17, and.</S><S sid = NA ssid = NA>SemEval-2007 Task 02: Evaluating Word Sense Induction and Discrimination Systems</S> | Discourse Facet:  NA | Annotator: Automatic


