Citance Number: 1 | Reference Article:  W97-0322.txt | Citing Article:  S10-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Once the corpus has been processed, clusters are repeatedly merged using HAC with the aver age link criteria, following (Pedersen and Bruce,1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The two closest clusters are merged to form a new cluster that replaces the two merged clusters.</S><S sid = NA ssid = NA>(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W97-0322.txt | Citing Article:  P05-3027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous work in word sense discrimination has shown that contexts of an ambiguous word can be effectively represented using first order (Pedersen and Bruce, 1997) or second order (Schutze, 1998) representations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our work, the sense of an ambiguous word is represented by a feature whose value is missing.</S><S sid = NA ssid = NA>This sample can be represented by the 4 x 4 dissimilarity matrix shown in Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W97-0322.txt | Citing Article:  W04-2406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In future work, we will investigate modifications of these algorithms and feature set selection that are more effective on highly skewed sense distributions.</S><S sid = NA ssid = NA>Overall, the most successful of our procedures was McQuitty's similarity analysis in combination with a high dimensional feature set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W97-0322.txt | Citing Article:  W04-2406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In future work, we will investigate modifications of these algorithms and feature set selection that are more effective on highly skewed sense distributions.</S><S sid = NA ssid = NA>Overall, the most successful of our procedures was McQuitty's similarity analysis in combination with a high dimensional feature set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W97-0322.txt | Citing Article:  W04-2406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Pedersen and Bruce, 1997) and (Pedersen and Bruce,1998) propose a (dis) similarity based discrimination approach that computes (dis) similarity among each pair of instances of the target word.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S><S sid = NA ssid = NA>Bruce, 1997a)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W97-0322.txt | Citing Article:  W04-2406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Schutze, 1998) points out that single link clustering tends to place all instances into a single elongated cluster, whereas (Pedersen and Bruce, 1997) and (Purandare, 2003) show that hierarchical agglomerative clustering using average link (via McQuitty's method) fares well.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Ward's and McQuitty's method are agglomerative clustering algorithms that differ primarily in how they compute the distance between clusters.</S><S sid = NA ssid = NA>For 6 of the 13 words there was a single algorithm that was always significantly more accurate than the other two across all features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W97-0322.txt | Citing Article:  N03-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The objective of this research is to extend previous work in discrimination by (Pedersen and Bruce, 1997), who developed an approach using agglomerative clustering.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S><S sid = NA ssid = NA>In previous unsupervised experiments with interest, using a modified version of Feature Set A, we were able to achieve an increase of 36 percentage points over the accuracy of the majority classifier when the 3 classes were evenly distributed in the sample (Pedersen and Bruce, 1997b).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W97-0322.txt | Citing Article:  N03-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We believe that this is an aggressive number of senses for a discrimination system to attempt, considering that (Pedersen and Bruce, 1997) experimented with 2 and 3 senses, and (Schutze, 1998) made binary distinctions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The data for the 12 words tagged using LDOCE senses are described in more detail in (Bruce, Wiebe, and Pedersen, 1996).</S><S sid = NA ssid = NA>(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W97-0322.txt | Citing Article:  W06-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our method of name discrimination is described in more detail in (Pedersen et al, 2005), but in general is based on an unsupervised approach to word sense discrimination introduced by (Purandare and 25 Pedersen, 2004), which builds upon earlier work in word sense discrimination, including (Schutze, 1998) and (Pedersen and Bruce, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(McDonald et al., 1990) apply another clustering approach to word—sense disambiguation (also see (Wilks et al., 1990)).</S><S sid = NA ssid = NA>(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W97-0322.txt | Citing Article:  W07-1711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Pedersen and Bruce (1997) cluster the occurrences of an ambiguous word by constructing a vector of terms occurring in the context of the target.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A context vector is formed for each occurrence of an ambiguous word by summing the vectors of the contextual words (the number of contextual words considered in the sum is unspecified).</S><S sid = NA ssid = NA>(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W97-0322.txt | Citing Article:  W07-2087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An evaluation was carried out on the full 27,132 instance train+test data set using the SenseClusters evaluation methodology, which was first defined in (Pedersen and Bruce, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The data for the 12 words tagged using LDOCE senses are described in more detail in (Bruce, Wiebe, and Pedersen, 1996).</S><S sid = NA ssid = NA>(Gale, Church, and Yarowsky, 1992), (Leacock, Towel!, and Voorhees, 1993), (Mooney, 1996), (Pedersen, Bruce, and Wiebe, 1997), (Pedersen and Bruce, 1997a)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W97-0322.txt | Citing Article:  C04-1194.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In future work, we will investigate modifications of these algorithms and feature set selection that are more effective on highly skewed sense distributions.</S><S sid = NA ssid = NA>Overall, the most successful of our procedures was McQuitty's similarity analysis in combination with a high dimensional feature set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W97-0322.txt | Citing Article:  E06-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In future work, we will investigate modifications of these algorithms and feature set selection that are more effective on highly skewed sense distributions.</S><S sid = NA ssid = NA>Overall, the most successful of our procedures was McQuitty's similarity analysis in combination with a high dimensional feature set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W97-0322.txt | Citing Article:  P04-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Pedersen and Bruce, 1997), they described an experimental comparison of three clustering algorithms for word sense discrimination.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper describes an experimental comparison of three unsupervised learning algorithms that distinguish the sense of an ambiguous word in untagged text.</S><S sid = NA ssid = NA>An early application of clustering to word—sense disambiguation is described in (Schiitze, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


