Citance Number: 1 | Reference Article:  P02-1053.txt | Citing Article:  W02-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also note that Turney (2002) found movie reviews to be the most difficult of several domains for sentiment classification, reporting an accuracy of 65.83% on a 120-document set (random-choice performance: 50%).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It appears that movie reviews are difficult to classify, because the whole is not necessarily the sum of the parts; thus the accuracy on movie reviews is about 66%.</S><S sid = NA ssid = NA>The difficulty with movie reviews is that there are two aspects to a movie, the events and actors in the movie (the elements of the movie), and the style and art of the movie (the movie as a gestalt; a unified whole).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P02-1053.txt | Citing Article:  C10-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on (Hatzivassiloglou and Wiebe, 2000) and (Turney, 2002), we consider four types of structures (as shown in Table 5) during sentiment phrase extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Other related work is concerned with determining subjectivity (Hatzivassiloglou & Wiebe, 2000; Wiebe, 2000; Wiebe et al., 2001).</S><S sid = NA ssid = NA>Past work has demonstrated that adjectives are good indicators of subjective, evaluative sentences (Hatzivassiloglou & Wiebe, 2000; Wiebe, 2000; Wiebe et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P02-1053.txt | Citing Article:  C10-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Different from (Turney, 2002), we consider phrases with negations as their initial words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each of these 410 reviews was written by a different author.</S><S sid = NA ssid = NA>The AltaVista NEAR operator constrains the search to documents that contain the words within ten words of one another, in either order.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1053.txt | Citing Article:  W11-1706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Turney (2002) described a way to automatically build such a lexicon based on looking at co-occurrences of words with other words whose sentiment is known.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The AltaVista NEAR operator constrains the search to documents that contain the words within ten words of one another, in either order.</S><S sid = NA ssid = NA>The other features could be based on the presence or absence of specific words, as is common in most text classification work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1053.txt | Citing Article:  W06-0302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The problem of sentiment extraction at the document level (sentiment classification) has been tackled as a text categorization task in which the goal is to assign to a document either positive ("thumbs up") or negative ("thumbs down") polarity (e.g. Das and Chen (2001), Pang et al. (2002), Turney (2002), Dave et al. (2003), Pang and Lee (2004)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thumbs Up Or Thumbs Down? Semantic Orientation Applied To Unsupervised Classification Of Reviews</S><S sid = NA ssid = NA>As far as I know, the only prior published work on the task of classifying reviews as thumbs up or down is Tong’s (2001) system for generating sentiment timelines.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1053.txt | Citing Article:  P09-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Turney (2002) predicates the sentiment orientation of a review by the average semantic orientation of the phrases in the review that contain adjectives or adverbs, which is denoted as the semantic oriented method.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The classification of a review is predicted by the orientation the phrases in the review that contain adjectives or adverbs.</S><S sid = NA ssid = NA>The algorithm has three steps: (1) extract phrases containing adjectives or adverbs, (2) estimate the semantic orientation of each phrase, and (3) classify the review based on the average semantic orientation of the phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1053.txt | Citing Article:  D10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to the IE tasks in the biomedical domain, negation scope learning has attracted increasing attention in some natural language processing (NLP) tasks, such as sentiment classification (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This will reduce the processing time to less than one second per review.</S><S sid = NA ssid = NA>The lexicon is specific to the domain (e.g., movies) and must be built anew for each new domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1053.txt | Citing Article:  N10-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus, the method we investigate can be seen as a combination of methods for propagating sentiment across lexical graphs and methods for building sentiment lexicons based on distributional characteristics of phrases in raw data (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This system tracks online discussions about movies and displays a plot of the number of positive sentiment and negative sentiment messages over time.</S><S sid = NA ssid = NA>The algorithm has three steps: (1) extract phrases containing adjectives or adverbs, (2) estimate the semantic orientation of each phrase, and (3) classify the review based on the average semantic orientation of the phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1053.txt | Citing Article:  P07-1124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Others, such as Turney (2002), Pang and Vaithyanathan (2002), have examined the positive or negative polarity, rather than presence or absence, of affective content in text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The other features could be based on the presence or absence of specific words, as is common in most text classification work.</S><S sid = NA ssid = NA>A positive review could be summarized by picking out the sentence with the highest positive semantic orientation and a negative review could be summarized by extracting the sentence with the lowest negative semantic orientation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P02-1053.txt | Citing Article:  P07-1124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Much of the work in sentiment analysis in the computational linguistics domain has focused either on short segments, such as sentences (Wilson et al, 2005), or on longer documents with an explicit polarity orientation like movie or product reviews (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The difficulty with movie reviews is that there are two aspects to a movie, the events and actors in the movie (the elements of the movie), and the style and art of the movie (the movie as a gestalt; a unified whole).</S><S sid = NA ssid = NA>Past work has demonstrated that adjectives are good indicators of subjective, evaluative sentences (Hatzivassiloglou & Wiebe, 2000; Wiebe, 2000; Wiebe et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P02-1053.txt | Citing Article:  W11-2207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These methods range from manual approaches of developing domain-dependent lexicons (Das and Chan, 2001) to semi-automated approaches (Hu and Liu, 2004) and fully automated approaches (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are a variety of potential applications for automated review rating.</S><S sid = NA ssid = NA>The lexicon is specific to the domain (e.g., movies) and must be built anew for each new domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P02-1053.txt | Citing Article:  C10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Therefore, the overall sentiment of a document is not necessarily the sum of the content parts (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It appears that movie reviews are difficult to classify, because the whole is not necessarily the sum of the parts; thus the accuracy on movie reviews is about 66%.</S><S sid = NA ssid = NA>On the other hand, for banks and automobiles, it seems that the whole is the sum of the parts, and the accuracy is 80% to 84%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P02-1053.txt | Citing Article:  W06-1664.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also, PMI-IR is useful for calculating semantic orientation and rating reviews (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The PMI-IR algorithm is employed to estimate the semantic orientation of a phrase (Turney, 2001).</S><S sid = NA ssid = NA>Preliminary experiments indicate that semantic orientation is also useful for summarization of reviews.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P02-1053.txt | Citing Article:  H05-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In previous work, statistical NLP computation over large corpora has been a slow, off line process, as in KNOWITALL (Etzioni et al, 2005) and also in PMI-IR applications such as sentiment classification (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The simplicity of PMI-IR may encourage further work with semantic orientation.</S><S sid = NA ssid = NA>PMI-IR estimates PMI by issuing queries to a search engine (hence the IR in PMI-IR) and noting the number of hits (matching documents).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P02-1053.txt | Citing Article:  W12-3704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Turney, 2002) worked on product reviews.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If the words are statistically independent, then the probability that they co-occur is given by the product p(word1) p(word2).</S><S sid = NA ssid = NA>The accuracy ranges from 84% for automobile reviews to 66% for movie reviews.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P02-1053.txt | Citing Article:  P13-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Like our class-attribute associations, the common-sense knowledge that the word cool is positive while unethical is negative can be learned from associations in web-scale data (Turney, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A phrase has a positive semantic orientation when it has good associations (e.g., “subtle nuances”) and a negative semantic orientation when it has bad associations (e.g., “very cavalier”).</S><S sid = NA ssid = NA>A phrase has a positive semantic orientation when it has good associations (e.g., “romantic ambience”) and a negative semantic orientation when it has bad associations (e.g., “horrific events”).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P02-1053.txt | Citing Article:  P11-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Search counts or search results have also been used for sentiment analysis (Turney, 2002), for transliteration (Grefenstette et al, 2004), candidate selection in machine translation (Lapata and Keller, 2005), text similarity measurements (Sahami and Heilman, 2006), in correct parse tree filtering (Yates et al, 2006), and paraphrase evaluation (Fujita and Sato, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the query “Akumal travel review”, a search engine could report, “There are 5,000 hits, of which 80% are thumbs up and 20% are thumbs down.” The search results could be sorted by average semantic orientation, so that the user could easily sample the most extreme reviews.</S><S sid = NA ssid = NA>Other related work is concerned with determining subjectivity (Hatzivassiloglou & Wiebe, 2000; Wiebe, 2000; Wiebe et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


