Citance Number: 1 | Reference Article:  A97-1030.txt | Citing Article:  P98-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The only exception is in (Wacholder et al 1997) where the reported performance for the sole semantic disambiguation task of PNs is 79%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most proper name recognizers that have been reported on in print either take as input text tagged by part-of-speech (e.g., the systems of (Paik et al. 1993) and (Mani et al.</S><S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  A97-1030.txt | Citing Article:  D07-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As Wacholder et al (1997) noted, it is fairly common for one of the mentions of an entity in a document to be a long, typical surface form of that entity (e.g., George W. Bush), while the other mentions are shorter surface forms (e.g., Bush).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is a fairly standard convention in an edited document for one of the first references to an entity (excluding a reference in the title) to include a relatively full form of its name.</S><S sid = NA ssid = NA>In a kind of discourse anaphora, other references to the entity take the form of shorter, more ambiguous variants.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  A97-1030.txt | Citing Article:  A00-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because of these difficulties, we believe that for the forseeable future, practical applications to discover new names in text will continue to require the sort of human effort invested in Nominator.</S><S sid = NA ssid = NA>A reliable database provides both accuracy and efficiency, if fast look-up methods are incorporated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A97-1030.txt | Citing Article:  N03-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We constructed a large, automatically annotated corpus by merging the output of Charniak's statistical parser (Charniak, 2000) with that of the IBM named entity recognition system Nominator (Wacholder et al,1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S><S sid = NA ssid = NA>Entity-type ambiguity is quite common, as places are named after famous people and companies are named after their owners or locations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A97-1030.txt | Citing Article:  C02-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wacholder et al (1997) use hand-written rules and knowledge bases to classify proper names into broad categories.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S><S sid = NA ssid = NA>Most proper name recognizers that have been reported on in print either take as input text tagged by part-of-speech (e.g., the systems of (Paik et al. 1993) and (Mani et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A97-1030.txt | Citing Article:  W03-0405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Approaches to this problem include Wacholder et al (1997), focusing on the variation of surface name for a given referent, and Smith and Crane (2002), resolving geographic name ambiguity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The man may refer to more than one male individual previously mentioned in the discourse or present in the non-linguistic context; J. Smith may similarly refer to more than one individual named Joseph Smith, John Smith, Jane Smith, etc.</S><S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A97-1030.txt | Citing Article:  W03-0428.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A common approach is to extract word-internal features from unknown words, for example suffix, capitalization, or punctuation features (Mikheev, 1997, Wacholder et al, 1997, Bikel et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several (e.g., (McDonald 1993), (Mani et al. 1993), (Paik et al.</S><S sid = NA ssid = NA>Most proper name recognizers that have been reported on in print either take as input text tagged by part-of-speech (e.g., the systems of (Paik et al. 1993) and (Mani et al.</S> | Discourse Facet:  NA | Annotator: Automatic


