Citance Number: 1 | Reference Article:  P08-1004.txt | Citing Article:  P14-2079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow an open IE approach (Banko and Etzioni, 2008) and use dependencies to identify the elements.</S> | Reference Offset:  ['6','59'] | Reference Text:  <S sid = 6 ssid = >In 2007, we introduced a new approach to the RE task, called Open Information Extraction (Open IE), which scales RE to the Web.</S><S sid = 59 ssid = >The unique nature of the open extraction task has led us to develop O-CRF, an open extraction system that uses the power of graphical models to identify relations in text.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P08-1004.txt | Citing Article:  C10-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The point of these work is that they selected relation expressions only from the words located between given entities in the text, because as far as Englishtexts are concerned, 86% of the relation expressions of named entity pairs appear between the pair (Banko and Etzioni, 2008).</S> | Reference Offset:  ['45','49'] | Reference Text:  <S sid = 45 ssid = >Given a relation name, labeled examples of the relation, and a corpus, traditional Relation Extraction (RE) systems output instances of the given relation found in the corpus.</S><S sid = 49 ssid = >First, traditional RE systems do not attempt to extract the text that signifies a relation in a sentence, since the relation name is given.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P08-1004.txt | Citing Article:  D11-1134.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Banko and Etzioni, 2008) a Conditional Random Field (CRF) classifier is used to perform Open Relation Extraction which improves by more than 60% the F-score achieved by the Naive Bayes model in the TextRunner system.</S> | Reference Offset:  ['44','62'] | Reference Text:  <S sid = 44 ssid = >In the next section, we show how we can use a Conditional Random Field, a model that can be described as a finite state machine with weighted transitions, to learn a model of how binary relationships are expressed in English.</S><S sid = 62 ssid = >TEXTRUNNER initially treated Open IE as a classification problem, using a Naive Bayes classifier to predict whether heuristically-chosen tokens between two entities indicated a relationship or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1004.txt | Citing Article:  D11-1134.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On four common relations (Acquisition, Birthplace, InvetorOf, WonAward), Open RE attained a recall of 18.4% in comparison to 58.4% achieved by Traditional RE (Banko and Etzioni 2008).</S> | Reference Offset:  ['18','138'] | Reference Text:  <S sid = 18 ssid = >What are the tradeoffs between Open IE and traditional IE?</S><S sid = 138 ssid = >Using labeled data, R1-CRF obtains a recall of 58.4%, compared to O-CRF, whose recall is 18.4%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1004.txt | Citing Article:  D10-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, as our input, we utilize tuples extracted by TEXTRUNNER (Banko and Etzioni, 2008) when run over a corpus of 500 million web pages.</S> | Reference Offset:  ['15','122'] | Reference Text:  <S sid = 15 ssid = >An Open IE system extracts a diverse set of relational tuples from text without any relation-specific input.</S><S sid = 122 ssid = >While the TEXTRUNNER system was previously found to extract over 7.5 million tuples from a corpus of 9 million Web pages, these experiments are the first to assess its true recall over a known set of relational tuples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1004.txt | Citing Article:  D10-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the Open IE corpus generated by running TEXTRUNNER on 500 million high quality Webpages (Banko and Etzioni, 2008) as the source of instance data for these relations.</S> | Reference Offset:  ['122','132'] | Reference Text:  <S sid = 122 ssid = >While the TEXTRUNNER system was previously found to extract over 7.5 million tuples from a corpus of 9 million Web pages, these experiments are the first to assess its true recall over a known set of relational tuples.</S><S sid = 132 ssid = >Table 3 shows that from the start, O-CRF achieves a high level of precision – 75.0% – without any relation-specific data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1004.txt | Citing Article:  W12-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, the recently proposed Open Information Extraction paradigm aims to detect related pairs of entities without knowing in advance what kinds of relations exist between entities in the source data and without any seeding (Banko and Etzioni, 2008).</S> | Reference Offset:  ['50','58'] | Reference Text:  <S sid = 50 ssid = >In contrast, an Open IE system has to locate both the set of entities believed to participate in a relation, and the salient textual cues that indicate the relation among them.</S><S sid = 58 ssid = >In Open IE, the relations are not known in advance, and neither are their argument types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1004.txt | Citing Article:  W12-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, they found that almost 40% of such relations are realized by the argument-verb-argument pattern (henceforth, AVA) (see Table 1 in Banko and Etzioni (2008)).</S> | Reference Offset:  ['57','58'] | Reference Text:  <S sid = 57 ssid = >Finally, RE systems typically use named-entity types as a guide (e.g., the second argument to HEADQUARTERS should be a LOCATION).</S><S sid = 58 ssid = >In Open IE, the relations are not known in advance, and neither are their argument types.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1004.txt | Citing Article:  W12-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The TextRunner system (Banko and Etzioni, 2008) is trained using a CRF classifier on S-V-O tuples from a parsed corpus as positive examples, and tuples that violate phrasal structure as negative ones.</S> | Reference Offset:  ['94','122'] | Reference Text:  <S sid = 94 ssid = >A given relation R is specified a priori, and R1-CRF is trained from hand-labeled positive and negative instances of R. The extractor is also permitted to use all lexical features, and is not restricted to closedclass words as is O-CRF.</S><S sid = 122 ssid = >While the TEXTRUNNER system was previously found to extract over 7.5 million tuples from a corpus of 9 million Web pages, these experiments are the first to assess its true recall over a known set of relational tuples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1004.txt | Citing Article:  W12-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >TextRunner achieves P=0.94, R=0.65, and F Score=0.77 on the AVA pattern (Banko and Etzioni,2008).</S> | Reference Offset:  ['124','152'] | Reference Text:  <S sid = 124 ssid = >O-CRF achieves a relative gain in F1 of 63.4% over the O-NB model employed by TEXTRUNNER, which obtains a precision of 86.6% and a recall of 23.2%.</S><S sid = 152 ssid = >Overall, F1 improved from 65.2% to 66.2%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1004.txt | Citing Article:  P10-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We run LDA-SP to compute preferences on amassive dataset of binary relations r (a1 ,a2) extracted from the Web by TEXTRUNNER (Banko and Etzioni, 2008).</S> | Reference Offset:  ['9','60'] | Reference Text:  <S sid = 9 ssid = >Open IE is ideally suited to corpora such as the Web, where the target relations are not known in advance, and their number is massive.</S><S sid = 60 ssid = >The remainder of this section describes O-CRF, and compares it to the extraction model employed by TEXTRUNNER, the first Open IE system (Banko et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1004.txt | Citing Article:  P10-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For all experiments we make use of a corpus of r (a1 ,a2) tuples, which was automatically extracted by TEXTRUNNER (Banko and Etzioni, 2008) from 500 million Web pages.</S> | Reference Offset:  ['51','122'] | Reference Text:  <S sid = 51 ssid = >Knowledge extracted by an open system takes the form of relational tuples (r, e1,... , en) that contain two or more entities el, ... , en, and r, the name of the relationship among them.</S><S sid = 122 ssid = >While the TEXTRUNNER system was previously found to extract over 7.5 million tuples from a corpus of 9 million Web pages, these experiments are the first to assess its true recall over a known set of relational tuples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1004.txt | Citing Article:  D11-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Banko and Etzioni (Banko and Etzioni, 2008) showed that a small set of POS-tag patterns cover a large fraction of relationships in English, but never incorporated the patterns into an extractor.</S> | Reference Offset:  ['17','39'] | Reference Text:  <S sid = 17 ssid = >We analyze a sample of English sentences to demonstrate that numerous relationships are expressed using a compact set of relation-independent lexico-syntactic patterns, which can be learned by an Open IE system.</S><S sid = 39 ssid = >The manual identification of these patterns inspired a body of work in which this initial set of extraction patterns is used to seed a bootstrapping process that automatically acquires additional patterns for is-a or part-whole relations (Etzioni et al., 2005; Snow et al., 2005; Girju et al., 2006), It is quite natural then to consider whether the same can be done for all binary relationships.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1004.txt | Citing Article:  W10-0907.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The TEXTRUNNER Open IE system (Banko and Etzioni, 2008) employs only shallow syntactic features in the extraction process.</S> | Reference Offset:  ['55','60'] | Reference Text:  <S sid = 55 ssid = >Second, a relation-independent extraction process makes it difficult to leverage the full set of features typically used when performing extraction one relation at a time.</S><S sid = 60 ssid = >The remainder of this section describes O-CRF, and compares it to the extraction model employed by TEXTRUNNER, the first Open IE system (Banko et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-1004.txt | Citing Article:  W10-0907.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Overall, we provide evidence that, contrary to belief in the Open IE literature (Banko and Etzioni, 2008), semantic approaches have a lot to offer for the task of Open IE and the vision of machine reading.</S> | Reference Offset:  ['6','46'] | Reference Text:  <S sid = 6 ssid = >In 2007, we introduced a new approach to the RE task, called Open Information Extraction (Open IE), which scales RE to the Web.</S><S sid = 46 ssid = >In the open extraction task, relation names are not known in advance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-1004.txt | Citing Article:  W11-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although OIE often has lower precision than traditional information extraction, it is able to extract a wider variety of relations at precision levels that are often useful (Banko and Etzioni, 2008).</S> | Reference Offset:  ['22','177'] | Reference Text:  <S sid = 22 ssid = >Second, when the number of target relations is small, and their names are known in advance, we show that O-CRF is able to match the precision of a traditional extraction system, though at substantially lower recall.</S><S sid = 177 ssid = >Compared to traditional IE, the recall of our Open IE system is admittedly lower.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-1004.txt | Citing Article:  W11-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Banko and Etzioni (2008) cite a precision score of 88% for their system.</S> | Reference Offset:  ['123','174'] | Reference Text:  <S sid = 123 ssid = >As reported in Table 2, O-CRF extracts relational tuples with a precision of 88.3% and a recall of 45.2%.</S><S sid = 174 ssid = >We have shown that binary relationships can be categorized using a compact set of lexicosyntactic patterns, and presented O-CRF, a CRFbased Open IE system that can extract different relationships with a precision of 88.3% and a recall of 45.2%4.</S> | Discourse Facet:  NA | Annotator: Automatic


