Citance Number: 1 | Reference Article:  W07-0702.txt | Citing Article:  W07-0733.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This alternate decoding path model was developed by Birch et al (2007).</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W07-0702.txt | Citing Article:  P09-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, Birch et al (2007) exploit factored phrase-based translation models to associate each word with a supertag, which contains most of the information needed to build a full parse.</S> | Reference Offset:  ['14','18'] | Reference Text:  <S sid = 14 ssid = >CCG contains most of the structure ofthe grammar in the lexicon, which makes it possible to introduce CCG supertags as a factor in a factored translation model (Koehn et al, 2006).</S><S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W07-0702.txt | Citing Article:  P10-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Birch et al (2007) also reported a significant improvement for Dutch-English translation by applying CCG supertags at a word level to a factorized SMT system (Koehn et al, 2007).</S> | Reference Offset:  ['14','19'] | Reference Text:  <S sid = 14 ssid = >CCG contains most of the structure ofthe grammar in the lexicon, which makes it possible to introduce CCG supertags as a factor in a factored translation model (Koehn et al, 2006).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W07-0702.txt | Citing Article:  D09-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We built two separate phrase tables for the two bi-texts, and we used them in the alter native decoding path model of Birch et al (2007).</S> | Reference Offset:  ['18','181'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 181 ssid = >This is similar to syntax-directed translation originally proposed for compiling (Aho and Ullman, 1969), and also used in machine translation (Quirk et al., 2005; Huang et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W07-0702.txt | Citing Article:  W12-4202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Birch et al (2007) and Hassan et al (2007) have shown the effectiveness of adding supertags on the target side, and Avramidis and Koehn (2008) have focused on the source side ,translating a morphologically-poor language (English) to a morphologically-rich language (Greek).</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W07-0702.txt | Citing Article:  W12-4202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our approach is slightly different from (Birch et al, 2007) and (Hassan et al, 2007), who mainly used the super tags on the target language side, English.</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W07-0702.txt | Citing Article:  P08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Probabilistic models for using only source tags were investigated by Birch et al (2007), who attached syntax hints in factored SMT models by having Combinatorial Categorial Grammar (CCG) super tags as factors on the input words, but in this case English was the target language.</S> | Reference Offset:  ['19','118'] | Reference Text:  <S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S><S sid = 118 ssid = >Factors are (w)ords, (p)os tags, (c)cg su pertags on the source s or the target tTable 1 shows that sequence models over CCG su pertags in the target (model sw, twc) improves over the baseline (model sw, tw) which has no supertags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W07-0702.txt | Citing Article:  P08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to reduce these problems, decoding needed to consider alternative paths to translation tables trained with less or no factors (as Birch et al (2007) suggested), so as to cover instances where a word appears with a factor which it has not been trained with.</S> | Reference Offset:  ['18','110'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 110 ssid = >The language models and thesequence models were trained on the Europarl train ing data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W07-0702.txt | Citing Article:  D11-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Supertagging encapsulates more contextual information than POS tags and Birch et al (2007) report improvements when comparing a super tag language model to a baseline using a word language model only.</S> | Reference Offset:  ['56','150'] | Reference Text:  <S sid = 56 ssid = >Sequence models over POS tags or supertags are smaller than language modelsbecause they have restricted lexicons.</S><S sid = 150 ssid = >4.5 Language Model vs. Supertags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W07-0702.txt | Citing Article:  P11-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hassan et al (2007) and Birch et al (2007) use super tag n-gram LMs.</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W07-0702.txt | Citing Article:  W12-0116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our approach is slightly different from (Birch et al, 2007) and (Hassan et al, 2007), who mainly used the supertags on the target language side, English.</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >This is a simple way of including syn tactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W07-0702.txt | Citing Article:  D07-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Factored translation models have also been used for the integration of CCG super tags (Birch et al, 2007), domain adaptation (Koehn and Schroeder, 2007) and for the improvement of English-Czech translation (Bojar, 2007).</S> | Reference Offset:  ['14','19'] | Reference Text:  <S sid = 14 ssid = >CCG contains most of the structure ofthe grammar in the lexicon, which makes it possible to introduce CCG supertags as a factor in a factored translation model (Koehn et al, 2006).</S><S sid = 19 ssid = >For both Arabic-English (Hassan et al, 2007) and our experiments in Dutch-English, n-gram models over CCG supertags improve the quality of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


