Citance Number: 1 | Reference Article:  J98-4004.txt | Citing Article:  P14-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Structural contexts like those captured by parent annotation (Johnson, 1998) are more subtle.</S> | Reference Offset:  ['123','212'] | Reference Text:  <S sid = 123 ssid = >The value of 1.4 can diverge from f, just like the other estimates.</S><S sid = 212 ssid = >In order to better understand just why the parent annotation transform performs so much better than the other transforms, transformation/detransformation experiments were performed in which the parent annotation transform was performed selectively either on all nodes with a given category label, or all nodes with a given category label and parent category label.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J98-4004.txt | Citing Article:  P12-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','235'] | Reference Text:  <S sid = 73 ssid = >For example, suppose our corpora only contain two trees, both of which have yields V Det N P Det N, are always analyzed as a VP with a direct object NP and a PP, and differ only as to whether the PP modifies the NP or the VP.</S><S sid = 235 ssid = >SBR-9720368 and SBR-9812169.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J98-4004.txt | Citing Article:  P10-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These two requirements are related to grammar refinement by annotation (Johnson, 1998), where annotations must be bounded and monotonic.</S> | Reference Offset:  ['193','216'] | Reference Text:  <S sid = 193 ssid = >Both the Flatten and Parent transforms induced PCFGs that have substantially more productions than the original treebank grammar, perhaps reflecting the fact that they encode more contextual information than the original treebank grammar, albeit in different ways.</S><S sid = 216 ssid = >Thus it is possible that the performance gains achieved by the parent annotation transform have little to do with PP attachment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J98-4004.txt | Citing Article:  D09-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Johnson (1998) annotates each node by its parent category in a tree, and gets significant improvements compared with the original PCFGs on the Penn Treebank.</S> | Reference Offset:  ['151','193'] | Reference Text:  <S sid = 151 ssid = >Parent appends to each nonroot nonterminal node's label its parent's category.</S><S sid = 193 ssid = >Both the Flatten and Parent transforms induced PCFGs that have substantially more productions than the original treebank grammar, perhaps reflecting the fact that they encode more contextual information than the original treebank grammar, albeit in different ways.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J98-4004.txt | Citing Article:  D08-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is well known that richer context representation gives rise to better parsing performance (Johnson, 1998).</S> | Reference Offset:  ['14','217'] | Reference Text:  <S sid = 14 ssid = >It is well known that natural language exhibits dependencies that context-free grammars (CFGs) cannot describe (Culy 1985; Shieber 1985).</S><S sid = 217 ssid = >This paper has presented theoretical and empirical evidence that the choice of tree representation can make a significant difference to the performance of a PCFG-based parsing system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J98-4004.txt | Citing Article:  W10-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Johnson (1998) showed that refining tree bank categories with parent information leads to more accurate grammars.</S> | Reference Offset:  ['104','165'] | Reference Text:  <S sid = 104 ssid = >The previous subsection showed that inserting additional nodes into the tree structure can result in a PCFG language model that better models the distribution of trees in the training corpus.</S><S sid = 165 ssid = >For example, the node labels used in the PCFG induced from trees produced by applying the parent transform are pairs of categories from the original Penn II WSJ tree bank, and so the labeled precision and recall measures obtained by comparing the parse trees obtained using this PCFG with the trees from the tree bank would be close to zero.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J98-4004.txt | Citing Article:  W08-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','235'] | Reference Text:  <S sid = 73 ssid = >For example, suppose our corpora only contain two trees, both of which have yields V Det N P Det N, are always analyzed as a VP with a direct object NP and a PP, and differ only as to whether the PP modifies the NP or the VP.</S><S sid = 235 ssid = >SBR-9720368 and SBR-9812169.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J98-4004.txt | Citing Article:  W06-1636.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Coming to this problem from the standpoint of tree transformation, we naturally view our work as a descendent of Johnson (1998).</S> | Reference Offset:  ['17','169'] | Reference Text:  <S sid = 17 ssid = >More specifically, this paper studies the effect of varying the tree structure representation of PP modification from both a theoretical and an empirical point of view.</S><S sid = 169 ssid = >The approach developed here overcomes this problem by applying an additional tree transformation step that converts the parse trees produced using the PCFG back to the Penn II tree representations, and compares these trees to the held-out test trees using the labeled precision and recall trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J98-4004.txt | Citing Article:  W06-1636.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','235'] | Reference Text:  <S sid = 73 ssid = >For example, suppose our corpora only contain two trees, both of which have yields V Det N P Det N, are always analyzed as a VP with a direct object NP and a PP, and differ only as to whether the PP modifies the NP or the VP.</S><S sid = 235 ssid = >SBR-9720368 and SBR-9812169.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J98-4004.txt | Citing Article:  W06-1636.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The implementation we use was created by Mark Johnson and used for the research in (Johnson, 1998).</S> | Reference Offset:  ['51','162'] | Reference Text:  <S sid = 51 ssid = >(Note that this is not a criticism of the use of this representation in a treebank, but of modeling such a representation with a PCFG).</S><S sid = 162 ssid = >It is straightforward to use the PCFG estimation techniques described in Section 2 to estimate PCFGs from the result of applying these transformations to sections 221 of the Penn II WSJ corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J98-4004.txt | Citing Article:  C08-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition we also have some features that do not have a linguistic interpretation, but result in a good PCFG, such as a parent feature on some categories, following Johnson (1998).</S> | Reference Offset:  ['0','218'] | Reference Text:  <S sid = 0 ssid = >PCFG Models Of Linguistic Tree Representations</S><S sid = 218 ssid = >What makes a tree representation a good choice for PCFG modeling seems to be quite different to what makes it a good choice for a representation of a linguistic theory.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J98-4004.txt | Citing Article:  N06-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Parent Annotation Another common relabeling method in parsing is parent annotation (Johnson, 1998), in which a node is annotated with its parent's label.</S> | Reference Offset:  ['65','151'] | Reference Text:  <S sid = 65 ssid = >The &quot;parent annotation&quot; transform discussed below, which appends the category of a parent node onto the label of all of its nonterminal children as sketched in Figure 2, has just this effect.</S><S sid = 151 ssid = >Parent appends to each nonroot nonterminal node's label its parent's category.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J98-4004.txt | Citing Article:  E12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To deal with such problems ,weadopt a two-steps approach, the first being realized with Conditional Random Fields (CRF) (Lafferty et al 2001), the second with a Probabilistic Context-Free Grammar (PCFG) (Johnson, 1998).</S> | Reference Offset:  ['199','230'] | Reference Text:  <S sid = 199 ssid = >The Chomsky adjunction representations are motivated within the theoretical framework of Transformational Grammar, which explicitly argues for nonlocal, indeed, non-context-free, dependencies.</S><S sid = 230 ssid = >For example, I am currently using this methodology to study the interaction between tree structure and a &quot;slash category&quot; node labeling in tree representations with empty categories (Gazdar et al. 1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J98-4004.txt | Citing Article:  E12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Once word shave been annotated with basic entity constituents, the tree structure of named entities is simple enough to be reconstructed with relatively simple model like PCFG (Johnson, 1998).</S> | Reference Offset:  ['2','92'] | Reference Text:  <S sid = 2 ssid = >This paper points out that the Penn II treebank representations are of the kind predicted to have such an effect, and describes a simple node relabeling transformation that improves a treebank PCFG-based parser's average precision and recall by around 8%, or approximately half of the performance difference between a simple PCFG model and the best broad-coverage parsers available today.</S><S sid = 92 ssid = >Thus a PCFG language model induced from the simple two-tree corpus above can underestimate the relative frequency of NP attachment by a factor of more than 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J98-4004.txt | Citing Article:  E12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A PCFG model (Johnson, 1998) is used to parse complete entity trees upon components.</S> | Reference Offset:  ['127','164'] | Reference Text:  <S sid = 127 ssid = >The previous section presented theoretical evidence that varying the tree representations used to estimate a PCFG language model can have a noticeable impact on that model's performance.</S><S sid = 164 ssid = >While the resulting parse trees can be compared to the trees in the test corpus using the precision and recall measures described above, the results would not be meaningful as the parse trees reflect a different tree representation to that used in the test corpus, and thus are not directly comparable with the test corpus trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J98-4004.txt | Citing Article:  E12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As discussed in (Johnson, 1998), an important point for a parsing algorithm is the representation of trees being parsed.</S> | Reference Offset:  ['17','152'] | Reference Text:  <S sid = 17 ssid = >More specifically, this paper studies the effect of varying the tree structure representation of PP modification from both a theoretical and an empirical point of view.</S><S sid = 152 ssid = >The effect of this transformation is to produce trees of the kind discussed in Section 4.4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J98-4004.txt | Citing Article:  E12-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Concerning the PCFG model, grammars, tree binarization and the different tree representations are created with our own scripts, while entity tree parsing is performed with the chart parsing algorithm described in (Johnson, 1998).</S> | Reference Offset:  ['177','227'] | Reference Text:  <S sid = 177 ssid = >For example, it might be that several different Penn II tree representations can correspond to a single parse tree, as is the case with a parser producing flattened tree representations.</S><S sid = 227 ssid = >A tree transformation/detransformation methodology for empirically evaluating the effect of different tree representations on parsing systems was developed in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


