Citance Number: 1 | Reference Article:  A00-2034.txt | Citing Article:  P12-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In a sense this is encouraging, as it motivates our most exciting future work: augmenting this simple model to explicitly capture complementary information such as distributional semantics (Blei et al, 2003), diathesis alternations (McCarthy, 2000) and selectional preferences (OSeaghdha, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Preferences for the target slots are compared using a measure of distributional similarity.</S><S sid = NA ssid = NA>And Ribas (1995) showed that selectional preferences acquired using alternations performed better on a word sense disambiguation task compared to preferences acquired without alternations.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the first method (that of McCarthy, 2000), the two profiles become identical.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McCarthy and Korhonen (1998) proposed a method for identifying asAs using MDL.</S><S sid = NA ssid = NA>It is these alternations that our method applies to.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate our method on the causative alternation in order for comparison to the earlier methods of McCarthy (2000) and Merlo and Stevenson (2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recently, there has been interest in corpus-based methods to identify alternations (McCarthy and Korhonen, 1998; Lapata, 1999), and associated verb classifications (Stevenson and Merlo, 1999).</S><S sid = NA ssid = NA>Stevenson and Merlo used four linguistically motivated features to distinguish these groups.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This means that the kind of straightforward propagation method used by McCarthy (2000) is not applicable to selectional profiles of this type.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although we have reported results on only two RSAS, our method is applicable to other such alternations.</S><S sid = NA ssid = NA>The method uses selectional preferences acquired as probability distributions over WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The method addresses conceptual problems of an earlier measure proposed by McCarthy (2000), which was limited to tree cut models (Li and Abe, 1998) and failed to distinguish detailed semantic differences between them.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McCarthy and Korhonen (1998) proposed a method for identifying asAs using MDL.</S><S sid = NA ssid = NA>Selectional preferences are acquired using the method devised by Li and Abe (1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A00-2034.txt | Citing Article:  W04-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By comparison, McCarthy (2000) attained 73% accuracy on her set of hand-selected test verbs in a similar task; however, when applied to our various sets of randomly selected verbs, our replication of her method performed very poorly, rarely reaching above chance performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We selected candidate verbs which occurred with 10 or more nominal argument heads at the target slots.</S><S sid = NA ssid = NA>From these, verbs were selected which had 75% or more agreement, i.e. three or more judges giving the same yes or no decision for the verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A00-2034.txt | Citing Article:  W04-2206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The mapping for the dependents in the alternation can be taken from existing lexical resources (Dorr, 1997), learned from corpora (McCarthy, 2000) or learned from existing lexicons (Bond et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use the SCF acquisition system of Briscoe and Carroll (1997), with a probabilistic LR parser (Inui et al., 1997) for syntactic processing.</S><S sid = NA ssid = NA>Levin's classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As in McCarthy (2000), we cast argument alternation detection as a comparison of sense profiles across two different argument positions of a verb.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>He used alternations to indicate where the argument head data from different slots can be combined since it occupies the same semantic relationship with the predicate.</S><S sid = NA ssid = NA>In this experiment, we used a similarity score on the argument heads directly, instead of generalizing the argument heads to WordNet classes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, McCarthy (2000) uses skew divergence (a variant of KL divergence proposed by Lee, 1999) to compare the sense profile of one argument of a verb (e.g., the subject position of the intransitive) to another argument of the same verb (e.g., the object position of the transitive), to determine if the verb participates in an argument alternation involving the two positions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this alternation, the object of the transitive variant can also appear as the subject of the intransitive variant.</S><S sid = NA ssid = NA>The UBC is at the classes B, C and D. To quantify the similarity between the probability distributions for the target slots we use the a-skew divergence (asp) proposed by Lee (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Because we demonstrate our new SPD measure on the same problem as McCarthy (2000), we provide more detail of her method here, for comparison.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For this feature, a measure similar to our LO measure was used.</S><S sid = NA ssid = NA>The polysemy of the verbs may provide another explanation for the large quantity of false positives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In McCarthy (2000), an error analysis reveals that the best method has more false positives than false negatives - some slots are considered overly similar because the sense profiles are compared at a coarse-grained level, losing fine semantic distinctions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For both base cuts, there are a larger number of false positives than false negatives when the mean is used.</S><S sid = NA ssid = NA>The scFs and data of different senses should not ideally be combined, at least not for coarse grained sense distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In McCarthy (2000), the distributions are propagated to the lowest common subsumers (i.e., the nodes labelled B, C, and D).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the probability distributions may be at different levels of WordNet, we map the Tcms at the target slots to a common tree cut, a &quot;base cut&quot;.</S><S sid = NA ssid = NA>The method uses selectional preferences acquired as probability distributions over WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the first method (that of McCarthy, 2000), the two profiles become identical.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McCarthy and Korhonen (1998) proposed a method for identifying asAs using MDL.</S><S sid = NA ssid = NA>It is these alternations that our method applies to.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate our method on the causative alternation in order for comparison to the earlier method of McCarthy (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An example of the causative alternation is given in (1) below.</S><S sid = NA ssid = NA>It is these alternations that our method applies to.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This means that the kind of straightforward propagation method used by McCarthy (2000) is not applicable to sense profiles of this type.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although we have reported results on only two RSAS, our method is applicable to other such alternations.</S><S sid = NA ssid = NA>The fully automatic method outlined here is applied to the causative and conative alternations, but is applicable to other RSAS.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A00-2034.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The method addresses conceptual problems of an earlier measure proposed by McCarthy (2000), which was limited to tree cut models (Li and Abe, 1998) and failed to distinguish detailed semantic differences between them.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McCarthy and Korhonen (1998) proposed a method for identifying asAs using MDL.</S><S sid = NA ssid = NA>Selectional preferences are acquired using the method devised by Li and Abe (1995).</S> | Discourse Facet:  NA | Annotator: Automatic


