Citance Number: 1 | Reference Article:  J10-4006.txt | Citing Article:  P14-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a distributional resource for French, built on a 200M word corpus extracted from the French Wikipedia, following principles laid out in (Bourigault, 2002) from a structured model (Baroni and Lenci, 2010), i.e. using syntactic contexts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The labeled tensor is nothing other than a formalization of distributional data extracted in the word–link–word–score format, which is customary in many structured DSMs.</S><S sid = NA ssid = NA>In our experiments we do not make use of the contexts of the target word pairs that are provided with the test set.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More formally, Baroni and Lenci (2010) construct a 3-dimensional tensor T assigning a value c to instances of word pairs w, v and a connecting link-word l.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The labeled tensor is nothing other than a formalization of distributional data extracted in the word–link–word–score format, which is customary in many structured DSMs.</S><S sid = NA ssid = NA>As in structured DSMs, we adopt word–link–word tuples as the most suitable way to capture distributional facts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The 11 most frequent contexts in Baroni and Lenci (2010)'s tensor (v and j represent verbs and adjectives, respectively).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These terms were selected based on their frequency in the corpus (they are approximately the top 20,000 most frequent nouns and top 5,000 most frequent verbs and adjectives), augmenting the list with lemmas that we found in various standard test sets, such as the TOEFL and SAT lists.</S><S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We therefore extract so-called word-fibres, essentially projections onto a lower-dimensional sub space, from the same tensor Baroni and Lenci (2010) collectively derived from the 3 billion word corpus just described (henceforth 3-BWC).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is essentially the same task as the TOEFL, but applied to word pairs instead of words.</S><S sid = NA ssid = NA>DM instead represents corpus-extracted co-occurrences as a third-order tensor, a ternary geometrical object that models distributional data in terms of word– link–word tuples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the case of vectors obtained from Baroni and Lenci (2010)'s DM tensor, we differentiated between phrases and sentences, due to the disparate amount of words contained in them (see Section 2.1).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S><S sid = NA ssid = NA>Bootstrapped confidence intervals are obtained as described in Section 6.1.3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This separation is in line with what is commonly assumed in cognitive science and formal linguistics, and we hope it will contribute to make corpus-based modeling a core part of the ongoing study of semantic knowledge in humans and machines.</S><S sid = NA ssid = NA>For example, there is a sbj intr−1 link between an intransitive verb and its subject: (talk, sbj intr−1, soldier).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J10-4006.txt | Citing Article:  D12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our comparisons involved a simple distributional semantic space (Mitchell and Lapata, 2010), word embeddings computed with a neural language model (Collobert and Weston, 2008) and a representation based on weighted word-link-word tuples arranged into a third-order tensor (Baroni and Lenci, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an alternative to this “one task, one model” approach, the Distributional Memory framework extracts distributional information once and for all from the corpus, in the form of a set of weighted word-link-word tuples arranged into a third-order tensor.</S><S sid = NA ssid = NA>As an alternative to this “one task, one model” approach, the Distributional Memory framework extracts distributional information once and for all from the corpus, in the form of a set of weighted word-link-word tuples arranged into a third-order tensor.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J10-4006.txt | Citing Article:  P12-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We add to the models we constructed the freely available Distributional Memory (DM) model, that has been shown to reach state-of-the-art performance in many semantic tasks (Baroni and Lenci,2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In many of the experiments herein, DM is not only compared to the results available in the literature, but also to our implementation of state-of-the-art DSMs.</S><S sid = NA ssid = NA>In all cases, we compare the performance of several DM implementations to state-of-the-art results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J10-4006.txt | Citing Article:  W11-2508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>LMI proved to be a good measure for different semantic tasks, see for example the work of Baroni and Lenci, 2010.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S><S sid = NA ssid = NA>automated generation of commonsense concept descriptions in terms of intuitively salient properties: a dog is a mammal, it barks, it has a tail, and so forth (Almuhareb 2006; Baroni and Lenci 2008; Baroni, Evert, and Lenci 2008; Baroni et al. 2010).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J10-4006.txt | Citing Article:  W12-1707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A recent multi-purpose framework in distributional semantics is Distributional Memory (DM, Baroni and Lenci (2010)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Distributional Memory: A General Framework for Corpus-Based Semantics</S><S sid = NA ssid = NA>With this aim in mind, we introduce Distributional Memory (DM), a generalized framework for distributional semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J10-4006.txt | Citing Article:  W12-1707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Their cognitive relevance for language has been supported by studies of child lexical development (Li et al, 2004), category-related deficits (Vigliocco et al, 2004), selectional preferences (Erk, 2007), event types (Zarcone and Lenci, 2008) and more (see Landauer et al (2007) and Baroni and Lenci (2010) for a review).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See Baroni et al. (2010) for the full list.</S><S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J10-4006.txt | Citing Article:  W12-1707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>we used local mutual information (LMI) as proposed by Baroni and Lenci (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The weights assigned to the tuples by the scoring function σ are given by Local Mutual Information (LMI) computed on the raw corpus-derived word–link–word cooccurrence counts.</S><S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J10-4006.txt | Citing Article:  W11-2503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The DM model is described in detail by Baroni and Lenci (2010), where it is referred to as TypeDM.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S><S sid = NA ssid = NA>TypeDM is again our best model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J10-4006.txt | Citing Article:  W11-2503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Refer to Baroni and Lenci (2010) for how the surface realizations of a feature are determined.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We refer to it as the centroid of the vectors.</S><S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J10-4006.txt | Citing Article:  P14-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baroni and Lenci (2010) make the vectors of their best-performing Distributional Memory (dm) model available.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Coherent with this approach, we make our best DM model (TypeDM) publicly available from http://clic.cimec.unitn.it/dm.</S><S sid = NA ssid = NA>TypeDM is again our best model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J10-4006.txt | Citing Article:  P14-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The mcrae set (McRae et al, 1998) consists of 100 noun-verb pairs, with top performance reached by the DepDM system of Baroni and Lenci (2010), a count DSM relying on syntactic information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The McRae data set (McRae, Spivey-Knowlton, and Tanenhaus 1998) consists of 100 noun–verb pairs rated by 36 subjects.</S><S sid = NA ssid = NA>See Baroni et al. (2010) for the full list.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J10-4006.txt | Citing Article:  P14-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Indeed, in several cases they are close, or even better than those attained by dm, a linguistically-sophisticated count based approach that was shown to reach top performance across a variety of tasks by Baroni and Lenci (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We omit discussion of our own work that the DM framework is an extension and generalization of Baroni et al. (2010) and Baroni and Lenci (2009).</S><S sid = NA ssid = NA>In all cases, we compare the performance of several DM implementations to state-of-the-art results.</S> | Discourse Facet:  NA | Annotator: Automatic


