Citance Number: 1 | Reference Article:  C02-2025.txt | Citing Article:  W02-1502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These tools could use the type hierarchy to predict where conflicts are likely to arise and bring these to the engineer's attention, possibly inspired by the approach under development at CSLI for the dynamic maintenance of the LinGO Redwoods tree bank (Oepen et al, 2002).</S> | Reference Offset:  ['3','4'] | Reference Text:  <S sid = 3 ssid = >Since October 2001, the project is working to build the foun- dations for this new type of treebank, to develop a basic set of tools for treebank construction and maintenance, and to con- struct an initial set of 10,000 annotated trees to be distributed together with the tools under an open-source license.</S><S sid = 4 ssid = >1 Why Another (Type of) Treebank?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C02-2025.txt | Citing Article:  P09-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Penn Treebank (Marcus et al, 1993) the HPSG LinGo Redwoods Treebank (Oepen et al, 2002), and a smaller dependency tree bank (Buchholz and Marsi, 2006).</S> | Reference Offset:  ['4','31'] | Reference Text:  <S sid = 4 ssid = >1 Why Another (Type of) Treebank?</S><S sid = 31 ssid = >argument (or tectogrammati- cal) structure advocated in the Prague Dependency Tree- bank or the German TiGer corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C02-2025.txt | Citing Article:  W03-0403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We do so in the context of Redwoods (Oepen et al, 2002), a tree bank that contains HPSG analyses for sentences from the Verbmobil appointment scheduling and travel planning domains. We show that sample selection metrics based on tree entropy (Hwa, 2000) and disagreement between two different parse selection models significantly reduce the number of annotated sentences necessary to match a given level of performance according to random selection.</S> | Reference Offset:  ['76','123'] | Reference Text:  <S sid = 76 ssid = >(We restrict attention in the test corpus to sentences that are ambiguous according to the grammar, that is, for which the parse selection task is nontrivial.)</S><S sid = 123 ssid = >The first column of Ta- ble 2 presents the performance of the models on the tag selection problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C02-2025.txt | Citing Article:  W03-0403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To address this limitation, the Redwoods treebank has been created to provide annotated training material to permit statistical models for ambiguity resolution to be combined with the precise interpretations produced by the ERG (Oepen et al, 2002).</S> | Reference Offset:  ['6','174'] | Reference Text:  <S sid = 6 ssid = >While shallow and probabilistic processing techniques have produced use- ful results in many classes of applications, they have not met the full range of needs for NLP, particularly where precise interpretation is important, or where the variety of linguistic expression is large relative to the amount of training data available.</S><S sid = 174 ssid = >Three generative, lexicalised models for statistical parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C02-2025.txt | Citing Article:  P06-4017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The structure of our treebank is inspired by the Redwoods tree bank of English (Oepen et al,2002) in which utterances are parsed and the annotator selects the best parse from the full analyses derived by the grammar.</S> | Reference Offset:  ['18','31'] | Reference Text:  <S sid = 18 ssid = >The key innovative aspect of the Redwoods ap- proach to treebanking is the anchoring of all linguis- tic data captured in the treebank to the HPSG frame- work and a generally-available broad-coverage gram- mar of English, the LinGO English Resource Grammar (Flickinger, 2000) as implemented with the LKB gram- mar development environment (Copestake, 2002).</S><S sid = 31 ssid = >argument (or tectogrammati- cal) structure advocated in the Prague Dependency Tree- bank or the German TiGer corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C02-2025.txt | Citing Article:  W04-3222.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We apply these ideas in the context of parse disambiguation for sentence analyses produced by a Head-driven Phrase Structure Grammar (HPSG), the grammar formalism underlying the Redwoods corpus (Oepen et al, 2002).</S> | Reference Offset:  ['21','84'] | Reference Text:  <S sid = 21 ssid = >The treebanking environment, building on the [incr tsdb()] profiling environment (Oepen & Callmeier, 2000), presents annotators, one sentence at a time, with the full set of analyses produced by the grammar.</S><S sid = 84 ssid = >j in the corresponding con- text free grammar.3 In our application, the nonterminals in the PCFG Ai are rules of the HPSG grammar used to build the parses (such as HEAD-COMPL or HEAD-ADJ).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C02-2025.txt | Citing Article:  N04-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although annotated corpora exist for HPSG, such corpora do not exist in significant volumes and are limited to a few small domains (Oepen et al, 2002).</S> | Reference Offset:  ['146','165'] | Reference Text:  <S sid = 146 ssid = >Earlier work on building corpora of hand-selected analyses relative to an exist- ing broad-coverage grammar was carried out at Xerox PARC, SRI Cambridge, and Microsoft Research.</S><S sid = 165 ssid = >A tool for supervised training of parsed corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C02-2025.txt | Citing Article:  N04-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To overcome this limitation for the HPSG English ResourceGrammar (ERG, Flickinger (2000)), the Redwoods treebank has been created to provide annotated training material (Oepen et al, 2002).</S> | Reference Offset:  ['18','185'] | Reference Text:  <S sid = 18 ssid = >The key innovative aspect of the Redwoods ap- proach to treebanking is the anchoring of all linguis- tic data captured in the treebank to the HPSG frame- work and a generally-available broad-coverage gram- mar of English, the LinGO English Resource Grammar (Flickinger, 2000) as implemented with the LKB gram- mar development environment (Copestake, 2002).</S><S sid = 185 ssid = >Flickinger, D. (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C02-2025.txt | Citing Article:  W07-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >With the evolution of the grammar, the treebank as the output from the grammar changes over time (Oepen et al, 2002).</S> | Reference Offset:  ['21','38'] | Reference Text:  <S sid = 21 ssid = >The treebanking environment, building on the [incr tsdb()] profiling environment (Oepen & Callmeier, 2000), presents annotators, one sentence at a time, with the full set of analyses produced by the grammar.</S><S sid = 38 ssid = >Treebank Maintenance and Evolution One of the challenging research aspects of the Redwoods initiative is about developing a methodology for automated up- dates of the treebank to reflect the continuous evolution of the underlying linguistic framework and of the LinGO grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C02-2025.txt | Citing Article:  P05-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This kind of dynamic, discriminant-based treebanking was pioneered in the Redwoods treebank of English (Oepen et al, 2002), so we refer to it as Redwoods-style treebanking.</S> | Reference Offset:  ['2','18'] | Reference Text:  <S sid = 2 ssid = >LinGO Redwoods aims at the development of a novel treebanking methodology, rich in nature and dynamic both in the ways linguistic data can be retrieved from the treebank in varying granularity and in the constant evolution and regular updating of the treebank itself.</S><S sid = 18 ssid = >The key innovative aspect of the Redwoods ap- proach to treebanking is the anchoring of all linguis- tic data captured in the treebank to the HPSG frame- work and a generally-available broad-coverage gram- mar of English, the LinGO English Resource Grammar (Flickinger, 2000) as implemented with the LKB gram- mar development environment (Copestake, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C02-2025.txt | Citing Article:  P05-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['52','209'] | Reference Text:  <S sid = 52 ssid = >The columns are, from left to right, the total number of sentences (excluding fragments) for which the LinGO grammar has at least one analysis (?]?</S><S sid = 209 ssid = >Berlin, Germany: Springer.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C02-2025.txt | Citing Article:  P05-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, despite research on HPSG processing efficiency (Oepen et al, 2002a), the application of HPSG parsing is still limited to specific domains and short sentences (Oepen et al, 2002b; Toutanova and Manning, 2002).</S> | Reference Offset:  ['67','205'] | Reference Text:  <S sid = 67 ssid = >Most probabilistic parsing research ?</S><S sid = 205 ssid = >Toutanova, K., & Manning, C. D. (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C02-2025.txt | Citing Article:  P05-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, despite the development of methods to improve HPSG parsing efficiency (Oepen et al, 2002a), the exhaustive parsing of all sentences in a tree bank is still expensive.</S> | Reference Offset:  ['67','174'] | Reference Text:  <S sid = 67 ssid = >Most probabilistic parsing research ?</S><S sid = 174 ssid = >Three generative, lexicalised models for statistical parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C02-2025.txt | Citing Article:  D07-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The lexical acquisition model was trained with the Redwoods treebank (Oepen et al, 2002), following Zhang et al (2006).</S> | Reference Offset:  ['54','62'] | Reference Text:  <S sid = 54 ssid = >), lexical and structural ambiguity (?</S><S sid = 62 ssid = >These lexical types ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C02-2025.txt | Citing Article:  P04-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we evaluate the truth of these assumptions on the MRS expressions which the ERGcomputes for the sentences in the Redwoods Treebank (Oepen et al, 2002).</S> | Reference Offset:  ['131','201'] | Reference Text:  <S sid = 131 ssid = >2, which is all ambiguous sentences.</S><S sid = 201 ssid = >Oepen, S., & Callmeier, U.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C02-2025.txt | Citing Article:  P04-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a test corpus, we use the Redwoods Treebank (Oepen et al, 2002) which contains 6612 sentences.</S> | Reference Offset:  ['57','76'] | Reference Text:  <S sid = 57 ssid = >In this section, we describe ex- periments using the Redwoods treebank to build and test systems for parse disambiguation.</S><S sid = 76 ssid = >(We restrict attention in the test corpus to sentences that are ambiguous according to the grammar, that is, for which the parse selection task is nontrivial.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C02-2025.txt | Citing Article:  W04-1901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The structure of our treebank is inspired by the Redwoods treebank of English in which utterances are parsed and the annotator selects the best parse from the full analyses derived by the grammar (Oepen et al., 2002).</S> | Reference Offset:  ['4','18'] | Reference Text:  <S sid = 4 ssid = >1 Why Another (Type of) Treebank?</S><S sid = 18 ssid = >The key innovative aspect of the Redwoods ap- proach to treebanking is the anchoring of all linguis- tic data captured in the treebank to the HPSG frame- work and a generally-available broad-coverage gram- mar of English, the LinGO English Resource Grammar (Flickinger, 2000) as implemented with the LKB gram- mar development environment (Copestake, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


