Citance Number: 1 | Reference Article:  P99-1032.txt | Citing Article:  C00-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically, each sentence was assigned a subjective or objective classitication, according to concensus lags derived by a stalistical analysis of the chisses assigned by three human judges (see (Wiebe et al, 1999) for further information).</S> | Reference Offset:  ['82','85'] | Reference Text:  <S sid = 82 ssid = >As applied here, the observed variables are the classifications assigned by the judges.</S><S sid = 85 ssid = >Once estimates of these parameters are obtained, each clause can be assigned the most probable latent category given the tags assigned by the judges.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P99-1032.txt | Citing Article:  W04-2323.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wiebe et al (1999) use statistical methods to automatically correct the biases in an notations of speaker subjectivity.</S> | Reference Offset:  ['52','76'] | Reference Text:  <S sid = 52 ssid = >Our goal is to correct correlated disagreements automatically.</S><S sid = 76 ssid = >We use the latent class model to correct symmetric disagreements that appear to result from bias.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P99-1032.txt | Citing Article:  W03-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our experimental results show that the subjectivity classifier performs well (77% recall with 81% precision) and that the learned nouns improve upon previous state-of-the-art subjectivity results (Wiebe et al, 1999).</S> | Reference Offset:  ['4','138'] | Reference Text:  <S sid = 4 ssid = >We also present the results of a probabilistic classifier developed on the resulting annotations.</S><S sid = 138 ssid = >The results of the experiments are very promising.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1032.txt | Citing Article:  W03-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Row (2) is a Naive Bayes classifier that uses the WBO features, which performed well in prior research on sentence-level subjectivity classification (Wiebe et al, 1999).</S> | Reference Offset:  ['126','135'] | Reference Text:  <S sid = 126 ssid = >In the method we use for developing classifiers (Bruce and Wiebe, 1999), a search is performed to find a probability model that captures important interdependencies among features.</S><S sid = 135 ssid = >Finally, a feature is included representing co-occurrence of word tokens and punctuation marks with the subjective and objective classification.4 There are many other features to investigate in future work, such as features based on tags assigned to previous utterances (see, e.g., (Wiebe et al., 1997; Samuel et al., 1998)), and features based on semantic classes, such as positive and negative polarity adjectives (Hatzivassiloglou and McKeown, 1997) and reporting verbs (Bergler, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1032.txt | Citing Article:  W03-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, our work classifies individual sentences, as does the research in (Wiebe et al, 1999).</S> | Reference Offset:  ['42','112'] | Reference Text:  <S sid = 42 ssid = >Let nj denote the number of sentences that judge 1 classifies as i and judge 2 classifies as j, and let be the probability that a randomly selected sentence is categorized as i by judge 1 and j by judge 2.</S><S sid = 112 ssid = >In contrast, agreement among the other judges noticeably improves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1032.txt | Citing Article:  W03-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bruc eand Wiebe (1999) annotated 1,001 sentences as subjective or objective, and Wiebe et al (1999) described a sentence-level Naive Bayes classifier using as features the presence or absence of particular syntactic classes (pronouns, adjectives, cardinal numbers, modal verbs, adverbs), punctuation, and sentence position.</S> | Reference Offset:  ['133','135'] | Reference Text:  <S sid = 133 ssid = >A binary feature is included for each of the following: the presence in the sentence of a pronoun, an adjective, a cardinal number, a modal other than will, and an adverb other than not.</S><S sid = 135 ssid = >Finally, a feature is included representing co-occurrence of word tokens and punctuation marks with the subjective and objective classification.4 There are many other features to investigate in future work, such as features based on tags assigned to previous utterances (see, e.g., (Wiebe et al., 1997; Samuel et al., 1998)), and features based on semantic classes, such as positive and negative polarity adjectives (Hatzivassiloglou and McKeown, 1997) and reporting verbs (Bergler, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1032.txt | Citing Article:  W03-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While words and n-grams had little performance effect for the opinion class, they increased the recall for the fact class around five fold compared to the approach by Wiebe et al (1999).</S> | Reference Offset:  ['84','153'] | Reference Text:  <S sid = 84 ssid = >Then, the latent class model is: (by definition) The parameters of the model are {p(b, 1) , p(d, 1), p(j , 1) , p(m, 1)p(1)} .</S><S sid = 153 ssid = >The strong performance of the classifier and its consistency with the judges demonstrate the value of this approach to developing gold-standard tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1032.txt | Citing Article:  W06-1650.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wiebe et al (1999) classified sentence level subjectivity using syntactic classes such as adjectives, pronouns and modal verbs as features.</S> | Reference Offset:  ['28','135'] | Reference Text:  <S sid = 28 ssid = >However, the object of the sentence is not presented as material that is factual to the reporter, so the sentence is classified as subjective.</S><S sid = 135 ssid = >Finally, a feature is included representing co-occurrence of word tokens and punctuation marks with the subjective and objective classification.4 There are many other features to investigate in future work, such as features based on tags assigned to previous utterances (see, e.g., (Wiebe et al., 1997; Samuel et al., 1998)), and features based on semantic classes, such as positive and negative polarity adjectives (Hatzivassiloglou and McKeown, 1997) and reporting verbs (Bergler, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1032.txt | Citing Article:  P11-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Wiebe et al, 1999), if the primary goal of a sentence is judged as the objective reporting of information, it was labeled as OBJ.</S> | Reference Offset:  ['20','26'] | Reference Text:  <S sid = 20 ssid = >The definitions of the categories in our coding manual are intention-based: &quot;If the primary intention of a sentence is objective presentation of material that is factual to the reporter, the sentence is objective.</S><S sid = 26 ssid = >The speaker, in these cases, is being used as a reliable source of information.&quot; Following are examples of subjective and objective sentences: In sentence 4, there is no uncertainty or evaluation expressed toward the speaking event.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1032.txt | Citing Article:  P11-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wiebe et al (1999) train a sentence-level probabilistic classifier on data from the WSJ to identify subjectivity in these sentences.</S> | Reference Offset:  ['4','14'] | Reference Text:  <S sid = 4 ssid = >We also present the results of a probabilistic classifier developed on the resulting annotations.</S><S sid = 14 ssid = >They are used to guide the revision of the coding manual, resulting in improved Kappa scores, and they serve as a gold standard for developing a probabilistic classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1032.txt | Citing Article:  P11-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Again, our feature set is richer than Wiebe et al (1999).</S> | Reference Offset:  ['123','135'] | Reference Text:  <S sid = 123 ssid = >Thus, it is used to define the bias-corrected tags for the second data set as well.</S><S sid = 135 ssid = >Finally, a feature is included representing co-occurrence of word tokens and punctuation marks with the subjective and objective classification.4 There are many other features to investigate in future work, such as features based on tags assigned to previous utterances (see, e.g., (Wiebe et al., 1997; Samuel et al., 1998)), and features based on semantic classes, such as positive and negative polarity adjectives (Hatzivassiloglou and McKeown, 1997) and reporting verbs (Bergler, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1032.txt | Citing Article:  W03-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work on sentence-level subjectivity classification (Wiebe et al, 1999) used training corpora that had been manually annotated for subjectivity.</S> | Reference Offset:  ['37','130'] | Reference Text:  <S sid = 37 ssid = >In related work (Wiebe et al., in preparation), we found that article types, such as announcement and opinion piece, are significantly correlated with the subjective and objective classification.</S><S sid = 130 ssid = >On each fold, one set is used for testing, and the other nine are used for training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1032.txt | Citing Article:  W03-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','155'] | Reference Text:  <S sid = 48 ssid = >Relative bias is one aspect of agreement among judges.</S><S sid = 155 ssid = >We are grateful to Matthew T. Bell and Richard A. Wiebe for participating in the annotation study, and to the anonymous reviewers for their comments and suggestions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1032.txt | Citing Article:  W11-0323.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >According to the coding manual (Wiebe et al, 1999), subjective sentences are those expressing evaluations, opinions, emotions, and speculations.</S> | Reference Offset:  ['24','96'] | Reference Text:  <S sid = 24 ssid = >From the coding manual: &quot;Subjective speech-event (and private-state) sentences are used to communicate the speaker's evaluations, opinions, emotions, and speculations.</S><S sid = 96 ssid = >A second corpus is annotated by the same four judges according to the new coding manual.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1032.txt | Citing Article:  W01-1626.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One judge annotated all articles in four datasets of the Wall Street Journal Treebank corpus (Marcus et al, 1993) (W9-4, W9-10, W9-22, and W9 33, each approximately 160K words) as well as the corpus of Wall Street Journal articles used in (Wiebe et al, 1999) (called WSJ-SE below).</S> | Reference Offset:  ['96','100'] | Reference Text:  <S sid = 96 ssid = >A second corpus is annotated by the same four judges according to the new coding manual.</S><S sid = 100 ssid = >Two disjoint corpora are used in steps 2 and 5, both consisting of complete articles taken from the Wall Street Journal Treebank Corpus (Marcus et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P99-1032.txt | Citing Article:  W01-1626.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Additionally, it may be possible to refine the classications automatically using methods such as those described in (Wiebe et al, 1999).</S> | Reference Offset:  ['75','99'] | Reference Text:  <S sid = 75 ssid = >This model can be evaluated using CoCo as described on pages 289-290 of Bishop et al. (1975).</S><S sid = 99 ssid = >The results of the second tagging experiment are analyzed using the methods described in section 3, and bias-corrected tags are produced for the second data set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P99-1032.txt | Citing Article:  W10-2919.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >During the past few years, the problem of polarity recognition has been usually faced as a step beyond the identification of the subjectivity or objectivity of texts (Wiebe et al, 1999).</S> | Reference Offset:  ['29','135'] | Reference Text:  <S sid = 29 ssid = >Linguistic categorizations usually do not cover all instances perfectly.</S><S sid = 135 ssid = >Finally, a feature is included representing co-occurrence of word tokens and punctuation marks with the subjective and objective classification.4 There are many other features to investigate in future work, such as features based on tags assigned to previous utterances (see, e.g., (Wiebe et al., 1997; Samuel et al., 1998)), and features based on semantic classes, such as positive and negative polarity adjectives (Hatzivassiloglou and McKeown, 1997) and reporting verbs (Bergler, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


