Citance Number: 1 | Reference Article:  C04-1073.txt | Citing Article:  P05-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xia and McCord, 2004) describe an approach for translation from French to English, where reordering rules are acquired automatically.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C04-1073.txt | Citing Article:  W12-0704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Generally reordering rules are applied to the source language, but there have been attempts at target side reordering as well (Na et al, 2009). Reordering rules can be based on different levels of linguistic annotation, such as POS-tags (Niehues and Kolss, 2009), chunks (Zhang et al, 2007) or parse trees (Xia and McCord, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C04-1073.txt | Citing Article:  P11-3003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Preprocessing approaches can use either hand-written rules targeting known language differences (e.g. Collins et al (2005), Li et al (2009)), or automatically learnt rules (e.g. Xia and McCord (2004), Zhang et al (2007b)), which are basically language independent.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C04-1073.txt | Citing Article:  W08-0405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In future work our novel approach might allow to make use of lexicalized reorder rules as in (Xia and McCord, 2004) or syntactic rules as in (Wang et al, 2007).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C04-1073.txt | Citing Article:  C10-2023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To the best of our knowledge, the authors of (Xia and McCord, 2004) were the first to address this problem in the statistical MT paradigm.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C04-1073.txt | Citing Article:  E09-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xia and McCord, 2004) present a similar approach, with a notable difference: the re-ordering rules are automatically learned from aligning parse trees for both the source and target sentences.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C04-1073.txt | Citing Article:  P11-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many such systems exist, with results being mixed; we review several here. Xia and McCord (2004) (English-to-French translation, using automatically-extracted reordering rules) train on the Canadian Hansard.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C04-1073.txt | Citing Article:  C08-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most notable models are given by Xia and McCord (2004), Collins et al (2005), Li et al (2007) and Wang et al (2007).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C04-1073.txt | Citing Article:  C08-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Xia and McCord (2004) parsed the source and target sides of the training data and then automatically extracted the rewriting patterns.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C04-1073.txt | Citing Article:  W09-2310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The technique proposed in this study is most similar to the one proposed for French-to-English translation task in Xia and McCord (2004), where the authors present a hybrid system for French English translation based on the principle of automatic rewrite patterns extraction using a parse tree and phrase alignments.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C04-1073.txt | Citing Article:  D12-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a result, there is a large amount of previous research that handles the problem of reordering through the use of improved reordering models for phrase-based SMT (Koehn et al2005), hierarchical phrase-based translation (Chiang, 2007), syntax-based translation (Yamada and Knight, 2001), or pre ordering (Xia and McCord, 2004). In particular, systems that use source language syntax allow for the handling of long distance reordering without large increases in The first author is now affiliated with the Nara Institute of Science and Technology.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C04-1073.txt | Citing Article:  D12-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Figure 1: An example with a source sentence F re ordered into target order F, and its corresponding target sentence E. D is one of the BTG derivations that can produce this ordering.the pre-ordering approach to machine translation (Xia and McCord, 2004), which performs translation as a two step process of reordering and translation (Figure 1).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C04-1073.txt | Citing Article:  W09-0420.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Preprocessing approaches involving the use of a syntactic parse of the source sentence to change the word order to more closely match the word order of the target language have been studied by Niessen and Ney (2004), Xia and McCord (2004), Dra ?bek and Yarowsky (2004), Collins et al.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C04-1073.txt | Citing Article:  W08-0411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Syntax-based reordering rules can be used as a preprocessing step for PB-SMT (and other approaches), to decrease the word-order and syntactic distortion between the source and target languages (Xia and McCord, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C04-1073.txt | Citing Article:  W08-0411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The underlying formalisms used has been quite broad and include simple formalisms such as ITGs (Wu, 1997), hierarchical synchronous rules (Chiang, 2005), string to tree models by (Galley et al, 2004) and (Galley et al, 2006), synchronous CFG models such (Xia and McCord, 2004) (Yamada and Knight, 2001), synchronous Lexical Functional Grammar inspired approaches (Probst et al, 2002) and others.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C04-1073.txt | Citing Article:  N10-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some of the previous approaches include (Collins et al, 2005), (Xia and McCord, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


