Citance Number: 1 | Reference Article:  P07-1098.txt | Citing Article:  P09-2083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shallow semantic representations, bearing a more compact information, can prevent the sparseness of deep structural approaches and the weakness of BOW models (Moschitti et al, 2007).</S> | Reference Offset:  ['28','167'] | Reference Text:  <S sid = 28 ssid = >On the contrary, shallow semantic representations, bearing a more “compact” information, could prevent the sparseness of deep structural approaches and the weakness of BOW models.</S><S sid = 167 ssid = >Our experiments with SVMs and the above models suggest that syntactic information helps tasks such as question classification whereas semantic information contained in PAS and PASN gives promising results in answer classification.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P07-1098.txt | Citing Article:  P09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','171'] | Reference Text:  <S sid = 53 ssid = >A tree kernel (TK) function which computes the number of common subtrees between two syntactic parse trees has been given in (Collins and Duffy, 2002).</S><S sid = 171 ssid = >Alessandro Moschitti would like to thank the AMI2 lab at the University of Trento and the EU project LUNA “spoken Language UNderstanding in multilinguAl communication systems” contract no 33549 for supporting part of his research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P07-1098.txt | Citing Article:  P08-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Counting the number of matched dependencies is essentially a simplified tree kernel for QA (e.g., see (Moschitti et al, 2007)) matching only trees of depth 2.</S> | Reference Offset:  ['53','57'] | Reference Text:  <S sid = 53 ssid = >A tree kernel (TK) function which computes the number of common subtrees between two syntactic parse trees has been given in (Collins and Duffy, 2002).</S><S sid = 57 ssid = >In the next section we describe a new kernel derived from the above tree kernel, able to evaluate the meaningful substructures for PAS trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1098.txt | Citing Article:  E09-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, in (Moschitti et al, 2007) kernels for the processing of PASs (in PropBank1 format (Kingsbury and Palmer, 2002)) extracted from question/answer pairs were proposed.</S> | Reference Offset:  ['5','29'] | Reference Text:  <S sid = 5 ssid = >The typical QA system architecture consists of three phases: question processing, document retrieval and answer extraction (Kwok et al., 2001).</S><S sid = 29 ssid = >Initiatives such as PropBank (PB) (Kingsbury and Palmer, 2002) have made possible the design of accurate automatic Semantic Role Labeling (SRL) systems (Carreras and M`arquez, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1098.txt | Citing Article:  E09-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Then, we design a novel shallow semantic kernel which is far more efficient and also more accurate than the one proposed in (Moschitti et al, 2007).</S> | Reference Offset:  ['32','74'] | Reference Text:  <S sid = 32 ssid = >Such annotation can be used to design a shallow semantic representation that can be matched against other semantically similar sentences, e.g.</S><S sid = 74 ssid = >1, gives the new Shallow Semantic Tree Kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1098.txt | Citing Article:  E09-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To overcome this problem, a Shallow Semantic Tree Kernel (SSTK) was designed in (Moschitti et al, 2007).</S> | Reference Offset:  ['65','74'] | Reference Text:  <S sid = 65 ssid = >We solve this problem by designing the Shallow Semantic Tree Kernel (SSTK) which allows to match portions of a PAS.</S><S sid = 74 ssid = >1, gives the new Shallow Semantic Tree Kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1098.txt | Citing Article:  E09-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, ? can recursively be an SRK (and evaluate Nested PASs (Moschitti et al, 2007)) or any other potential kernel (over the arguments).</S> | Reference Offset:  ['18','19'] | Reference Text:  <S sid = 18 ssid = >PASs whose arguments are other predicates (Section 2).</S><S sid = 19 ssid = >Moreover, we define new kernel functions to exploit PASs, which we automatically derive with our SRL system (Moschitti et al., 2005) (Section 3).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1098.txt | Citing Article:  D09-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The result is 89.05? 1.25 and 83.73? 1.61 for 6 and 50 classes, which outperforms the best result of 86.1? 1.1 for 6 classes as reported in (Moschitti et al, 2007).</S> | Reference Offset:  ['6','106'] | Reference Text:  <S sid = 6 ssid = >Question processing is often centered on question classification, which selects one of k expected answer classes.</S><S sid = 106 ssid = >(i) The TK on PT and the linear kernel on BOW produce a very high result, i.e. about 90.5%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1098.txt | Citing Article:  D09-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Moschitti et al, 2007) it was shown that the use of TK improves QC of 1.2 percent points, i.e. from 90.6 to 91.8: further analysis of these fragments may help us to device compact, less sparse syntactic features and design more accurate models for the task.</S> | Reference Offset:  ['26','51'] | Reference Text:  <S sid = 26 ssid = >When the task requires the use of more complex semantics, the above approaches are often inadequate to perform fine-level textual analysis.</S><S sid = 51 ssid = >A first solution is to use all its possible substructures as features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1098.txt | Citing Article:  P08-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Moschitti et al, 2007), we proposed the Shallow Semantic Tree Kernel (SSTK) designed to encode PASs1 in SVMs.</S> | Reference Offset:  ['74','92'] | Reference Text:  <S sid = 74 ssid = >1, gives the new Shallow Semantic Tree Kernel.</S><S sid = 92 ssid = >(Zhang and Lee, 2003; Moschitti, 2006), by testing a set of previously designed kernels and their combination with our new Shallow Semantic Tree Kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1098.txt | Citing Article:  P08-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, the similar PAS-SSTK representation in (Moschittiet al, 2007) does not take argument order into account, thus it fails to capture the linguistic rationale expressed above.</S> | Reference Offset:  ['83','130'] | Reference Text:  <S sid = 83 ssid = >On the contrary, the SSTK applied to one PAS extracted from a text fragment may not be meaningful since its representation needs to take into account all the PASs that it contains.</S><S sid = 130 ssid = >However, PT does not seem to provide additional information to BOW when used for question representation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P07-1098.txt | Citing Article:  P08-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, the similar PAS-SSTK representation in (Moschittiet al, 2007) does not take argument order into account, thus it fails to capture the linguistic rationale expressed above.</S> | Reference Offset:  ['83','130'] | Reference Text:  <S sid = 83 ssid = >On the contrary, the SSTK applied to one PAS extracted from a text fragment may not be meaningful since its representation needs to take into account all the PASs that it contains.</S><S sid = 130 ssid = >However, PT does not seem to provide additional information to BOW when used for question representation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P07-1098.txt | Citing Article:  E09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In future work, we intend to expand our analysis of both the gold-standard answer and the student answers beyond the bag-of-words paradigm by considering basic logical features in the text (i.e., AND, OR, NOT) as well as the existence of shallow grammatical features such as predicate argument structure (Moschitti et al, 2007) as well as semantic classes for words.</S> | Reference Offset:  ['11','16'] | Reference Text:  <S sid = 11 ssid = >Here, too, the syntactic structure of a sentence appears to provide more useful information than a bag of words (Chen et al., 2006), although the correct way to exploit it is still an open problem.</S><S sid = 16 ssid = >In this paper, we extensively study new structural representations, encoding parse trees, bag-of-words, POS tags and predicate argument structures (PASs) for question classification and answer re-ranking.</S> | Discourse Facet:  NA | Annotator: Automatic


