Citance Number: 1 | Reference Article:  W11-1901.txt | Citing Article:  W11-1920.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper describes our entry to the 2011 CoNLL closed task (Pradhan et al, 2011) on modeling unrestricted coreference in OntoNotes.</S> | Reference Offset:  ['0','124'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 124 ssid = >This section describes the CoNLL-2011 Coreference task, including its closed and open track versions, and characterizes the data used for the task and how it was prepared.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W11-1901.txt | Citing Article:  W11-1918.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Pradhan et al, 2011) presents challenges that go beyond previous definitions of the task.</S> | Reference Offset:  ['36','128'] | Reference Text:  <S sid = 36 ssid = >Section 2 presents an overview of the OntoNotes corpus.</S><S sid = 128 ssid = >It can seem to be a very hard problem (Soon et al., 2001) or one that is somewhat easier (Culotta et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W11-1901.txt | Citing Article:  W11-1918.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An overview of all systems participating in the CONLL-2011 shared task and their results is provided by Pradhan et al (2011).</S> | Reference Offset:  ['0','135'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 135 ssid = >The CoNLL-2011 shared task was based on the English portion of the OntoNotes 4.0 data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W11-1901.txt | Citing Article:  W11-1910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper we present SUCRE (Kobdani and Schutze, 2010) that is a modular coreference resolution system participating in theCoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNote (Pradhan et al., 2011).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 1 ssid = >The CoNLL-2011 shared task involved predicting coreference using OntoNotes data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W11-1901.txt | Citing Article:  W11-1917.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper describes our coreference resolution system participating in the close track of CoNLL 2011 shared task (Pradhan et al, 2011).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 1 ssid = >The CoNLL-2011 shared task involved predicting coreference using OntoNotes data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W11-1901.txt | Citing Article:  W12-4505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The most frequent one is the constituent's head that solvers need then to extract using ad-hoc rules; see the CoNLL 2011 shared task (Pradhan et al, 2011), for instance.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 1 ssid = >The CoNLL-2011 shared task involved predicting coreference using OntoNotes data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W11-1901.txt | Citing Article:  W12-4505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system builds on an earlier system that we evaluated in the CoNLL 2011 shared task (Pradhan et al, 2011), where we optimized significantly the solver code, most notably the mention detection step and the feature design.</S> | Reference Offset:  ['0','135'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 135 ssid = >The CoNLL-2011 shared task was based on the English portion of the OntoNotes 4.0 data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W11-1901.txt | Citing Article:  W11-1906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CoNLL 2011 Shared Task (Pradhan et al,2011) is dedicated to modeling unrestricted coreference in OntoNotes.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 1 ssid = >The CoNLL-2011 shared task involved predicting coreference using OntoNotes data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W11-1901.txt | Citing Article:  W12-4513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both the CoNLL-2011 (Pradhan et al, 2011) and CoNLL 2012 (Pradhan et al, 2012) shared tasks focus on resolving coreference on the OntoNotes corpus.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 1 ssid = >The CoNLL-2011 shared task involved predicting coreference using OntoNotes data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W11-1901.txt | Citing Article:  W11-1914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >a) Non-anaphoric detection modules b) Pronominal resolution module The data used for training as well as testing was provided CoNLL-2001 shared task (Pradhan et al, 2011), (Pradhan et al, 2007) organizers.</S> | Reference Offset:  ['11','128'] | Reference Text:  <S sid = 11 ssid = >Significant improvements have been made in the field of language processing in general, and improved learning techniques have been developed to push the state of the art in coreference resolution forward (Morton, 2000; Harabagiu et al., 2001; McCallum and Wellner, 2004; Culotta et al., 2007; Denis and Baldridge, 2007; Rahman and Ng, 2009; Haghighi and Klein, 2010).</S><S sid = 128 ssid = >It can seem to be a very hard problem (Soon et al., 2001) or one that is somewhat easier (Culotta et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W11-1901.txt | Citing Article:  W12-4508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Plenty of machine learning algorithms such as Decision tree (Ng and Cardie,2002), maximum entropy model, logistic regression (Bjorkelund and Nugues, 2011), Support Vector Machines, have been used to solve this problem. Meanwhile, the CoNLL-2011 shared task on English language show that a well-designed rule-based approach can achieve a comparable performance as a statistical one (Pradhan et al, 2011).</S> | Reference Offset:  ['0','135'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 135 ssid = >The CoNLL-2011 shared task was based on the English portion of the OntoNotes 4.0 data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W11-1901.txt | Citing Article:  W11-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper describes the coreference resolution system used by Stanford at the CoNLL-2011 shared task (Pradhan et al, 2011).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 1 ssid = >The CoNLL-2011 shared task involved predicting coreference using OntoNotes data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W11-1901.txt | Citing Article:  D12-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This was the official metric in the CoNLL-2011 shared task (Pradhan et al2011). We followed the CoNLL-2011 evaluation methodology, that is, we removed all singleton clusters, and apposition/copular relations before scoring. We evaluated the systems on three different settings: only on entity clusters, only on event clusters, and on the complete task, i.e., both entities and events.</S> | Reference Offset:  ['0','135'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 135 ssid = >The CoNLL-2011 shared task was based on the English portion of the OntoNotes 4.0 data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W11-1901.txt | Citing Article:  N12-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While models other than mention-pair have been proposed (Culotta et al, 2007), none performs clearly better as evidenced by recent shared evaluations such as SemEval 2010 (Recasens et al, 2010) and CoNLL 2011 (Pradhan et al, 2011).</S> | Reference Offset:  ['33','128'] | Reference Text:  <S sid = 33 ssid = >A small portion of this corpus from the newswire and broadcast news genres (-120k) was recently used for a SEMEVAL task (Recasens et al., 2010).</S><S sid = 128 ssid = >It can seem to be a very hard problem (Soon et al., 2001) or one that is somewhat easier (Culotta et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W11-1901.txt | Citing Article:  W11-1905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied this solver to the closed track of the CoNLL 2011 shared task (Pradhan et al,2011).</S> | Reference Offset:  ['0','135'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 135 ssid = >The CoNLL-2011 shared task was based on the English portion of the OntoNotes 4.0 data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W11-1901.txt | Citing Article:  W11-1916.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This task (Pradhan et al, 2011) has set a harder challenge by only considering exact matches to be correct.</S> | Reference Offset:  ['31','128'] | Reference Text:  <S sid = 31 ssid = >One of the many goals of the OntoNotes project2 (Hovy et al., 2006; Weischedel et al., 2011) is to explore whether it can fill this void and help push the progress further – not only in coreference, but with the various layers of semantics that it tries to capture.</S><S sid = 128 ssid = >It can seem to be a very hard problem (Soon et al., 2001) or one that is somewhat easier (Culotta et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W11-1901.txt | Citing Article:  W11-1915.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we present a learning approach to coreference resolution of named entities (NE), pronouns (PRP), noun phrases (NP) in unrestricted text according to the CoNLL-2011 shared task (Pradhan et al, 2011).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >CoNLL-2011 Shared Task: Modeling Unrestricted Coreference in OntoNotes</S><S sid = 1 ssid = >The CoNLL-2011 shared task involved predicting coreference using OntoNotes data.</S> | Discourse Facet:  NA | Annotator: Automatic


