Citance Number: 1 | Reference Article:  P96-1011.txt | Citing Article:  P98-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','154'] | Reference Text:  <S sid = 48 ssid = >More colloquially, (7) says that the output of rightward (leftward) composition may not compose or apply over anything to is right (left).</S><S sid = 154 ssid = >Future work should continue by eliminating the spurious ambiguities that arise from grammatical or lexical type-raising.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P96-1011.txt | Citing Article:  C04-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','154'] | Reference Text:  <S sid = 48 ssid = >More colloquially, (7) says that the output of rightward (leftward) composition may not compose or apply over anything to is right (left).</S><S sid = 154 ssid = >Future work should continue by eliminating the spurious ambiguities that arise from grammatical or lexical type-raising.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P96-1011.txt | Citing Article:  P07-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parser only used a subset of CCG, pureCCG (Eisner, 1996), consisting of the Application and Composition rules.</S> | Reference Offset:  ['22','126'] | Reference Text:  <S sid = 22 ssid = >The key to efficiency, we will (4) Forward generalized composition >Bn: see, is for the parser to be less permissive than the xly Y Inzn • • • 12z2 lizi Inn • • • I2z2 lizi grammar—for it to say &quot;no, redundant&quot; in some Backward generalized composition <Bn: cases where the grammar says &quot;yes, grammatical.&quot; Y Inzn • • I2z2 lizi \Y x Inzn • • • I I (5) shows the constituents that untrammeled ,2z2 ,izi CCG will find in the course of parsing &quot;John likes Instances with n = 0 are called application rules, and Mary.&quot; The spurious ambiguity problem is not that instances with n > 1 are called composition rules.</S><S sid = 126 ssid = >S provides another rule template, used in a restricted CCG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P96-1011.txt | Citing Article:  C10-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We propose and implement a modification of the Eisner (1996) normal form to account for generalized composition of bounded degree, and an extension to deal with grammatical type-raising.</S> | Reference Offset:  ['136','154'] | Reference Text:  <S sid = 136 ssid = >In principle one could proceed without grammatical type-raising: (Dowty, 1988; Steedman, 1991) have argued on linguistic grounds that type-raising should be treated as a mere lexical redundancy property.</S><S sid = 154 ssid = >Future work should continue by eliminating the spurious ambiguities that arise from grammatical or lexical type-raising.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P96-1011.txt | Citing Article:  C10-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisner (1996, section 5) also provides a safe and complete parsing algorithm which can return non-NF derivations when necessary to preseve an interpretation if composition is bounded or the grammar is restricted in other (arbitrary) ways.</S> | Reference Offset:  ['77','151'] | Reference Text:  <S sid = 77 ssid = >CCG then provides a derived interpretation in the model for the complete tree.</S><S sid = 151 ssid = >Both algorithms are safe, complete, and efficient.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P96-1011.txt | Citing Article:  C10-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have proposed a modification and extension of Eisner (1996)'s normal form that is more appropriate for commonly used variants of CCG with grammatical type-raising and generalized composition of bounded degree, as well as some non-combinatory extensions to CCG.</S> | Reference Offset:  ['0','136'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 136 ssid = >In principle one could proceed without grammatical type-raising: (Dowty, 1988; Steedman, 1991) have argued on linguistic grounds that type-raising should be treated as a mere lexical redundancy property.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P96-1011.txt | Citing Article:  P04-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hockenmaier (2003a) uses a model which favours only one of the derivations leading to aderived structure, namely the normal-form derivation (Eisner, 1996).</S> | Reference Offset:  ['0','67'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 67 ssid = >Indeed, one might implement (7) by modifying CCG's phrase-structure grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P96-1011.txt | Citing Article:  P04-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the normal-form model we were able to reduce the size of the charts considerably by applying two types of restriction to the parser: first, categories can only combine if they appear together in a rule instantiation in sections 2 21 of CCGbank; and second, we apply the normal-form restrictions described in Eisner (1996).</S> | Reference Offset:  ['20','64'] | Reference Text:  <S sid = 20 ssid = >Any sort of chart left-associative. parser or non-deterministic shift-reduce parser will The results herein apply to the TAG-equivalent do.</S><S sid = 64 ssid = >It is trivial to modify any sort of CCG parser to find only the normal-form parses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P96-1011.txt | Citing Article:  P10-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our transformation is also technically related to the normal form construction for CCG parsing presented by Eisner (1996).</S> | Reference Offset:  ['0','148'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 148 ssid = >Two parsing algorithms have been presented for practical use.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P96-1011.txt | Citing Article:  C08-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consider the derivations in Figures 1 and 2, which show a normal form derivation (Eisner, 1996) and fully incremental derivation, respectively.</S> | Reference Offset:  ['17','132'] | Reference Text:  <S sid = 17 ssid = >If x and y are tends to like,&quot; thus losing the ability to conjoin such categories, then x/y (respectively x\y) is the cat- constituents or subcategorize for them as a class. egory of an incomplete x that is missing a y at its (Pareschi & Steedman, 1987) do tackle the CCG right (respectively left).</S><S sid = 132 ssid = >This is usually true: since (7) favors standard constituents and prefers application to composition, most grammars will not block the NF derivation while allowing a non-NF one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P96-1011.txt | Citing Article:  W06-1637.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CCG parsers often limit the use of the combinatory rules (in particular: type-raising) to obtain a single right-branching normal form derivation (Eisner, 1996) for each possible semantic interpretation.</S> | Reference Offset:  ['0','61'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 61 ssid = >It is not hard to see that (7a) eliminates all but right-branching parses of &quot;forward chains&quot; like A/B B/C C or A/B/C C/D D/E/F/G G/H, and that (7b) eliminates all but left-branching parses of &quot;backward chains.&quot; (Thus every functor will get its arguments, if possible, before it becomes an argument itself.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P96-1011.txt | Citing Article:  P08-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both perspectives on D ensure that the new rules are compatible with normal form constraints (Eisner, 1996) for controlling spurious ambiguity.</S> | Reference Offset:  ['11','116'] | Reference Text:  <S sid = 11 ssid = >All other parses are suppressed by simple normal-form constraints that are enforced throughout the parsing process.</S><S sid = 116 ssid = >PreferableTo may be defined at whim to Since the new parser must be able to generate a choose the parse discovered first, the more leftnon-NF parse when no equivalent NF parse is avail- branching parse, or the parse with fewer nonable, its method of controlling spurious ambiguity standard constituents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P96-1011.txt | Citing Article:  P08-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this section, we show that the D rules fit naturally within standard normal form constraints for CCG parsing (Eisner, 1996), by providing both combinatory and logical bases for D.</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 11 ssid = >All other parses are suppressed by simple normal-form constraints that are enforced throughout the parsing process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P96-1011.txt | Citing Article:  P08-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Furthermore, CCG augmented with D is compatible with Eisner NF (Eisner, 1996), a standard technique for controlling derivational ambiguity in CCG-parsers, and also with the modalized version of CCG (Baldridge and Kruijff, 2003).</S> | Reference Offset:  ['9','147'] | Reference Text:  <S sid = 9 ssid = >This paper presents a simple and flexible CCG parsing technique that prevents any such explosion of redundant CCG derivations.</S><S sid = 147 ssid = >These normal-form results for pure CCG lead directly to useful parsers for real, restricted CCG grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P96-1011.txt | Citing Article:  D09-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One set are the normal form constraints, as described by Eisner (1996).</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 11 ssid = >All other parses are suppressed by simple normal-form constraints that are enforced throughout the parsing process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P96-1011.txt | Citing Article:  W07-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied the same normal-form restrictions used in Clark and Curran (2004b): categories can 12 only combine if they have been seen to combine in Sections 2-21 of CCGbank, and only if they do not violate the Eisner (1996a) normal-form constraints.</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >Efficient Normal-Form Parsing For Combinatory Categorial Grammar</S><S sid = 11 ssid = >All other parses are suppressed by simple normal-form constraints that are enforced throughout the parsing process.</S> | Discourse Facet:  NA | Annotator: Automatic


