Citance Number: 1 | Reference Article:  C96-1079.txt | Citing Article:  C02-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the case of English, partially motivated by Message Understanding Conferences (MUCs) (Grishman and Sundheim, 1996), a number of coreference resolution methods have been proposed.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Message Understanding Conference-6: A Brief History</S><S sid = 3 ssid = >Although called "conferences", the distinguishing characteristic of the MUCs are not the conferences themselves, but the evaluations to which participants must submit in order to be permitted to attend the conference.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C96-1079.txt | Citing Article:  N10-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The automated construction of semantically typed lexicons (terms classified into their appropriate semantic class) from unstructured text is of great importance for various kinds of information extraction (Grishman and Sundheim, 1996), question answering (Moldovan et al, 1999), and ontology population (Suchanek et al, 2007).</S> | Reference Offset:  ['9','12'] | Reference Text:  <S sid = 9 ssid = >The MUCs are notable, how- ever, in that they in large part have shaped the research program in information extraction and brought it to its current state}</S><S sid = 12 ssid = >One re- ceives a description of a class of events to be iden- tiffed in the text; for each of these events one must fill a template with information about the event.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C96-1079.txt | Citing Article:  C04-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The topic of the sixth MUC (MUC-6) was management succession events (Grishman and Sundheim, 1996).</S> | Reference Offset:  ['12','14'] | Reference Text:  <S sid = 12 ssid = >One re- ceives a description of a class of events to be iden- tiffed in the text; for each of these events one must fill a template with information about the event.</S><S sid = 14 ssid = >Both MUC-1 and MUC- 2 involved sanitized forms of military messages about naval sightings and engagements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C96-1079.txt | Citing Article:  C04-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Figure 2 is a simplified event from the the MUC-6 evaluation similar to one described by Grishman and Sundheim (1996).</S> | Reference Offset:  ['13','42'] | Reference Text:  <S sid = 13 ssid = >The template has slots for information about the event, such as the type of event, the agent, the time and place, the effect, etc. For MUC-2, the template had 10 slots.</S><S sid = 42 ssid = >Figure 1 shows a sample sentence with named en- tity annotations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C96-1079.txt | Citing Article:  P10-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As demonstrated by prior work (Grishman and Sundheim, 1996), grammar-based IE systems can be effective in many scenarios.</S> | Reference Offset:  ['28','31'] | Reference Text:  <S sid = 28 ssid = >1)ARI)A convened a meeting of Tipster partici- pants and government representatives in Decca> bet' 1993 to define goals and tasks tot MUC-6) Among the goals which were identified were ? demonstrating taskqndependent component technologies of information extraction which would be immediately useflfl ? encouraging work to make information ex- tractioil systems in<)re portable ? encouraging work on "deeper understanding" aTipster is a U.S. Govermnent program of research and development in the areas of inibrmation retrieval and information extraction.</S><S sid = 31 ssid = >Each of these can been seen in part as a reaction to the trends in the prior MUCs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C96-1079.txt | Citing Article:  D07-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >When it was introduced, in the 6th Message Understanding Conference (Grishman and Sundheim, 1996), the named entity recognition task comprised three entity identification and labeling subtasks: ENAMEX (proper names and acronyms designating persons, locations, and organizations), TIMEX (absolute temporal terms) and NUMEX (numeric expressions, monetary expressions, and percentages).</S> | Reference Offset:  ['0','40'] | Reference Text:  <S sid = 0 ssid = >Message Understanding Conference-6: A Brief History</S><S sid = 40 ssid = >To meet this goal the con> mittce developed the "named entity" task, which t(asically involves identifying the names of all the people, organizations, and geographic locations in a text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C96-1079.txt | Citing Article:  W12-4405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The NER task was introduced with the 6th Message UnderstandingConference (MUC) in 1995 (Grishman and Sundheim, 1996).</S> | Reference Offset:  ['0','11'] | Reference Text:  <S sid = 0 ssid = >Message Understanding Conference-6: A Brief History</S><S sid = 11 ssid = >By MUC-2 (1989), the task had crystalized as one of template filling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C96-1079.txt | Citing Article:  W04-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The problem of name recognition and classification has been intensively studied since 1995, when it was introduced as part of the MUC 6 Evaluation (Grishman and Sundheim, 1996).</S> | Reference Offset:  ['10','15'] | Reference Text:  <S sid = 10 ssid = >MUC-1 (1987) was basically exploratory; each group designed its own format for recording the information in the document, and there was no formal evaluation.</S><S sid = 15 ssid = >The second MUC also worked out the details of the primary evaluation measures, recall and pre- cision.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C96-1079.txt | Citing Article:  W10-1737.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','43'] | Reference Text:  <S sid = 42 ssid = >Figure 1 shows a sample sentence with named en- tity annotations.</S><S sid = 43 ssid = >The tag ENAMEX ("entity name expression") is used for both people and organiza- tion names; the tag NUNEX ( "numer ic expression") is used for currency and I)ercentages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C96-1079.txt | Citing Article:  W04-0818.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a previous attempt to define predicate-argument structure, Semeval, the effort was abandoned because so many constructs would require detailed attention and resolution, and because most information-extraction systems did not generate full predicate-argument structures (most likely because the task did not require it) (Grishmanand Sundheim, 1996).</S> | Reference Offset:  ['28','32'] | Reference Text:  <S sid = 28 ssid = >1)ARI)A convened a meeting of Tipster partici- pants and government representatives in Decca> bet' 1993 to define goals and tasks tot MUC-6) Among the goals which were identified were ? demonstrating taskqndependent component technologies of information extraction which would be immediately useflfl ? encouraging work to make information ex- tractioil systems in<)re portable ? encouraging work on "deeper understanding" aTipster is a U.S. Govermnent program of research and development in the areas of inibrmation retrieval and information extraction.</S><S sid = 32 ssid = >The MUC-5 tasks, in particular, had been quite complex and a great effort had been invested by the government in preparing the training and test data and by the participants in adapting their systems for these tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C96-1079.txt | Citing Article:  I08-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the introduction of this task in MUC-6 (Grishman and Sundheim, 1996), numerous systems using various ways of exploiting entity-specific and local context features were proposed, from relatively simple character based models such as Cucerzan and Yarowsky (2002) and Klein et al (2003) to complex models making use of various lexical, syntactic ,morpho logical, and orthographical information, such as Wacholder et al (1997), Fleischman and Hovy (2002), and Florian et al (2003).</S> | Reference Offset:  ['23','32'] | Reference Text:  <S sid = 23 ssid = >One innovation of MUC-5 was the use of a nested template structure.</S><S sid = 32 ssid = >The MUC-5 tasks, in particular, had been quite complex and a great effort had been invested by the government in preparing the training and test data and by the participants in adapting their systems for these tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C96-1079.txt | Citing Article:  W10-0712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','43'] | Reference Text:  <S sid = 42 ssid = >Figure 1 shows a sample sentence with named en- tity annotations.</S><S sid = 43 ssid = >The tag ENAMEX ("entity name expression") is used for both people and organiza- tion names; the tag NUNEX ( "numer ic expression") is used for currency and I)ercentages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C96-1079.txt | Citing Article:  W03-0509.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used 6 categories of entity types, which are the major categories defined in the MUC (Grishman and Sundheim 1996) or ACE project (ACE homepage).</S> | Reference Offset:  ['19','43'] | Reference Text:  <S sid = 19 ssid = >This same task was used for MUC-4 (1992), with a further small increase in template complexity (24 slots).</S><S sid = 43 ssid = >The tag ENAMEX ("entity name expression") is used for both people and organiza- tion names; the tag NUNEX ( "numer ic expression") is used for currency and I)ercentages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C96-1079.txt | Citing Article:  W07-1505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For illustration purposes, we extended it here by MUC (Grishman and Sundheim, 1996) entity types such as Person, Organization, etc.</S> | Reference Offset:  ['34','40'] | Reference Text:  <S sid = 34 ssid = >While the performance of solne systems was quite impressive (the best got 57% recall, 64% precision overall, with 73% recall and 74% t)recision on the 4 "(:or(;" template types), tile question naturally arose as to whether there were many apl)lieations tbr which art investment of one or several develop- ers over half->year (or more) could be justified.</S><S sid = 40 ssid = >To meet this goal the con> mittce developed the "named entity" task, which t(asically involves identifying the names of all the people, organizations, and geographic locations in a text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C96-1079.txt | Citing Article:  P12-2045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Diversity IE traditionally targets a selected event type (Grishman and Sundheim, 1996).</S> | Reference Offset:  ['13','26'] | Reference Text:  <S sid = 13 ssid = >The template has slots for information about the event, such as the type of event, the agent, the time and place, the effect, etc. For MUC-2, the template had 10 slots.</S><S sid = 26 ssid = >This sort of information (:ould be ranch more easily recorded in the hierarchical structure introduced for MUC-5, in which there was a single template for an event, which pointed to a list of temI(lates, one for each particii)mlt in tile event;.</S> | Discourse Facet:  NA | Annotator: Automatic


