Citance Number: 1 | Reference Article:  C94-1042.txt | Citing Article:  W96-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The ANLT lexicon was derived semi-automatically from a machine readable dictionary (LDOCE), and although the COMLEX syntax dictionary (Grishman et al, 1994), which was derived with much greater amounts of human effort, has a slightly better performance, the difference is not great.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S><S sid = NA ssid = NA>Longman Dictionary of Con- lemporary English.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C94-1042.txt | Citing Article:  P04-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The obtained SCFs comprise the total 163 SCF types which are originally based on the SCFs in the ANLT (Boguraev and Briscoe,1987) and COMLEX (Grishman et al, 1994) dictionaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Briscoe, A. Copestake, and V. de I'avia, editors, l)cfaull Inheritance in Unification-Based Approaches to Ihe Le'xicom Cambridge University Press, 1!)92.</S><S sid = NA ssid = NA>We currently use a Lisp-like parenthesized list notation, although the lexicon couhl ITo facilii~ate the transit ion to COMLEX by currenl, users of these dictionaries, we have i)reparcd mappings froln COMI,EX classes to those of several other dictionaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C94-1042.txt | Citing Article:  P03-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We obtain our SCF data using the sub categorization acquisition system of Briscoe and Carroll (1997). We expect the use of this system to be beneficial: it employs a robust statistical parser (Briscoe and Carroll, 2002) which yields complete though shallow parses, and a comprehensive SCF classifier, which incorporates 163 SCF distinctions, a super set of those found in the ANLT (Boguraev et al,1987) and COMLEX (Grishman et al, 1994) dictionaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We currently use a Lisp-like parenthesized list notation, although the lexicon couhl ITo facilii~ate the transit ion to COMLEX by currenl, users of these dictionaries, we have i)reparcd mappings froln COMI,EX classes to those of several other dictionaries.</S><S sid = NA ssid = NA>Because of our desire Io obtain relatively complete foatllre sets, even figr infrequent verl)s, we have pernfit- 271 ted elves to extrapolate from the citations fotmd.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C94-1042.txt | Citing Article:  W06-2605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The lexicon is based on COMLEX (Grishman et al., 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S><S sid = NA ssid = NA>Briscoe, A. Copestake, and V. de I'avia, editors, l)cfaull Inheritance in Unification-Based Approaches to Ihe Le'xicom Cambridge University Press, 1!)92.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C94-1042.txt | Citing Article:  W98-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We based our POS table lookup on NYU's COMLEX (Grishman et al 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Briscoe, A. Copestake, and V. de I'avia, editors, l)cfaull Inheritance in Unification-Based Approaches to Ihe Le'xicom Cambridge University Press, 1!)92.</S><S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C94-1042.txt | Citing Article:  P07-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>SCF FramesThe SCFs recognized by the classifier were obtained by manually merging the frames exemplified in the COMLEX Syntax (Grishman et al, 1994), ANLT (Boguraev et al, 1987 )and/or NOMLEX (Macleod et al, 1997) dictionaries and including additional frames found by manual inspection of unclassifiable examples during development of the classifier.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Three verb frames are shown ill Figure 2.</S><S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C94-1042.txt | Citing Article:  W04-2801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Carmel comes with a wide-coverage English grammar that is compatible with the wide-coverage COMLEX lexicon (Grishman et al, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From grammar to lexicon: Unsu- pervised learning oflexical syntax.</S><S sid = NA ssid = NA>The goal of the (:omlex Syntax project is to create a moderately-broad-coverage lexicon recording the syn- tactic features of gnglist; words for purposes of cou> putational anguage analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C94-1042.txt | Citing Article:  W04-2606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This fairly comprehensive classification incorporates 163 different sub categorization frames (SCFs), a superset of those listed in the ANLT (Boguraev et al, 1987) and COMLEX Syntax dictionaries (Grishman et al, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S><S sid = NA ssid = NA>Three verb frames are shown ill Figure 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C94-1042.txt | Citing Article:  W04-2606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>was available and/or from the COMLEX Syntax dictionary (Grishman et al, 1994) all the SCFs taken by its member verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S><S sid = NA ssid = NA>Longman Dictionary of Con- lemporary English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C94-1042.txt | Citing Article:  W02-1501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Important examples are LDOCE (Procter 1987), ComLex (Grishman et al 1994), PAROLE (Ruimy et al 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We endeavored to make a comparison with LDOCE on the measurement.</S><S sid = NA ssid = NA>Such a process is bound to be less certain than the assignment of features from extant examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C94-1042.txt | Citing Article:  W07-0605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Itincorpo rates 168 SCF distinctions, a superset of those found in the COMLEX Syntax (Grishman et al, 1994) and ANLT (Boguraev et al, 1987) dictionaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comlex Syntax: Building A Computational Lexicon</S><S sid = NA ssid = NA>We currently use a Lisp-like parenthesized list notation, although the lexicon couhl ITo facilii~ate the transit ion to COMLEX by currenl, users of these dictionaries, we have i)reparcd mappings froln COMI,EX classes to those of several other dictionaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C94-1042.txt | Citing Article:  W08-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, we included the examination of a body part belonging to a person in the domain, and this was expressed through a Saxon genitive in English but a prepositional phrase (with the subsidiary NPs in the reverse order) in the other languages. To test our assumptions about efficiency and scalability we inferred a larger Tbox, subcategorisation frames and mappings using a pre-existing data set of verb frames for English encoded using the COMLEX subcategorisation frame inventory (Grishmanet al, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Three verb frames are shown ill Figure 2.</S><S sid = NA ssid = NA>For exaniple> the verb "ai )andon" eali occur with a IlOllri phrase followed by a prepositional phrase with tim preposition "to" (e.g., "1 abandoned hii,i to the linguists.") or with just a ,lOll,, phrase comple i f ient ( " \ [ aballdone(l the shill.").</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C94-1042.txt | Citing Article:  W07-1215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Briscoe, A. Copestake, and V. de I'avia, editors, l)cfaull Inheritance in Unification-Based Approaches to Ihe Le'xicom Cambridge University Press, 1!)92.</S><S sid = NA ssid = NA>creation, it sliould be most wduable as a basis for com- parisons.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C94-1042.txt | Citing Article:  W98-0718.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other resources such as COMLEX syntax dictionary (Grishman et al., 1994) and English Verb Classes and Alternations (EVCA) (Levin, 1993) can provide verb subategorization information and syntactic paraphrases, but they are indexed by words thus not suitable to use in generation directly.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Longman Dictionary of Con- lemporary English.</S><S sid = NA ssid = NA>In some eases this apl)roaeli will provide 4 I~I)OCI~ does provide some preposltloiis and particles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C94-1042.txt | Citing Article:  W03-1606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It also exploits the classification given bythe COMLEX lexicon (Grishman et al, 1994) in order to calculate the deep-subject of infinitive verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The to-ingrs fl'atne is for raising- to-subject verbs - - verbs for which the surface subject is tile functional subject only of the embedded c\];tuso.</S><S sid = NA ssid = NA>The to-ingsc frame iv f(~r subject-cm~trol verbs, verbs for which the surface subject is the flmctional subject of both the nlatrix ;tad embedded chmses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C94-1042.txt | Citing Article:  W04-2803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>the CARMEL grammar and semantic interpretation framework (Rose, 2000), and the COMLEX lexicon (Grishman et al, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A semantic concordance.</S><S sid = NA ssid = NA>From grammar to lexicon: Unsu- pervised learning oflexical syntax.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C94-1042.txt | Citing Article:  W02-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>From the different diagnostics proposed in the literature some are quite consistent among various authors (R. Grishman et al 1994, C. Pollard and I. Sag 1987, C. Verspoor 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A 1)reliminary study, conducted on examples (drawn at random from a corpus not used for our concordance) of verbs beginning with "j", in- dicated that elves were consistent 93% to 94% of the time in labeling argument/adjunct distinc- tions following our criteria and, in these eases, rarely disagreed on the subcategorization.</S><S sid = NA ssid = NA>Fur- thermore, the notation allows us to indicate that verl) Irlay haw~ dill>rent control features for different comlflement structm'es~ or ewm for dilrerent preposi- tions within the complement.</S> | Discourse Facet:  NA | Annotator: Automatic


