Citance Number: 1 | Reference Article:  P05-2008.txt | Citing Article:  P07-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In sentiment analysis research, Read (2005) used emoticons in newsgroup articles to extract instances relevant for training polarity classifiers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A sub-topic of this research is that of Sentiment Classification.</S><S sid = NA ssid = NA>One might suppose that dependency is occurring because classifiers are learning the semantic sentiment of texts rather than the general sentiment of language used.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P05-2008.txt | Citing Article:  W12-3703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>According to (Read, 2005), when authors of an electronic communication use an emotion, they are effectively marking up their own text with an emotional state.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When the author of an electronic communication uses an emoticon, they are effectively marking up their own text with an emotional state.</S><S sid = NA ssid = NA>Users of electronic methods of communication have developed visual cues that are associated with emotional states in an attempt to state the emotion that their text represents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P05-2008.txt | Citing Article:  P11-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The regulating aspects which govern the lexical level semantic orientation are natural language context (Pang et al, 2002), language properties (Wiebe and Mihalcea, 2006), domain pragmatic knowledge (Aue and Gamon, 2005), time dimension (Read, 2005), colors and culture (Strapparava and Ozbal, 2010) and many more unrevealed hidden aspects.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We conducted an experiment to compare the accuracy when training a classifier on one domain (newswire articles or movie reviews from the Polarity 1.0 dataset used by Pang et al. (2002)) and testing on the other domain.</S><S sid = NA ssid = NA>To investigate the effect of time on sentiment classification, we constructed a new set of movie reviews, following the same approach used by Pang et al. (2002) when they created the Polarity 1.0 dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-2008.txt | Citing Article:  W11-2207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We seed the graph using the polarity values in the OpinionFinder lexicon (Wilson et al, 2005), the known polarity of emoticons, and a maximum entropy classifier trained on 1.8 million tweets with automatically assigned labels based on the presence of positive and negative emoticons, like Read (2005) and Go et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The models were trained using unigram features, accounting for the presence of feature types in a document, rather than the frequency, as Pang et al. (2002) found that this is the most effective strategy for sentiment classification.</S><S sid = NA ssid = NA>Pang et al. (2002) used a bagof-features framework (based on unigrams and bigrams) to train these models from a corpus of movie reviews labelled as positive or negative.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-2008.txt | Citing Article:  P11-4009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The regulating aspects which govern the lexical level semantic orientation are natural language context (Pang et al, 2002), language properties (Wiebe and Mihalcea, 2006), domain pragmatic knowledge (Aue and Gamon, 2005), time dimension (Read, 2005), colors and culture (Strapparava and Ozbal, 2010) and many more unrevealed hidden aspects.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We conducted an experiment to compare the accuracy when training a classifier on one domain (newswire articles or movie reviews from the Polarity 1.0 dataset used by Pang et al. (2002)) and testing on the other domain.</S><S sid = NA ssid = NA>To investigate the effect of time on sentiment classification, we constructed a new set of movie reviews, following the same approach used by Pang et al. (2002) when they created the Polarity 1.0 dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-2008.txt | Citing Article:  P11-4009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is not a static sentiment lexicon set [polarity changes with time (Read, 2005)] as it is updated regularly.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A possible reason for this is that Polarity 2004 data is from a much smaller time-period than that represented by Polarity 1.0.</S><S sid = NA ssid = NA>To investigate the effect of time on sentiment classification, we constructed a new set of movie reviews, following the same approach used by Pang et al. (2002) when they created the Polarity 1.0 dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-2008.txt | Citing Article:  S10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use emoticons as indicators of an emotion (Read, 2005) to automatically classify texts into positive or negative sets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The reviews were categorised as positive or negative using automatically extracted ratings.</S><S sid = NA ssid = NA>In this paper, for uniformity across different data sets, we focus on only positive and negative sentiment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-2008.txt | Citing Article:  S10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approach is similar to the one in (Read, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, Engstr¨om (2004) showed that the bagof-features approach is topic-dependent.</S><S sid = NA ssid = NA>To investigate the effect of time on sentiment classification, we constructed a new set of movie reviews, following the same approach used by Pang et al. (2002) when they created the Polarity 1.0 dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


