Citance Number: 1 | Reference Article:  C00-2163.txt | Citing Article:  W01-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, it has been shown that Model 4 produces a very good alignment quality in comparison to various other alignment models (Och and Ney, 2000b).</S> | Reference Offset:  ['79','124'] | Reference Text:  <S sid = 79 ssid = >We measure the quality of tile al)ove inentioned aligmnent models with xespect to alignment quality and translation quality.</S><S sid = 124 ssid = >We have shown that by using inore sophisticated models the quality of the alignments improves ignificantly.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C00-2163.txt | Citing Article:  W03-0611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Clearly we would benefit from better matching and alignment techniques, and we wonder if perhaps some of the alignment techniques used for parallel multi-lingual corpora (Och and Ney, 2000) could be adapted to help align our text-data corpora.</S> | Reference Offset:  ['32','122'] | Reference Text:  <S sid = 32 ssid = >This might be suitable for small corpora, but fi)r large corpora it is possil)le to make a more re- fine(1 model of Pr (a j  ~i-I  i - I  Ji ,% ,c~).</S><S sid = 122 ssid = >The imwovement is due to better lexicons and better alignment templates extracted from the resulting aliglunents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C00-2163.txt | Citing Article:  W02-1405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We know that better alignment models have been proposed and extensively compared (Och and Ney, 2000).</S> | Reference Offset:  ['122','144'] | Reference Text:  <S sid = 122 ssid = >The imwovement is due to better lexicons and better alignment templates extracted from the resulting aliglunents.</S><S sid = 144 ssid = >F. J. Och, C. Tilhnalm, mid H. Ney.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C00-2163.txt | Citing Article:  P04-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The data is from the Canadian Hansard, and reference alignments were originally produced by Franz Och and Hermann Ney (Och and Ney, 2000).</S> | Reference Offset:  ['0','144'] | Reference Text:  <S sid = 0 ssid = >A Compar i son  of  A l ignment  Mode ls  for S ta t i s t i ca l  Mach ine Trans la t ion Franz Josef Och and Hermann Ney Lehrstuhl fiir Informatik VI, Comlmter Science Department RWTH Aachen - University of Technology D-52056 Aachen, Germany {och, ney}~inf ormat ik.</S><S sid = 144 ssid = >F. J. Och, C. Tilhnalm, mid H. Ney.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C00-2163.txt | Citing Article:  N07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent statistical machine translation (SMT) algorithms generate such a translation by incorporating an inventory of bilingual phrases (Och and Ney, 2000).</S> | Reference Offset:  ['3','4'] | Reference Text:  <S sid = 3 ssid = >We also con,pare the im- pact of different; alignment models on tile translation quality of a statistical machine translation system.</S><S sid = 4 ssid = >1 I n t roduct ion In statistical machine translation (SMT) it is neces- smy to model the translation probability P r ( f l  a Ic~).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C00-2163.txt | Citing Article:  W08-0319.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Word alignment using GIZA++ toolkit (Och and Ney, 2000), the default configuration as available in training scripts for Moses.</S> | Reference Offset:  ['108','144'] | Reference Text:  <S sid = 108 ssid = >target 7.6 6.1 improved by 0.9% when using the ItMM and by 0.5% when using Model 4.</S><S sid = 144 ssid = >F. J. Och, C. Tilhnalm, mid H. Ney.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The classical approaches to word alignment are based on IBM models 1-5 (Brown et al, 1994) and the HMM based alignment model (Vogel et al, 1996) (Och and Ney, 2000a, 2000b), while recently discriminative approaches (Moore, 2006) and syntax based approaches (Zhang and Gildea, 2005) for word alignment are also studied.</S> | Reference Offset:  ['72','149'] | Reference Text:  <S sid = 72 ssid = >6 The Al ignment Template  System The statistical machine-translation method descri- bed in (Och et al., 1999) is based on a word aligned traiifing corIms and thereby makes use of single- word based alignment models.</S><S sid = 149 ssid = >HMM- based word alignment in statistical translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we present improvements to the HMM based alignment model originally proposed by (Vogel et al., 1996, Och and Ney, 2000a).</S> | Reference Offset:  ['12','23'] | Reference Text:  <S sid = 12 ssid = >In this paper we will describe extensions to tile Hidden-Markov alignment model froln (Vogel et al., 1.996) and compare tlmse to Models 1 - 4 of (Brown et al., 1993).</S><S sid = 23 ssid = >To find a Viterbi aligninent for the HMM-based model we resort to dynamic progralnming (Vogel et al., 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to improve transition models in the HMM based alignment, Och and Ney (2000a) extended the transition models to be word-class dependent.</S> | Reference Offset:  ['44','149'] | Reference Text:  <S sid = 44 ssid = >5( i , i  ) p(i l i   + I, 1) = p(iIi  ,1) The parameter pff is the 1)robability of a transition to the emt)ty word.</S><S sid = 149 ssid = >HMM- based word alignment in statistical translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the next section we briefly review modeling of transition probabilities in a conventional HMM alignment model (Vogel et al, 1996, Och and Ney, 2000a).</S> | Reference Offset:  ['6','23'] | Reference Text:  <S sid = 6 ssid = >Most SMT models (Brown et al., 1993; Vogel et al., 1996) try to model word-to-word corresl)ondences between source and target words using an alignment nmpl)ing from source l)osition j to target position i = aj.</S><S sid = 23 ssid = >To find a Viterbi aligninent for the HMM-based model we resort to dynamic progralnming (Vogel et al., 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We briefly review the HMM based word alignment models (Vogel, 1996, Och and Ney, 2000a).</S> | Reference Offset:  ['23','149'] | Reference Text:  <S sid = 23 ssid = >To find a Viterbi aligninent for the HMM-based model we resort to dynamic progralnming (Vogel et al., 1996).</S><S sid = 149 ssid = >HMM- based word alignment in statistical translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Och and Ney, 2000a), the word null is introduced to generate the French words that don &apos; t align to any English words.</S> | Reference Offset:  ['34','54'] | Reference Text:  <S sid = 34 ssid = >As a dependence on all English words wouht result ill a huge mmflmr of aligmnent 1)arameters we use as (Brown et el., 1993) equivalence classes G over tlle English and the French words.</S><S sid = 54 ssid = >It models a jump distance j - j   (for con- secutive English words) while in the HMM a jump distance i - i   (for consecutive French words) is mod- eled.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Tests sentence pairs were manually aligned and were marked with both sure and possible alignments (Och and Ney 2000a).</S> | Reference Offset:  ['83','90'] | Reference Text:  <S sid = 83 ssid = >It is guaranteed that S C P. Figure 1 shows all example of a manually aligned sentence with S and P relations.</S><S sid = 90 ssid = >-~t ~1 J~ o Figure i: Exmnple of a manually annotated align- ment with sure (filled dots) and possible commotions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','153'] | Reference Text:  <S sid = 48 ssid = >Assmning a mfiform align- ment prol)ability p(i l j ,  I )  = 1/1, we obtain Model 1.</S><S sid = 153 ssid = >of the MT Summit IV, pages 127-135, Kobe, Jat)an.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >only presents AER results that are calculated after combination of word alignments of both E F and F E directions based on a set of heuristics proposed by Och and Ney (2000b).</S> | Reference Offset:  ['45','149'] | Reference Text:  <S sid = 45 ssid = >In our extleriments we set pIl = 0.2.</S><S sid = 149 ssid = >HMM- based word alignment in statistical translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C00-2163.txt | Citing Article:  W07-0711.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Alignments of both directions are generated and then are combined by heuristic rules described in (Och and Ney 2000b).</S> | Reference Offset:  ['59','144'] | Reference Text:  <S sid = 59 ssid = >Therefore, the Viterbi alignment is comlmted only approximately using the method described in (Brown et al., 1993).</S><S sid = 144 ssid = >F. J. Och, C. Tilhnalm, mid H. Ney.</S> | Discourse Facet:  NA | Annotator: Automatic


