Citance Number: 1 | Reference Article:  D08-1014.txt | Citing Article:  P14-2063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Banea et al (2008) demonstrate that machine translation can perform quite well when extending the subjectivity analysis to multilingual environment, which makes it inspiring to replicate their work on lexicon-based sentiment analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multilingual Subjectivity Analysis Using Machine Translation</S><S sid = NA ssid = NA>Much of the work in subjectivity analysis has been applied to English data, though work on other languages is growing: e.g., Japanese data are used in (Kobayashi et al., 2004; Suzuki et al., 2006; Takamura et al., 2006; Kanayama and Nasukawa, 2006), Chinese data are used in (Hu et al., 2005), and German data are used in (Kim and Hovy, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D08-1014.txt | Citing Article:  W10-4116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to the approach proposed in (Banea et al, 2008), Wan's method also uses machine translation to produced a labeled Chinese review corpus from the available labeled English review data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The classifier was then applied to the English version of the manually labeled test data set (the gold standard described in Section 4).</S><S sid = NA ssid = NA>We compare our results with those obtained by a previously proposed method that was based on the manual translation of the SemCor subjectivityannotated corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D08-1014.txt | Citing Article:  N10-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A primary question is whether such lexicons improve performance over a translate-to-English strategy (Banea et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Much of the work in subjectivity analysis has been applied to English data, though work on other languages is growing: e.g., Japanese data are used in (Kobayashi et al., 2004; Suzuki et al., 2006; Takamura et al., 2006; Kanayama and Nasukawa, 2006), Chinese data are used in (Hu et al., 2005), and German data are used in (Kim and Hovy, 2006).</S><S sid = NA ssid = NA>A large number of text processing applications have already employed techniques for automatic subjectivity analysis, including automatic expressive text-to-speech synthesis (Alm et al., 2005), text semantic analysis (Wiebe and Mihalcea, 2006; Esuli and Sebastiani, 2006), tracking sentiment timelines in on-line forums and news (Lloyd et al., 2005; Balog et al., 2006), mining opinions from product reviews (Hu and Liu, 2004), and question answering (Yu and Hatzivassiloglou, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D08-1014.txt | Citing Article:  C10-2127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Banea et al (2008) use machine translation for multilingual sentiment analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multilingual Subjectivity Analysis Using Machine Translation</S><S sid = NA ssid = NA>In this paper, we explored the use of machine translation for creating resources and tools for subjectivity analysis in other languages, by leveraging on the resources available in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D08-1014.txt | Citing Article:  C10-2099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mihalcea et al, (2007) and Banea et al, (2008) used machine translation technique to leverage English resources for analysis in Romanian and Spanish languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is the same evaluation dataset as used in (Mihalcea et al., 2007).</S><S sid = NA ssid = NA>In (Mihalcea et al., 2007), we used the manual translation of the SemCor corpus into Romanian to form an English-Romanian parallel data set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D08-1014.txt | Citing Article:  W12-3709.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another approach in obtaining subjectivity lexicons for other languages than English was explored by Banea et al (Banea et al,2008b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Much of the work in subjectivity analysis has been applied to English data, though work on other languages is growing: e.g., Japanese data are used in (Kobayashi et al., 2004; Suzuki et al., 2006; Takamura et al., 2006; Kanayama and Nasukawa, 2006), Chinese data are used in (Hu et al., 2005), and German data are used in (Kim and Hovy, 2006).</S><S sid = NA ssid = NA>This is the same evaluation dataset as used in (Mihalcea et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D08-1014.txt | Citing Article:  W12-3709.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by a National Science Foundation grant IIS#0840608.</S><S sid = NA ssid = NA>The two annotators reached consensus on all sentences for which they disagreed, resulting in a gold standard dataset with 272 (54%) subjective sentences and 232 (46%) objective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D08-1014.txt | Citing Article:  D10-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, (Banea et al, 2008) propose a method based on machine translation to generate parallel texts, followed by a cross-lingual projection of subjectivity labels, which are used to train subjectivity annotation tools for Romanian and Spanish.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This motivates the direction of our research, in which we use machine translation coupled with cross-lingual annotation projections to generate the resources and tools required to perform subjectivity classification in the target language.</S><S sid = NA ssid = NA>After the annotation, the labels are projected back into the target language, and the resulting annotated corpus is used to train a subjectivity classifier.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D08-1014.txt | Citing Article:  P10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by a National Science Foundation grant IIS#0840608.</S><S sid = NA ssid = NA>The two annotators reached consensus on all sentences for which they disagreed, resulting in a gold standard dataset with 272 (54%) subjective sentences and 232 (46%) objective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D08-1014.txt | Citing Article:  P10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Figure 1: Examples of sentiments in multilingual text Banea et al (2008) have attributed the variations in the difficulty level of subjectivity learning to the differences in language construction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multilingual Subjectivity Analysis Using Machine Translation</S><S sid = NA ssid = NA>Figure 3 illustrates this experiment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D08-1014.txt | Citing Article:  P10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>translating a source language training corpus into target language and creating a corpus based system in target language (Banea et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The corpus is automatically translated into the target language, followed by a projection of the subjectivity labels from the source to the target language.</S><S sid = NA ssid = NA>The source language text is automatically annotated for subjectivity and then translated into the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D08-1014.txt | Citing Article:  W11-1724.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Banea et al (2008) proposed several approaches for cross lingual subjectivity analysis by directly applying the translations of opinion corpus in source language to train the opinion classifier on target language.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The source language text is automatically annotated for subjectivity and then translated into the target language.</S><S sid = NA ssid = NA>First, we tried to isolate the role played by the quality of the subjectivity annotations in the source-language for the cross-lingual projections of subjectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D08-1014.txt | Citing Article:  P10-2048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Various experiments of the first strategy are performed in (Banea et al,2008) for the subjective analysis task and an average 65 F1 score was reported.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Among our experiments, experiments two and three are closest to those proposed in (Mihalcea et al., 2007).</S><S sid = NA ssid = NA>To gain further insights, two additional experiments were performed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D08-1014.txt | Citing Article:  W12-0507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As stressed in some work (Banea et al., 2008), researchers have shown that in sentiment analysis, an approach in two steps is often beneficial, in which we first distinguish objective from subjective texts, and then classify subjective texts depending on their polarity (Kim and Hovy, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Much of the work in subjectivity analysis has been applied to English data, though work on other languages is growing: e.g., Japanese data are used in (Kobayashi et al., 2004; Suzuki et al., 2006; Takamura et al., 2006; Kanayama and Nasukawa, 2006), Chinese data are used in (Hu et al., 2005), and German data are used in (Kim and Hovy, 2006).</S><S sid = NA ssid = NA>In that work, we found that the projection of annotations across parallel texts can be successfully used to build a corpus annotated for subjectivity in the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D08-1014.txt | Citing Article:  P11-2019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was partially supported by a National Science Foundation grant IIS#0840608.</S><S sid = NA ssid = NA>The two annotators reached consensus on all sentences for which they disagreed, resulting in a gold standard dataset with 272 (54%) subjective sentences and 232 (46%) objective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D08-1014.txt | Citing Article:  P09-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The above two methods have been used in (Banea et al, 2008) for Romanian subjectivity analysis, but the experimental results are not very promising.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The experiments show promising results, as they are comparable to those obtained using manually translated corpora.</S><S sid = NA ssid = NA>To evaluate our methods, we generate a Romanian training corpus annotated for subjectivity on which we train a subjectivity classifier, which is then used to label the test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D08-1014.txt | Citing Article:  C10-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although subjectivity tends to be preserved across languages - see the manual study in (Mihalcea et al, 2007), (Banea et al, 2008) hypothesize that subjectivity is expressed differently in various languages due to lexicalization, formal versus informal markers, etc.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is the same evaluation dataset as used in (Mihalcea et al., 2007).</S><S sid = NA ssid = NA>More details about this dataset are available in (Mihalcea et al., 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


