Citance Number: 1 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work in this area includes Velikovich et al (2010), who developed a method for automatically deriving an extensive sentiment lexicon from the web as a whole.</S> | Reference Offset:  ['1','17'] | Reference Text:  <S sid = 1 ssid = >We examine the viability of building large polarity lexicons semi-automatically from the web.</S><S sid = 17 ssid = >Towards this end, we provide both a qualitative and quantitative analysis for a web-derived English lexicon relative to two previously published lexicons – the lexicon used in Wilson et al. (2005) and the lexicon used in Blair-Goldensohn et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Once the graph is constructed, we can use either of the propagation algorithms of Brody and Elhadad (2010) and Velikovich et al (2010), which we will denote Reviews and Web, respectively.</S> | Reference Offset:  ['27','82'] | Reference Text:  <S sid = 27 ssid = >In this section we describe a method to construct polarity lexicons using graph propagation over a phrase similarity graph constructed from the web.</S><S sid = 82 ssid = >We ran the best path graph propagation algorithm over a graph constructed from the web using manually constructed positive and negative seed sets of 187 and 192 words in size, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Velikovich et al (2010) employed a different label propagation method, as described in Figure 3.</S> | Reference Offset:  ['34','70'] | Reference Text:  <S sid = 34 ssid = >The specific algorithm used in this study is given in Figure 1, which is distinct from common graph propagation algorithms, e.g., label propagation (see Section 2.3).</S><S sid = 70 ssid = >The intuition behind label propagation seems justified.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','163'] | Reference Text:  <S sid = 60 ssid = >In particular, we might see a number of edges between positive and negative sentiment words as well as sentiment words and non-sentiment words, e.g., sentiment adjectives and all other adjectives that are distributionally similar.</S><S sid = 163 ssid = >Acknowledgements: The authors thank Andrew Hogue, Raj Krishnan and Deepak Ravichandran for insightful discussions about this work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Velikovich et al (2010), the parameters were tuned on a held out dataset.</S> | Reference Offset:  ['46','124'] | Reference Text:  <S sid = 46 ssid = >Both T and y were tuned on held-out data.</S><S sid = 124 ssid = >Ranking sentences by their polarity is a critical sub-task in extractive sentiment summarization (Carenini et al., 2006; Lerman et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N10-1119.txt | Citing Article:  D11-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Top fifteen negative and positive words for the algorithms of Brody and Elhadad (2010) (Reviews) and Velikovich et al (2010) (Web).</S> | Reference Offset:  ['60','63'] | Reference Text:  <S sid = 60 ssid = >In particular, we might see a number of edges between positive and negative sentiment words as well as sentiment words and non-sentiment words, e.g., sentiment adjectives and all other adjectives that are distributionally similar.</S><S sid = 63 ssid = >Thus, even if some local edges are erroneous in the graph, one hopes that, globally, positive phrases will be influenced more by paths from positive seed words as opposed to negative seed words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N10-1119.txt | Citing Article:  P13-1174.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although such an assumption played a key role in previous work for the analogous task of learning sentiment lexicon (Velikovich et al, 2010), we expect that the same assumption would be less reliable in drawing subtle connotative sentiments of words.</S> | Reference Offset:  ['60','124'] | Reference Text:  <S sid = 60 ssid = >In particular, we might see a number of edges between positive and negative sentiment words as well as sentiment words and non-sentiment words, e.g., sentiment adjectives and all other adjectives that are distributionally similar.</S><S sid = 124 ssid = >Ranking sentences by their polarity is a critical sub-task in extractive sentiment summarization (Carenini et al., 2006; Lerman et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N10-1119.txt | Citing Article:  P13-1174.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','163'] | Reference Text:  <S sid = 60 ssid = >In particular, we might see a number of edges between positive and negative sentiment words as well as sentiment words and non-sentiment words, e.g., sentiment adjectives and all other adjectives that are distributionally similar.</S><S sid = 163 ssid = >Acknowledgements: The authors thank Andrew Hogue, Raj Krishnan and Deepak Ravichandran for insightful discussions about this work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N10-1119.txt | Citing Article:  P13-1174.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Velikovich et al (2010) use graph propagation algorithms for constructing a web-scale polarity lexicon for sentiment analysis.</S> | Reference Offset:  ['10','19'] | Reference Text:  <S sid = 10 ssid = >The pervasiveness and sustained use of lexicons can be ascribed to a number of reasons, including their interpretability in large-scale systems as well as the granularity of their analysis.</S><S sid = 19 ssid = >Our experiments show that a web-derived lexicon is not only significantly larger, but has improved accuracy on a sentence polarity classification task, which is an important problem in many sentiment analysis applications, including sentiment aggregation and summarization (Hu and Liu, 2004; Carenini et al., 2006; Lerman et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N10-1119.txt | Citing Article:  D11-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A technique named label propagation (Zhu and Ghahramani, 2002) has been used by Rao and Ravichandran (2009) and Velikovich et al (2010), while random walk based approaches, PageRank in particular, have been used by Esuli and Sebastiani (2007).</S> | Reference Offset:  ['49','65'] | Reference Text:  <S sid = 49 ssid = >Past studies on building polarity lexicons have used linguistic resources like WordNet to define the graph through synonym and antonym relations (Kim and Hovy, 2004; Esuli and Sabastiani, 2009; Blair-Goldensohn et al., 2008; Rao and Ravichandran, 2009).</S><S sid = 65 ssid = >Previous studies on constructing polarity lexicons from lexical graphs, e.g., Rao and Ravichandran (2009), have used the label propagation algorithm, which takes the form in Figure 2 (Zhu and Ghahramani, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N10-1119.txt | Citing Article:  D11-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','163'] | Reference Text:  <S sid = 60 ssid = >In particular, we might see a number of edges between positive and negative sentiment words as well as sentiment words and non-sentiment words, e.g., sentiment adjectives and all other adjectives that are distributionally similar.</S><S sid = 163 ssid = >Acknowledgements: The authors thank Andrew Hogue, Raj Krishnan and Deepak Ravichandran for insightful discussions about this work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N10-1119.txt | Citing Article:  D11-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However in recent years, sentiment lexicons started expanding to include some of those words that simply associate with sentiment, even if those words are purely objective (e.g., Velikovich et al (2010), Baccianellaet al (2010)).</S> | Reference Offset:  ['60','123'] | Reference Text:  <S sid = 60 ssid = >In particular, we might see a number of edges between positive and negative sentiment words as well as sentiment words and non-sentiment words, e.g., sentiment adjectives and all other adjectives that are distributionally similar.</S><S sid = 123 ssid = >Classifying sentences by their sentiment is a subtask of sentiment aggregation systems (Hu and Liu, 2004; Gamon et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N10-1119.txt | Citing Article:  N12-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to collectively induce the visually descriptive words from this graph, we apply the graph propagation algorithm of Velikovich et al (2010), a variant of label propagation algorithms (Zhu and Ghahramani, 2002) that has been shown to be effective for inducing a web-scale polarity lexicon based on word co-occurrence statistics.</S> | Reference Offset:  ['34','65'] | Reference Text:  <S sid = 34 ssid = >The specific algorithm used in this study is given in Figure 1, which is distinct from common graph propagation algorithms, e.g., label propagation (see Section 2.3).</S><S sid = 65 ssid = >Previous studies on constructing polarity lexicons from lexical graphs, e.g., Rao and Ravichandran (2009), have used the label propagation algorithm, which takes the form in Figure 2 (Zhu and Ghahramani, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N10-1119.txt | Citing Article:  D12-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples include constructing polarity lexicons based on lexical graphs from WordNet (Rao and Ravichandran, 2009), constructing polarity lexicons from web data (Velikovich et al 2010) and unsupervised part-of-speech tagging using label propagation (Das and Petrov, 2011).</S> | Reference Offset:  ['12','65'] | Reference Text:  <S sid = 12 ssid = >We propose a method based on graph propagation algorithms inspired by previous work on constructing polarity lexicons from lexical graphs (Kim and Hovy, 2004; Hu and Liu, 2004; Esuli and Sabastiani, 2009; Blair-Goldensohn et al., 2008; Rao and Ravichandran, 2009).</S><S sid = 65 ssid = >Previous studies on constructing polarity lexicons from lexical graphs, e.g., Rao and Ravichandran (2009), have used the label propagation algorithm, which takes the form in Figure 2 (Zhu and Ghahramani, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N10-1119.txt | Citing Article:  D12-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, constructing web-derived polarity lexicons (Velikovich et al 2010), top 25 edges were used, and for unsupervised part-of-speech tagging using label propagation (Das and Petrov, 2011), top 5 edges were used.</S> | Reference Offset:  ['17','56'] | Reference Text:  <S sid = 17 ssid = >Towards this end, we provide both a qualitative and quantitative analysis for a web-derived English lexicon relative to two previously published lexicons – the lexicon used in Wilson et al. (2005) and the lexicon used in Blair-Goldensohn et al.</S><S sid = 56 ssid = >All edges (vi, vj) were then discarded if they were not one of the 25 highest weighted edges adjacent to either node vi or vj.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N10-1119.txt | Citing Article:  W11-1705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A web-derived lexicon (Velikovich et al, 2010) was constructed for all words and phrases using graph propagation algorithm which propagates polarity from seed words to all other words.</S> | Reference Offset:  ['63','82'] | Reference Text:  <S sid = 63 ssid = >Thus, even if some local edges are erroneous in the graph, one hopes that, globally, positive phrases will be influenced more by paths from positive seed words as opposed to negative seed words.</S><S sid = 82 ssid = >We ran the best path graph propagation algorithm over a graph constructed from the web using manually constructed positive and negative seed sets of 187 and 192 words in size, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N10-1119.txt | Citing Article:  D11-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, (Velikovich et al, 2010) showed how to use a seed lexicon and a graph propagation framework to learn a larger sentiment lexicon that also includes polar multi-word phrases such as 'once in a life time'.</S> | Reference Offset:  ['17','19'] | Reference Text:  <S sid = 17 ssid = >Towards this end, we provide both a qualitative and quantitative analysis for a web-derived English lexicon relative to two previously published lexicons – the lexicon used in Wilson et al. (2005) and the lexicon used in Blair-Goldensohn et al.</S><S sid = 19 ssid = >Our experiments show that a web-derived lexicon is not only significantly larger, but has improved accuracy on a sentence polarity classification task, which is an important problem in many sentiment analysis applications, including sentiment aggregation and summarization (Hu and Liu, 2004; Carenini et al., 2006; Lerman et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


