Citance Number: 1 | Reference Article:  J02-4002.txt | Citing Article:  W03-0505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We pursue a methodology based on Teufel and Moens (2002) where sentences are classified according to their argumentative role.</S> | Reference Offset:  ['437','481'] | Reference Text:  <S sid = 437 ssid = >The system is likely to confuse AIM and OWN sentences (e.g., 100 out of 172 sentences incorrectly classified as AIM by the system turned out to be OWN sentences).</S><S sid = 481 ssid = >Ten out of the 15 extracted sentences have been classified correctly.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J02-4002.txt | Citing Article:  W09-2807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The features used for the experiments reported here are inspired by previous work in text summarization on content selection (Kupiec et al, 1995), rhetorical classification (Teufel and Moens, 2002), and information ordering (Lapata, 2003).</S> | Reference Offset:  ['145','291'] | Reference Text:  <S sid = 145 ssid = >More recent experiments reporting more positive results all used news text (Jing et al. 1998; Zechner 1995).</S><S sid = 291 ssid = >We now describe an automatic system that can perform extraction and classification of rhetorical status on unseen text (cf. also a prior version of the system reported in Teufel and Moens [2000] and Teufel [1999]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J02-4002.txt | Citing Article:  W09-2807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Related to this is the work by Teufel and Moens (2002) on rhetorical classification for content selection.</S> | Reference Offset:  ['422','505'] | Reference Text:  <S sid = 422 ssid = >Our task is to perform content selection from scientific articles, which we do by classifying sentences into seven rhetorical categories.</S><S sid = 505 ssid = >We have presented a new method for content selection from scientific articles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J02-4002.txt | Citing Article:  W04-1907.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This subset of the corpus is similar in size to the corpus reported in (Teufel and Moens, 2002): the T & M corpus consists of 80 conference articles while ours consists of 40 HOLJ documents.</S> | Reference Offset:  ['183','185'] | Reference Text:  <S sid = 183 ssid = >The annotated development corpus consists of 80 conference articles in computational linguistics (12,188 sentences; 285,934 words).</S><S sid = 185 ssid = >The appendix lists the 80 articles (archive numbers, titles and authors) of our development corpus; it consists of the 80 chronologically oldest articles in the larger corpus, containing articles deposited between May 1994 and May 1996 (whereas the entire corpus stretches until 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J02-4002.txt | Citing Article:  W04-1907.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ultimately, human supervision may be required as in Teufel and Moens (2002), however we can make some observations about the automatic annotation methods above.</S> | Reference Offset:  ['194','291'] | Reference Text:  <S sid = 194 ssid = >The annotation experiment described here (and in Teufel, Carletta, and Moens [1999] in more detail) tests the rhetorical annotation scheme presented in section 2.4.</S><S sid = 291 ssid = >We now describe an automatic system that can perform extraction and classification of rhetorical status on unseen text (cf. also a prior version of the system reported in Teufel and Moens [2000] and Teufel [1999]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J02-4002.txt | Citing Article:  P13-2102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In earlier work, (Teufel and Moens, 2002) have examined the problem of summarizing scientific articles using rhetorical analysis of sentences.</S> | Reference Offset:  ['0','247'] | Reference Text:  <S sid = 0 ssid = >Summarizing Scientific Articles: Experiments With Relevance And Rhetorical Status</S><S sid = 247 ssid = >Another persistently problematic distinction for our annotators was that between OWN Teufel and Moens Summarizing Scientific Articles and BACKGROUND.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J02-4002.txt | Citing Article:  P07-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, Teufel and Moens (2002) summarize scientific articles by selecting rhetorical elements that are commonly present in scientific abstracts.</S> | Reference Offset:  ['247','314'] | Reference Text:  <S sid = 247 ssid = >Another persistently problematic distinction for our annotators was that between OWN Teufel and Moens Summarizing Scientific Articles and BACKGROUND.</S><S sid = 314 ssid = >Rhetorical zones appear in typical positions in the article, as scientific argumentation Teufel and Moens Summarizing Scientific Articles follows certain patterns (Swales 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J02-4002.txt | Citing Article:  W04-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Argumentation has typically been studied in relation to summarization (Teufel and Moens, 2002).</S> | Reference Offset:  ['22','82'] | Reference Text:  <S sid = 22 ssid = >Summarization of such texts requires a different approach from, for example, that used in the summarization of news articles.</S><S sid = 82 ssid = >Scientific argumentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J02-4002.txt | Citing Article:  W06-1417.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Teufel and Moens (2002) present a coding scheme for scientific argumentation in research articles that is designed for automatic summarization of human-authored text.</S> | Reference Offset:  ['82','129'] | Reference Text:  <S sid = 82 ssid = >Scientific argumentation.</S><S sid = 129 ssid = >The annotation scheme expresses important discourse and argumentation aspects of scientific articles, but with its seven categories it is not designed to model the full complexity of scientific texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J02-4002.txt | Citing Article:  D09-1155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This requires adaptation of the high-level features used in AZ (Teufel and Moens, 2002) to chemistry.</S> | Reference Offset:  ['22','306'] | Reference Text:  <S sid = 22 ssid = >Summarization of such texts requires a different approach from, for example, that used in the summarization of news articles.</S><S sid = 306 ssid = >Sentential features are collected for each sentence (Table 4 gives an overview of the features we used).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J02-4002.txt | Citing Article:  W04-1205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work on rhetorical analysis of scientific articles focus on either; 1) hierarchical discourse relations between sentences (e.g. Mann and Thompson, 1987), 2) genre analysis within a descriptive framework (e.g. Swales 1990), or 3) ZI in a flat structure and a statistical evaluation of the annotation scheme from a machine learning perspective (e.g. Teufel and Moens, 2002).</S> | Reference Offset:  ['135','314'] | Reference Text:  <S sid = 135 ssid = >Our rhetorical analysis, as noted above, is nonhierarchical, in contrast to Rhetorical Structure Theory (RST) (Mann and Thompson 1987; Marcu 1999), and it concerns text pieces at a lower level of granularity.</S><S sid = 314 ssid = >Rhetorical zones appear in typical positions in the article, as scientific argumentation Teufel and Moens Summarizing Scientific Articles follows certain patterns (Swales 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J02-4002.txt | Citing Article:  W04-1205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow the lines of (Teufel and Moens, 2002) and apply ZI to the domain of biology.</S> | Reference Offset:  ['21','103'] | Reference Text:  <S sid = 21 ssid = >Our application domain is the summarization of scientific articles.</S><S sid = 103 ssid = >Also, the verbs are very different (base, be related, use, follow).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J02-4002.txt | Citing Article:  W10-1913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Teufel and Moens (2002) introduced AZ and applied it to computational linguistics papers.</S> | Reference Offset:  ['186','187'] | Reference Text:  <S sid = 186 ssid = >Papers were included if they were presented at one of the following conferences (or associated workshops): the annual meeting of the Association for Computational Linguistics (ACL), the meeting of the European Chapter of the Association for Computational Linguistics (EACL), the conference on Applied Natural Language Processing (ANLP), the International Joint Conference on Artificial Intelligence (IJCAI), or the International Conference on Computational Linguistics (COLING).</S><S sid = 187 ssid = >As mentioned above, a wide range of different subdomains of the field of computational linguistics are covered.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J02-4002.txt | Citing Article:  W10-1913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As these schemes are too fine grained for abstracts (some of the categories do not appear in abstracts at all), we adopt a reduced version of AZ which integrates seven categories from (Teufel and Moens, 2002) and (Mizuta et al, 2005) those which actually appear in abstracts.</S> | Reference Offset:  ['261','263'] | Reference Text:  <S sid = 261 ssid = >Even though the sequence AIM–OWN is very common (contained in 73% of all abstracts), the 80 abstracts still contain 40 different rhetorical sequences, 28 of which are unique.</S><S sid = 263 ssid = >Both observations, the lack of certain rhetorical types in the abstracts and their rhetorical heterogeneity, reassure us in our decision not to use human-written abstracts as a gold standard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J02-4002.txt | Citing Article:  W06-1613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We know from Teufel and Moens (2002) that verb tense and voice should be useful for recognizing statements of previous work, future work and work performed in the paper.</S> | Reference Offset:  ['63','246'] | Reference Text:  <S sid = 63 ssid = >Section 5 presents an overview of the intrinsic evaluation we performed, and section 6 closes with a summary of the contribution of this work, its limitations, and suggestions for future work.</S><S sid = 246 ssid = >With respect to the longer, more neutral zones (intellectual attribution), annotators often had problems in distinguishing OTHER work from OWN work, particularly in cases where the authors did not express a clear distinction between new work and previous own work (which, according to our instructions, should be annotated as OTHER).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J02-4002.txt | Citing Article:  W04-0207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These 16 categories refer to the dimension that is discussed under problem structure in (Teufel and Moens, 2002), rather than to exclusively rhetorical zones and are viewed as types of topics.</S> | Reference Offset:  ['72','124'] | Reference Text:  <S sid = 72 ssid = >Problem structure.</S><S sid = 124 ssid = >As adjacent sentences of the same status can be considered to form zones of the same rhetorical status, we call the units rhetorical zones.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J02-4002.txt | Citing Article:  N10-3003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has been successfully applied for text content such as news articles, scientific papers (Teufel and Moens, 2002) that follow a discourse structure.</S> | Reference Offset:  ['247','505'] | Reference Text:  <S sid = 247 ssid = >Another persistently problematic distinction for our annotators was that between OWN Teufel and Moens Summarizing Scientific Articles and BACKGROUND.</S><S sid = 505 ssid = >We have presented a new method for content selection from scientific articles.</S> | Discourse Facet:  NA | Annotator: Automatic


