Citance Number: 1 | Reference Article:  H01-1035.txt | Citing Article:  W02-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Others have exploited the automatic transfer of some already existing annotated resource in a different medium or language (such as the translingual projection of part-of-speech tags, syntactic bracketing and inflectional morphology in Yarowsky et al (2001), requiring no direct supervision in the foreign language).</S> | Reference Offset:  ['178','212'] | Reference Text:  <S sid = 178 ssid = >for cross-language resource projection.</S><S sid = 212 ssid = >In Armstrong et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  H01-1035.txt | Citing Article:  W05-0807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the methods of Yarowsky et al (2001) to develop a core part-of-speech tagger for French, based only on the projected core tags, and used this as a basis for fine-grained tags.</S> | Reference Offset:  ['36','59'] | Reference Text:  <S sid = 36 ssid = >4.1 Part-of-speech Projection Issues First, because of considerable cross-language differences in fine- grained tag set inventories, this work focuses on accurately assign- ing core POS categories (e.g.</S><S sid = 59 ssid = >de Montre?al, which is used to gauge stand-alone tagger performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H01-1035.txt | Citing Article:  P04-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is important because a word-aligned corpus is typically used as a first step in order to identify phrases or templates in phrase-based Machine Translation (Och et al., 1999), (Tillmann and Xia, 2003), (Koehn et al., 2003, sec. 3), or for projecting linguistic annotation across languages (Yarowsky et al, 2001).</S> | Reference Offset:  ['25','212'] | Reference Text:  <S sid = 25 ssid = >All corpora were automatically word-aligned by the now publicly available EGYPT system (Al-Onaizan et al., 1999), based on IBM?s Model 3 statistical MT formalism (Brown et al., 1990).</S><S sid = 212 ssid = >In Armstrong et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H01-1035.txt | Citing Article:  C10-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Early studies of cross-lingual annotation projection were accomplished for lexically-based tasks; for example part-of-speech tagging (Yarowsky and Ngai, 2001), named-entity tagging (Yarowsky et al, 2001), and verb classification (Merlo et al, 2002).</S> | Reference Offset:  ['34','212'] | Reference Text:  <S sid = 34 ssid = >Additional details of this algorithm are given in Yarowsky and Ngai (2001).</S><S sid = 212 ssid = >In Armstrong et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H01-1035.txt | Citing Article:  W05-0310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Of significant interest is the porting of annotations across languages: for example, Yarowsky et al 2001 present a method for automatic tagging of English and the projection of the tags to other languages; however, these tags do not include semantics.</S> | Reference Offset:  ['15','212'] | Reference Text:  <S sid = 15 ssid = >[][ ] IN NNP NNP VBG VBG NNS NNSJJ JJ JJ HongIn Kong national law(s)implementing of 109876543210 National   laws  applying  in  Hong  Kong 2 4 53 [ [] ]JJ VBG IN NNP NNP 0 1 NNS un  producteur  important   de   petrole  brut DT[ NN 20 NN ]a  significant  producer    for    crude  oil[ ] 22 23 NNJJIN 21 JJ 1918 12 JJJJ NN 13 14 151110[ [ ]] DT [PLACE] [PLACE] Annotations From Existing English Tools Annotations From Existing English Tools Induced Annotations for Chinese Induced Annotations for French Figure 1: Projecting part-of-speech tags, named-entity tags and noun-phrase structure from English to Chinese and French.</S><S sid = 212 ssid = >In Armstrong et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H01-1035.txt | Citing Article:  W03-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Morphological analyzers, noun-phrase chunkers, POS taggers, etc., have also been developed for resource deficient languages by exploiting translated or parallel text (Yarowsky et al, 2001).</S> | Reference Offset:  ['3','12'] | Reference Text:  <S sid = 3 ssid = >of Computer Science Johns Hopkins University Baltimore, MD 21218 USA richardw@cs.jhu.edu ABSTRACT This paper describes a system and set of algorithms for automati- cally inducing stand-alone monolingual part-of-speech taggers, base noun-phrase bracketers, named-entity taggers and morphological analyzers for an arbitrary foreign language.</S><S sid = 12 ssid = >Keywords multilingual, text analysis, part-of-speech tagging, noun phrase brac- keting, named entity, morphology, lemmatization, parallel corpora 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H01-1035.txt | Citing Article:  H05-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Word-level alignment is a critical component of a wide range of NLP applications, such as construction of bilingual lexicons (Melamed, 2000), word sense disambiguation (Diab and Resnik, 2002), projection of language resources (Yarowsky et al, 2001), and statistical machine translation.</S> | Reference Offset:  ['187','201'] | Reference Text:  <S sid = 187 ssid = >A statistical approach to machine translation.</S><S sid = 201 ssid = >[8] D. Melamed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H01-1035.txt | Citing Article:  W10-2106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While the use of parallel resources is rather familiar in a wide range of NLP domains, such as statistical machine translation (Koehn, 2005) or annotation projection (Yarowsky et al, 2001), our work shows that they can be exploited forvery specific problems that arise in deep linguistic analysis (see Section 4).</S> | Reference Offset:  ['182','187'] | Reference Text:  <S sid = 182 ssid = >Statistical Machine Translation (tech report).</S><S sid = 187 ssid = >A statistical approach to machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H01-1035.txt | Citing Article:  W05-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky et al (2001) introduced a new method for developing a Part-of-Speech tagger by projecting tags across aligned corpora.</S> | Reference Offset:  ['25','42'] | Reference Text:  <S sid = 25 ssid = >All corpora were automatically word-aligned by the now publicly available EGYPT system (Al-Onaizan et al., 1999), based on IBM?s Model 3 statistical MT formalism (Brown et al., 1990).</S><S sid = 42 ssid = >Figure 3 illustrates six scenarios encountered when projecting POS tags from English to a language such as French.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H01-1035.txt | Citing Article:  D10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, in our research study, new challenges arose because our RRL data are automatically annotated, which is different from what has been reported in the research works we have mentioned before, i.e. (Yarowsky et al., 2001) and (Klementiev and Roth, 2006), where gold annotated data were used.</S> | Reference Offset:  ['25','50'] | Reference Text:  <S sid = 25 ssid = >All corpora were automatically word-aligned by the now publicly available EGYPT system (Al-Onaizan et al., 1999), based on IBM?s Model 3 statistical MT formalism (Brown et al., 1990).</S><S sid = 50 ssid = >Thus our research has focused on noise-robust techniques for distilling a conservative but effective tagger from this challenging raw projection data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H01-1035.txt | Citing Article:  W11-2148.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['238','239'] | Reference Text:  <S sid = 238 ssid = >$ ar seek busque buscar que $ car seek busque?</S><S sid = 239 ssid = >$ car seek Induced Morphological Analyses for FRENCH Inflection Root Out Analysis TopBridge abre`ge abre?ger e`ge $ e?ger shorten abre`gent abre?ger e`gent $ e?ger shorten abre?gerai abre?ger erai $ er curtail ache`te acheter e`te $ eter buy ache`tent acheter e`tent $ eter buy ache`tera acheter e`tera $ eter buy advenait advenir ait $ ir happen advenu advenir u $ ir happen adviendrait advenir iendrait $ enir happen advient advenir ient $ enir happen alie`ne alie?ner e`ne $ e?ner alienate alie`nent alie?ner e`nent $ e?ner alienate conc?u concevoir c?u $ cevoir conceive crois croire s $ re believe croyaient croire yaient $ ire believe Table 4: Sample of induced morphological analyses</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H01-1035.txt | Citing Article:  C04-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky et al (2001) describe a successful method consisting of (i) automatic annotation of English texts, (ii) cross language projection of annotations onto target language texts, and (iii) induction of noise-robust taggers for the target language.</S> | Reference Offset:  ['175','178'] | Reference Text:  <S sid = 175 ssid = >CONCLUSION This paper has presented a detailed survey of original algorithms for cross-language annotation projection and noise-robust tagger induction, evaluated on four diverse applications.</S><S sid = 178 ssid = >for cross-language resource projection.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H01-1035.txt | Citing Article:  H05-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although potentially useful as a proxy for semantic equivalence, automatically induced alignments are often noisy, thus leading to errors in annotation projection (Yarowsky et al., 2001).</S> | Reference Offset:  ['6','25'] | Reference Text:  <S sid = 6 ssid = >Simple direct annotation projection is quite noisy, however, even with optimal alignments.</S><S sid = 25 ssid = >All corpora were automatically word-aligned by the now publicly available EGYPT system (Al-Onaizan et al., 1999), based on IBM?s Model 3 statistical MT formalism (Brown et al., 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H01-1035.txt | Citing Article:  N07-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although phrase based approaches to SMT tend to be robust to word alignment errors (Lopez and Resnik, 2006), improving word-alignment is still useful for other NLP research that is more sensitive to alignment quality, e.g., projection of information across parallel corpora (Yarowsky et al, 2001).</S> | Reference Offset:  ['17','94'] | Reference Text:  <S sid = 17 ssid = >BACKGROUND Previous research on the word alignment of parallel corpora has tended to focus on their use in translation model training for MT rather than on monolingual applications.</S><S sid = 94 ssid = >Classification accuracy of raw tag projections was only 64% (based on automatic word alignment).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H01-1035.txt | Citing Article:  W12-4403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In alignment work, the foundational work is Yarowsky et al's induction of projections across aligned corpora (Yarowsky et al, 2001), most successfully adapted to cross-linguistic syntactic parsing (Hwa et al, 2005).</S> | Reference Offset:  ['25','212'] | Reference Text:  <S sid = 25 ssid = >All corpora were automatically word-aligned by the now publicly available EGYPT system (Al-Onaizan et al., 1999), based on IBM?s Model 3 statistical MT formalism (Brown et al., 1990).</S><S sid = 212 ssid = >In Armstrong et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H01-1035.txt | Citing Article:  D11-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['238','239'] | Reference Text:  <S sid = 238 ssid = >$ ar seek busque buscar que $ car seek busque?</S><S sid = 239 ssid = >$ car seek Induced Morphological Analyses for FRENCH Inflection Root Out Analysis TopBridge abre`ge abre?ger e`ge $ e?ger shorten abre`gent abre?ger e`gent $ e?ger shorten abre?gerai abre?ger erai $ er curtail ache`te acheter e`te $ eter buy ache`tent acheter e`tent $ eter buy ache`tera acheter e`tera $ eter buy advenait advenir ait $ ir happen advenu advenir u $ ir happen adviendrait advenir iendrait $ enir happen advient advenir ient $ enir happen alie`ne alie?ner e`ne $ e?ner alienate alie`nent alie?ner e`nent $ e?ner alienate conc?u concevoir c?u $ cevoir conceive crois croire s $ re believe croyaient croire yaient $ ire believe Table 4: Sample of induced morphological analyses</S> | Discourse Facet:  NA | Annotator: Automatic


