Citance Number: 1 | Reference Article:  P05-1047.txt | Citing Article:  W06-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has also been shown that these techniques prove useful for tasks such as word sense disambiguation (Patwardhan et al, 2003), real-word spelling correction (Budanitsky and Hirst, 2001) and information extraction (Stevenson and Greenwood, 2005), among others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>of all possible WordNet senses for word w): Patwardhan et al. (2003) convert this distance metric into a similarity measure by taking its multiplicative inverse.</S><S sid = NA ssid = NA>This approach has been shown to successfully acquire useful extraction patterns which, when added to an IE system, improved its performance (Yangarber et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P05-1047.txt | Citing Article:  N07-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Greenwood (2005) propose a weakly supervised approach to sentence filtering that uses semantic similarity and bootstrapping to acquire IE patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The precision scores for the sentence filtering task in Table 2 show that the semantic similarity algorithm consistently learns more accurate patterns than the existing approach.</S><S sid = NA ssid = NA>This pattern similarity measure can be used to create a weakly supervised approach to pattern acquisition following the general outline provided in Section 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P05-1047.txt | Citing Article:  N07-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our method is modeled on the approach developed by Stevenson and Greenwood (2005) but uses a different technique for ranking candidate patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A key choice in the development of such an algorithm is step 4, the process of ranking the candidate patterns, which effectively determines which of the candidate patterns will be learned.</S><S sid = NA ssid = NA>The approach to IE pattern acquisition presented here is related to other techniques but uses different assumptions regarding which patterns are likely to be relevant to a particular extraction task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-1047.txt | Citing Article:  N07-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Greenwood (2005) use subject-verb-object triples for their features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Under this scheme patterns consist of triples representing the subject, verb and object (SVO) of a clause.</S><S sid = NA ssid = NA>For example, the pattern COMPANY+fired+ceo consists of three pairs: subject COMPANY, verb fired and object ceo.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-1047.txt | Citing Article:  N07-2043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is a significant improvement over the 0.58 F-measure score reported by Stevenson and Greenwood (2005) for the same task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The best score recorded by the proposed algorithm on the sentence filtering task is an F-measure of 0.58 (22nd iteration).</S><S sid = NA ssid = NA>Initially seed patterns are given a maximum confidence score of 1 and all others a 0 score.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-1047.txt | Citing Article:  W06-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also grateful for the detailed comments provided by the anonymous reviewers of this paper.</S><S sid = NA ssid = NA>As mentioned above, the second part of a pattern element-filler pair can be either a lexical item or a semantic category, such as company.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-1047.txt | Citing Article:  W07-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also grateful for the detailed comments provided by the anonymous reviewers of this paper.</S><S sid = NA ssid = NA>As mentioned above, the second part of a pattern element-filler pair can be either a lexical item or a semantic category, such as company.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-1047.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also grateful for the detailed comments provided by the anonymous reviewers of this paper.</S><S sid = NA ssid = NA>As mentioned above, the second part of a pattern element-filler pair can be either a lexical item or a semantic category, such as company.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P05-1047.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Greenwood (2005) suggested an alternative method for ranking the candidate patterns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A key choice in the development of such an algorithm is step 4, the process of ranking the candidate patterns, which effectively determines which of the candidate patterns will be learned.</S><S sid = NA ssid = NA>We experimented with several techniques for ranking candidate patterns based on these scores, including using the best and average score, and found that the best results were obtained when each candidate pattern was ranked according to its score when compared against the centroid vector of the set of currently accepted patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P05-1047.txt | Citing Article:  W06-0204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also grateful for the detailed comments provided by the anonymous reviewers of this paper.</S><S sid = NA ssid = NA>As mentioned above, the second part of a pattern element-filler pair can be either a lexical item or a semantic category, such as company.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P05-1047.txt | Citing Article:  W09-2207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are also grateful for the detailed comments provided by the anonymous reviewers of this paper.</S><S sid = NA ssid = NA>As mentioned above, the second part of a pattern element-filler pair can be either a lexical item or a semantic category, such as company.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P05-1047.txt | Citing Article:  P11-2045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Greenwood (2005) suggested an alternative method for ranking the candidate patterns by lexical similarities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A key choice in the development of such an algorithm is step 4, the process of ranking the candidate patterns, which effectively determines which of the candidate patterns will be learned.</S><S sid = NA ssid = NA>We experimented with several techniques for ranking candidate patterns based on these scores, including using the best and average score, and found that the best results were obtained when each candidate pattern was ranked according to its score when compared against the centroid vector of the set of currently accepted patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P05-1047.txt | Citing Article:  P06-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To our knowledge, the only previous study that embeds similarities into the acquisition of extraction patterns is (Stevenson and Greenwood, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Early IE systems were based on knowledge engineering approaches but suffered from a knowledge acquisition bottleneck.</S><S sid = NA ssid = NA>This paper presents a novel algorithm for the acquisition of Information Extraction patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P05-1047.txt | Citing Article:  S12-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We adapted the method of matrix similarity given by Stevenson and Greenwood (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This shows how these patterns are represented as vectors and gives a sample semantic similarity matrix.</S><S sid = NA ssid = NA>Under our interpretation of the similarity matrix, W, this equates to each pattern element-filler pair being identical to itself but not similar to anything else.</S> | Discourse Facet:  NA | Annotator: Automatic


