Citance Number: 1 | Reference Article:  H05-2018.txt | Citing Article:  P12-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use OpinionFinder (Wilson et al, 2005) which employs negative and positive polarity cues.</S> | Reference Offset:  ['39','44'] | Reference Text:  <S sid = 39 ssid = >2.3.4 Sentiment Expression Classification The final component uses two classifiers to iden- tify words contained in phrases that express pos- itive or negative sentiments (Wilson et al., 2005).</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  H05-2018.txt | Citing Article:  P12-3023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The list of polarity words that we use in this component has been taken from the OpinionFinder system (Wilson et al, 2005).</S> | Reference Offset:  ['39','44'] | Reference Text:  <S sid = 39 ssid = >2.3.4 Sentiment Expression Classification The final component uses two classifiers to iden- tify words contained in phrases that express pos- itive or negative sentiments (Wilson et al., 2005).</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  H05-2018.txt | Citing Article:  P13-1174.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >F. Xia and M. Palmer.</S><S sid = 71 ssid = >Converting dependency structures to phrase structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H05-2018.txt | Citing Article:  D12-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For CRF-style features, we consider the string representation of the current word, its part-of speech, and a dictionary-derived feature, which is based on a subjectivity lexicon provided by Wilson et al (2005).</S> | Reference Offset:  ['25','44'] | Reference Text:  <S sid = 25 ssid = >2.3 Subjectivity Analysis The subjectivity analysis has four components.</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H05-2018.txt | Citing Article:  W12-4102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >F. Xia and M. Palmer.</S><S sid = 71 ssid = >Converting dependency structures to phrase structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H05-2018.txt | Citing Article:  D12-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use Opinion Finder (Wilson et al 2005a) to identify words with positive or negative semantic orientation.</S> | Reference Offset:  ['24','39'] | Reference Text:  <S sid = 24 ssid = >Finally, a clue-finder is run to identify words and phrases from a large subjective language lexicon.</S><S sid = 39 ssid = >2.3.4 Sentiment Expression Classification The final component uses two classifiers to iden- tify words contained in phrases that express pos- itive or negative sentiments (Wilson et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H05-2018.txt | Citing Article:  D12-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >F. Xia and M. Palmer.</S><S sid = 71 ssid = >Converting dependency structures to phrase structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H05-2018.txt | Citing Article:  N12-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Opinionfinder (Wilson et al, 2005a) is a system for mining opinions from text.</S> | Reference Offset:  ['8','44'] | Reference Text:  <S sid = 8 ssid = >To answer these types of questions, a system needs to be able to identify when opinions are expressed in text and who is expressing them.</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H05-2018.txt | Citing Article:  N12-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This component uses the publicly available tool, opinion finder (Wilson et al., 2005a), as a framework for polarity identification.</S> | Reference Offset:  ['35','39'] | Reference Text:  <S sid = 35 ssid = >2.3.3 Opinion Source Identification The third component is a source identifier that combines a Conditional Random Field sequence tagging model (Lafferty et al., 2001) and extraction pattern learning (Riloff, 1996) to identify the sources of speech events and subjective expressions (Choi et al., 2005).</S><S sid = 39 ssid = >2.3.4 Sentiment Expression Classification The final component uses two classifiers to iden- tify words contained in phrases that express pos- itive or negative sentiments (Wilson et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H05-2018.txt | Citing Article:  N12-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >F. Xia and M. Palmer.</S><S sid = 71 ssid = >Converting dependency structures to phrase structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H05-2018.txt | Citing Article:  D12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >F. Xia and M. Palmer.</S><S sid = 71 ssid = >Converting dependency structures to phrase structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H05-2018.txt | Citing Article:  D12-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this reason, we employ OpinionFinder (Wilson et al 2005a), which has a pre-trained classifier for annotating the phrases in a sentence with their contextual polarity values.</S> | Reference Offset:  ['26','68'] | Reference Text:  <S sid = 26 ssid = >2.3.1 Subjective Sentence Classification The first component is a Naive Bayes classifier that distinguishes between subjective and objective sentences using a variety of lexical and contextual features (Wiebe and Riloff, 2005; Riloff and Wiebe, 2003).</S><S sid = 68 ssid = >Recognizing contextual polarity in phrase-level sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H05-2018.txt | Citing Article:  P12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use OpinionFinder (Wilson et al, 2005a) to identify polarized words and their polarities.</S> | Reference Offset:  ['39','44'] | Reference Text:  <S sid = 39 ssid = >2.3.4 Sentiment Expression Classification The final component uses two classifiers to iden- tify words contained in phrases that express pos- itive or negative sentiments (Wilson et al., 2005).</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H05-2018.txt | Citing Article:  P12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['70','71'] | Reference Text:  <S sid = 70 ssid = >F. Xia and M. Palmer.</S><S sid = 71 ssid = >Converting dependency structures to phrase structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H05-2018.txt | Citing Article:  P13-2089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We begin with a seed set combining PARADIGM+ (Jo and Oh, 2011) with 'strongly subjective' adjectives from the OpinionFinder lexicon (Wilson et al, 2005), yielding 1342 seeds.</S> | Reference Offset:  ['35','44'] | Reference Text:  <S sid = 35 ssid = >2.3.3 Opinion Source Identification The third component is a source identifier that combines a Conditional Random Field sequence tagging model (Lafferty et al., 2001) and extraction pattern learning (Riloff, 1996) to identify the sources of speech events and subjective expressions (Choi et al., 2005).</S><S sid = 44 ssid = >3 Related Work Please see (Wiebe and Riloff, 2005; Choi et al., 2005; Wilson et al., 2005) for discussions of related work in automatic opinion and sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


