Citance Number: 1 | Reference Article:  C02-1145.txt | Citing Article:  W02-1815.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example,</S><S sid = NA ssid = NA>These tools are then used for preprocessing in the development of the CTB-II.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C02-1145.txt | Citing Article:  W06-0138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Furthermore, to evaluate our reranking method's impact on the POS tagging task, we also performed 10-fold cross-validation tests on the 250k Penn 205Chinese Treebank (CTB) (Xue et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S><S sid = NA ssid = NA>CTB-II will follow the standards set up in the segmentation (Xia 2000b), POS tagging (Xia 2000a) and bracketing guidelines (Xue and Xia 2000) and it will use articles from Peoples' Daily, Hong Kong newswire and material translated into Chinese from other languages in addition to the Xinhua newswire used in CTB-I in an effort to diversify the sources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C02-1145.txt | Citing Article:  D09-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example,</S><S sid = NA ssid = NA>These tools are then used for preprocessing in the development of the CTB-II.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C02-1145.txt | Citing Article:  I05-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Penn Chinese Treebank (Xue et al, 2002) as our corpus and the ontology/lexicon HowNet (Dong and Dong, 2000) to get ontological features for nouns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The preliminary results of this phase of the project have been reported in Xia et al (2000).</S><S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C02-1145.txt | Citing Article:  W09-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow the experimental setup in (Reichartand Rappoport, 2008), running the algorithm on English, German and Chinese corpora: the WSJ Penn Treebank (English), the Negra corpus (Brants, 1997) (German), and version 5.0 of the Chinese Penn Tree bank (Xue et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S><S sid = NA ssid = NA>Building A Large-Scale Annotated Chinese Corpus</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C02-1145.txt | Citing Article:  D07-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the Penn Chinese Treebank (CTB) (Xue et al, 2002) non-local dependencies are represented in terms of empty categories (ECs) and (for some of them) co indexation with antecedents, as exemplified in Figure 1.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S><S sid = NA ssid = NA>The availability of CTB-I changed our approach to CTB-II considerably.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C02-1145.txt | Citing Article:  N07-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After analyzing the dependency structure of sentences in Penn Chinese Treebank 5.1 (Xue et al, 2002), we found an interesting phenomenon: if we define a main-root as the head of a sentence, and define a subsentence as a sequence of words separated by punctuations, and the head1 of these words is the child of main root or main-root itself, then the punctuations that depend on main-root can be a separator of sub-sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are three main factors that affect the annotation speed : annotators?</S><S sid = NA ssid = NA>In both the segmentation/POS tagging phase and the syntactic bracketing phase, understanding the structure of the sentences is essential for correct annotation with reasonable speed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C02-1145.txt | Citing Article:  D09-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The bilingual data we use is the translated portion of the Penn Chinese Treebank (CTB) (Xue et al, 2002), corresponding to articles 1-325 of PTB, which have English translations with gold standard parse trees (Bies et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CTB-II will follow the standards set up in the segmentation (Xia 2000b), POS tagging (Xia 2000a) and bracketing guidelines (Xue and Xia 2000) and it will use articles from Peoples' Daily, Hong Kong newswire and material translated into Chinese from other languages in addition to the Xinhua newswire used in CTB-I in an effort to diversify the sources.</S><S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C02-1145.txt | Citing Article:  W10-4143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on the Penn Chinese Treebank (CTB) (Xue et al, 2002) developed on the similar annotation scheme of PTB, these parsing techniques were also transferred to the Chinese language.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we will address three issues in the development of the Chinese Treebank: annotation speed, annotation accuracy and usability of the corpus.</S><S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C02-1145.txt | Citing Article:  C04-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While we did not have human-annotated gold standard parses for our training data, we did have human annotated parses for the Chinese side of our test data, which was taken from the Penn Chinese Treebank (Xue et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Building A Large-Scale Annotated Chinese Corpus</S><S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C02-1145.txt | Citing Article:  W06-2912.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We next tested U DOP on two additional domains from Chinese and German which were also used in Klein and Manning (2002, 2004): the Chinese tree bank (Xue et al 2002) and the NEGRA corpus (Skut et al 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Building A Large-Scale Annotated Chinese Corpus</S><S sid = NA ssid = NA>The preliminary results of this phase of the project have been reported in Xia et al (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C02-1145.txt | Citing Article:  P06-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We next tested UML-DOP on two additional domains which were also used in Klein and Manning (2004) and Bod (2006): the German NEGRA10 (Skut et al 1997) and the Chinese CTB10 (Xue et al 2002) both containing 2200+ sentences 10 words after removing punctuation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The preliminary results of this phase of the project have been reported in Xia et al (2000).</S><S sid = NA ssid = NA>These tools are then used for preprocessing in the development of the CTB-II.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C02-1145.txt | Citing Article:  I05-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The closest result in the literature is Xue et al (2002), who retrain the Ratnaparkhi (1996) tagger and reach accuracies of 93% using CTB-I.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The availability of CTB-I changed our approach to CTB-II considerably.</S><S sid = NA ssid = NA>The preliminary results of this phase of the project have been reported in Xia et al (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C02-1145.txt | Citing Article:  I05-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, our performance on tagging when trained on Training I and tested on just the XH part of the test set is 94.44%, which might be a more relevant comparison to Xue et al (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CTB-II will follow the standards set up in the segmentation (Xia 2000b), POS tagging (Xia 2000a) and bracketing guidelines (Xue and Xia 2000) and it will use articles from Peoples' Daily, Hong Kong newswire and material translated into Chinese from other languages in addition to the Xinhua newswire used in CTB-I in an effort to diversify the sources.</S><S sid = NA ssid = NA>Even with the best sets of guidelines, it is important that annotators have received considerable training in linguistics, particularly in syntax.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C02-1145.txt | Citing Article:  P10-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For English and Chinese we use sections 2-21 of the Penn Treebank (PTB) (Marcus et al,1993) and sections 1-270 of the Chinese Treebank (CTB) (Xue et al, 2002) respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S><S sid = NA ssid = NA>In this paper, we will address three issues in the development of the Chinese Treebank: annotation speed, annotation accuracy and usability of the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C02-1145.txt | Citing Article:  N10-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We train on sections 1-270 of the Penn Chinese Treebank (Xue et al, 2002), similarly reduced (CTB10).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S><S sid = NA ssid = NA>Due to the existence of CTB-I, we were able to train new automatic Chinese language processing (CLP) tools, which crucially use annotated corpora as training material.</S> | Discourse Facet:  NA | Annotator: Automatic


