Citance Number: 1 | Reference Article:  P10-1142.txt | Citing Article:  W11-1912.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As recently discussed in (Ng, 2010), the so called mention-pair model suffers from several design flaws which originate from the locally confined perspective of the model: Generation of (transitively) redundant pairs, as the formation of co reference sets (co reference clustering) is done after pairwise classification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From a learning perspective, a two-step approach to coreference — classification and clustering — is undesirable.</S><S sid = NA ssid = NA>The entity-mention model addresses the expressiveness problem with the mention-pair model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P10-1142.txt | Citing Article:  W12-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In computational linguistics, the increasing availability of annotated coreference corpora has led to developments in machine learning approaches to automatic co reference resolution (see Ng, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The widespread popularity of machine learning approaches to coreference resolution can be attributed in part to the public availability of annotated coreference corpora.</S><S sid = NA ssid = NA>The research focus of computational coreference resolution has exhibited a shift from heuristic approaches to machine learning approaches in the past decade.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P10-1142.txt | Citing Article:  W12-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The task of automatic NP coreference resolution is to determine "which NPs in a text [...] refer to the same real-world entity" (Ng, 2010, p. 1396).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Noun phrase (NP) coreference resolution, the task of determining which NPs in a text or dialogue refer to the same real-world entity, has been at the core of natural language processing (NLP) since the 1960s.</S><S sid = NA ssid = NA>Some features determine NP type (e.g., are both NPs definite or pronouns?).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P10-1142.txt | Citing Article:  W11-1911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In principle, this algorithm is too greedy and sometimes results in unreasonable partition (Ng, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One criticism of the closest-first and best-first clustering algorithms is that they are too greedy.</S><S sid = NA ssid = NA>Note that both scorers have only been defined for the case where the key partition has the same set of NPs as the response partition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P10-1142.txt | Citing Article:  W12-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For a historical account and assessent of work in automated anaphora resolution in this period and afterwards, we direct the reader to Strube (2007), Ng (2010) and Stede (2012).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There has been an increasing amount of work on investigating semantic features for coreference resolution.</S><S sid = NA ssid = NA>In addition, researchers have developed approaches that are targeted at handling certain kinds of anaphora present in non-English languages, such as zero anaphora (e.g., Iida et al. (2007a), Zhao and Ng (2007)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P10-1142.txt | Citing Article:  W11-1913.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ng (2010) provides an excellent overview of the history and recent developments within the field.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Below we give an overview of these features.</S><S sid = NA ssid = NA>A Bell tree provides an elegant way of organizing the space of NP partitions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P10-1142.txt | Citing Article:  W12-4503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow the standard architecture where mentions are extracted in the first step, then they are clustered using a pair-wise classifier (see e.g., (Ng, 2010)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The mention-pair model is a classifier that determines whether two NPs are coreferent.</S><S sid = NA ssid = NA>In the third method, a mention detector is first trained on the gold-standard NPs in the training texts, and is then applied to automatically extract system mentions in a test text.7 Note that these three extraction methods typically produce different numbers of NPs: the NPs extracted from a parser tend to significantly outnumber the system mentions, which in turn outnumber the gold NPs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P10-1142.txt | Citing Article:  W12-4503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The two most common decoding algorithms often found in literature are the so-called BestFirst (henceforth BF) and ClosestFirst (CF) algorithms (Ng, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Below we describe some commonly used coreference clustering algorithms.</S><S sid = NA ssid = NA>Several algorithms that address one or both of these problems have been used for coreference clustering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P10-1142.txt | Citing Article:  D12-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Interested readers can refer to the literature review by Ng (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Noun phrase (NP) coreference resolution, the task of determining which NPs in a text or dialogue refer to the same real-world entity, has been at the core of natural language processing (NLP) since the 1960s.</S><S sid = NA ssid = NA>While many of the techniques discussed in this paper were originally developed for English, they have been applied to learn coreference models for other languages, such as Chinese (e.g., Converse (2006)), Japanese (e.g., Iida (2007)), Arabic (e.g., Luo and Zitouni (2005)), Dutch (e.g., Hoste (2005)), German (e.g., Wunsch (2010)), Swedish (e.g., Nilsson (2010)), and Czech (e.g., Ngu.y et al. (2009)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P10-1142.txt | Citing Article:  E12-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Excellent surveys are provided by Strube (2007) and Ng (2010). Unresolved anaphora can add significant translation ambiguity, and their incorrect translation can significantly decrease a reader's ability to understand a text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, researchers have developed approaches that are targeted at handling certain kinds of anaphora present in non-English languages, such as zero anaphora (e.g., Iida et al. (2007a), Zhao and Ng (2007)).</S><S sid = NA ssid = NA>Clinton” and “she” will end up in the same cluster, which is incorrect due to gender mismatch.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P10-1142.txt | Citing Article:  W12-4501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For a detailed survey of the progress in this field, we refer the reader to a recent article (Ng, 2010) and a tutorial (Ponzetto and Poesio, 2009) dedicated to this subject.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that several leading coreference researchers have published books (e.g., Mitkov (2002)), written survey articles (e.g., Mitkov (1999), Strube (2009)), and delivered tutorials (e.g., Strube (2002), Ponzetto and Poesio (2009)) that provide a broad overview of coreference research.</S><S sid = NA ssid = NA>To apply these scorers to automatically extracted NPs, different methods have been proposed (see Rahman and Ng (2009) and Stoyanov et al. (2009)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P10-1142.txt | Citing Article:  W12-4501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Any opinions, findings, and conclusions or recommendations expressed are those of the author and do not necessarily reflect the views or official policies, either expressed or implied, of the NSF.</S><S sid = NA ssid = NA>In particular, clusters are formed based on a small subset of the pairwise decisions made by the model.</S> | Discourse Facet:  NA | Annotator: Automatic


