Citance Number: 1 | Reference Article:  P09-1026.txt | Citing Article:  W10-0214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following (Somasundaran and Wiebe, 2009), stance, as used in this work, refers to an overall position held by a person toward an object, idea or proposition.</S> | Reference Offset:  ['5','50'] | Reference Text:  <S sid = 5 ssid = >This paper presents a method for debate-side classification, i.e., recognizing which stance a person is taking in an online debate posting.</S><S sid = 50 ssid = >And, if the writer values that aspect, it will influence his or her overall stance.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P09-1026.txt | Citing Article:  P11-1151.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Somasundaran and Wiebe (2009) propose an unsupervised method for classifying the stance of each contribution to an on line debate concerning the merits of competing products.</S> | Reference Offset:  ['58','226'] | Reference Text:  <S sid = 58 ssid = >We propose an unsupervised approach to classifying the stance of a post in a dual-topic debate.</S><S sid = 226 ssid = >This knowledge is exploited in an unsupervised method for classifying the side taken by a post, which also accounts for concessionary opinions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P09-1026.txt | Citing Article:  P12-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Somasundaran and Wiebe (2009) presents an unsupervised opinion analysis method for debate-side classification.</S> | Reference Offset:  ['5','21'] | Reference Text:  <S sid = 5 ssid = >This paper presents a method for debate-side classification, i.e., recognizing which stance a person is taking in an online debate posting.</S><S sid = 21 ssid = >This work proposes an unsupervised opinion analysis method to address the challenges described above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P09-1026.txt | Citing Article:  P13-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There have been some related works that focus on discovering the general topics and ideological perspectives in online discussions (Ahmed and Xing, 2010), placing users in support/oppose camps (Agarwal et al, 2003), and classifying user stances (Somasundaran and Wiebe, 2009).</S> | Reference Offset:  ['0','218'] | Reference Text:  <S sid = 0 ssid = >Recognizing Stances in Online Debates</S><S sid = 218 ssid = >A number of works in product review mining (Hu and Liu, 2004; Popescu et al., 2005; Kobayashi et al., 2005; Bloom et al., 2007) automatically find features of the reviewed products.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P09-1026.txt | Citing Article:  P13-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['72','231'] | Reference Text:  <S sid = 72 ssid = >In such cases, the single opinion results in multiple opinion-target pairs, one for each target.</S><S sid = 231 ssid = >We would also like to thank Vladislav D. Veksler for help with the MSR engine, and the anonymous reviewers for their helpful comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P09-1026.txt | Citing Article:  W12-3810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['72','231'] | Reference Text:  <S sid = 72 ssid = >In such cases, the single opinion results in multiple opinion-target pairs, one for each target.</S><S sid = 231 ssid = >We would also like to thank Vladislav D. Veksler for help with the MSR engine, and the anonymous reviewers for their helpful comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P09-1026.txt | Citing Article:  W10-3111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentence 14 is a negative pragmatic opinion (Somasundaran and Wiebe, 2009) which can only be detected with the help of external world knowledge.</S> | Reference Offset:  ['192','200'] | Reference Text:  <S sid = 192 ssid = >Pragmatic opinions.</S><S sid = 200 ssid = >However, recognizing this would require a system to have extensive world knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P09-1026.txt | Citing Article:  P12-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Somasundaran and Wiebe (2009) used unsupervised methods to identify stances in online debates.</S> | Reference Offset:  ['0','32'] | Reference Text:  <S sid = 0 ssid = >Recognizing Stances in Online Debates</S><S sid = 32 ssid = >The iPhone vs. Blackberry debate and two other debates, were used as development data.</S> | Discourse Facet:  NA | Annotator: Automatic


