Citance Number: 1 | Reference Article:  P87-1022.txt | Citing Article:  P89-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Anchors i, iv, v, viii, ix, xii, xiii, xvi are eliminated since [A9] and [A10] are contraindexed.</S><S sid = NA ssid = NA>Reference markers also carry information about agreement and grammatical function.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P87-1022.txt | Citing Article:  P98-2204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For their centering algorithm, Brennan et al (1987, henceforth BFP-algorithm) extend the notion of centering transition relations, which hold across adjacent utterances, to differentiate types of shift.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given that the transition is a shift, there seem to be more and less coherent ways to shift.</S><S sid = NA ssid = NA>Definitions of these transition types appear in figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P87-1022.txt | Citing Article:  P98-2204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To illustrate this algorithm, we consider example (1) (Brennan et al, 1987) which has two different final utterances (ld) and (ld~).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The example we use to illustrate the algorithm is in figure 2.</S><S sid = NA ssid = NA>This example is characterized by its multiple ambiguous pronouns and by the fact that the final utterance achieves a shift (see figure 4).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P87-1022.txt | Citing Article:  P04-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 1 shows the most common classification into the four types CONTINUE, RETAIN, SMOOTH-SHIFT, and ROUGH-SHIFT, which are predicted to be less and less coherent in this order (Brennan et al, 1987).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given that the transition is a shift, there seem to be more and less coherent ways to shift.</S><S sid = NA ssid = NA>A transition for Un is ranked more highly if Cb(Un) = CP(U); this state we call shifting-1 and it represents a more coherent way to shift.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P87-1022.txt | Citing Article:  P04-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, the measure M.BFP (Brennan et al, 1987) uses a lexicographic ordering on 4-tupleswhich indicate whether the transition is a CONTINUE, RETAIN, SMOOTH-SHIFT, or ROUGH SHIFT.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given that the transition is a shift, there seem to be more and less coherent ways to shift.</S><S sid = NA ssid = NA>A computational system for generation would try to plan a retention as a signal of an impending shift, so that after a retention, a shift would be preferred rather than a continuation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P87-1022.txt | Citing Article:  P97-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note that common centering algorithms (e.g., the one by Brennan et al (1987)) are specified only for the resolution of anaphors in Ui-1.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that these transitions are more specific than focus movement as described in [Sid83].</S><S sid = NA ssid = NA>This is true in cases when a partially specified semantic description is consistent with more than one interpretation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P87-1022.txt | Citing Article:  P04-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The rules are applied locally, across adjacent sequences of utterances (Brennan et al., 1987).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The third utterance in this example has two interpretations which are both consistent with the centering rules and constraints.</S><S sid = NA ssid = NA>The formal system of constraints and rules for centering, as we have interpreted them from [GJW86], are as follows.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P87-1022.txt | Citing Article:  P04-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The ranking of the CFs other than the CP is defined according to the following preference on their gf (Brennan et al, 1987): obj>iobj>other.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The [G3W86] centering model is based on the following assumptions.</S><S sid = NA ssid = NA>Another question is whether the preference ordering of transitions in constraint 3 should always be the same.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P87-1022.txt | Citing Article:  P04-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also make note of the preference between these transitions, known as Centering Rule 2 (Brennan et al, 1987).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Another question is whether the preference ordering of transitions in constraint 3 should always be the same.</S><S sid = NA ssid = NA>Note that these transitions are more specific than focus movement as described in [Sid83].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P87-1022.txt | Citing Article:  W99-0109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The main assumptions of the theory as presented by (Gross et al 1995 (GJW), Brennan et al1987).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The [G3W86] centering model is based on the following assumptions.</S><S sid = NA ssid = NA>Kameyama [Kam86] has proposed another extension to the [G3W86] theory — a property-sharing constraint which attempts to enforce a parallellism between entities in successive utterances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P87-1022.txt | Citing Article:  W99-0109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance Passoneau (1998) refers to two variants of CT: Version A, based on Brennan et al (1987) and Version B, taken from Kameyama et al (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The [G3W86] centering model is based on the following assumptions.</S><S sid = NA ssid = NA>Kameyama [Kam86] has proposed another extension to the [G3W86] theory — a property-sharing constraint which attempts to enforce a parallellism between entities in successive utterances.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P87-1022.txt | Citing Article:  W99-0109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first strategy is clearly appropriate for interpretation (cf. Brennan et al 1987) but for generation the issue is less clear-cut.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because of rule 2, the interpretation in figure 5 is preferred over the one in figure 6.</S><S sid = NA ssid = NA>In fact, using this strategy This filter doesn't eliminate any of the proposed anchors in this example.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P87-1022.txt | Citing Article:  W10-1737.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brennan et al [1987] propose an algorithm for pronoun resolution based on centering theory.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The part of the HPSG system that uses the centering algorithm for pronoun binding is called the pragmatics processor.</S><S sid = NA ssid = NA>The extension we propose makes them more specific still.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P87-1022.txt | Citing Article:  P98-2143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The latter proposes the ranking subject, direct object, indirect object (Brennan et al 1987) and noun phrases which are parts of prepositional phrases are usually indirect objects.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We rank the items in Cf by obliqueness of grammatical relation of the subcategorized functions of the main verb: that is, first the subject, object, and object2, followed by other subcategorized functions, and finally, adjuncts.</S><S sid = NA ssid = NA>With her extension, subject pronouns prefer subject antecedents and non-subject pronouns prefer non-subject antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P87-1022.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hard-core centering approaches only deal with the last sentence (Brennan et al, 1987).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Centering Approach To Pronouns</S><S sid = NA ssid = NA>How should the centering algorithm interact with an inferencing mechanism?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P87-1022.txt | Citing Article:  W05-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>PF.BFP which is based on PF as well as the original formulation of CT in [Brennan et al, 1987].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The [G3W86] centering model is based on the following assumptions.</S><S sid = NA ssid = NA>The typology of transitions is based on two factors: whether or not the center of attention, Cb, is the same from Un_1 to Un, and whether or not this entity coincides with the preferred center of Un.</S> | Discourse Facet:  NA | Annotator: Automatic


