Citance Number: 1 | Reference Article:  W02-0817.txt | Citing Article:  W04-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The sense annotated corpus required for this task was built using the Open Mind Word Expert system (Chklovski and Mihalcea, 2002), adapted to Romanian.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Building A Sense Tagged Corpus With Open Mind Word Expert</S><S sid = NA ssid = NA>For each word with sense tagged data created with Open Mind Word Expert, a test corpus will be built by trained human taggers, starting with examples extracted from the corpus mentioned in Section 3.1.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W02-0817.txt | Citing Article:  W04-0802.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The annotated corpus required for this task was built using the Open Mind Word Expert system (Chklovski and Mihalcea, 2002), adapted for multilingual annotations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Building A Sense Tagged Corpus With Open Mind Word Expert</S><S sid = NA ssid = NA>For each word with sense tagged data created with Open Mind Word Expert, a test corpus will be built by trained human taggers, starting with examples extracted from the corpus mentioned in Section 3.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W02-0817.txt | Citing Article:  N07-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, in an effort related to the Wikipedia collection process, (Chklovski and Mihalcea, 2002) have implemented the Open Mind Word Expert system for collecting sense annotations from volunteer contributors over the Web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Open Mind Word Expert is an implemented active learning system for collecting word sense tagging from the general public over the Web.</S><S sid = NA ssid = NA>The tagging will be collected over the Web from volunteer contributors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-0817.txt | Citing Article:  W07-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent estimations of the inter-annotator agreement when using the WordNet inventory report figures of 72.5% agreement in the preparation of the English all-words test set at Senseval-3 (Snyder and Palmer,2004) and 67.3% on the Open Mind Word Expert an notation exercise (Chklovski and Mihalcea, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Indeed, the tagging accuracy measured on the set where both COBALT and STAFS assign the same label is 82.5%, a figure that is close to the 85.5% inter-annotator agreement measured for the SENSEVAL-2 nouns (Kilgarriff, 2002).</S><S sid = NA ssid = NA>Open Mind Word Expert is a Web-based interface where users can tag words with their WordNet senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-0817.txt | Citing Article:  N06-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The extension consisted in extending the training data set so as to include a selection of WordNet examples (full sentences containing a main verb) and the Open Mind Word Expert corpus (Chklovski and Mihalcea 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The two classifiers are trained on a relatively small corpus of tagged data, which is formed either with (1) Senseval training examples, in the case of Senseval words, or (2) examples obtained with the Open Mind Word Expert system itself, when no other training data is available.</S><S sid = NA ssid = NA>That is, for each ambiguous word for which we want to build a sense tagged corpus, users are presented with a set of natural language (English) sentences that include an instance of the ambiguous word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-0817.txt | Citing Article:  W07-2016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the fine-grained All Words sense tagging task, which has always used WordNet, the system performance has ranged from our 59% to 65.2 (Senseval3, (Decadt et al, 2004)) to 69% (Seneval2, (Chklovski and Mihalcea, 2002)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One of the first large scale hand tagging efforts is reported in (Miller et al., 1993), where a subset of the Brown corpus was tagged with WordNet senses.</S><S sid = NA ssid = NA>According to (Dagan et al., 1995), there are two main types of active learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-0817.txt | Citing Article:  W07-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use SemCor1, OMWE 1.0 (Chklovski and Mihalcea, 2002), and example sentences in Word Net as the training corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Initially, example sentences are extracted from a large textual corpus.</S><S sid = NA ssid = NA>The system treats every training example as a set of soft constraints on the sense of the word of interest.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-0817.txt | Citing Article:  P04-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Chklovski and Mihalcea (2002) presented another interesting proposal which turns to Web users to produce sense-tagged corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper introduces Open Mind Word Expert, a Web-based system that aims at creating large sense tagged corpora with the help of Web users.</S><S sid = NA ssid = NA>These are the examples that are presented to the users for tagging in Stage 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-0817.txt | Citing Article:  N06-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Open Mind Word Expert (Chklovski and Mihalcea, 2002) was a real application of active learning for WSD.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Open Mind Word Expert, these are the instances that are presented to the users for tagging in the active learning stage.</S><S sid = NA ssid = NA>Open Mind Word Expert is an implemented active learning system for collecting word sense tagging from the general public over the Web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-0817.txt | Citing Article:  C08-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lately, many such corpora have been developed in different languages, including SemCor (Miller et al, 1993), LDC-DSO (Ng and Lee, 1996), Hinoki (Kasahara et al, 2004), and the sense annotated corpora with the help of Web users (Chklovski and Mihalcea, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The high accuracy of the LEXAS system (Ng and Lee, 1996) is due in part to the use of large corpora.</S><S sid = NA ssid = NA>One of the first large scale hand tagging efforts is reported in (Miller et al., 1993), where a subset of the Brown corpus was tagged with WordNet senses.</S> | Discourse Facet:  NA | Annotator: Automatic


