Citance Number: 1 | Reference Article:  D10-1124.txt | Citing Article:  W11-0309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisenstein et al (Eisenstein et al, 2010) show promising results in identifying an author's geographic location from micro-blogs, but the locations are coarse-grained and rely on a substantial message history per-source.</S> | Reference Offset:  ['35','175'] | Reference Text:  <S sid = 35 ssid = >Every message is tagged with a location, but most messages from a single individual tend to come from nearby locations (as they go about their day); for modeling purposes we use only a single geographic location for each author, simply taking the location of the first message in the sample.</S><S sid = 175 ssid = >More relevant is the work of Mei et al. (2006), in which the distribution over latent topics in blog posts is conditioned on the geographical location of the author.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D10-1124.txt | Citing Article:  P11-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Mangoville and M2 are clubs in New York; fasho and coo were previously found to be strongly associated with the West Coast (Eisenstein et al., 2010).</S> | Reference Offset:  ['13','173'] | Reference Text:  <S sid = 13 ssid = >We hypothesize that geography and topic interact, as “pure” topical lexical distributions are corrupted by geographical factors; for example, a sports-related topic will be rendered differently in New York and California.</S><S sid = 173 ssid = >An active recent literature concerns geotagged information on the web, such as search queries (Backstrom et al., 2008) and tagged images (Crandall et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D10-1124.txt | Citing Article:  S12-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisenstein et al (2010) collected about 380,000 tweets from Twitter's official API.</S> | Reference Offset:  ['25','28'] | Reference Text:  <S sid = 25 ssid = >The main dataset in this research is gathered from the microblog website Twitter, via its official API.</S><S sid = 28 ssid = >We also filter to include only authors who follow fewer than 1,000 other people, and have fewer than 1,000 followers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D10-1124.txt | Citing Article:  D12-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While the above approaches discretize the continuous surface of the earth, Eisenstein et al (2010) predict locations based on Gaussian distributions over the earth's surface as part of a hierarchical Bayesian model.</S> | Reference Offset:  ['107','141'] | Reference Text:  <S sid = 107 ssid = >We compare several approaches for predicting author location; we divide these into latent variable generative models and discriminative approaches.</S><S sid = 141 ssid = >Both methods make predictions that are averaged across Earth’s surface requires computing or approximating the great circle distance – we use the Haversine formula (Sinnott, 1984).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D10-1124.txt | Citing Article:  D12-1137.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Eisenstein et al (2010), we consider all tweets of a user concatenated as a single document, and use the earliest collected GPS-assigned location as the gold location.</S> | Reference Offset:  ['33','35'] | Reference Text:  <S sid = 33 ssid = >For each user’s Twitter feed, we combine all messages into a single “document.” We remove word types that appear in fewer than 40 feeds, yielding a vocabulary of 5,216 words.</S><S sid = 35 ssid = >Every message is tagged with a location, but most messages from a single individual tend to come from nearby locations (as they go about their day); for modeling purposes we use only a single geographic location for each author, simply taking the location of the first message in the sample.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D10-1124.txt | Citing Article:  P12-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisenstein et al (2010) use a latent variable model to predict geolocation information of Twitter users, and investigate geographic variations of language use.</S> | Reference Offset:  ['0','50'] | Reference Text:  <S sid = 0 ssid = >A Latent Variable Model for Geographic Lexical Variation</S><S sid = 50 ssid = >As in standard latent Dirichlet allocation (Blei et al., 2003), the base topics are selected by a per-token hidden variable z.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D10-1124.txt | Citing Article:  P11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisenstein et al (2010) investigate questions of dialectal differences and variation in regional interests in Twitter users using a collection of geotagged tweets.</S> | Reference Offset:  ['19','29'] | Reference Text:  <S sid = 19 ssid = >Many users of Twitter also supply exact geographical coordinates from GPS-enabled devices (e.g., mobile phones),2 yielding geotagged text data.</S><S sid = 29 ssid = >Kwak et al. (2010) find dramatic shifts in behavior among users with social graph connectivity outside of that range; such users may be marketers, celebrities with professional publicists, news media sources, etc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D10-1124.txt | Citing Article:  P11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisenstein et al (2010) evaluate their geographic topic model by geolocating USA-based Twitter users based on their tweet content.</S> | Reference Offset:  ['21','29'] | Reference Text:  <S sid = 21 ssid = >We evaluate our approach both qualitatively and quantitatively.</S><S sid = 29 ssid = >Kwak et al. (2010) find dramatic shifts in behavior among users with social graph connectivity outside of that range; such users may be marketers, celebrities with professional publicists, news media sources, etc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D10-1124.txt | Citing Article:  P11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Performance is measured both on geo tagged Wikipedia articles (Overell, 2009) and tweets (Eisenstein et al, 2010).</S> | Reference Offset:  ['170','173'] | Reference Text:  <S sid = 170 ssid = >Within this paradigm, computational techniques are often applied to post hoc analysis: logistic regression (Sankoff et al., 2005) and mixed-effects models (Johnson, 2009) are used to measure the contribution of individual variables, while hierarchical clustering and multidimensional scaling enable aggregated inference across multiple variables (Nerbonne, 2009).</S><S sid = 173 ssid = >An active recent literature concerns geotagged information on the web, such as search queries (Backstrom et al., 2008) and tagged images (Crandall et al., 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D10-1124.txt | Citing Article:  P11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a second evaluation corpus on a different domain, we use the corpus of geotagged tweets collected and used by Eisenstein et al (2010).</S> | Reference Offset:  ['54','101'] | Reference Text:  <S sid = 54 ssid = >Each document corresponds to the entire Twitter feed of a given author during the time period covered by our corpus.</S><S sid = 101 ssid = >The prior a is the expected mean of each topic µ; for each term i, we set a(i) = log N(i) − log N, where N(i) is the total count of i in the corpus and N = Ei N(i).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D10-1124.txt | Citing Article:  P11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Eisenstein et al (2010) use Gaussian distributions to model the locations of Twitter users in the United States of America.</S> | Reference Offset:  ['38','120'] | Reference Text:  <S sid = 38 ssid = >The dataset covers each of the 48 contiguous United States and the District of Columbia.</S><S sid = 120 ssid = >This model is equivalent to supervised latent Dirichlet allocation (Blei and McAuliffe, 2007): each topic is associated with equivariant Gaussian distributions over the latitude and longitude, and these topics must explain both the text and the observed geographical locations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D10-1124.txt | Citing Article:  P11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the Twitter dataset, an additional parameter is a threshold on the number of feeds each word occurs in: in the preprocessed splits of Eisenstein et al (2010), all vocabulary items that appear in fewer than 40 feeds are ignored.</S> | Reference Offset:  ['33','36'] | Reference Text:  <S sid = 33 ssid = >For each user’s Twitter feed, we combine all messages into a single “document.” We remove word types that appear in fewer than 40 feeds, yielding a vocabulary of 5,216 words.</S><S sid = 36 ssid = >The authors in our dataset are fairly heavy Twitter users, posting an average of 40 messages per day (although we see only 15% of this total).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D10-1124.txt | Citing Article:  P11-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Eisenstein et al (2010) used a fixed Twitter threshold of 40.</S> | Reference Offset:  ['33','36'] | Reference Text:  <S sid = 33 ssid = >For each user’s Twitter feed, we combine all messages into a single “document.” We remove word types that appear in fewer than 40 feeds, yielding a vocabulary of 5,216 words.</S><S sid = 36 ssid = >The authors in our dataset are fairly heavy Twitter users, posting an average of 40 messages per day (although we see only 15% of this total).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D10-1124.txt | Citing Article:  P14-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Geographical region knowledge has also been considered in topic models (Eisenstein et al, 2010).</S> | Reference Offset:  ['39','53'] | Reference Text:  <S sid = 39 ssid = >We develop a model that incorporates two sources of lexical variation: topic and geographical region.</S><S sid = 53 ssid = >The application of cascading topic models to geographical variation is straightforward.</S> | Discourse Facet:  NA | Annotator: Automatic


