Citance Number: 1 | Reference Article:  J93-1007.txt | Citing Article:  W12-3311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Smadja (1993) illustrates this by presenting 8 different ways of referring to the Dow Jones index, among which only 4 are used.</S> | Reference Offset:  ['23','113'] | Reference Text:  <S sid = 23 ssid = >For example, among the eight different expressions referring to the famous Wall Street index, only those used in sentences 1-4 are correct.</S><S sid = 113 ssid = >In the New York Stock Exchange domain, for example, &quot;The Dow industrials,&quot; &quot;The Dow Jones average of 30 industrial stocks,&quot; &quot;the Dow Jones industrial average,&quot; and &quot;The Dow Jones industrials&quot; represent several ways to express a single concept.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J93-1007.txt | Citing Article:  C08-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Future work will include: (i) applying the method to retrieve other types of collocations (Smadja,1993).</S> | Reference Offset:  ['160','629'] | Reference Text:  <S sid = 160 ssid = >The techniques we describe retrieve the three types of collocations discussed in Section 2, and they have been implemented in a tool, Xtract.</S><S sid = 629 ssid = >Although some other attempts have been made to retrieve collocations from textual corpora, no work has been able to retrieve the full range of the collocations that Xtract retrieves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-1007.txt | Citing Article:  C96-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['240','643'] | Reference Text:  <S sid = 240 ssid = >This indicates that the actual distribution of the collocates of &quot;takeover&quot; has a large kurtosis.'</S><S sid = 643 ssid = >Part of this work has been done in collaboration with Bell Communication Research, and part of this work has been supported by DARPA grant NO0039-84-C-0165, by NSF grant IRT-84-51438, and by ONR grant NO0014-89-J-1782.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-1007.txt | Citing Article:  P05-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is true that various term extraction systems have been developed, such as Xtract (Smadja 1993).</S> | Reference Offset:  ['126','627'] | Reference Text:  <S sid = 126 ssid = >Such techniques have various applications.</S><S sid = 627 ssid = >In this paper some original techniques for the automatic extraction of collocations have been presented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-1007.txt | Citing Article:  P05-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Schone & Jurafsky's results indicate similar results for log-likelihood & T-score, and strong parallelism among information-theoretic measures such as ChiSquared, Selectional Association (Resnik 1996), Symmetric Conditional Probability (Ferreira and Pereira Lopes, 1999) and the Z-Score (Smadja 1993).</S> | Reference Offset:  ['226','371'] | Reference Text:  <S sid = 226 ssid = >These peaks correspond to the js such that the z-score of p' is bigger than a given threshold 1c1.</S><S sid = 371 ssid = >Stage 3 thus produces very useful results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-1007.txt | Citing Article:  W02-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One aspect of VPCs that makes them difficult to extract (cited in ,e.g., Smadja (1993)) is that the verb and particle can be non-contiguous.</S> | Reference Offset:  ['176','330'] | Reference Text:  <S sid = 176 ssid = >For example, if a bigram involves a noun and a verb, this stage identifies it either as a subject-verb or as a verb-object collocation.</S><S sid = 330 ssid = >For example, if a lexical relation identified at stage 1 involves a noun and a verb, the role of stage 3 is to determine whether it is a subject—verb or a verb—object collocation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-1007.txt | Citing Article:  W02-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note, this is the same as the maximum span length of 5 used by Smadja (1993).</S> | Reference Offset:  ['153','307'] | Reference Text:  <S sid = 153 ssid = >First, by definition, it can only retrieve collocations of length two.</S><S sid = 307 ssid = >On a 12 million—word corpus, Choueka retrieved 10 collocations of length six, 115 collocations of length five, 1,024 collocations of length four, 4,777 of length three, and some 15,973 of length two.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J93-1007.txt | Citing Article:  W02-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the earliest attempts at extracting 'interrupted collocations' (i.e. non-contiguous collocations, including VPCs), was that of Smadja (1993).</S> | Reference Offset:  ['324','629'] | Reference Text:  <S sid = 324 ssid = >In the past, some similar attempts have been done.</S><S sid = 629 ssid = >Although some other attempts have been made to retrieve collocations from textual corpora, no work has been able to retrieve the full range of the collocations that Xtract retrieves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J93-1007.txt | Citing Article:  W07-1511.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lastly, collocations are domain-dependent (Smadja 1993) and language-dependent.</S> | Reference Offset:  ['81','489'] | Reference Text:  <S sid = 81 ssid = >Linguistically mastering a domain such as the domain of sailing thus requires more than a glossary, it requires knowledge of domain-dependent collocations.</S><S sid = 489 ssid = >If the corpus only contains stories in a given domain, most of the collocations retrieved will also be dependent on this domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J93-1007.txt | Citing Article:  W03-1705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There have been many statistical measures which estimate co-occurrence and the degree of association in previous researches, such as mutual information (Church 1990, Sporat 1990), t-score (Church 1991), dice matrix (Smadja 1993, 1996).</S> | Reference Offset:  ['37','127'] | Reference Text:  <S sid = 37 ssid = >This stage is comparable to Church and Hanks (1989) in that it evaluates a certain word association between pairs of words.</S><S sid = 127 ssid = >Speech recognition (Bahl, Jelinek, and Mercer 1983) and text compression (e.g., Bell, Witten, and Cleary 1989; Guazzo 1980) have been of long-standing interest, and some new applications are currently being investigated, such as machine translation (Brown et al. 1988), spelling correction (Mays, Damerau, and Mercer 1990; Church and Gale 1990), parsing (Debili 1982; Hindle and Rooth 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J93-1007.txt | Citing Article:  W04-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['240','643'] | Reference Text:  <S sid = 240 ssid = >This indicates that the actual distribution of the collocates of &quot;takeover&quot; has a large kurtosis.'</S><S sid = 643 ssid = >Part of this work has been done in collaboration with Bell Communication Research, and part of this work has been supported by DARPA grant NO0039-84-C-0165, by NSF grant IRT-84-51438, and by ONR grant NO0014-89-J-1782.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J93-1007.txt | Citing Article:  W04-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['240','643'] | Reference Text:  <S sid = 240 ssid = >This indicates that the actual distribution of the collocates of &quot;takeover&quot; has a large kurtosis.'</S><S sid = 643 ssid = >Part of this work has been done in collaboration with Bell Communication Research, and part of this work has been supported by DARPA grant NO0039-84-C-0165, by NSF grant IRT-84-51438, and by ONR grant NO0014-89-J-1782.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J93-1007.txt | Citing Article:  W04-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Smadja (Smadja 1993) proposed a statistical model by measuring the spread of the distribution of co occurring pairs of words with higher strength.</S> | Reference Offset:  ['186','215'] | Reference Text:  <S sid = 186 ssid = >In this first stage, we thus use only statistical methods to identify relevant pairs of words.</S><S sid = 215 ssid = >Description: At this step, the statistical distribution of the collocates of w is analyzed, and the interesting word pairs are automatically selected.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J93-1007.txt | Citing Article:  C10-3015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is an example of a collocation ,i.e. a sequence of words that tend to occur together and whose interpretation generally crosses the boundaries between words (Smadja, 1993).</S> | Reference Offset:  ['130','137'] | Reference Text:  <S sid = 130 ssid = >In this approach, a collocation is simply considered as a sequence of words (or n-gram) among millions of other possible sequences.</S><S sid = 137 ssid = >A collocation, as defined by Choueka, is a sequence of adjacent words that frequently appear together.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J93-1007.txt | Citing Article:  W11-0815.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In terms of practical MWE identification systems, a well known approach is that of Smadja (1993), who uses a set of techniques based on statistical methods, calculated from word frequencies, to identify MWEs in corpora.</S> | Reference Offset:  ['7','17'] | Reference Text:  <S sid = 7 ssid = >In this paper, we describe a set of techniques based on statistical methods for retrieving and identifying collocations from large textual corpora.</S><S sid = 17 ssid = >In this paper, we describe a set of techniques based on statistical methods for retrieving and identifying collocations from large textual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J93-1007.txt | Citing Article:  N10-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It would therefore be interesting to conduct this study on a larger scale, using more general MWE definitions such as automatically learned collocations (Smadja, 1993) or verb-noun constructions (Diab and Bhutada, 2009).</S> | Reference Offset:  ['105','176'] | Reference Text:  <S sid = 105 ssid = >For example, a noun and a verb will form a predicative relation if they are repeatedly used together with the noun as the object of the verb.</S><S sid = 176 ssid = >For example, if a bigram involves a noun and a verb, this stage identifies it either as a subject-verb or as a verb-object collocation.</S> | Discourse Facet:  NA | Annotator: Automatic


