Citance Number: 1 | Reference Article:  P03-1009.txt | Citing Article:  P04-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Schulteim Walde and Brew (2002) used the k-Means (Forgy, 1965) algorithm to cluster SCF distributions for monose mous verbs while Korhonen et al (2003) applied other clustering methods to cluster polysemic SCF data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brew and Schulte im Walde (2002)).</S><S sid = NA ssid = NA>This involved applying the NN and IB methods to cluster polysemic SCF distributions extracted from corpus data using Briscoe and Carroll’s (1997) system.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We first implemented a soft clustering method for verb class induction proposed by Korhonen et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A number of different strategies have been proposed for evaluation of clustering.</S><S sid = NA ssid = NA>In the future, we plan to investigate the use of soft clustering (without hardening the output) and develop methods for evaluating the soft output against polysemous gold standards.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also plan to work on improving the accuracy of subcategorization acquisition, investigating the role of noise (irregular / regular) in clustering, examining whether different syntactic/semantic verb types require different approaches in clustering, developing our gold standard classification further, and extending our experiments to a larger number of verbs and verb classes.</S><S sid = NA ssid = NA>The lexicon was evaluated against manually analysed corpus data after an empirically defined threshold of 0.025 was set on relative frequencies of SCFs to remove noisy SCFs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By following the method of Korhonen et al (2003), prepositional phrases (pp) are parameterized for two frequent sub categorization frames (NP and NP PP), and the unfiltered raw frequencies of subcategorization frames are used as features to represent a verb.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These were obtained by parameterizing two high frequency SCFs for prepositions: the simple PP and NP + PP frames.</S><S sid = NA ssid = NA>As it primarily concentrates on verbs taking NP and PP complements and does not provide a comprehensive set of senses for verbs, it is not suitable for evaluation of polysemic classifications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate the single-class output for each verb based on the predominant gold-standard classes, which are defined for each verb in the test set of Korhonen et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Earlier work has largely ignored this issue by assuming a single gold standard class for each verb (whether polysemic or not).</S><S sid = NA ssid = NA>The monosemous one lists only a single sense for each test verb, that corresponding to its predominant (most frequent) sense in WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We evaluate these single-class outputs in the same manner as Korhonen et al (2003), using the gold standard with multiple classes, which we also use for our multi-class evaluations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Earlier work has largely ignored this issue by assuming a single gold standard class for each verb (whether polysemic or not).</S><S sid = NA ssid = NA>We first evaluated the clusters against the predominant sense, i.e. using the monosemous gold standard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For baselines, we once more adopt the Nearest Neighbor (NN) and Information Bottleneck (IB) methods proposed by Korhonen et al (2003), and LDA-frames proposed by Materna (2012).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe a new approach which involves clustering subcategorizaframe distributions using the Information Bottleneck and nearest neighbour methods.</S><S sid = NA ssid = NA>A number of different strategies have been proposed for evaluation of clustering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1009.txt | Citing Article:  P14-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Korhonen et al (2003) reported that the highest modified purity was 49% against predominant classes and 60% against multiple classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This leads us to define modified purity: number of verbs .</S><S sid = NA ssid = NA>The classes are indicated by number codes from the classifications of Levin, Dorr (the classes starting with 0) and Korhonen (the classes starting with A).3 The predominant sense is indicated by bold font.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1009.txt | Citing Article:  P05-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also plan to work on improving the accuracy of subcategorization acquisition, investigating the role of noise (irregular / regular) in clustering, examining whether different syntactic/semantic verb types require different approaches in clustering, developing our gold standard classification further, and extending our experiments to a larger number of verbs and verb classes.</S><S sid = NA ssid = NA>The lexicon was evaluated against manually analysed corpus data after an empirically defined threshold of 0.025 was set on relative frequencies of SCFs to remove noisy SCFs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1009.txt | Citing Article:  D07-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There are a few exceptions to this tradition, such as Pereira et al (1993), Rooth et al (1999), Korhonen et al (2003), who used soft clustering methods for multiple assignment to verb semantic classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Jackendoff, 1990; Levin, 1993; Pinker, 1989; Dang et al., 1998; Dorr, 1997; Merlo and Stevenson, 2001)).</S><S sid = NA ssid = NA>We expect the use of this system to be beneficial: it employs a robust statistical parser (Briscoe and Carroll, 2002) which yields complete though shallow parses, and a comprehensive SCF classifier, which incorporates 163 SCF distinctions, a superset of those found in the ANLT (Boguraev et al., 1987) and COMLEX (Grishman et al., 1994) dictionaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1009.txt | Citing Article:  P06-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this paper, we extend an existing approach to lexical classification (Korhonen et al, 2003) and apply it (without any domain specific tuning) to the domain of biomedicine.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper has presented a novel approach to automatic semantic classification of verbs.</S><S sid = NA ssid = NA>We employed as a gold standard a substantially extended version of Levin’s classification constructed by Korhonen (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1009.txt | Citing Article:  P06-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We extended the system of Korhonen et al (2003) with additional clustering techniques (introduce din sections 3.2.2 and 3.2.4) and used it to obtain the classification for the biomedical domain.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We employed as a gold standard a substantially extended version of Levin’s classification constructed by Korhonen (2003).</S><S sid = NA ssid = NA>We obtain our SCF data using the subcategorization acquisition system of Briscoe and Carroll (1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1009.txt | Citing Article:  P06-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The closest possible comparison point is (Korhonen et al, 2003) which reported 50-59% mPUR and 15-19% APP on using IB to assign 110 polysemous (general language) verbs into 34 classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>At best it classified half of the verbs correctly according to their predominant sense (mPUR = 50%).</S><S sid = NA ssid = NA>7 classes were correctly acquired using clustering (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1009.txt | Citing Article:  P06-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Korhonen et al (2003) observed the opposite with general language data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Verb classifications have, in fact, been used to support many natural language processing (NLP) tasks, such as language generation, machine translation (Dorr, 1997), document classification (Klavans and Kan, 1998), word sense disambiguation (Dorr and Jones, 1996) and subcategorization acquisition (Korhonen, 2002).</S><S sid = NA ssid = NA>However, they also suggest that clustering can be used for novel, previously unexplored purposes: to detect from corpus data general patterns of semantic behaviour (monosemy, predominant sense, regular/irregular polysemy).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1009.txt | Citing Article:  W09-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This use of frame is different than that used for subcate gorization frames, which are also used to induce word classes (e.g., Korhonen et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Clustering Polysemic Subcategorization Frame Distributions Semantically</S><S sid = NA ssid = NA>In recent years several attempts have been made to automatically induce semantic verb classes from (mainly) syntactic information in corpus data (Joanis, 2002; Merlo et al., 2002; Schulte im Walde and Brew, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


