Citance Number: 1 | Reference Article:  P04-1083.txt | Citing Article:  P04-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['206','207'] | Reference Text:  <S sid = 206 ssid = >Thanks to Joseph Turian, Wei Wang, Ben Wellington, and the anonymous reviewers for valuable feedback.</S><S sid = 207 ssid = >This research was supported by an NSF CAREER Award, the DARPA TIDES program, and an equipment gift from Sun Microsystems.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P04-1083.txt | Citing Article:  C08-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our synchronous parser is similar to the synchronous CKY parser presented at (Melamed, 2004).</S> | Reference Offset:  ['11','133'] | Reference Text:  <S sid = 11 ssid = >When a parser’s input can have fewer dimensions than the parser’s grammar, we call it a translator.</S><S sid = 133 ssid = >The most straightforward way to create one is to parse some multitext using a synchronous parser, such as Parser C. However, if the goal is to bootstrap an-PMTG, then there is no-PMTG that can evaluate the terms in the parser’s logic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1083.txt | Citing Article:  W06-3119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work in machine translation has evolved from the traditional word (Brown et al, 1993) and phrase based (Koehn et al, 2003a) models to include hierarchical phrase models (Chiang, 2005) and bilingual synchronous grammars (Melamed, 2004).</S> | Reference Offset:  ['19','149'] | Reference Text:  <S sid = 19 ssid = >We shall limit our attention to MTGs in Generalized Chomsky Normal Form (GCNF) (Melamed et al., 2004).</S><S sid = 149 ssid = >Bootstrapping a PMTG from a lower-dimensional PMTG and a word-to-word translation model is similar in spirit to the way that regular grammars can help to estimate CFGs (Lari & Young, 1990), and the way that simple translation models can help to bootstrap more sophisticated ones (Brown et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1083.txt | Citing Article:  P06-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Melamed (2004) formalizes machine translation problem as synchronous parsing based on multi text grammars.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Statistical Machine Translation By Parsing</S><S sid = 173 ssid = >Multitree-based statistical machine translation (MTSMT) is an architecture for SMT that revolves around multitrees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1083.txt | Citing Article:  D08-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['206','207'] | Reference Text:  <S sid = 206 ssid = >Thanks to Joseph Turian, Wei Wang, Ben Wellington, and the anonymous reviewers for valuable feedback.</S><S sid = 207 ssid = >This research was supported by an NSF CAREER Award, the DARPA TIDES program, and an equipment gift from Sun Microsystems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1083.txt | Citing Article:  P09-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To handle syntactic differences, Melamed (2004) proposes methods based on tree-to-tree mappings.</S> | Reference Offset:  ['49','112'] | Reference Text:  <S sid = 49 ssid = >Below: A graphical representation of the same tree.</S><S sid = 112 ssid = >Such a tree would contain a -dimensional translation of the input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1083.txt | Citing Article:  E09-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A representative sample of modern syntax-based systems includes models based on bilingual synchronous grammar (Melamed, 2004), parse tree-to-string translation models (Yamada and Knight, 2001) and non isomorphic tree-to-tree mappings (Eisner, 2003).</S> | Reference Offset:  ['39','112'] | Reference Text:  <S sid = 39 ssid = >The tree exhibits both deletion and inversion in translation.</S><S sid = 112 ssid = >Such a tree would contain a -dimensional translation of the input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1083.txt | Citing Article:  W07-0706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Melamed (2004) also used a similar way to integrate the language model.</S> | Reference Offset:  ['125','149'] | Reference Text:  <S sid = 125 ssid = >Indeed, the language of multitrees can be viewed as an interlingua.</S><S sid = 149 ssid = >Bootstrapping a PMTG from a lower-dimensional PMTG and a word-to-word translation model is similar in spirit to the way that regular grammars can help to estimate CFGs (Lari & Young, 1990), and the way that simple translation models can help to bootstrap more sophisticated ones (Brown et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1083.txt | Citing Article:  W07-0706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['206','207'] | Reference Text:  <S sid = 206 ssid = >Thanks to Joseph Turian, Wei Wang, Ben Wellington, and the anonymous reviewers for valuable feedback.</S><S sid = 207 ssid = >This research was supported by an NSF CAREER Award, the DARPA TIDES program, and an equipment gift from Sun Microsystems.</S> | Discourse Facet:  NA | Annotator: Automatic


