Citance Number: 1 | Reference Article:  P94-1013.txt | Citing Article:  P97-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, although the case study of accent restoration in Spanish and French was chosen for its diversity of ambiguity types and plentiful source of data for fully automatic and objective evaluation, the algorithm solves a worthwhile problem in its own right with promising commercial potential.</S><S sid = NA ssid = NA>The initial step is to take a histogram of a corpus with accents and diacritics retained, and compute a table of accent pattern distributions as follows: De-accented Form Accent Pattern % Number cesse cesse 53% 669 cesse 47% 593 cout mut 100% 330 couta cofita 100% 41 coute colite 53% 107 mite 47% 96 cote cote 69% 2645 cote 28% 1040 cote 3% 99 cote <1% 15 cotiere cOtiere 100% 296 For words with multiple accent patterns, steps 2-5 are applied.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P94-1013.txt | Citing Article:  W02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The standard algorithm for learning decision lists (Yarowsky, 1994) is very simple.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Step 7: Using the Decision Lists Once these decision lists have been created, they may be used in real time to determine the accent pattern for ambiguous words in new contexts.</S><S sid = NA ssid = NA>Decision Lists For Lexical Ambiguity Resolution: Application To Accent Restoration In Spanish And French</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P94-1013.txt | Citing Article:  W02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yarowsky (1994) suggests two improvements to the standard algorithm.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In a comparative study (Yarowsky, 1994), the decision list algorithm outperformed both an N-Gram tagger and Bayesian classifier primarily because it could effectively integrate a wider range of available evidence types than its competitors.</S><S sid = NA ssid = NA>The given algorithm may be used to solve each of these problems, and has been applied without modification to the case of homograph disambiguation in speech synthesis (Sproat, Hirschberg and Yarowsky, 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P94-1013.txt | Citing Article:  W02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Accent restoration (Yarowsky, 1994), word sense disambiguation (Yarowsky, 2000), and other problems all fall into this framework, and typically use similar feature types.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Accent restoration is merely an instance of a closelyrelated class of problems including word-sense disambiguation, word choice selection in machine translation, homograph and homophone disambiguation, and capitalization restoration.</S><S sid = NA ssid = NA>The distribution of ambiguity types in French is similar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P94-1013.txt | Citing Article:  P02-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They include those using Naive Bayes (Gale et al 1992a), Decision List (Yarowsky 1994), Nearest Neighbor (Ng and Lee 1996), Transformation Based Learning (Mangu and Brill 1997), Neural Network (Towell and 1 In this paper, we take English-Chinese translation as example; it is a relatively easy process, however, to extend the discussions to translations between other language pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This was expanded upon by (Gale et al., 1992), and in a class-based variant by (Yarowsky, 1992).</S><S sid = NA ssid = NA>Several smoothing methods have been explored here, including those discussed in (Gale et al., 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P94-1013.txt | Citing Article:  A97-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yarowsky (1994) notes that conceptual spelling correction is part of a closely related class of problems which include word sense disambiguation, word choice selection in machine translation, and accent and capitalization restoration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Accent restoration is merely an instance of a closelyrelated class of problems including word-sense disambiguation, word choice selection in machine translation, homograph and homophone disambiguation, and capitalization restoration.</S><S sid = NA ssid = NA>Thus while accent restoration may not be be the prototypical member of the class of lexical-ambiguity resolution problems, it is an especially useful one for describing and evaluating a proposed solution to this class of problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P94-1013.txt | Citing Article:  C04-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lemmatization allows for more compact and generalizable data by clustering all inflected forms of an ambiguous word together, an effect already commented on by Yarowsky (1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, if lemmatization procedures are available, collocational measures for morphological roots will tend to yield more succinct and generalizable evidence than measuring the distributions for each of the inflected forms.</S><S sid = NA ssid = NA>The incorporation of word (and optionally part-of-speech) trigrams allows the modeling of many local syntactic constraints, while collocational evidence in a wider context allows for more semantic distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P94-1013.txt | Citing Article:  C04-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As has already been noted by Yarowsky (1994), using lemmas helps to produce more concise and generic evidence than inflected forms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Use of a morphological analyzer (developed by Tzoukermann and Liberman (1990)) allowed distributional measures to be computed for associations of lemmas (morphological roots), improving generalization to different inflected forms not observed in the training data.</S><S sid = NA ssid = NA>Note that it's not necessary to determine the actual parts-of-speech of words in context; using only the most likely part of speech or a set of all possibilities will produce adequate, if somewhat diluted, distributional evidence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P94-1013.txt | Citing Article:  C02-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yarowsky (1994) defined a basic set of features that has been widely used (with some variations) by other WSD systems.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Basic corpus analysis will indicate which is the most common pattern for each word, and may be used in conjunction with or independent of dictionaries and other lexical resources.</S><S sid = NA ssid = NA>Also, a basic lexicon with possible parts of speech (augmented by the morphological analyzer) allowed adjacent part-of-speech sequences to be used as disambiguating evidence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P94-1013.txt | Citing Article:  C02-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Despite their simplicity, Decision Lists (Dlist for short) as defined in Yarowsky (1994) have been shown to be very effective for WSD (Kilgarriff & Palmer, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Step 7: Using the Decision Lists Once these decision lists have been created, they may be used in real time to determine the accent pattern for ambiguous words in new contexts.</S><S sid = NA ssid = NA>Decision Lists For Lexical Ambiguity Resolution: Application To Accent Restoration In Spanish And French</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P94-1013.txt | Citing Article:  D07-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, the strategy adopted to model syntagmatic relations in WSD is to provide bigrams and trigrams of collocated words as features to describe local contexts (Yarowsky, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If a bigram is unambiguous, probability distributions for dependent trigrams will not even be generated, since they will provide no additional information.</S><S sid = NA ssid = NA>Perhaps surprisingly, this strategy appears to yield the same or even slightly better precision than the combination of evidence approach when trained on the same features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P94-1013.txt | Citing Article:  N01-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, although the case study of accent restoration in Spanish and French was chosen for its diversity of ambiguity types and plentiful source of data for fully automatic and objective evaluation, the algorithm solves a worthwhile problem in its own right with promising commercial potential.</S><S sid = NA ssid = NA>The initial step is to take a histogram of a corpus with accents and diacritics retained, and compute a table of accent pattern distributions as follows: De-accented Form Accent Pattern % Number cesse cesse 53% 669 cesse 47% 593 cout mut 100% 330 couta cofita 100% 41 coute colite 53% 107 mite 47% 96 cote cote 69% 2645 cote 28% 1040 cote 3% 99 cote <1% 15 cotiere cOtiere 100% 296 For words with multiple accent patterns, steps 2-5 are applied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P94-1013.txt | Citing Article:  P06-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yarowsky (1994 and 1995), Mihalcea and Moldovan (2000), and Mihalcea (2002) have made further research to obtain large corpus of higher quality from an initial seed corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It should be emphasized that the actual percent correct is higher than these agreement figures, due to errors in the original corpus.</S><S sid = NA ssid = NA>Thus the following results must be interpreted as agreement rates with the corpus accent pattern; the true percent correct may be several percentage points higher.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P94-1013.txt | Citing Article:  W06-2608.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, the strategy adopted to model syntagmatic relations is to provide bigrams and trigrams of collocated words as features to describe local contexts (Yarowsky, 1994), and each word is regarded as a different instance to classify.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I have restricted feature conjuncts to a much narrower complexity than allowed in the original model— namely to word and class trigrams.</S><S sid = NA ssid = NA>If a bigram is unambiguous, probability distributions for dependent trigrams will not even be generated, since they will provide no additional information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P94-1013.txt | Citing Article:  W06-2608.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As baseline, we report the result of a standard approach consisting on explicit bigrams and trigrams of words and POS tags around the words to be disambiguated (Yarowsky, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The relatively low agreement rate on words with accented i's (1) is a result of this.</S><S sid = NA ssid = NA>Such words were given a part-of-speech tag consisting of the union of the possibilities (eg ADJECTIVE-NOUN), as in Kupiec (1989).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P94-1013.txt | Citing Article:  P01-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The more recent set of techniques includes multiplicative weight update algorithms (Golding and Roth, 1998), latent semantic analysis (Jones and Martin, 1997), transformation-based learning (Mangu and Brill, 1997), differential grammars (Powers, 1997), decision lists (Yarowsky, 1994), and a variety of Bayesian classifiers (Gale et al, 1993, Golding, 1995, Golding and Schabes, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This was expanded upon by (Gale et al., 1992), and in a class-based variant by (Yarowsky, 1992).</S><S sid = NA ssid = NA>This is done by Bayesian classifiers, neural nets, IR-based classifiers and N-gram part-of-speech taggers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P94-1013.txt | Citing Article:  C04-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yarowsky (1994) argued the optimal value is sensitive to the type of ambiguity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Sorting by this value will list the strongest and most reliable evidence first6.</S><S sid = NA ssid = NA>Thus for this type of ambiguity resolution, there is no apparent detriment, and some apparent performance gain, from usit indicates the most likely accent pattern in cases where nothing matches.</S> | Discourse Facet:  NA | Annotator: Automatic


