Citance Number: 1 | Reference Article:  C04-1046.txt | Citing Article:  P14-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, Blatz et al (2004) introduced a sentence level QE system where an arbitrary threshold is used to classify the MT output as good or bad.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 8 | Reference Article:  C04-1046.txt | Citing Article:  W10-2916.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To this end, we estimate a confidence score for each SMT hypothesis, using a discriminative classification framework reminiscent of Blatz et al (2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C04-1046.txt | Citing Article:  P10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A considerable amount of work has been done in the related area of confidence estimation for MT, for which Blatz et al (2004) provide a good overview.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C04-1046.txt | Citing Article:  P10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast to most of the work on confidence estimation (Blatz et al, 2004), the features we use are not internal features of the MT system.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C04-1046.txt | Citing Article:  P13-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >33 from automatic MT evaluation metrics (Blatz et al., 2004) such as BLEU (Papineni et al, 2002) at training time, it soon became clear that human labels result in significantly better models (Quirk, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C04-1046.txt | Citing Article:  P09-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Blatz et al, 2004) conducted extensive study incorporating various sentence-level and word-level features thru multi layer perceptron and naive Bayes algorithms for sentence and word confidence estimation.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C04-1046.txt | Citing Article:  W12-3110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Blatz et al (2004) attempted sentence-level assessment using a set of 91 features (from the SMT system input and translation texts) and automatic annotations such as NIST and WER.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C04-1046.txt | Citing Article:  W08-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Deriving lexical relatedness between terms has been a topic of interest with applications in word sense disambiguation (Patwardhan et al, 2005), paraphrasing (Kauchak and Barzilay, 2006), question answering (Prager et al, 2001), and machine translation (Blatz et al, 2004) to name a few.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C04-1046.txt | Citing Article:  W11-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C04-1046.txt | Citing Article:  W12-3109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The organizers have made available a baseline QE system that consists of a number of well established features (Blatz et al, 2004) and serves as a starting point for development.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C04-1046.txt | Citing Article:  P11-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Blatz et al (2004) only investigated source n gram frequency statistics and source language model features, while other work mainly focused on target side features.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Confidence Estimation For Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


