Citance Number: 1 | Reference Article:  J91-1003.txt | Citing Article:  W98-0614.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Computational approaches are mostly concerned with inferring implicitly expressed metonymic relations in English texts (Fass 1991).</S> | Reference Offset:  ['38','80'] | Reference Text:  <S sid = 38 ssid = >Sections 6 and 7 describe some extensions to metaphor interpretation in CS and compare the met* method against other approaches to metaphor and metonymy, especially computational ones.</S><S sid = 80 ssid = >Among computational approaches, Indurkhya's (1988) Constrained Semantic Transference theory of metaphor can be viewed as a formalization of Black's interaction theory (ibid., p. 129).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J91-1003.txt | Citing Article:  C08-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wilks (1978) advocates that the typically hard constraints that define a literal semantics should instead be modeled as soft preferences that can accommodate the violations that arise in metaphoric utterances, while Fass (1991) builds on this view to show how these violation scan be repaired to thus capture the literal intent be hind each metaphor.</S> | Reference Offset:  ['99','287'] | Reference Text:  <S sid = 99 ssid = >The theory of metaphor in Preference Semantics (Wilks 1975; 1978) consists of a selection restrictions view and a comparison view.</S><S sid = 287 ssid = >CS is a semantics for natural language processing that extends many of the main ideas behind Preference Semantics (Wilks 1973; 1975a; 1975b; 1978; see also Wilks and Fass in press).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J91-1003.txt | Citing Article:  P10-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the first attempts to identify and interpret metaphorical expressions in text automatically is the approach of Fass (1991).</S> | Reference Offset:  ['46','609'] | Reference Text:  <S sid = 46 ssid = >What is crucial in the comparison approach, then, is finding the correct ground in a metaphor.</S><S sid = 609 ssid = >Martin's (1990) work is the only other computational approach to metaphor that has been implemented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J91-1003.txt | Citing Article:  P10-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fass (1991) developed a system called met*, capable of discriminating between literalness, metonymy, metaphor and anomaly.</S> | Reference Offset:  ['0','596'] | Reference Text:  <S sid = 0 ssid = >met*: A Method For Discriminating Metonymy And Metaphor By Computer</S><S sid = 596 ssid = >Second, it shows the interrelationship between metonymy, metaphor, literalness, and anomaly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J91-1003.txt | Citing Article:  W10-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another system ,met* (Fass, 1991), is designed to distinguish both metaphor and metonymy from literal text, providing special techniques for processing these instances of figurative language.</S> | Reference Offset:  ['15','218'] | Reference Text:  <S sid = 15 ssid = >Metaphor and metonymy are kinds of figurative language or tropes.</S><S sid = 218 ssid = >I have argued elsewhere (Fass 1989a) that understanding natural language (or semantic interpretation) be viewed as the integration of constraints from language and from context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J91-1003.txt | Citing Article:  W10-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, 'the rock is becoming brittle with age' (Reddy, 1969, p. 242), has "a literal interpretation when uttered about a stone and a metaphorical one when said about a decrepit professor emeritus" (Fass, 1991, p. 54).</S> | Reference Offset:  ['112','116'] | Reference Text:  <S sid = 112 ssid = >The main problem with the selection restrictions view is that perfectly well-formed sentences exist that have a metaphorical interpretation and yet contain no selection restriction violations (Johnson 1980; Ortony 1980; Reddy 1969); for example, in (3), there is a literal interpretation when uttered about a stone and a metaphorical one when said about a decrepit professor emeritus.</S><S sid = 116 ssid = >Consider the simple case of the sentence All men are animals as uttered by Professor X to an introductory biology class and as uttered later by one of his female students to her roommate upon returning from a date.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J91-1003.txt | Citing Article:  N10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the first attempts to identify and interpret metaphorical expressions in text automatically is the approach of Fass (1991).</S> | Reference Offset:  ['46','609'] | Reference Text:  <S sid = 46 ssid = >What is crucial in the comparison approach, then, is finding the correct ground in a metaphor.</S><S sid = 609 ssid = >Martin's (1990) work is the only other computational approach to metaphor that has been implemented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J91-1003.txt | Citing Article:  N10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fass (1991) developed a system called met*, capable of discriminating between literalness, metonymy, metaphor and anomaly.</S> | Reference Offset:  ['0','596'] | Reference Text:  <S sid = 0 ssid = >met*: A Method For Discriminating Metonymy And Metaphor By Computer</S><S sid = 596 ssid = >Second, it shows the interrelationship between metonymy, metaphor, literalness, and anomaly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J91-1003.txt | Citing Article:  N10-1147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Almost simultaneously with the work of Fass (1991),.</S> | Reference Offset:  ['204','610'] | Reference Text:  <S sid = 204 ssid = >Of the AT research, only Martin's work has been implemented to my knowledge.</S><S sid = 610 ssid = >However, the work does not have a treatment of metonymy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J91-1003.txt | Citing Article:  W98-0720.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['227','694'] | Reference Text:  <S sid = 227 ssid = >Lexical syntactic and semantic constraints are enforced at certain places in sentences which I call dependencies.</S><S sid = 694 ssid = >I also gratefully acknowledge the financial support provided by SERC Project GR/C/68828 while at Essex, by the New Mexico State Legislature while at NMSU, and by the Advanced Systems Institute and the Centre for Systems Science while at SFU.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J91-1003.txt | Citing Article:  W98-0720.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar path-finding methodology for deriving metonymies was used by the met* system (Fass, 1991), in which connections between the sense frames of textual concepts are retrieved from a lexicon of the size of 500 word senses.</S> | Reference Offset:  ['304','320'] | Reference Text:  <S sid = 304 ssid = >All the terms in sense-frames are word senses with their own sense-frames or words used in a particular sense that could be replaced by word senses.</S><S sid = 320 ssid = >Collation matches the sense-frames of two word senses and finds a system of multiple mappings between those sense-frames, thereby discriminating the semantic relations between the word senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J91-1003.txt | Citing Article:  P09-3001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >He drank his glass. (Fass, 1991).</S> | Reference Offset:  ['260','340'] | Reference Text:  <S sid = 260 ssid = >&quot;The car drank gasoline&quot; (adapted from Wilks 1978).</S><S sid = 340 ssid = >For more detail on cell matches, see Fass (1988a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J91-1003.txt | Citing Article:  P11-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['227','694'] | Reference Text:  <S sid = 227 ssid = >Lexical syntactic and semantic constraints are enforced at certain places in sentences which I call dependencies.</S><S sid = 694 ssid = >I also gratefully acknowledge the financial support provided by SERC Project GR/C/68828 while at Essex, by the New Mexico State Legislature while at NMSU, and by the Advanced Systems Institute and the Centre for Systems Science while at SFU.</S> | Discourse Facet:  NA | Annotator: Automatic


