Citance Number: 1 | Reference Article:  P09-1027.txt | Citing Article:  P10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To overcome the shortcomings of available resources and to take advantage of ensemble systems, Wan (2008) and Wan (2009) explored methods for developing a hybrid system for Chinese using English and Chinese sentiment analyzers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Wan (2008) focuses on leveraging both Chinese and English lexicons to improve Chinese sentiment analysis by using lexicon-based methods.</S><S sid = NA ssid = NA>In this study, we focus on the problem of cross-lingual sentiment classification, which leverages only English training data for supervised sentiment classification of Chinese product reviews, without using any Chinese resources.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P09-1027.txt | Citing Article:  P10-2048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The features we used are bigrams and unigrams in the two languages as in (Wan, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The English or Chinese features used in this study include both unigrams and bigrams5 and the feature weight is simply set to term frequency6.</S><S sid = NA ssid = NA>However, such resources in different languages are very imbalanced.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P09-1027.txt | Citing Article:  P10-2048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compare our procedure with the co-training scheme reported in (Wan, 2009): CoTrain: The method with the best performance in (Wan, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the experiments, we first compare the proposed co-training approach (I=40 and p=n=5) with the eight baseline methods.</S><S sid = NA ssid = NA>Actually, TSVM(ENCN2) is similar to CoTrain because CoTrain also combines the results of two classifiers in the same way.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P09-1027.txt | Citing Article:  W10-4116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, Wan (2009) proposed a co training approach to tackle the problem of cross lingual sentiment classification by leveraging an available English corpus for Chinese sentiment classification.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper focuses on the problem of cross-lingual sentiment classification, which leverages an available English corpus for Chinese sentiment classification by using the English corpus as training data.</S><S sid = NA ssid = NA>Co-Training for Cross-Lingual Sentiment Classification</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P09-1027.txt | Citing Article:  D10-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, other multilingual sentiment approaches also require parallel text, often supplied via automatic translation; after the translated text is available, either monolingual analysis (Denecke, 2008) or co-training is applied (Wan, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2) The feature distributions of the translated text and the natural text in the same language are still different due to the inaccuracy of the machine translation service.</S><S sid = NA ssid = NA>Google Translate applies statistical learning techniques to build a translation model based on both monolingual text in the target language and aligned text consisting of examples of human translations between the languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P09-1027.txt | Citing Article:  D10-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A related, yet more sophisticated technique is proposed in (Wan,2009), where a co-training approach is used to leverage resources from both a source and a target language.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In order to overcome the language gap, we must translate one language into another language.</S><S sid = NA ssid = NA>To date, several pilot studies have been performed to leverage rich English resources for sentiment analysis in other languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P09-1027.txt | Citing Article:  W11-1724.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wan (2009) combined the annotated English reviews, unannotated Chinese reviews and their translations to co-train two separate classifiers for each language, respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, machine translation services are used to translate English training reviews into Chinese reviews and also translate Chinese test reviews and additional unlabeled reviews into English reviews.</S><S sid = NA ssid = NA>Given the labeled English reviews and unlabeled Chinese reviews, two straightforward methods for addressing the problem are as follows: 1) We first learn a classifier based on the labeled English reviews, and then translate Chinese reviews into English reviews.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P09-1027.txt | Citing Article:  W11-1724.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the document-level review polarity classification experiment, we used the dataset adopted in (Wan, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The output value of the SVM classifier for a review indicates the confidence level of the review’s classification.</S><S sid = NA ssid = NA>In this paper we focus on document sentiment classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P09-1027.txt | Citing Article:  W11-1724.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the review polarity classification experiment, we use unigram, bigram of Chinese words as features which is suggested by (Wan, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the above experiments, all features (unigram + bigram) are used.</S><S sid = NA ssid = NA>In the context of cross-lingual sentiment classification, each labeled English review or unlabeled Chinese review has two views of features: English features and Chinese features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P09-1027.txt | Citing Article:  C10-2127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The original annotations 1104 can be produced either manually or automatically. Wan (2009) constructs a multilingual classifier using co-training.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SVM classifier is adopted as the basic classifier in the proposed approach.</S><S sid = NA ssid = NA>Wan (2008) focuses on leveraging both Chinese and English lexicons to improve Chinese sentiment analysis by using lexicon-based methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P09-1027.txt | Citing Article:  P10-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Methods which follow this two step approach include the EM-based approach by Rigutini et al (2005), the CCA approach by Fortuna and Shawe-Taylor (2005), the information bottleneck approach by Ling et al (2008), and the co-training approach by Wan (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A few novel models have been proposed to address the problem, e.g. the EM-based algorithm (Rigutini et al., 2005), the information bottleneck approach (Ling et al., 2008), the multilingual domain models (Gliozzo and Strapparava, 2005), etc.</S><S sid = NA ssid = NA>To date, many semi-supervised learning algorithms have been developed for addressing the cross-domain text classification problem by transferring knowledge across domains, including Transductive SVM (Joachims, 1999), EM(Nigam et al., 2000), EM-based Naïve Bayes classifier (Dai et al., 2007a), Topic-bridged PLSA (Xue et al., 2008), Co-Clustering based classification (Dai et al., 2007b), two-stage approach (Jiang and Zhai, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P09-1027.txt | Citing Article:  P13-2094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The proposed co-regression algorithm can make full use of both the features in the source language and the features in the target language in a unified framework similar to (Wan 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The co-training approach can make full use of both the English features and the Chinese features in a unified framework.</S><S sid = NA ssid = NA>In order to overcome the language gap, we must translate one language into another language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P09-1027.txt | Citing Article:  P10-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wan (2009) constructs a multilingual classifier using co-training.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The SVM classifier is adopted as the basic classifier in the proposed approach.</S><S sid = NA ssid = NA>Wan (2008) focuses on leveraging both Chinese and English lexicons to improve Chinese sentiment analysis by using lexicon-based methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P09-1027.txt | Citing Article:  P12-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wan (2009) proposes to use ensemble method to train better Chinese sentiment classification model on English labeled data and their Chinese translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Only Chinese-to-English translation is needed.</S><S sid = NA ssid = NA>Only English-to-Chinese translation is needed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P09-1027.txt | Citing Article:  P12-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>SVM: We train a SVM classifier on the Chinese labeled data.MT-Cotrain: This is the co-training based approach described in (Wan, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the experiments, the proposed co-training approach (CoTrain) is compared with the following baseline methods: SVM(CN): This method applies the inductive SVM with only Chinese features for sentiment classification in the Chinese view.</S><S sid = NA ssid = NA>The SVM classifier is adopted as the basic classifier in the proposed approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P09-1027.txt | Citing Article:  W10-3209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wan (2009) also leveraged an available English corpus for Chinese sentiment classification by using the co-training approach to make full use of both English and Chinese features in a unified framework.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The co-training approach can make full use of both the English features and the Chinese features in a unified framework.</S><S sid = NA ssid = NA>The purpose of our approach is to make use of the annotated English corpus for sentiment polarity identification of Chinese reviews in a supervised framework, without using any Chinese resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P09-1027.txt | Citing Article:  C10-2173.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Sentiment classification can be performed on words, sentences or documents, and is generally categorized into lexicon-based and corpus-based classification method (Wan, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The methods for document sentiment classification can be generally categorized into lexicon-based and corpus-based.</S><S sid = NA ssid = NA>Sentiment classification can be performed on words, sentences or documents.</S> | Discourse Facet:  NA | Annotator: Automatic


