Citance Number: 1 | Reference Article:  W02-2024.txt | Citing Article:  W03-0419.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The shared task of CoNLL-2002 dealt with named entity recognition for Spanish and Dutch (Tjong Kim Sang, 2002).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Introduction To The CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition</S><S sid = 4 ssid = >The shared task of CoNLL-2002 concerns language-independent named entity recognition.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W02-2024.txt | Citing Article:  W07-1712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is especially challenging to extract the named entities from the text sources written in languages other than English which, in practice, is supported by the results of the shared tasks on the named entity recognition (Tjong Kim Sang, 2002).</S> | Reference Offset:  ['86','89'] | Reference Text:  <S sid = 86 ssid = >We have described the CoNLL-2002 shared task: language-independent named entity recognition.</S><S sid = 89 ssid = >Tjong Kim Sang is supported by IWT STWW as a researcher in the ATRANOS project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W02-2024.txt | Citing Article:  W07-1712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, several competitions have been organized, with a focus on multilingual NER (Tjong Kim Sang, 2002).</S> | Reference Offset:  ['64','89'] | Reference Text:  <S sid = 64 ssid = >Stages use the output of previous stages for obtaining an improved performance (Spanish test set: F,3=1=73.92; Dutch test set: F,3=1=71.36) Tjong Kim Sang (2002) has applied a memory-based learner to the data of the shared task.</S><S sid = 89 ssid = >Tjong Kim Sang is supported by IWT STWW as a researcher in the ATRANOS project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-2024.txt | Citing Article:  E06-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Various state-of-the-art machine learning algorithms such as Maximum Entropy (Borthwick, 1999), AdaBoost (Carreras et al., 2002), Hidden Markov Models (Bikel et al,), Memory-based Based learning (Tjong Kim Sang, 2002b), have been used.</S> | Reference Offset:  ['32','88'] | Reference Text:  <S sid = 32 ssid = >The annotator has followed the MITRE and SAIC guidelines for named entity recognition (Chinchor et al., 1999) as well as possible.</S><S sid = 88 ssid = >A boosted decision tree method obtained the best performance on both data sets (Carreras et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-2024.txt | Citing Article:  E06-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This scheme was initially introduced in CoNLL's (Tjong Kim Sang, 2002a) and (Tjong Kim Sang and De Meulder, 2003) NER competitions, and we decided to adapt it for our experimental work.</S> | Reference Offset:  ['22','89'] | Reference Text:  <S sid = 22 ssid = >The tagging scheme is a variant of the IOB scheme originally put forward by Ramshaw and Marcus (1995).</S><S sid = 89 ssid = >Tjong Kim Sang is supported by IWT STWW as a researcher in the ATRANOS project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-2024.txt | Citing Article:  D10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly to classical NLP tasks, such as Base Phrase Chunking (Ramshaw and Marcus, 1999) (BPC) or NER (Tjong Kim Sang, 2002), we formulate the MD task as a sequence classification problem, i.e. the classifier assigns to each token in the text a label indicating whether it starts a specific mention, is inside a specific mention, or is outside any mentions.</S> | Reference Offset:  ['22','66'] | Reference Text:  <S sid = 22 ssid = >The tagging scheme is a variant of the IOB scheme originally put forward by Ramshaw and Marcus (1995).</S><S sid = 66 ssid = >Apart from the base classifier, his system made use of three extra techniques for boosting performance: cascading classifiers (stacking), feature selection and system combination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-2024.txt | Citing Article:  W03-0424.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used three data sets: the English and German data for the CoNLL-2003 shared task (Tjong Kim Sang and De Meulder, 2003) and the Dutch data for the CoNLL 2002 shared task (Tjong Kim Sang, 2002).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Introduction To The CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition</S><S sid = 4 ssid = >The shared task of CoNLL-2002 concerns language-independent named entity recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-2024.txt | Citing Article:  D09-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the Dutch data set from the CoNLL 2002 shared task (Tjong Kim Sang, 2002).</S> | Reference Offset:  ['0','64'] | Reference Text:  <S sid = 0 ssid = >Introduction To The CoNLL-2002 Shared Task: Language-Independent Named Entity Recognition</S><S sid = 64 ssid = >Stages use the output of previous stages for obtaining an improved performance (Spanish test set: F,3=1=73.92; Dutch test set: F,3=1=71.36) Tjong Kim Sang (2002) has applied a memory-based learner to the data of the shared task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-2024.txt | Citing Article:  W12-4405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The fourth type, called miscellaneous, was introduced in the CoNLL NER tasks in 2002 (Tjong Kim Sang, 2002) and 2003 (Tjong Kim Sang and De Meulder, 2003), and includes proper names falling outside the three classic types.</S> | Reference Offset:  ['21','89'] | Reference Text:  <S sid = 21 ssid = >The data contains entities of four types: persons (PER), organizations (ORG), locations (LOC) and miscellaneous names (MISC).</S><S sid = 89 ssid = >Tjong Kim Sang is supported by IWT STWW as a researcher in the ATRANOS project.</S> | Discourse Facet:  NA | Annotator: Automatic


