Citance Number: 1 | Reference Article:  P91-1034.txt | Citing Article:  P13-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a result, we can find complementary cues in the two languages that help to disambiguate named entity mentions (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S><S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P91-1034.txt | Citing Article:  C04-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The idea of obtaining linguistic information about a text in one language by exploiting parallel or comparable texts in another language has been explored in the field of Word Sense Disambiguation (WSD) since the early 90's, the most representative works being (Brown et al, 1991), (Gale et al, 1992), and (Dagan and Itai, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following Brown et al. [Brown et al., 1994 we choose as the translation of a French sentence F that sentence E for which Pr (EIF) is greatest.</S><S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P91-1034.txt | Citing Article:  P01-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>TMs have been used for statistical machine translation (Bergeretal., 1996), word alignment of a translation corpus (Melamed, 2000), multilingual document retrieval (Franz et al, 1999), automatic dictionary construction (Resnik and Melamed, 1997), and data preparation for word sense disambiguation programs (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S><S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P91-1034.txt | Citing Article:  W05-1207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mutual information has been positively used in many NLP tasks such as collocation analysis (Church and Hanks, 1989), terminology extraction (Damerau, 1993), and word sense disambiguation (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We can achieve this within the traditional paradigm of analysis, transfer, and synthesis by incorporating into the analysis phase a sense-disambiguation component that assigns sense labels to French words.</S><S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P91-1034.txt | Citing Article:  W98-0712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a somewhat radical alternative to taxonomical relationships, other ways of measuring semantic similarity based on distributional evidence have been put forward in the literature (see, among others, Brown et al 1991, Gale et al 1992, Pereira and Tishby 1992), which emphasise the role played by context in this game.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S><S sid = NA ssid = NA>Following Brown et al. [Brown et al., 1994 we choose as the translation of a French sentence F that sentence E for which Pr (EIF) is greatest.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P91-1034.txt | Citing Article:  W99-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We judged 45 of the resultant translations as acceptable as compared with 37 acceptable translations produced by the same system running without sense-disambiguation questions.</S><S sid = NA ssid = NA>Let p(e, f) be the probability that a connection chosen at random from this set will connect the English word e to the French word f. Because each French word gives rise to exactly one connection, the right marginal of this distribution is identical to the distribution of French words in these sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P91-1034.txt | Citing Article:  P03-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Related Work Brown et al (1991) is the first to have explored statistical methods in word sense disambiguation in the context of machine translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Word-Sense Disambiguation Using Statistical Methods</S><S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P91-1034.txt | Citing Article:  D07-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast with Brown et al (1991), our approach incorporates the predictions of state-of-the art WSD models that use rich contextual features for any phrase in the input vocabulary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S><S sid = NA ssid = NA>This system is an enhanced version of the one described by Brown et al. [Brown et al., 1990] in that it uses a trigram language model, and has a French vocabulary of 57,802 words, a.nd an English vocabulary of 40,809 words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P91-1034.txt | Citing Article:  W97-0812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The reduction of input data requirements offers a significant advantage compared with methods such as those presented in Brown et al (1991), Gale et al (1992), Yarowsky (1995), and Karol and Edelman (1996) where strong reliance on statistical techniques for the calculation of word and context similarity commands large source corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S><S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P91-1034.txt | Citing Article:  W03-1302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brown et al (1991) pioneered the use of statistical WSD for translation, building a translation model from one million sentences in English and French.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The statistical translation model, which supplies English translations of French words, prefers the more common translation take, but the trigram language model recognizes that the three-word sequence make the decision is much more probable than take the decision..</S><S sid = NA ssid = NA>Following Brown et al. [Brown et al., 1994 we choose as the translation of a French sentence F that sentence E for which Pr (EIF) is greatest.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P91-1034.txt | Citing Article:  P06-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first statistical model of WSD was built by Brown et al (1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S><S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P91-1034.txt | Citing Article:  D12-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A historical approach (Brown et al 1991) uses bilingual corpora to perform unsupervised word alignment and determine the most appropriate translation for a target word from a set of contextual features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et al. [Brown et al., 1990], show an example of such au automatically derived alignment in their Figure 3.</S><S sid = NA ssid = NA>An alluring aspect of the statistical approach to machine translation rejuvenated by Brown et al. [Brown et at., 1988, Brown et al., 1990] is the systematic framework it provides for attacking the problem of lexical disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


