Citance Number: 1 | Reference Article:  P02-1034.txt | Citing Article:  P02-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Collins and Duffy 2002) describe the voted perceptron applied to the named-entity data in this paper, but using kernel-based features rather than the explicit features described in this paper.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>features.</S><S sid = NA ssid = NA>This result is derived using a new kernel, for tagged sequences, described in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P02-1034.txt | Citing Article:  W05-0407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A viable alternative has been proposed in (Collins and Duffy, 2002), where convolution kernels were used to implicitly define a tree substructure space.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The kernels we describe are related to the kernels over discrete structures in (Haus sler 1999; Lodhi et al 2001).</S><S sid = NA ssid = NA>This paper describes how the perceptron andvoted perceptron algorithms can be used for pars ing and tagging problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1034.txt | Citing Article:  W05-0407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thepastc uses the tree kernel function defined in (Collins and Duffy, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>?kernel?</S><S sid = NA ssid = NA>A previous paper (Collins and Duffy 2001) showed improvements over a PCFG in parsing the ATIS task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1034.txt | Citing Article:  W05-0407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The tree kernel used in this article was proposed in (Collins and Duffy, 2002) for syntactic parsing reranking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>?kernel?</S><S sid = NA ssid = NA>A previous paper (Collins and Duffy 2001) showed improvements over a PCFG in parsing the ATIS task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1034.txt | Citing Article:  P08-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tree kernels evaluate the similarity between two trees in terms of their overlap, generally measured as the number of common substructures (Collins and Duffy, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We show how the algorithms can be efficientlyapplied to exponential sized representations of parse trees, such as the ?all sub trees?</S><S sid = NA ssid = NA>The kernels we describe are related to the kernels over discrete structures in (Haus sler 1999; Lodhi et al 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1034.txt | Citing Article:  P08-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>delta can be efficiently computed with the algorithm proposed in (Collins and Duffy, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Crucially, the algorithmscan be efficiently applied to exponential sized repre sentations of parse trees, such as the ?all subtrees?</S><S sid = NA ssid = NA>We describe how the inner product between feature vectors in these representations can be calculated efficiently using dynamic programming algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1034.txt | Citing Article:  P04-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Collins (2000) and Collins and Duffy (2002) also succeed in finding algorithms for training discriminative models which balance tractability with effectiveness, showing improvements over a generative model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This leads topolynomial time2 algorithms for training and applying the perceptron.</S><S sid = NA ssid = NA>A previous paper (Collins and Duffy 2001) showed improvements over a PCFG in parsing the ATIS task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1034.txt | Citing Article:  P04-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Given the semantic objects defined in the previous section, we design a convolution kernel in a way similar to the parse-tree kernel proposed in (Collins and Duffy, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>?kernel?</S><S sid = NA ssid = NA>A previous paper (Collins and Duffy 2001) showed improvements over a PCFG in parsing the ATIS task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P02-1034.txt | Citing Article:  P04-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The candi dates might be enumerated by a number of methods.The experiments in this paper use the top</S><S sid = NA ssid = NA>trick ((Cristianini and Shawe-Taylor 2000) discuss kernel methods at length).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P02-1034.txt | Citing Article:  P04-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is worth noting that even if the above equations define a kernel function similar to the one proposed in (Collins and Duffy, 2002), the substructures on which it operates are different from the parse-tree kernel.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>?kernel?</S><S sid = NA ssid = NA>This result is derived using a new kernel, for tagged sequences, described in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P02-1034.txt | Citing Article:  W08-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For this purpose, kernel methods, and in particular tree kernels allow for representing trees in terms of all possible subtrees (Collins and Duffy, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>?kernel?</S><S sid = NA ssid = NA>Crucially, the algorithmscan be efficiently applied to exponential sized repre sentations of parse trees, such as the ?all subtrees?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P02-1034.txt | Citing Article:  W08-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast, tree kernels (Collins and Duffy, 2002) can be used to efficiently generate the huge space of tree fragments but, to generate the space of pairs of tree fragments, a new kernel function has to be defined.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>?kernel?</S><S sid = NA ssid = NA>Both results rely on a new approach that incorporates the log-probability from a baseline model, in addition to the ?all-fragments?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P02-1034.txt | Citing Article:  W08-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The candi dates might be enumerated by a number of methods.The experiments in this paper use the top</S><S sid = NA ssid = NA>trick ((Cristianini and Shawe-Taylor 2000) discuss kernel methods at length).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P02-1034.txt | Citing Article:  E09-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this perspective, String Kernel (SK) proposed in (Shawe Taylor and Cristianini, 2004) and the Syntactic Tree Kernel (STK) (Collins and Duffy, 2002) allow for modeling structured data in high dimensional spaces.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>trick ((Cristianini and Shawe-Taylor 2000) discuss kernel methods at length).</S><S sid = NA ssid = NA>?kernel?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P02-1034.txt | Citing Article:  E09-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>delta function counts the number of subtrees rooted in n1 and n2 and can be evaluated as follows (Collins and Duffy, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The candi dates might be enumerated by a number of methods.The experiments in this paper use the top</S><S sid = NA ssid = NA>Crucially, the algorithmscan be efficiently applied to exponential sized repre sentations of parse trees, such as the ?all subtrees?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P02-1034.txt | Citing Article:  W12-1622.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>the reranker learns directly from a scoring function that is trained to maximize the performance of the reranking task (Collins and Duffy, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A previous paper (Collins and Duffy 2001) showed improvements over a PCFG in parsing the ATIS task.</S><S sid = NA ssid = NA>Trees and Tagged SequencesThis paper focuses on the task of choosing the cor rect parse or tag sequence for a sentence from agroup of ?candidates?</S> | Discourse Facet:  NA | Annotator: Automatic


