Citance Number: 1 | Reference Article:  E99-1001.txt | Citing Article:  C02-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The importance of dictionaries in NERs has been investigated in the literature (Mikheev et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  E99-1001.txt | Citing Article:  W03-0105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To date, Named Entity Recognition (NER) has only used gazetteers as evidence that a text span could be some kind of place name (LOCATION), even though their finite nature makes lists of names of limited use for classification (Mikheev et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Named Entity Recognition Without Gazetteers</S><S sid = NA ssid = NA>Limited gazetteers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  E99-1001.txt | Citing Article:  W06-2918.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other work has supported the use of gazetteers in general but has found that lists of only moderate size are sufficient to provide most of the benefit (Mikheev et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>We show that, for the text type and task of this competition, it is sufficient to use relatively small gazetteers of well-known names, rather than large gazetteers of low-frequency names.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  E99-1001.txt | Citing Article:  E09-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To investigate the role of gazetteers in NER, Mikheev et al (1999) combine grammar rules with maximum entropy models and vary the gazetteer size.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Once this has been done, the system again applies the grammar rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  E99-1001.txt | Citing Article:  W07-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The internal and external evidence is being used by all NERC systems such as LTG (Mikheev et al 1999), FASTUS (Hobbs et al 1997), Proteus (Yangarber, Grishman, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  E99-1001.txt | Citing Article:  W07-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In such cases all tokens forming an NE and all their combinations are stored in the dynamic lexicon (Mikheev et al 1999:5).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  E99-1001.txt | Citing Article:  E09-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since many tagging systems utilise gazetteers of known entities, some research has focused on their automatic extraction from the web (Etzioni et al, 2005) or Wikipedia (Toral et al, 2008), although Mikheev et al (1999) and others have shown that larger NE lists do not necessarily correspond to increased NER performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  E99-1001.txt | Citing Article:  P02-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Steve Finch and Irina Nazarova as well as Colin Matheson and other members of the Language Technology Group for help in building various tools and other resources that were used in the development of the muc system.</S><S sid = NA ssid = NA>The precision of the system was not calculated but can be assumed to be quite high because it would only be affected by cases where a capitalized word occurs in more than one list (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  E99-1001.txt | Citing Article:  P05-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mikheev et al (1999) and Finkel et al (2004) incorporate label consistency information by using ad hoc multi-stage labeling procedures that are effective but special-purpose.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic


