Citance Number: 1 | Reference Article:  N04-1042.txt | Citing Article:  C04-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Peng and McCallum (2004) for more details and further experiments.</S> | Reference Offset:  ['65','85'] | Reference Text:  <S sid = 65 ssid = >In some experiments described below we use feature induction.</S><S sid = 85 ssid = >Here we also briefly describe a HMM model we used in our experiments.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N04-1042.txt | Citing Article:  W07-0206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','164'] | Reference Text:  <S sid = 60 ssid = >The hyperbolic distribution has log-linear tails.</S><S sid = 164 ssid = >19 13 0 0 10 3852 27 0 28 34 0 0 0 1 address 0 11 3 0 0 35 2170 1 0 21 0 0 0 0 email 0 0 1 0 12 2 3 461 0 2 2 0 15 0 degree 2 2 0 2 0 2 0 5 465 95 0 0 2 0 note 52 2 9 6 219 52 59 0 5 4520 4 3 21 3 phone 0 0 0 0 0 0 0 1 0 2 215 0 0 0 intro 0 0 0 0 0 0 0 0 0 32 0 625 0 0 keyword 57 0 0 0 18 3 15 0 0 91 0 0 975 0 web 0 0 0 0 2 0 0 0 0 31 0 0 0 294 ommendations expressed in this material are the author(s) and do not necessarily reflect those of the sponsor.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N04-1042.txt | Citing Article:  P05-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Peng and McCallum (2004) applied Conditional Random Fields to extract information, which draws together the advantages of both HMM and SVM.</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >Accurate Information Extraction From Research Papers Using Conditional Random Fields</S><S sid = 20 ssid = >The CRF approach draws together the advantages of both finite state HMM and discriminative SVM techniques by allowing use of arbitrary, dependent features and joint inference over entire sequences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N04-1042.txt | Citing Article:  D07-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper mainly focuses on the VP problem, since linguistic features for the HP problem is the general IE topic of much past research (e.g., Peng and McCallum, 2004).</S> | Reference Offset:  ['84','129'] | Reference Text:  <S sid = 84 ssid = >We study all these features in our research paper extraction problem, evaluate their individual contributions, and give some guidelines for selecting good features.</S><S sid = 129 ssid = >We hypothesized that the problem could be that the choice of constant α is inappropriate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N04-1042.txt | Citing Article:  D07-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently an increasing number of research efforts on text mining and IE have used CRF models (e.g., Peng and McCallum, 2004).</S> | Reference Offset:  ['1','143'] | Reference Text:  <S sid = 1 ssid = >With the increasing use of research paper search engines, such as CiteSeer, for both literature search and hiring decisions, the accuracy of such systems is of paramount importance.</S><S sid = 143 ssid = >The features we used are summarized in Table 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N04-1042.txt | Citing Article:  P05-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recently, Peng and McCallum (2004) applied supervised learning of Conditional Random Field (CRF) sequence models to the problem of parsing the headers of research papers.</S> | Reference Offset:  ['0','91'] | Reference Text:  <S sid = 0 ssid = >Accurate Information Extraction From Research Papers Using Conditional Random Fields</S><S sid = 91 ssid = >One consists of the headers of research papers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N04-1042.txt | Citing Article:  C08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In our experiments we use the bibliographic citation dataset described in (Peng and McCallum, 2004).</S> | Reference Offset:  ['65','98'] | Reference Text:  <S sid = 65 ssid = >In some experiments described below we use feature induction.</S><S sid = 98 ssid = >We refer this dataset as H. The reference dataset was created by the Cora project (McCallum et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N04-1042.txt | Citing Article:  P05-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In recent years, conditional random fields (CRFs) (Lafferty et al, 2001) have shown success on a number of natural language processing (NLP) tasks, including shallow parsing (Sha and Pereira, 2003), named entity recognition (McCallum and Li, 2003) and information extraction from research papers (Peng and McCallum, 2004).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >Accurate Information Extraction From Research Papers Using Conditional Random Fields</S><S sid = 21 ssid = >CRFs have been previously applied to other tasks such as name entity extraction (McCallum and Li, 2003), table extraction (Pinto et al., 2003) and shallow parsing (Sha and Pereira, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N04-1042.txt | Citing Article:  D08-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CORA (Peng and McCallum, 2004) consists of two collections: a set of research paper headers annotated for entities such as title, author, and institution; and a collection of references annotated with BibTeX fields such as journal, year, and publisher.</S> | Reference Offset:  ['91','100'] | Reference Text:  <S sid = 91 ssid = >One consists of the headers of research papers.</S><S sid = 100 ssid = >References contain 13 fields: author, title, editor, booktitle, date, journal, volume, tech, institution, pages, location, publisher, note.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N04-1042.txt | Citing Article:  N06-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In bibliography entries (Peng and McCallum, 2004), a given field (author, title, etc.) should be filled by at most one substring of the input, and there are strong preferences on the cooccurrence and order of certain fields.</S> | Reference Offset:  ['31','34'] | Reference Text:  <S sid = 31 ssid = >Given such a model as defined in Equ.</S><S sid = 34 ssid = >The parameters may be estimated by maximum likelihood—maximizing the conditional probability of a set of label sequences, each given their corresponding input sequences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N04-1042.txt | Citing Article:  I08-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['60','164'] | Reference Text:  <S sid = 60 ssid = >The hyperbolic distribution has log-linear tails.</S><S sid = 164 ssid = >19 13 0 0 10 3852 27 0 28 34 0 0 0 1 address 0 11 3 0 0 35 2170 1 0 21 0 0 0 0 email 0 0 1 0 12 2 3 461 0 2 2 0 15 0 degree 2 2 0 2 0 2 0 5 465 95 0 0 2 0 note 52 2 9 6 219 52 59 0 5 4520 4 3 21 3 phone 0 0 0 0 0 0 0 1 0 2 215 0 0 0 intro 0 0 0 0 0 0 0 0 0 32 0 625 0 0 keyword 57 0 0 0 18 3 15 0 0 91 0 0 975 0 web 0 0 0 0 2 0 0 0 0 31 0 0 0 294 ommendations expressed in this material are the author(s) and do not necessarily reflect those of the sponsor.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N04-1042.txt | Citing Article:  P06-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples of these models include maximum entropy Markov models (McCallum et al, 2000), Bayesian information extraction network (Peshkin and Pfeffer, 2003), and conditional random fields (Mc Callum, 2003) (Peng and McCallum, 2004).</S> | Reference Offset:  ['12','21'] | Reference Text:  <S sid = 12 ssid = >The first is hidden Markov models (HMM) (Seymore et al., 1999; Takasu, 2003).</S><S sid = 21 ssid = >CRFs have been previously applied to other tasks such as name entity extraction (McCallum and Li, 2003), table extraction (Pinto et al., 2003) and shallow parsing (Sha and Pereira, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N04-1042.txt | Citing Article:  P12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Although we are primarily concerned with unsupervised property discovery, it is worth mentioning (Peng and McCallum, 2004) and (Ghani et al, 2006) who approached the problem using supervised machine learning techniques and require labeled data.</S> | Reference Offset:  ['11','93'] | Reference Text:  <S sid = 11 ssid = >Previous work in information extraction from research papers has been based on two major machine learning techniques.</S><S sid = 93 ssid = >These data sets have been used as standard benchmarks in several previous studies (Seymore et al., 1999; McCallum et al., 2000; Han et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


