Citance Number: 1 | Reference Article:  W97-0802.txt | Citing Article:  A00-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our initial experiments with the integration of GermaNet (Hamp and Feldweg, 1997), the evolving German version of WordNet, seem to confirm the positive results described for WordNet (de Buenaga Rodriguez et al, 1997) and will thus be extended.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The basic framework of GermaNet is similar to the Princeton WordNet (Miller et al., 1993), guaranteeing maximal compatibility.</S><S sid = NA ssid = NA>A wordnet for German has been described which, compared with the Princeton WordNet, integrates principle-based modifications and extensions on the constructional and organizational level as well as on the level of lexical and conceptual relations.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W97-0802.txt | Citing Article:  W12-1632.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For German, we address this issue by introducing two further types of features into our model based on the GermaNet resource (Hamp and Feldweg, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Innovative features of GermaNet are a new treatment of regular polysemy and of particle verbs, as well as a principle-based encoding of crossclassification and artificial concepts.</S><S sid = NA ssid = NA>GermaNet - A Lexical-Semantic Net For German</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W97-0802.txt | Citing Article:  W11-2401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This constitutes an important step towards the design of truly multilingual tools applicable in key areas such as information retrieval and intelligent Internet search engines.</S><S sid = NA ssid = NA>As compatibility with the Princeton WordNet and EuroWordNet is a major construction criteria of GermaNet, German can now, finally, be integrated into multilingual large-scale projects based on ontological and conceptual information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W97-0802.txt | Citing Article:  W00-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This paper presents an algorithm for finding systematic polysemous classes in WordNet (Miller et al 1990) and GermaNet (Hamp and Feldweg 1997) - a semantic database for German similar to WordNet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The basic framework of GermaNet is similar to the Princeton WordNet (Miller et al., 1993), guaranteeing maximal compatibility.</S><S sid = NA ssid = NA>GermaNet - A Lexical-Semantic Net For German</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W97-0802.txt | Citing Article:  E09-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The system currently uses two different terminological onto logies WordNet (Fellbaum, 1998) and GermaNet (Hamp and Feldweg, 1997) as chaining resources which have been mapped onto the database for mat.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>GermaNet, however, currently assumes only one basic meronymy relation.</S><S sid = NA ssid = NA>We use the Princeton WordNet technology for the database format, database compilation, as well as the Princeton WordNet interface, applying extensions only where necessary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W97-0802.txt | Citing Article:  P14-2086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We select the hyper parameters of our model using an independent development set, which we extract from the lexical resource GermaNet (Hamp and Feldweg, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The development of a German wordnet has the advantage that the applications developed for English using WordNet as a resource can be used for German with only minor modifications.</S><S sid = NA ssid = NA>GermaNet - A Lexical-Semantic Net For German</S> | Discourse Facet:  NA | Annotator: Automatic


