Citance Number: 1 | Reference Article:  D07-1007.txt | Citing Article:  P10-4014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','135'] | Reference Text:  <S sid = 42 ssid = >In ad dition, the single-word model does not generalize to WSD for phrasal lexical choice, as overlapping spans cannot be specified with the XML markup scheme.</S><S sid = 135 ssid = >Input</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D07-1007.txt | Citing Article:  W12-1906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Chan and Ng, 2007) introduce a system very similar to that of (Carpuat and Wu, 2007), but as applied to hierarchical phrase-based translation.</S> | Reference Offset:  ['21','114'] | Reference Text:  <S sid = 21 ssid = >The main differencebetween this approach and several of our earlier ap proaches as described in Carpuat and Wu (2005b) and subsequently Carpuat et al (2006) lies in the fact that we focus on repurposing the WSD systemfor multi-word phrase-based SMT.</S><S sid = 114 ssid = >Basic preprocessing was applied to the corpus.The English side was simply tokenized and case normalized.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D07-1007.txt | Citing Article:  D09-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another WSD approach incorporating context-dependent phrasal translation lexicons is given in (Carpuatand Wu, 2007) and has been evaluated on several translation tasks.</S> | Reference Offset:  ['49','71'] | Reference Text:  <S sid = 49 ssid = >Garcia Varea et al found that the best results are obtained when the training of the context-dependent translation model is fully incorporated with the EM training of the SMT system.</S><S sid = 71 ssid = >It is therefore necessary for the WSD and SMT systems to consider exactly the same translation candidates for a given word in the input language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1007.txt | Citing Article:  D09-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Second, instead of disambiguating phrase senses as in (Carpuat and Wu, 2007), we model word selection independently of the phrases used in the MT models.</S> | Reference Offset:  ['61','72'] | Reference Text:  <S sid = 61 ssid = >SMT 4.1 WSD models for every phrase in the input.</S><S sid = 72 ssid = >Assuming a standard phrase-based SMT system(e.g., Koehn et al (2003)), WSD senses are thus ei ther words or phrases, as learned in the SMT phrasal translation lexicon.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1007.txt | Citing Article:  D08-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Carpuat and Wu (2007b) and Chan et al. (2007) showed improvents by integrating word-sense-disambiguation (WSD) system into a phrase-based (Koehn, 2004) and a hierarchical phrase-based (Chiang, 2005) SMT system, respectively.</S> | Reference Offset:  ['72','95'] | Reference Text:  <S sid = 72 ssid = >Assuming a standard phrase-based SMT system(e.g., Koehn et al (2003)), WSD senses are thus ei ther words or phrases, as learned in the SMT phrasal translation lexicon.</S><S sid = 95 ssid = >The fourth model is a Kernel PCA-based model (Wu et al, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1007.txt | Citing Article:  D08-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','135'] | Reference Text:  <S sid = 42 ssid = >In ad dition, the single-word model does not generalize to WSD for phrasal lexical choice, as overlapping spans cannot be specified with the XML markup scheme.</S><S sid = 135 ssid = >Input</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1007.txt | Citing Article:  P08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Carpuat and Wu (2007) approached the issue as a Word Sense Disambiguation problem.</S> | Reference Offset:  ['0','73'] | Reference Text:  <S sid = 0 ssid = >Improving Statistical Machine Translation Using Word Sense Disambiguation</S><S sid = 73 ssid = >Those ?sense?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1007.txt | Citing Article:  W11-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Chan and Ng (2007) a classifier exploits information such as local collocations, parts-of-speech or surrounding words to determine the lexical choice of target words, while Carpuat and Wu (2007) use rich context features based on position, syntax and local collocations to dynamically adapt the lexicons for each sentence and facilitate the choice of longer phrases.</S> | Reference Offset:  ['66','102'] | Reference Text:  <S sid = 66 ssid = >The target words for both categories of Sen seval WSD tasks are typically only content words?</S><S sid = 102 ssid = >We overcome this obstacle by devising a callingarchitecture that reinitializes the decoder with dynamically generated lexicons on a per-sentence ba sis.Unlike a n-best reranking approach, which is limited by the lexical choices made by the decoder using only the baseline context-independent transla tion probabilities, our method allows the system to make full use of WSD information for all competing phrases at all decoding stages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1007.txt | Citing Article:  W09-2412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike a full blown machine translation task (Carpuat and Wu, 2007), annotators and systems will not be required to translate the whole context but just the target word.</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Improving Statistical Machine Translation Using Word Sense Disambiguation</S><S sid = 17 ssid = >61 and unsupervised, on a Senseval WSD task (Carpuat and Wu, 2005a), and therefore suggest that WSD should have a role to play in state-of-the-art SMT systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1007.txt | Citing Article:  P12-3027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As described in (Carpuat and Wu, 2007), the disambiguation model plays an important role in the machine translation task.</S> | Reference Offset:  ['9','17'] | Reference Text:  <S sid = 9 ssid = >Common assumptions about the role and useful ness of word sense disambiguation (WSD) models in full-scale statistical machine translation (SMT) systems have recently been challenged.</S><S sid = 17 ssid = >61 and unsupervised, on a Senseval WSD task (Carpuat and Wu, 2005a), and therefore suggest that WSD should have a role to play in state-of-the-art SMT systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1007.txt | Citing Article:  P12-3027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the study more closely related to our work, Carpuat and Wu (2007) propose a novel method to train a phrasal lexical disambiguation model to benefit translation candidates selection in machine translation.</S> | Reference Offset:  ['0','38'] | Reference Text:  <S sid = 0 ssid = >Improving Statistical Machine Translation Using Word Sense Disambiguation</S><S sid = 38 ssid = >To fully integrate WSD into phrase-based SMT, it is necessary to perform lexical disambiguation on multi-word phrasal lexical units; in contrast, the model reported in Cabezas and Resnik (2005)can only perform lexical disambiguation on sin gle words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1007.txt | Citing Article:  W11-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Current work in machine translation has shown that word sense disambiguation can play an important role by using the surrounding words as context to disambiguate terms (Carpuat and Wu, 2007) (Apidianaki, 2009).</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Improving Statistical Machine Translation Using Word Sense Disambiguation</S><S sid = 17 ssid = >61 and unsupervised, on a Senseval WSD task (Carpuat and Wu, 2005a), and therefore suggest that WSD should have a role to play in state-of-the-art SMT systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1007.txt | Citing Article:  N09-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another WSD approach incorporating context-dependent phrasal translation lexicons is presented by Carpuat and Wu (2007) and has been evaluated on several translation tasks.</S> | Reference Offset:  ['49','103'] | Reference Text:  <S sid = 49 ssid = >Garcia Varea et al found that the best results are obtained when the training of the context-dependent translation model is fully incorporated with the EM training of the SMT system.</S><S sid = 103 ssid = >The evaluation is conducted on two standard Chinese to English translation tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1007.txt | Citing Article:  D08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Carpuat and Wu (2007), another state-of-the-art WSD engine (a combination of naive Bayes, maximum entropy, boosting and Kernel PCA models) is used to dynamically determine the score of a phrase pair under consideration and, thus, let the phrase selection adapt to the context of the sentence.</S> | Reference Offset:  ['95','98'] | Reference Text:  <S sid = 95 ssid = >The fourth model is a Kernel PCA-based model (Wu et al, 2004).</S><S sid = 98 ssid = >Moreover, the maximum entropy and boosting models are known to be well suited to handling features that are highly interdependent.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1007.txt | Citing Article:  D12-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The key insight here is that Word Sense Disambiguation and Machine Translation (MT) are highly intertwined tasks, as previously shown by Carpuat and Wu (2007) and Chan et al (2007), who successfully used sense information to boost state-of-the-art statistical MT.</S> | Reference Offset:  ['0','73'] | Reference Text:  <S sid = 0 ssid = >Improving Statistical Machine Translation Using Word Sense Disambiguation</S><S sid = 73 ssid = >Those ?sense?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1007.txt | Citing Article:  P13-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Carpuat and Wu (2007a, 2007b) and Chan et al (2007) have integrated word sense disambiguation (WSD) and phrase sense disambiguation (PSD) into SMT systems.</S> | Reference Offset:  ['3','73'] | Reference Text:  <S sid = 3 ssid = >Recent work has challenged the assumption that word sense disambiguation (WSD) systems areuseful for SMT.</S><S sid = 73 ssid = >Those ?sense?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1007.txt | Citing Article:  P10-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Key papers by Carpuat and Wu (2007) and Chan et al (2007) showed that word-sense disambiguation (WSD) techniques relying on source-language context can be effective in selecting translations in phrase-based and hierarchical SMT.</S> | Reference Offset:  ['82','87'] | Reference Text:  <S sid = 82 ssid = >Every in 64 put language phrase is sense-tagged with its aligned output language phrase in the parallel corpus.</S><S sid = 87 ssid = >The word sense disambiguation subsystem is mod eled after the best performing WSD system in the Chinese lexical sample task at Senseval-3 (Carpuat et al, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


