Citance Number: 1 | Reference Article:  P03-1056.txt | Citing Article:  W04-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Because of these characteristics, Chinese has a rather different set of salient ambiguities from the perspective of statistical parsing (Levy and Manning, 2003).</S> | Reference Offset:  ['30','33'] | Reference Text:  <S sid = 30 ssid = >Chinese, as we will show, has a rather different set of salient ambiguities from the perspective of statistical parsing.</S><S sid = 33 ssid = >For purposes of statistical parsing, three salient differences distinguish the two languages.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1056.txt | Citing Article:  P05-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While it is uncommon to offer an error analysis for probabilistic parsing, Levy and Manning (2003) argue that a careful error classification can reveal possible improvements.</S> | Reference Offset:  ['79','144'] | Reference Text:  <S sid = 79 ssid = >Table 3 gives a breakdown of the major error types found; Figure 4 gives examples of unfamiliar major error types.5 In the next section we describe each major error type, analyze its causes, and suggest simple PCFG enhancements that can be used to address it.</S><S sid = 144 ssid = >This is an encouraging result for the use of detailed error analysis followed by focused treestructure enhancements to improved parser performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1056.txt | Citing Article:  P05-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Verb mistagging is also a problem for other languages: Levy and Manning (2003) describe a similar problem in Chinese for noun/verb ambiguity.</S> | Reference Offset:  ['109','112'] | Reference Text:  <S sid = 109 ssid = >We briefly explain here why N/V ambiguity is a hard problem in Chinese.</S><S sid = 112 ssid = >But the sparse morphology of English and Chinese means that frequently there is noun/verb ambiguity at the word level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1056.txt | Citing Article:  P13-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The closest previous work is the detailed manual analysis performed by Levy and Manning (2003).</S> | Reference Offset:  ['137','144'] | Reference Text:  <S sid = 137 ssid = >The trends we obtained are different enough from previous work to merit discussion.</S><S sid = 144 ssid = >This is an encouraging result for the use of detailed error analysis followed by focused treestructure enhancements to improved parser performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1056.txt | Citing Article:  I05-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','156'] | Reference Text:  <S sid = 48 ssid = >Both these differences are noticeable when comparing treebanks.</S><S sid = 156 ssid = >This paper is based on research supported by the Advanced Research and Development Activity (ARDA)'s Advanced Question Answering for Intelligence (AQUAINT) Program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1056.txt | Citing Article:  W08-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['48','156'] | Reference Text:  <S sid = 48 ssid = >Both these differences are noticeable when comparing treebanks.</S><S sid = 156 ssid = >This paper is based on research supported by the Advanced Research and Development Activity (ARDA)'s Advanced Question Answering for Intelligence (AQUAINT) Program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1056.txt | Citing Article:  W06-1614.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Levy and Manning (2003) for a similar discussion of Chinese and the Penn Chinese Treebank.</S> | Reference Offset:  ['0','29'] | Reference Text:  <S sid = 0 ssid = >Is It Harder To Parse Chinese Or The Chinese Treebank?</S><S sid = 29 ssid = >We take advantage of the recently released Penn Chinese Treebank (version 2.0, abbreviated here as CTB; (Xue et al., 2002)) to address these questions for Chinese, a language with less morphology and more mixed headedness than English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1056.txt | Citing Article:  S10-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the SVM-Light Toolkit (Joachims, 1999) for the implementation of SVM, and use the Stanford Parser (Levy and Manning, 2003) as the parser and the constituent-to-dependency converter.</S> | Reference Offset:  ['60','144'] | Reference Text:  <S sid = 60 ssid = >We use the factored parsing model of (Klein and Manning, 2002).</S><S sid = 144 ssid = >This is an encouraging result for the use of detailed error analysis followed by focused treestructure enhancements to improved parser performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1056.txt | Citing Article:  C10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Noun/verb mis-taggings are a frequent error case for PCFG parsing on PCTB data, compounded in Chinese by the lack of function words and morphology (Levy and Manning, 2003).</S> | Reference Offset:  ['34','112'] | Reference Text:  <S sid = 34 ssid = >First, Chinese makes less use of function words and morphology than English: determinerless nouns are more widespread, plural marking is restricted and rare, and verbs appear in a unique form with few supporting function words.</S><S sid = 112 ssid = >But the sparse morphology of English and Chinese means that frequently there is noun/verb ambiguity at the word level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1056.txt | Citing Article:  D11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It should be noted that it is straightforward to simultaneously do POS tagging and constituent parsing, as POS tags can be regarded as non-terminals in the constituent structure (Levy and Manning, 2003).</S> | Reference Offset:  ['61','108'] | Reference Text:  <S sid = 61 ssid = >Parsing in this model involves combining two independent parses: one of a non-lexicalized, maximum likelihoodestimated (MLE) PCFG model and another of a constituent-free dependency parse.</S><S sid = 108 ssid = >Upon manual examination, the asymmetry of N-as-V and V-as-N mistagging frequency seems in line with the global prior over POS tags; the overall N:V ratio in the corpus is 2.5:1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1056.txt | Citing Article:  N12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Levy and Manning (2003) established that properties of Chinese such as noun/verb ambiguity contribute to the difficulty of Chinese parsing.</S> | Reference Offset:  ['36','112'] | Reference Text:  <S sid = 36 ssid = >Significantly, this means that attachment ambiguity among a verb's complements, a major source of parsing ambiguity in English, is rare in Chinese.</S><S sid = 112 ssid = >But the sparse morphology of English and Chinese means that frequently there is noun/verb ambiguity at the word level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1056.txt | Citing Article:  N12-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >greatly affects parsing accuracy (Levy and Manning, 2003).</S> | Reference Offset:  ['45','60'] | Reference Text:  <S sid = 45 ssid = >During development, we found the difference in parse accuracy for 1-25 and 301-325 to range around a remarkable 10%.</S><S sid = 60 ssid = >We use the factored parsing model of (Klein and Manning, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1056.txt | Citing Article:  D11-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parsed the Chinese text using the Stanford parser (Levy and Manning, 2003) and the English text using TurboParser (Martins et al, 2009).</S> | Reference Offset:  ['25','29'] | Reference Text:  <S sid = 25 ssid = >Corpusbased statistical parsing is a leading technique to deal with this extreme ambiguity; the vast bulk of work in this field has been done in English, using the Wall Street Journal section of the English Penn Treebank (ETB).</S><S sid = 29 ssid = >We take advantage of the recently released Penn Chinese Treebank (version 2.0, abbreviated here as CTB; (Xue et al., 2002)) to address these questions for Chinese, a language with less morphology and more mixed headedness than English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1056.txt | Citing Article:  N07-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Adapting unlexicalized parsers appears to be equally difficult: Levy and Manning (2003) adapt the unlexicalized parser of Klein and Manning (2003) to Chinese, but even after significant efforts on choosing category splits, only modest performance gains are reported.</S> | Reference Offset:  ['60','155'] | Reference Text:  <S sid = 60 ssid = >We use the factored parsing model of (Klein and Manning, 2002).</S><S sid = 155 ssid = >We are grateful to Dan Klein for valuable input, and for the parser implementation used here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1056.txt | Citing Article:  D09-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As pointed out in (Levyand Manning, 2003), there are many linguistic differences between Chinese and English, as well as structural differences between their corresponding tree banks, and some of these make it a harder task to parse Chinese.</S> | Reference Offset:  ['0','31'] | Reference Text:  <S sid = 0 ssid = >Is It Harder To Parse Chinese Or The Chinese Treebank?</S><S sid = 31 ssid = >This section provides background on relevant linguistic differences between Chinese and English, and on relevant tree-structural differences between the two treebanks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1056.txt | Citing Article:  W12-4510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First of all, we adopt the head finding rules for Chinese used in (Levy and Manning, 2003), and this affects sieve 4, 6 and 7 which are all take advantage of the head words.</S> | Reference Offset:  ['3','81'] | Reference Text:  <S sid = 3 ssid = >We address this error by taking advantage of the CTB's principled VP annotation practices, marking adjunction, complementation, and coordination VP levels, which builds the flat adjunction constraint back into the structure of the head daughter.</S><S sid = 81 ssid = >We address this error by taking advantage of the CTB's principled VP annotation practices, marking adjunction, complementation, and coordination VP levels, which builds the flat adjunction constraint back into the structure of the head daughter.</S> | Discourse Facet:  NA | Annotator: Automatic


