Citance Number: 1 | Reference Article:  P01-1025.txt | Citing Article:  C02-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We are aware of the fact that other measures of lexical association have been proposed (Evert and Krenn, 2001, and MI values were computed using Adam Berger's trigger toolkit (Berger, 1997).</S> | Reference Offset:  ['0','4'] | Reference Text:  <S sid = 0 ssid = >Methods For The Qualitative Evaluation Of Lexical Association Measures</S><S sid = 4 ssid = >In computational linguistics, a variety of (statistical) measures have been proposed for identifying lexical associations between words in lexical tuples extracted from text corpora.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P01-1025.txt | Citing Article:  P06-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, the precision/recall value comparison between the various AMs exhibits a rather inconclusive picture in Evert and Krenn (2001) and Krenn and Evert (2001) as to whether sophisticated statistical AMs are actually more viable than frequency counting.</S> | Reference Offset:  ['17','51'] | Reference Text:  <S sid = 17 ssid = >A standard procedure for the evaluation of AMs is manual judgment of the -best candidates identified in a particular corpus by the measure in question.</S><S sid = 51 ssid = >This value corresponds to the expected precision value for random selection, and provides a baseline for the interpretation of the precision curves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P01-1025.txt | Citing Article:  P06-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular Evert and Krenn (2001) use the chi-square test which assumes independent samples and is thus not really suitable for testing the significance of differences of two or more measures which are typically run on the same set of candidates (i.e., a dependent sample).</S> | Reference Offset:  ['16','107'] | Reference Text:  <S sid = 16 ssid = >The significance of differences between the AMs is addressed in section 6.</S><S sid = 107 ssid = >Therefore, we use random samples from the candidate sets to obtain estimates for the proportion of true collocations among the low-frequency data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P01-1025.txt | Citing Article:  P06-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As the standard statistical AM, we selected the t-test (see also Manning and Sch¨utze (1999) for a description on its use in CE and ATR) because it has been shown to be the best-performing statisticsonly measure for CE (cf. Evert and Krenn (2001) and Krenn and Evert (2001)) and also for ATR (see Wermter and Hahn (2005)).</S> | Reference Offset:  ['12','123'] | Reference Text:  <S sid = 12 ssid = >See section 3 for a description of the base data.</S><S sid = 123 ssid = >We have assessed the significance of differences between AMs using the well-known test as described in (Krenn, 2000).12 The thin lines in Figure 10 delimit 95% confidence intervals around the best-performing measure for the AdjN data with (log-likelihood).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P01-1025.txt | Citing Article:  W11-0813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To overcome these limitations, we use the evaluation method described by Evert and Krenn (2001).</S> | Reference Offset:  ['19','107'] | Reference Text:  <S sid = 19 ssid = >This method leads to a very superficial judgment of AMs for the following reasons: (1) The identification results are based on small subsets of the candidates extracted from the corpus.</S><S sid = 107 ssid = >Therefore, we use random samples from the candidate sets to obtain estimates for the proportion of true collocations among the low-frequency data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P01-1025.txt | Citing Article:  C04-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cf. also Evert and Krenn (2001) for empirical evidence justifying the exclusion of low-frequency data.</S> | Reference Offset:  ['20','122'] | Reference Text:  <S sid = 20 ssid = >Consequently, results achieved by individual measures may very well be due to chance (cf. sections 4.1 and 4.2), and evaluation with respect to frequency strata is not possible (cf. section 4.3).</S><S sid = 122 ssid = >Again, we conclude that the exclusion of low-frequency candidates was well justified.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P01-1025.txt | Citing Article:  C04-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The comparison to the t-test is especially interesting because it was found to achieve the best overall precision scores in other studies (see Evert and Krenn (2001)).</S> | Reference Offset:  ['62','88'] | Reference Text:  <S sid = 62 ssid = >Examining the precision and recall graphs in more detail, we find that for the AdjN data (Figure 1), log-likelihood and t-test lead to the best results, with log-likelihood giving an overall better result than the t-test.</S><S sid = 88 ssid = >Summing up, t-test – with a few exceptions around the first 5% of the data in the SLs – leads to the overall best precision results for high-frequency PNV data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P01-1025.txt | Citing Article:  C10-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also define four features that represent known collocation measures (Evert and Krenn, 2001): Point-wise mutual information (PMI); T-Score; log-likelihood; and the raw frequency of N1 N2 in the corpus.</S> | Reference Offset:  ['11','64'] | Reference Text:  <S sid = 11 ssid = >The measures – Mutual Information ( ) (Church and Hanks, 1989), the log-likelihood ratio test (Dunning, 1993), two statistical tests: t-test and -test, and co-occurrence frequency – are applied to two sets of data: adjective-noun (AdjN) pairs and preposition-noun-verb (PNV) triples, where the AMs are applied to (PN,V) pairs.</S><S sid = 64 ssid = >Here t-test outperforms log-likelihood, and even precision gained by frequency is better than or at least comparable to log-likelihood.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P01-1025.txt | Citing Article:  H05-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To eliminate noisy low-frequency data (cf. also Evert and Krenn (2001)), we defined different frequency cut-off thresholds, c, for the bigram, trigram and quadgram candidate sets and only considered candidates above these thresholds.</S> | Reference Offset:  ['72','98'] | Reference Text:  <S sid = 72 ssid = >While we have previously considered data from a broad frequency range (i.e., frequencies for AdjN and for PNV), we will now split up the candidate sets into high-frequency and low-frequency occurrences.</S><S sid = 98 ssid = >One way to deal with lowfrequency candidates is the introduction of cutoff thresholds.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P01-1025.txt | Citing Article:  H05-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare our P-Mod algorithm against the t-test measure, which, of all standard measures, yields the best results in general-language collocation extraction studies (Evert and Krenn, 2001), and also against the widely used C-value, which aims at enhancing the common frequency of occurrence measure by making it sensitive to nested terms (Frantzi et al, 2000).</S> | Reference Offset:  ['39','100'] | Reference Text:  <S sid = 39 ssid = >This is necessary, in particular, when co-occurrence frequency is used as an association measure.</S><S sid = 100 ssid = >Weeber et al. (2000) and Figure 8).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P01-1025.txt | Citing Article:  H05-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Studies on collocation extraction (e.g., by Evert and Krenn (2001)) also point out the inadequacy of such evaluation methods.</S> | Reference Offset:  ['0','102'] | Reference Text:  <S sid = 0 ssid = >Methods For The Qualitative Evaluation Of Lexical Association Measures</S><S sid = 102 ssid = >The major drawback of an approach where all low-frequency candidates are excluded is that a large part of the data is lost for collocation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P01-1025.txt | Citing Article:  W07-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The evaluation procedure used here (first suggested by Evert and Krenn (2001) for evaluating measures of lexical association) involves producing and evaluating just such a ranking.</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Methods For The Qualitative Evaluation Of Lexical Association Measures</S><S sid = 8 ssid = >In this paper, we first specify requirements for a qualitative evaluation of lexical association measures (AMs).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P01-1025.txt | Citing Article:  W07-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is consistent with results reportedby Evert and Krenn (2001).</S> | Reference Offset:  ['44','89'] | Reference Text:  <S sid = 44 ssid = >For instance, considering the set of AdjN base data with we might arrive at the following results (Table 2 gives the precision values of the highest ranked word combinations with ): As expected from the results of other studies (e.g.</S><S sid = 89 ssid = >Log-likelihood is second best but achieves the best results for highfrequency AdjN data. ence between the AMs for low-frequency data, except for co-occurrence frequency, which leads to worse results than all other measures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P01-1025.txt | Citing Article:  W02-0909.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our evaluation was partly inspired by Evert and Krenn (2001).</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Methods For The Qualitative Evaluation Of Lexical Association Measures</S><S sid = 8 ssid = >In this paper, we first specify requirements for a qualitative evaluation of lexical association measures (AMs).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P01-1025.txt | Citing Article:  P05-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Krenn & Evert 2001, frequency outperformed mutual information though not the t test, while in Evert and Krenn 2001, log-likelihood and the t-test gave the best results, and mutual information again performed worse than frequency.</S> | Reference Offset:  ['11','89'] | Reference Text:  <S sid = 11 ssid = >The measures – Mutual Information ( ) (Church and Hanks, 1989), the log-likelihood ratio test (Dunning, 1993), two statistical tests: t-test and -test, and co-occurrence frequency – are applied to two sets of data: adjective-noun (AdjN) pairs and preposition-noun-verb (PNV) triples, where the AMs are applied to (PN,V) pairs.</S><S sid = 89 ssid = >Log-likelihood is second best but achieves the best results for highfrequency AdjN data. ence between the AMs for low-frequency data, except for co-occurrence frequency, which leads to worse results than all other measures.</S> | Discourse Facet:  NA | Annotator: Automatic


