Citance Number: 1 | Reference Article:  J03-4003.txt | Citing Article:  W04-3233.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This figure shows the amount of time (excluding any startup overhead) spent parsing or bracketing using this system (the two lowest lines) versus the parsers of Collins (2003) and Charniak (2000) run with default settings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Charniak (2000) shows that using the POS tags as word class information in the model is important for parsing accuracy. c The coordination flag.</S><S sid = NA ssid = NA>Two models (Collins 2000; Charniak 2000) outperform models 2 and 3 on section 23 of the treebank.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J03-4003.txt | Citing Article:  D09-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The corpora are first parsed using Collins's parser (Collins, 2003) with the boundaries of all the entity mentions kept.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Model 2, we extend the parser to make the complement/adjunct distinction, which will be important for most applications using the output from the parser.</S><S sid = NA ssid = NA>Section 0 of the treebank was parsed with models 1 and 2 as before, but the parse trees were restricted to include rules already seen in training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J03-4003.txt | Citing Article:  P10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To generate parse trees, we use the Berkeley parser (Petrov et al, 2006), and use Collins head rules (Collins, 2003) to head-out binarize each tree.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Collins et al. (1999) describe how the models in the current article were applied to parsing Czech.</S><S sid = NA ssid = NA>In the three models a parse tree is represented as the sequence of decisions corresponding to a head-centered, top-down derivation of the tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J03-4003.txt | Citing Article:  P06-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As pointed out by an anonymous reviewer of Collins (2003), removing outermost punctuation might discard useful information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>13 As one of the anonymous reviewers of this article pointed out, this choice of discarding the sentence-final punctuation may not be optimal, as the final punctuation mark may well carry useful information about the sentence structure.</S><S sid = NA ssid = NA>Finally, thanks to the anonymous reviewers for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J03-4003.txt | Citing Article:  D12-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We suspect that identities of punctuation marks (Collins, 2003, Footnote 13) - both sentence-final and sentence-initial - could be of extra assistance in grammar induction, specifically for grouping imperatives, questions, and so forth.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>13 As one of the anonymous reviewers of this article pointed out, this choice of discarding the sentence-final punctuation may not be optimal, as the final punctuation mark may well carry useful information about the sentence structure.</S><S sid = NA ssid = NA>Each derivation corresponds to a tree-sentence pair that is well formed under the grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J03-4003.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first, proposed by (Johnson, 1998), is the annotation of parental history, and the second encodes a head-outward generation process (Collins, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that the first item of the conjunct is taken as the head of the phrase. process, namely, the generation of the coordinator tag/word pair, parameterized by the P,, parameter.</S><S sid = NA ssid = NA>Chelba and Jelinek (1998) describe an incremental, history-based parsing approach that is applied to language modeling for speech recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J03-4003.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Collins (2003) proposes to generate the head of a phrase first and then generate its sisters using Markovian processes, thereby exploiting head/sister-dependencies.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Charniak (2000) describes a parsing model that also uses Markov processes to generate rules.</S><S sid = NA ssid = NA>In particular, the model in Collins (1997) failed to generate punctuation, a deficiency of the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J03-4003.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A formal overview of the transformation and its correspondence to (Collins, 2003)'s models is available at (Hageloh, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As long as there is a one-to-one mapping between the treebank and the new representation, nothing is lost in making such a transformation.</S><S sid = NA ssid = NA>Two models (Collins 2000; Charniak 2000) outperform models 2 and 3 on section 23 of the treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J03-4003.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In a second set of experiments we use an unlexicalized head driven baseline a la (Collins, 2003) located on the (0, 0, 0) coordinate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Head-Driven Statistical Models For Natural Language Parsing</S><S sid = NA ssid = NA>For this reason we refer to the models as head-driven statistical models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J03-4003.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our next set of experiments we evaluate the contribution of the depth dimension to extensions of the head-driven unlexicalized variety a la (Collins,2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In section 7.2, we describe experiments that evaluate the effect of these features on parsing accuracy.</S><S sid = NA ssid = NA>Head-Driven Statistical Models For Natural Language Parsing</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J03-4003.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This dimension is orthogonal to the vertical (Collins, 2003) and horizontal (Johnson, 1998) dimensions previously outlined by Klein and Manning (2003), and it can not be collapsed into any one of the previous two.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar observations have been made in the context of tagging problems using maximum-entropy models (Lafferty, McCallum, and Pereira 2001; Klein and Manning 2002).</S><S sid = NA ssid = NA>Section 8.2 showed that the parsing models of Ratnaparkhi (1997), Jelinek et al. (1994), and Magerman (1995) can suffer from very similar problems to the “label bias” or “observation bias” problem observed in tagging models, as described in Lafferty, McCallum, and Pereira (2001) and Klein and Manning (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J03-4003.txt | Citing Article:  D12-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Even when the breakdown for particular node types is presented (e.g. Collins, 2003), the interaction between node errors is not taken into account.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It would be useful to identify IBM as a subject and Last week as an adjunct (temporal modifier), but this distinction is not made in the tree, as both NPs are in the same position8 (sisters to a VP under an S node).</S><S sid = NA ssid = NA>We also give a breakdown of precision and recall results in recovering various types of dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J03-4003.txt | Citing Article:  D08-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Inspired by the work of Collins (2003), the generative model builds trees by recursively creating nodes at each level according to a Markov process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this case the verb is “invisible” to the top level, as it is generated recursively below the NP object.</S><S sid = NA ssid = NA>The model takes into account much additional context (such as previously generated modifiers, or nonterminals higher in the parse trees) through a maximum-entropy-inspired model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J03-4003.txt | Citing Article:  D08-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Motivated by Collins syntactic parsing models (Collins, 2003), we consider the generation process for a hybrid sequence from an MR production as a Markov process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Seneff (1992) describes the use of Markov models for rule generation, which is closely related to the Markov-style rules in the models in the current article.</S><S sid = NA ssid = NA>Bikel (2000) has developed generative statistical models that integrate word sense information into the parsing process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J03-4003.txt | Citing Article:  D08-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the experiments reported in this paper, we use as parser P, our in-house implementation of the Collins parser (Collins, 2003), to which various speed-related enhancements (Goodman, 1997) have been applied.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We now give a more detailed comparison of the models in this article to the parser of Charniak (1997).</S><S sid = NA ssid = NA>Goodman (1997) and Johnson (1997) both suggest this strategy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J03-4003.txt | Citing Article:  D10-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we consider the integration of the generative model for phrase-structure parsing of Collins (2003), with the second-order discriminative dependency parser of Koo et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Collins et al. (1999) describe how the models in the current article were applied to parsing Czech.</S><S sid = NA ssid = NA>Collins (1996) also describes a dependency-based model applied to treebank parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


