Citance Number: 1 | Reference Article:  N04-4038.txt | Citing Article:  H05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both Diab et al (2004) and Habash and Rambow (2005) use support-vector machines with local features; the former for tokenization, POS tagging, and base phrase chunking; the latter for full morphological disambiguation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Support Vector Machines (SVMs) (Vapnik, 1995) are one class of such model.</S><S sid = NA ssid = NA>In this task, we use a setup similar to that of (Kudo and Matsumato, 2000), where 9 types of chunked phrases are recognized using a phrase IOB tagging scheme; Inside I a phrase, Outside O a phrase, and Beginning B of a phrase.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N04-4038.txt | Citing Article:  W08-0307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For chunking Arabic, we use the AMIRA (ASVMT) toolkit (Diab et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we propose solutions to the problems of Tokenization, POS Tagging and BP Chunking of Arabic text.</S><S sid = NA ssid = NA>These results are interesting in light of state-of-the-art for English BP chunking performance which is at an score of 93.48, against a baseline of 77.7 in CoNLL 2000 shared task (Tjong et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N04-4038.txt | Citing Article:  W06-1647.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In supervised POS tagging, (Diab et al, 2004) achieves high accuracy on MSA with the direct application of SVM classifiers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using standard evaluation metrics, we report that the SVM-TOR tokenizer achieves an score of 99.12, the SVM-POS tagger achieves an accuracy of 95.49%, and the SVM-BP chunker yields an score of 92.08. your (yours), your (yours) [masc. dual], your (yours) [masc. pl.</S><S sid = NA ssid = NA>Thereby, we address them using the same SVM experimental setup which comprises a standard SVM as a multiclass classifier (Allwein et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N04-4038.txt | Citing Article:  W06-3103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A comparable work was done by (Diab et al, 2004), where a POS tagging method for Arabic is also discussed.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The English experiment resulted in an accuracy of 94.97%, which is comparable to the Arabic SVM-POS results of 95.49%.</S><S sid = NA ssid = NA>In this paper, we propose solutions to the problems of Tokenization, POS Tagging and BP Chunking of Arabic text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N04-4038.txt | Citing Article:  W06-3103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Lee et al, 2003), (Diab et al, 2004) and (Habash and Rambow, 2005) three supervised segmentation methods are introduced.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thereby, we address them using the same SVM experimental setup which comprises a standard SVM as a multiclass classifier (Allwein et al., 2000).</S><S sid = NA ssid = NA>We adopt a supervised learning approach, hence the need for annotated training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N04-4038.txt | Citing Article:  W06-3103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the next subsections we will shortly describe the method of (Diabetal., 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The following subsections illustrate the different tasks and their corresponding features and tag sets.</S><S sid = NA ssid = NA>On the other hand, Khoja (Khoja, 2001) reports preliminary results on a hybrid, statistical and rule based, POS tagger, APT.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N04-4038.txt | Citing Article:  W06-3103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Diab et al, 2004) propose solutions to word segmentation and POS Tagging of Arabic text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we propose solutions to the problems of Tokenization, POS Tagging and BP Chunking of Arabic text.</S><S sid = NA ssid = NA>Automatic Tagging Of Arabic Text: From Raw Text To Base Phrase Chunks</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N04-4038.txt | Citing Article:  P06-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>L1 uses the simple POS tags advocated by Habash and Rambow (2005) (15 tags); while L2 uses the reduced tag set used by Diab et al (2004) (24 tags).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Tag Set: The utilized tag set comprises the 24 collapsed tags available in the Arabic TreeBank distribution.</S><S sid = NA ssid = NA>Features: Word and POS tags that fall in the context along with previous IOB tags within the context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N04-4038.txt | Citing Article:  P08-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Khoja (2001) first introduced a tagger for Arabic, which has 131 tags, but subsequent work has collapsed the tag set to simplify tagging (Diab et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, Khoja (Khoja, 2001) reports preliminary results on a hybrid, statistical and rule based, POS tagger, APT.</S><S sid = NA ssid = NA>Tag Set: The utilized tag set comprises the 24 collapsed tags available in the Arabic TreeBank distribution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N04-4038.txt | Citing Article:  P06-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, Diab et al (2004) used SVM based approach for Arabic text chunking.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we present a Support Vector Machine (SVM) based approach to automatically tokenize (segmenting off clitics), part-ofspeech (POS) tag and annotate base phrases (BPs) in Arabic text.</S><S sid = NA ssid = NA>We applied a similar SVM based POS tagging system to English text using the English TreeBank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N04-4038.txt | Citing Article:  P06-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It was also successfully used in Arabic (Diab et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The data is transliterated in the Arabic TreeBank into Latin based ASCII characters using the Buckwalter transliteration scheme.6 We used the non vocalized version of the treebank for all the experiments.</S><S sid = NA ssid = NA>Thereby, we address them using the same SVM experimental setup which comprises a standard SVM as a multiclass classifier (Allwein et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N04-4038.txt | Citing Article:  W05-0701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The data facilitates machine learned part-of-speech taggers, tokenizers, and shallow parsing units such as chunkers, as exemplified by Diab et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Fully automated fundamental NLP tools such as Tokenizers, Part Of Speech (POS) Taggers and Base Phrase (BP) Chunkers are still not available for Arabic.</S><S sid = NA ssid = NA>Separating conjunctions from the following noun, for example, is a key first step in parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N04-4038.txt | Citing Article:  W05-0701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Diab et al (2004) describe a part-of-speech tagger based on support vector machines that is trained on tokenized data (clitics are separate tokens), reporting a tagging accuracy of 95.5%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Support Vector Machines (SVMs) (Vapnik, 1995) are one class of such model.</S><S sid = NA ssid = NA>For each of these tasks, we adopt a supervised machine learning perspective using Support Vector Machines (SVMs) trained on the Arabic TreeBank, leveraging off of already existing algorithms for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N04-4038.txt | Citing Article:  P08-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mansour et al (2007) combine a lexicon-based tagger (such as MorphTagger (Bar-Haim et al, 2005)), and a character-based tagger (such as the data-driven ArabicSVM (Diab et al, 2004)), which includes character features as part of its classification model, in order to extend the set of analyses suggested by the analyzer.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the tag set, APT is more of a morphological analyzer than a POS tagger.</S><S sid = NA ssid = NA>Features: Every character -gram, that occurs in the focus token, the 5 tokens themselves, their ‘type’ from the set alpha, numeric , and POS tag decisions for previous tokens within context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N04-4038.txt | Citing Article:  W09-0715.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Diab et al. (2004) used a Support Vector Machine, SVM-based tagger, trained on the Arabic Penn Treebank 1 to tokenize, POS tag, and annotate Arabic base phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we present a Support Vector Machine (SVM) based approach to automatically tokenize (segmenting off clitics), part-ofspeech (POS) tag and annotate base phrases (BPs) in Arabic text.</S><S sid = NA ssid = NA>For each of these tasks, we adopt a supervised machine learning perspective using Support Vector Machines (SVMs) trained on the Arabic TreeBank, leveraging off of already existing algorithms for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N04-4038.txt | Citing Article:  E06-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The tokenization was done using the ASVM Toolkit (Diab et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using AraMorph, the choice of an appropriate morphological analysis entails clitic tokenization as well assignment of a POS tag.</S><S sid = NA ssid = NA>Thereby, we address them using the same SVM experimental setup which comprises a standard SVM as a multiclass classifier (Allwein et al., 2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N04-4038.txt | Citing Article:  P06-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As reported by Habash and Rambow, the first work on Arabic tagging which used a corpus for training and evaluation was the work of Diab et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To the best of our knowledge, these are the first results reported for these tasks in Arabic natural language processing.</S><S sid = NA ssid = NA>The training data is derived from the Arabic TreeBank using the ChunkLink software.5.</S> | Discourse Facet:  NA | Annotator: Automatic


