Citance Number: 1 | Reference Article:  P06-1134.txt | Citing Article:  P14-1145.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In recent years, Akkaya et al (2009) report a successful empirical result where WSD helps improving sentiment analysis, while Wiebe and Mihalcea (2006) study the distinction between objectivity and subjectivity in each different sense of a word, and their empirical effects in the context of sentiment analysis.</S> | Reference Offset:  ['16','22'] | Reference Text:  <S sid = 16 ssid = >Second, can automatic subjectivity analysis be used to improve word sense disambiguation?</S><S sid = 22 ssid = >(Wiebe et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P06-1134.txt | Citing Article:  N09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, (Wiebe and Mihalcea, 2006) provide evidence that word sense labels, together with contextual subjectivity analysis, can be exploited to improve performance in word sense disambiguation.</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Word Sense And Subjectivity</S><S sid = 16 ssid = >Second, can automatic subjectivity analysis be used to improve word sense disambiguation?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1134.txt | Citing Article:  N09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt the definitions of subjective and objective from Wiebe and Mihalcea (2006) (hereafter WM).</S> | Reference Offset:  ['22','99'] | Reference Text:  <S sid = 22 ssid = >(Wiebe et al., 2005).</S><S sid = 99 ssid = >Nonetheless, we hypothesized that subjective senses tend to appear more often in subjective expressions than objective senses do, and use the appearance of words in subjective expressions as evidence of sense subjectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1134.txt | Citing Article:  D09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','171'] | Reference Text:  <S sid = 53 ssid = >Finally, classifying a sense as B means it covers both subjective and objective usages, e.g.</S><S sid = 171 ssid = >This work was partially supported by ARDA AQUAINT and by the NSF (award IIS-0208798).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1134.txt | Citing Article:  D09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt the definitions from (Wiebe and Mihalcea, 2006), who describe the annotation scheme as follows.</S> | Reference Offset:  ['39','62'] | Reference Text:  <S sid = 39 ssid = >To explore our hypothesis that subjectivity may be associated with word senses, we developed a manual annotation scheme for assigning subjectivity labels to WordNet senses,3 and performed an inter-annotator agreement study to assess its reliability.</S><S sid = 62 ssid = >In addition to S, O, and B, the annotation scheme also permits U(ncertain) tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1134.txt | Citing Article:  D09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As noted in (Wiebe and Mihalcea, 2006), sentences containing objective senses may not be objective.</S> | Reference Offset:  ['50','138'] | Reference Text:  <S sid = 50 ssid = >While these sentences contain objective senses of alarm and boil, the sentences are subjective nonetheless.</S><S sid = 138 ssid = >Our hypothesis motivating the use of a sentence-level subjectivity classifier is that instances of subjective senses are more likely to be in subjective sentences, and thus that sentence subjectivity is an informative feature for the disambiguation of words having both subjective and objective senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1134.txt | Citing Article:  D09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','171'] | Reference Text:  <S sid = 53 ssid = >Finally, classifying a sense as B means it covers both subjective and objective usages, e.g.</S><S sid = 171 ssid = >This work was partially supported by ARDA AQUAINT and by the NSF (award IIS-0208798).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1134.txt | Citing Article:  D09-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both (Wiebe and Mihalcea, 2006) and (SuandMarkert, 2008) show that even reliable subjectivity clues have objective senses.</S> | Reference Offset:  ['18','59'] | Reference Text:  <S sid = 18 ssid = >The results of this experiment show that a subjectivity feature can significantly improve the accuracy of a word sense disambiguation system for those words that have both subjective and objective senses.</S><S sid = 59 ssid = >Among the 16 that do not have both S and O senses, 8 have only S senses and 8 have only O senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1134.txt | Citing Article:  P08-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They have shown that subjectivity annotations can be helpful for word sense disambiguation when a word has distinct subjective senses and objective senses (Wiebe and Mihalcea, 2006).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Word Sense And Subjectivity</S><S sid = 18 ssid = >The results of this experiment show that a subjectivity feature can significantly improve the accuracy of a word sense disambiguation system for those words that have both subjective and objective senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1134.txt | Citing Article:  N10-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Wiebe and Mihalcea (2006) and Su and Markert (2008) both show that this is a well-defined concept via human annotation as well as automatic recognition.</S> | Reference Offset:  ['82','164'] | Reference Text:  <S sid = 82 ssid = >Encouraged by the results of the agreement study, we devised a method targeting the automatic annotation of word senses for subjectivity.</S><S sid = 164 ssid = >First, the input corpus could be sense tagged and the subjectivity labels of the assigned senses could be exploited by a subjectivity recognition tool.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1134.txt | Citing Article:  W10-3208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','171'] | Reference Text:  <S sid = 53 ssid = >Finally, classifying a sense as B means it covers both subjective and objective usages, e.g.</S><S sid = 171 ssid = >This work was partially supported by ARDA AQUAINT and by the NSF (award IIS-0208798).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1134.txt | Citing Article:  W11-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','171'] | Reference Text:  <S sid = 53 ssid = >Finally, classifying a sense as B means it covers both subjective and objective usages, e.g.</S><S sid = 171 ssid = >This work was partially supported by ARDA AQUAINT and by the NSF (award IIS-0208798).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1134.txt | Citing Article:  D11-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Towards this, Wiebe and Mihalcea (2006) conduct a study on human annotation of 354 words senses with polarity and report a high inter-annotator agreement.</S> | Reference Offset:  ['39','66'] | Reference Text:  <S sid = 39 ssid = >To explore our hypothesis that subjectivity may be associated with word senses, we developed a manual annotation scheme for assigning subjectivity labels to WordNet senses,3 and performed an inter-annotator agreement study to assess its reliability.</S><S sid = 66 ssid = >Thus, annotator agreement is especially high when both are certain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1134.txt | Citing Article:  W10-0731.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Wiebe and Mihalcea, 2006) define subjective expressions as words and phrases being used to express mental and emotional states, such as speculations, evaluations, sentiments, and beliefs.</S> | Reference Offset:  ['21','99'] | Reference Text:  <S sid = 21 ssid = >Subjective expressions are words and phrases being used to express opinions, emotions, evaluations, speculations, etc.</S><S sid = 99 ssid = >Nonetheless, we hypothesized that subjective senses tend to appear more often in subjective expressions than objective senses do, and use the appearance of words in subjective expressions as evidence of sense subjectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-1134.txt | Citing Article:  W10-0731.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, such clues often have both subjective and objective senses, as illustrated by (Wiebe and Mihalcea, 2006).</S> | Reference Offset:  ['99','138'] | Reference Text:  <S sid = 99 ssid = >Nonetheless, we hypothesized that subjective senses tend to appear more often in subjective expressions than objective senses do, and use the appearance of words in subjective expressions as evidence of sense subjectivity.</S><S sid = 138 ssid = >Our hypothesis motivating the use of a sentence-level subjectivity classifier is that instances of subjective senses are more likely to be in subjective sentences, and thus that sentence subjectivity is an informative feature for the disambiguation of words having both subjective and objective senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-1134.txt | Citing Article:  P11-4009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','171'] | Reference Text:  <S sid = 53 ssid = >Finally, classifying a sense as B means it covers both subjective and objective usages, e.g.</S><S sid = 171 ssid = >This work was partially supported by ARDA AQUAINT and by the NSF (award IIS-0208798).</S> | Discourse Facet:  NA | Annotator: Automatic


